Name,Type,FileName,ExportName,GiftIconExportName,GoodRewards,GoodIconSlotExportName,GoodAmounts,Probabilities,DiamondThreshold,Price,PriceData,TileWidth,TileHeight,OpenSound,TitleTID,TextTID,Text2TID,Text3TID,OpenGiftMessageTID,UnlockLevel,RepUnlockLevel,WalkGiftAnim,RewardHUDExportName
,,,,,Hand Drill,,1,20,15,,,,,,,,,,,,,,
,,,,,Paint Bucket,Prize1,1,20,15,,,,,,,,,,,,,,
,,,,,Stone Block,Prize2,1,20,15,,,,,,,,,,,,,,
,,,,,Brick,,1,20,15,,,,,,,,,,,,,,
,,,,,Tar Bucket,,1,20,15,,,,,,,,,,,,,,
,,,,,Map Piece,,1,20,15,,,,,,,,,,,,,,
,,,,,Hammer,,3,10,,,,,,,,,,,,,,,
,,,,,Hand Drill,,3,10,,,,,,,,,,,,,,,
,,,,,Paint Bucket,,3,10,,,,,,,,,,,,,,,
,,,,,Stone Block,,3,10,,,,,,,,,,,,,,,
,,,,,Brick,,3,10,,,,,,,,,,,,,,,
,,,,,Tar Bucket,,3,10,,,,,,,,,,,,,,,
,,,,,Map Piece,,3,10,,,,,,,,,,,,,,,
TownPackage3,Common,sc/buildings_new.sc,post_package_town,icon_gift_box_town,Hammer,,1,20,15,10,GiftCards,1,1,TreasureBox,TID_GIFT_TOWN_TITLE,TID_GIFT_TOOL_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,2,WalkGift,post_package_toolbox_town_claim
,,,,,Hand Drill,,1,20,15,,,,,,,,,,,,,,
,,,,,Paint Bucket,,1,20,15,,,,,,,,,,,,,,
,,,,,Stone Block,,1,20,15,,,,,,,,,,,,,,
,,,,,Brick,Prize1,1,20,15,,,,,,,,,,,,,,
,,,,,Tar Bucket,Prize2,1,20,15,,,,,,,,,,,,,,
,,,,,Map Piece,,1,20,15,,,,,,,,,,,,,,
,,,,,Hammer,,3,10,,,,,,,,,,,,,,,
,,,,,Hand Drill,,3,10,,,,,,,,,,,,,,,
,,,,,Paint Bucket,,3,10,,,,,,,,,,,,,,,
,,,,,Stone Block,,3,10,,,,,,,,,,,,,,,
,,,,,Brick,,3,10,,,,,,,,,,,,,,,
,,,,,Tar Bucket,,3,10,,,,,,,,,,,,,,,
,,,,,Map Piece,,3,10,,,,,,,,,,,,,,,
TownPackage4,Common,sc/buildings_new.sc,post_package_town,icon_gift_box_town,Hammer,,1,20,15,10,GiftCards,1,1,TreasureBox,TID_GIFT_TOWN_TITLE,TID_GIFT_TOOL_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,2,WalkToolboxTown,post_package_toolbox_town_claim
,,,,,Hand Drill,,1,20,15,,,,,,,,,,,,,,
,,,,,Paint Bucket,Prize2,1,20,15,,,,,,,,,,,,,,
,,,,,Stone Block,,1,20,15,,,,,,,,,,,,,,
,,,,,Brick,,1,20,15,,,,,,,,,,,,,,
,,,,,Tar Bucket,Prize1,1,20,15,,,,,,,,,,,,,,
,,,,,Map Piece,,1,20,15,,,,,,,,,,,,,,
,,,,,Hammer,,3,10,,,,,,,,,,,,,,,
,,,,,Hand Drill,,3,10,,,,,,,,,,,,,,,
,,,,,Paint Bucket,,3,10,,,,,,,,,,,,,,,
,,,,,Stone Block,,3,10,,,,,,,,,,,,,,,
,,,,,Brick,,3,10,,,,,,,,,,,,,,,
,,,,,Tar Bucket,,3,10,,,,,,,,,,,,,,,
,,,,,Map Piece,,3,10,,,,,,,,,,,,,,,
SmallBoosterPack,Common,sc/buildings_new.sc,booster_package_blue,icon_blue_booster_box,FasterBoats_lv1,,1,1,,10,GiftCards,1,1,TreasureBox,TID_GIFT_BOOSTER1_TITLE,TID_GIFT_S_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,35,,WalkGiftBlueBooster,post_booster_blue
,,,,,FasterCrops1_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterCrops2_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterCrops3_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterCrops4_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterTom_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterBuildings1_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterBuildings2_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterBuildings3_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterBuildings4_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterTrees_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterBushes_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FreeTom_lv1,Prize1,1,1,,,,,,,,,,,,,,,
,,,,,FreeRose_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FreeErnest_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,EasierBoats_lv1,Prize2,1,1,,,,,,,,,,,,,,,
,,,,,MoreXP_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterBaitMaker_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterNetMaker_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterFishingSpots_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterLobsters_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterDucks_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterTownBuildings1_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterTownBuildings2_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterPersonalTrain_lv1,,1,1,,,,,,,,,,,,,,,
MediumBoosterPack,Common,sc/buildings_new.sc,booster_package_gold,icon_gold_booster_box,FasterBoats_lv2,,1,3,,25,GiftCards,1,1,TreasureBox,TID_GIFT_BOOSTER2_TITLE,TID_GIFT_S_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,35,,WalkGiftGoldBooster,post_booster_gold
,,,,,FasterCrops1_lv2,,1,3,,,,,,,,,,,,,,,
,,,,,FasterCrops2_lv2,,1,3,,,,,,,,,,,,,,,
,,,,,FasterCrops3_lv2,,1,3,,,,,,,,,,,,,,,
,,,,,FasterCrops4_lv2,,1,3,,,,,,,,,,,,,,,
,,,,,FasterTom_lv2,,1,3,,,,,,,,,,,,,,,
,,,,,FasterBuildings1_lv2,,1,3,,,,,,,,,,,,,,,
,,,,,FasterBuildings2_lv2,,1,3,,,,,,,,,,,,,,,
,,,,,FasterBuildings3_lv2,,1,3,,,,,,,,,,,,,,,
,,,,,FasterBuildings4_lv2,,1,3,,,,,,,,,,,,,,,
,,,,,FasterTrees_lv2,,1,3,,,,,,,,,,,,,,,
,,,,,FasterBushes_lv2,,1,3,,,,,,,,,,,,,,,
,,,,,FreeTom_lv2,,1,3,,,,,,,,,,,,,,,
,,,,,FreeRose_lv2,,1,3,,,,,,,,,,,,,,,
,,,,,FreeErnest_lv2,,1,3,,,,,,,,,,,,,,,
,,,,,EasierBoats_lv2,,1,3,,,,,,,,,,,,,,,
,,,,,FasterBoats_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterCrops1_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterCrops2_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterCrops3_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterCrops4_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterTom_lv3,Prize1,1,1,,,,,,,,,,,,,,,
,,,,,FasterBuildings1_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterBuildings2_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterBuildings3_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterBuildings4_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterTrees_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterBushes_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FreeTom_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FreeRose_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FreeErnest_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,EasierBoats_lv3,Prize2,1,1,,,,,,,,,,,,,,,
,,,,,MoreXP_lv2,,1,3,,,,,,,,,,,,,,,
,,,,,MoreXP_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterBaitMaker_lv2,,1,3,,,,,,,,,,,,,,,
,,,,,FasterNetMaker_lv2,,1,3,,,,,,,,,,,,,,,
,,,,,FasterFishingSpots_lv2,,1,3,,,,,,,,,,,,,,,
,,,,,FasterLobsters_lv2,,1,3,,,,,,,,,,,,,,,
,,,,,FasterDucks_lv2,,1,3,,,,,,,,,,,,,,,
,,,,,FasterTownBuildings1_lv2,,1,3,,,,,,,,,,,,,,,
,,,,,FasterTownBuildings2_lv2,,1,3,,,,,,,,,,,,,,,
,,,,,FasterPersonalTrain_lv2,,1,3,,,,,,,,,,,,,,,
,,,,,FasterBaitMaker_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterNetMaker_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterFishingSpots_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterLobsters_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterDucks_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterTownBuildings1_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterTownBuildings2_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterPersonalTrain_lv3,,1,1,,,,,,,,,,,,,,,
BigDecoPack3,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Mediterranean well,Prize1,1,9,,35,GiftCards,1,1,TreasureBox,TID_GIFT_DECO_TITLE,TID_GIFT_DECO_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,,WalkExclusiveGift,post_package_exclusive_item_claim
,,,,,Balloons,,1,15,,,,,,,,,,,,,,,
,,,,,Mediterranean path,Prize2,2,19,,,,,,,,,,,,,,,
,,,,,Haycart,,1,11,,,,,,,,,,,,,,,
,,,,,Bench_1,,1,11,15,,,,,,,,,,,,,,
,,,,,Gardening workspace,,1,7,15,,,,,,,,,,,,,,
,,,,,Mediterranean spouter,,2,7,15,,,,,,,,,,,,,,
,,,,,Potted fence,,2,7,,,,,,,,,,,,,,,
,,,,,PineTree_Small,,1,7,15,,,,,,,,,,,,,,
,,,,,LeafyTree_Small,,1,7,15,,,,,,,,,,,,,,
BigDecoPack4,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Train Stop,Prize1,1,9,,35,GiftCards,1,1,TreasureBox,TID_GIFT_DECO_TITLE,TID_GIFT_DECO_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,,WalkExclusiveGift,post_package_exclusive_item_claim
,,,,,Balloons,,1,15,,,,,,,,,,,,,,,
,,,,,Potted fence,Prize2,2,7,,,,,,,,,,,,,,,
,,,,,Haycart,,1,11,,,,,,,,,,,,,,,
,,,,,Mediterranean watermill,,1,11,15,,,,,,,,,,,,,,
,,,,,Mediterranean spa,,1,7,15,,,,,,,,,,,,,,
,,,,,Flowerlog,,1,7,15,,,,,,,,,,,,,,
,,,,,Mediterranean fountain,,1,19,,,,,,,,,,,,,,,
,,,,,PineTree_Small,,1,7,15,,,,,,,,,,,,,,
,,,,,LeafyTree_Small,,1,7,15,,,,,,,,,,,,,,
BigDecoPack5,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Woodcutting Station,Prize1,1,9,,35,GiftCards,1,1,TreasureBox,TID_GIFT_DECO_TITLE,TID_GIFT_DECO_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,,WalkExclusiveGift,post_package_exclusive_item_claim
,,,,,Balloons,,1,15,,,,,,,,,,,,,,,
,,,,,Mediterranean spa,Prize2,1,19,,,,,,,,,,,,,,,
,,,,,Haycart,,1,11,,,,,,,,,,,,,,,
,,,,,Mediterranean well,,1,11,15,,,,,,,,,,,,,,
,,,,,Gardening workspace,,2,7,15,,,,,,,,,,,,,,
,,,,,Flowerlog,,1,7,15,,,,,,,,,,,,,,
,,,,,Potted fence,,2,7,,,,,,,,,,,,,,,
,,,,,PineTree_Small,,1,7,15,,,,,,,,,,,,,,
,,,,,LeafyTree_Small,,1,7,15,,,,,,,,,,,,,,
HolidayGift1_week1,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Figureskater gnome,Prize2,1,1,,50,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,17,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift2_week1,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Expansion Key,Prize2,3,1,,600,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,25,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift3_week1,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Expansion Key,Prize2,1,1,,200,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,25,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift4_week1,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Expansion Key,Prize2,1,1,,200,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,25,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift5_week1,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Puzzle Piece 1,Prize2,1,1,,200,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,34,3,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift6_week1,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Puzzle Piece 1,Prize2,1,1,,200,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,34,3,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift7_week1,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Land Deed,Prize2,3,1,,90,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,22,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift8_week1,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Mallet,Prize2,3,1,,90,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,22,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift9_week1,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Marker Stake,Prize2,3,1,,90,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,22,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift10_week1,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,FreeCash,Prize2,15000,1,,30,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,17,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift11_week1,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Voucher1,Prize2,20,1,,180,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,20,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift12_week1,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Voucher2,Prize2,10,1,,180,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,20,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift13_week1,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Voucher3,Prize2,5,1,,150,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,20,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift14_week1,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Voucher4,Prize2,3,1,,144,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,20,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift15_week1,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,FreeTom_lv1,Prize2,1,1,,18,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,35,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift16_week1,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,MiningMoreOres_lv3,Prize2,1,1,,13,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,35,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift17_week1,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Dynamite,Prize2,5,1,,15,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,17,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift18_week1,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Demolition Charge,Prize2,5,1,,35,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,17,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift19_week1,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Axe,Prize2,5,1,,20,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,17,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift20_week1,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Saw,Prize2,5,1,,25,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,17,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift21_week1,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Shovel,Prize2,5,1,,50,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,17,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift22_week1,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Pickaxe,Prize2,5,1,,60,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,34,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift1_week2,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Voucher5,Prize2,1,1,,250,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,20,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift2_week2,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Voucher5,Prize2,1,1,,250,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,20,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift3_week2,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Voucher5,Prize2,1,1,,250,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,20,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift4_week2,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Blueprint,Prize2,1,1,,250,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,71,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift5_week2,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Blueprint,Prize2,1,1,,250,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,71,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift6_week2,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Blueprint,Prize2,1,1,,250,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,71,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift7_week2,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Expansion Key,Prize2,1,1,,250,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,25,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift8_week2,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Expansion Key,Prize2,1,1,,250,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,25,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift9_week2,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,FreeCash,Prize2,25000,1,,40,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,17,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift10_week2,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,FreeCash,Prize2,15000,1,,30,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,17,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift11_week2,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Plank,Prize2,2,1,,50,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,17,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift12_week2,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Nail,Prize2,2,1,,50,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,17,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift13_week2,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Bolt,Prize2,2,1,,50,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,17,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift14_week2,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Screw,Prize2,2,1,,50,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,17,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift15_week2,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Duct Tape,Prize2,2,1,,50,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,17,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift16_week2,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Wood Panel,Prize2,2,1,,50,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,17,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift17_week2,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Voucher1,Prize2,20,1,,225,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,20,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift18_week2,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Voucher2,Prize2,10,1,,225,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,20,,WalkExclusiveGift,post_package_exclusive_item_claim
HolidayGift19_week2,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Voucher3,Prize2,5,1,,188,Mistletoe,1,1,TreasureBox,TID_HOLIDAY_GIFT_TITLE,TID_GIFT_WILL_CONTAIN,,,TID_OPEN_HOLIDAY_GIFT_MESSAGE,20,,WalkExclusiveGift,post_package_exclusive_item_claim
