Name,TID,GameObject,Part,FileName,ExportName,TintPart,MulColorR,MulColorG,MulColorB,AddColorR,AddColorG,AddColorB,Price,DiamondPrice,Vouchers,VoucherCount,Default,Disabled,TutorialPart,BuyBackCoinPrice,ExcludeFromNormalStock
BodyWinter23,TID_CUSTOMIZATION_WINTER2023,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_xmas23,,,,,,,,,,Voucher4,4,,,,,TRUE
,,,,,,,,,,,,,,,Voucher1,10,,,,,
WheelsBirthday24,TID_CUSTOMIZATION_BIRTHDAY2024,Truck,Wheels,sc/trucks_skins.sc,a<CAR_ANGLE>_wheels_birthday24,,,,,,,,,20,,,,,,35000,TRUE
TrailerBirthday24,TID_CUSTOMIZATION_BIRTHDAY2024,Truck,Trailer,sc/trucks_skins.sc,a<CAR_ANGLE>_trailer_canopyroof_birthday24,,,,,,,,45000,,,,,,,,TRUE
BodyBirthday24,TID_CUSTOMIZATION_BIRTHDAY2024,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_birthday24,,,,,,,,,,Voucher4,8,,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,
WheelsHalloween24,TID_CUSTOMIZATION_HALLOWEEN_2024,Truck,Wheels,sc/trucks_skins.sc,a<CAR_ANGLE>_wheels_halloween24,,,,,,,,30000,,,,,,,,TRUE
TrailerHalloween24,TID_CUSTOMIZATION_HALLOWEEN_2024,Truck,Trailer,sc/trucks_skins.sc,a<CAR_ANGLE>_trailer_halloween24,,,,,,,,,,Voucher3,10,,,,,TRUE
BodyHalloween24,TID_CUSTOMIZATION_HALLOWEEN_2024,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_halloween24,,,,,,,,,20,,,,,,20000,TRUE
,,,,,,,,,,,,,,,,,,,,,
WheelsWinter24,TID_CUSTOMIZATION_WINTER_2024,Truck,Wheels,sc/trucks_skins.sc,a<CAR_ANGLE>_wheels_xmas24,,,,,,,,,20,,,,,,20000,TRUE
TrailerWinter24,TID_CUSTOMIZATION_WINTER_2024,Truck,Trailer,sc/trucks_skins.sc,a<CAR_ANGLE>_trailer_xmas24,,,,,,,,30000,,,,,,,,TRUE
BodyWinter24,TID_CUSTOMIZATION_WINTER_2024,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_xmas24,,,,,,,,,,Voucher4,4,,,,,TRUE
,,,,,,,,,,,,,,,Voucher1,10,,,,,
WheelsBirthday25,TID_CUSTOMIZATION_BIRTHDAY_2025,Truck,Wheels,sc/trucks_skins.sc,a<CAR_ANGLE>_wheels_birthday25,,,,,,,,,20,,,,,,20000,TRUE
TrailerBirthday25,TID_CUSTOMIZATION_BIRTHDAY_2025,Truck,Trailer,sc/trucks_skins.sc,a<CAR_ANGLE>_trailer_birthday25,,,,,,,,30000,,,,,,,,TRUE
BodyBirthday25,TID_CUSTOMIZATION_BIRTHDAY_2025,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_birthday25,,,,,,,,,,Voucher4,4,,,,,TRUE
,,,,,,,,,,,,,,,Voucher1,10,,,,,
