Name,TID,GameObject,Part,FileName,ExportName,TintPart,MulColorR,MulColorG,MulColorB,AddColorR,AddColorG,AddColorB,Price,DiamondPrice,Vouchers,VoucherCount,Default,Disabled,TutorialPart,BuyBackCoinPrice,PartSortOrder,HiddenParts,ExcludeFromNormalStock
MarqueesBuntingRed,TID_MARQUEES_BUNTING_RED,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_bunting,RoofTint01,100,40,40,70,0,0,,,Voucher1,50,,,,,,,
,,,,,,FlagsTint01,100,100,100,80,80,50,,,Voucher2,30,,,,,,,
,,,,,,FlagsTint02,100,40,40,70,0,0,,,,,,,,,,,
,,,,,,RoofTint05,100,40,40,70,0,0,,,,,,,,,,,
MarqueesBuntingPink,TID_MARQUEES_BUNTING_PINK,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_bunting,RoofTint01,100,60,90,40,0,0,320000,,,,,,,,,,
,,,,,,FlagsTint01,100,70,100,70,0,0,,,,,,,,,,,
,,,,,,FlagsTint02,100,100,50,90,60,0,,,,,,,,,,,
,,,,,,RoofTint05,100,60,90,40,0,0,,,,,,,,,,,
MarqueesBuntingYellowBlue,TID_MARQUEES_BUNTING_YELLOWBLUE,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_bunting,RoofTint01,0,90,80,0,0,10,,15,,,,,,150000,,,
,,,,,,FlagsTint01,0,90,80,0,0,10,,,,,,,,,,,
,,,,,,FlagsTint02,100,80,0,100,90,0,,,,,,,,,,,
,,,,,,RoofTint05,0,90,80,0,0,10,,,,,,,,,,,
MarqueesBuntingBlue,TID_MARQUEES_BUNTING_BLUE,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_bunting,RoofTint01,50,70,70,0,10,70,450000,,,,,,,,,,
,,,,,,FlagsTint01,50,70,70,0,10,70,,,,,,,,,,,
,,,,,,FlagsTint02,80,80,80,0,80,100,,,,,,,,,,,
,,,,,,RoofTint05,50,70,70,0,10,70,,,,,,,,,,,
MarqueesBirthday,TID_CUSTOMIZATION_BIRTHDAY2021,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_original_birthday,,,,,,,,,10,,,,,,100000,Crates,Stick,TRUE
,,,,,,,,,,,,,,,,,,,,,Marquees,,
,,,,,,,,,,,,,,,,,,,,,Base,,
CratesBirthday,TID_CUSTOMIZATION_BIRTHDAY2021,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_birthday,,,,,,,,25000,,,,,,,,,,TRUE
BaseBirthday,TID_CUSTOMIZATION_BIRTHDAY2021,RoadsideShop,Base,sc/rss_skins.sc,rss_base_original_birthday,,,,,,,,,,Voucher1,10,,,,,,,TRUE
,,,,,,,,,,,,,,,Voucher2,10,,,,,,,
MarqueesFabricOrange,TID_CUSTOMIZATION_HALLOWEEN2021,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_fabric,RoofTint01,95,65,0,110,30,0,,10,,,,,,100000,Marquees,,TRUE
,,,,,,RoofTint02,80,50,0,45,0,0,,,,,,,,,Crates,Stick,
,,,,,,RoofTint03,95,65,0,85,25,0,,,,,,,,,Base,,
CratesHalloween21,TID_CUSTOMIZATION_HALLOWEEN2021,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_halloween21,,,,,,,,,,Voucher2,5,,,,,,,TRUE
,,,,,,,,,,,,,,,Voucher3,5,,,,,,,
BaseHalloween21,TID_CUSTOMIZATION_HALLOWEEN2021,RoadsideShop,Base,sc/rss_skins.sc,rss_base_halloween21,,,,,,,,10000,,,,,,,,,,TRUE
CratesBirthday22,TID_CUSTOMIZATION_BIRTHDAY2022,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_birthday22,,,,,,,,,,Voucher2,10,,,,,,,TRUE
BaseBirthday22,TID_CUSTOMIZATION_BIRTHDAY2022,RoadsideShop,Base,sc/rss_skins.sc,rss_base_birthday22,,,,,,,,,,Voucher1,10,,,,,,,TRUE
,,,,,,,,,,,,,,,Voucher3,5,,,,,,,
MarqueesBirthday22,TID_CUSTOMIZATION_BIRTHDAY2022,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_birthday22,,,,,,,,,15,,,,,,100000,Marquees,,TRUE
CratesHalloween22,TID_CUSTOMIZATION_HALLOWEEN2022,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_halloween22,,,,,,,,,,Voucher3,5,,,,,,,TRUE
BaseHalloween22,TID_CUSTOMIZATION_HALLOWEEN2022,RoadsideShop,Base,sc/rss_skins.sc,rss_base_halloween22,,,,,,,,75000,,,,,,,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,
MarqueesHalloween22,TID_CUSTOMIZATION_HALLOWEEN2022,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_halloween22,,,,,,,,,15,,,,,,150000,Marquees,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,
MarqueesXmas22,TID_CUSTOMIZATION_WINTER2022,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_xmas22,,,,,,,,,20,,,,,,100000,Marquees,,TRUE
CratesXmas22,TID_CUSTOMIZATION_WINTER2022,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_xmas22,,,,,,,,,,Voucher4,4,,,,,,,TRUE
,,,,,,,,,,,,,,,Voucher3,9,,,,,,,
BaseXmas22,TID_CUSTOMIZATION_WINTER2022,RoadsideShop,Base,sc/rss_skins.sc,rss_base_xmas22,,,,,,,,85000,,,,,,,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,
CratesBirthday23,TID_CUSTOMIZATION_BIRTHDAY2023,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_birthday23,,,,,,,,150000,,,,,,,,,,TRUE
BaseBirthday23,TID_CUSTOMIZATION_BIRTHDAY2023,RoadsideShop,Base,sc/rss_skins.sc,rss_base_birthday23,,,,,,,,,,Voucher3,10,,,,,,,TRUE
,,,,,,,,,,,,,,,Voucher2,15,,,,,,,
MarqueesBirthday23,TID_CUSTOMIZATION_BIRTHDAY2023,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_birthday23,,,,,,,,,25,,,,,,250000,Marquees,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,
MarqueesXmas23,TID_CUSTOMIZATION_WINTER2023,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_xmas23,,,,,,,,,20,,,,,,100000,Marquees,,TRUE
CratesXmas23,TID_CUSTOMIZATION_WINTER2023,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_xmas23,,,,,,,,,,Voucher4,4,,,,,,,TRUE
,,,,,,,,,,,,,,,Voucher3,9,,,,,,,
BaseXmas23,TID_CUSTOMIZATION_WINTER2023,RoadsideShop,Base,sc/rss_skins.sc,rss_base_xmas23,,,,,,,,85000,,,,,,,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,
MarqueesBirthday24,TID_CUSTOMIZATION_BIRTHDAY2024,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_birthday24,,,,,,,,,25,,,,,,45000,Marquees,,TRUE
CratesBirthday24,TID_CUSTOMIZATION_BIRTHDAY2024,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_birthday24,,,,,,,,40000,,,,,,,,,,TRUE
BaseBirthday24,TID_CUSTOMIZATION_BIRTHDAY2024,RoadsideShop,Base,sc/rss_skins.sc,rss_base_birthday24,,,,,,,,,,Voucher2,10,,,,,,,TRUE
,,,,,,,,,,,,,,,Voucher3,5,,,,,,,
MarqueesHalloween2024,TID_CUSTOMIZATION_HALLOWEEN_2024,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_halloween24,,,,,,,,35000,,,,,,,,,,TRUE
CratesHalloween2024,TID_CUSTOMIZATION_HALLOWEEN_2024,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_halloween24,,,,,,,,,20,,,,,,20000,,,TRUE
BaseHalloween2024,TID_CUSTOMIZATION_HALLOWEEN_2024,RoadsideShop,Base,sc/rss_skins.sc,rss_base_halloween24,,,,,,,,,,Voucher2,10,,,,,,,TRUE
,,,,,,,,,,,,,,,Voucher4,3,,,,,,,
MarqueesXmas2024,TID_CUSTOMIZATION_WINTER_2024,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_xmas24,,,,,,,,,,Voucher2,8,,,,,,,TRUE
,,,,,,,,,,,,,,,Voucher3,3,,,,,,,
CratesXmas2024,TID_CUSTOMIZATION_WINTER_2024,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_xmas24,,,,,,,,35000,,,,,,,,,,TRUE
BaseXmas2024,TID_CUSTOMIZATION_WINTER_2024,RoadsideShop,Base,sc/rss_skins.sc,rss_base_xmas24,,,,,,,,,20,,,,,,20000,,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,
MarqueesBirthday2025,TID_CUSTOMIZATION_BIRTHDAY_2025,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_birthday25,,,,,,,,35000,,,,,,,,,,TRUE
CratesBirthday2025,TID_CUSTOMIZATION_BIRTHDAY_2025,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_birthday25,,,,,,,,,20,,,,,,20000,,,TRUE
BaseBirthday2025,TID_CUSTOMIZATION_BIRTHDAY_2025,RoadsideShop,Base,sc/rss_skins.sc,rss_base_birthday25,,,,,,,,,,Voucher2,10,,,,,,,TRUE
,,,,,,,,,,,,,,,Voucher4,3,,,,,,,
