Level,ExpToNextLevel,GoodReward1,GoodAmount1,GoodReward2,GoodAmount2,GoodReward3,GoodAmount3,PaidGoodReward1,PaidGoodAmount1,PaidGoodReward2,PaidGoodAmount2,PaidGoodReward3,PaidGoodAmount3,ThresholdRewardSet1,ThresholdRewardSet2,ThresholdRewardSet3,ThresholdRewardSet4,ThresholdRewardSet5,MaxFields,MaxEvents,CaretakerStorageCapacity,MillerStorageCapacity,MaxCatAmount,MaxCatHouseAmount,MaxDogAmount,MaxDogHouseAmount,MaxHorseAmount,MaxPonyAmount,MaxHorseHouseAmount,MaxDonkeyAmount,MaxDonkeyHouseAmount,MaxBunnyAmount,MaxBunnyHouseAmount,MaxKittenAmount,MaxKittenHouseAmount,MaxPuppyAmount,MaxPuppyHouseAmount,MaxGuineaPigAmount,MaxGuineaPigHouseAmount,MaxBirdAmount,MaxBirdHouseAmount,MaxChickenHabitats,MaxCowHabitats,MaxSheepHabitats,MaxPigHabitats,MaxGoatHabitats,MaxHammermills,MaxSugarMills,MaxSmelters,MaxBeeHabitats,MaxSquirrelHabitats,MinGoodsInOrderDelivery,MaxGoodsInOrderDelivery,OrderCancelTimeMin,OrderSpeedUpPrice,BoatOrderSpeedUpPrice,MaxOrderCount,CashExpMultiplier,EventCounterClicks,OrderMinValue,OrderMaxValue,DiamondsToCoinsRate,DiamondsToCoinsRateV2,GuestOrderValue,MinCrateAmountInBoatOrder,MaxCrateAmountInBoatOrder,MinBoatOrderValue,MaxBoatOrderValue,MinGoodTypesInBoatOrder,MaxGoodTypesInBoatOrder,MinBoatStayTimeMinutes,MaxBoatStayTimeMinutes,BoatETAMinutes,BoatRewardMultiplier,SpecialOrderProbablity,SpecialOrderMaxCount,TruckCoinMultiplier,TruckEXPMultiplier,BoatCrateCoinMultiplier,BoatCrateEXPMultiplier,EXPEventCurrencyMultiplier
267,2544000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,212,848,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
268,2555000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,212,848,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
269,2566000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,213,852,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
270,2577000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,213,852,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
271,2588000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,214,856,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
272,2599000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,214,856,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
273,2610000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,215,860,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
274,2621000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,215,860,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
275,2632000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,216,864,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
276,2643000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,216,864,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
277,2654000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,217,868,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
278,2665000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,217,868,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
279,2676000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,218,872,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
280,2687000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,218,872,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
281,2698000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,219,876,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
282,2709000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,219,876,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
283,2720000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,220,880,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
284,2731000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,220,880,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
285,2742000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,221,884,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
286,2753000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,221,884,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
287,2764000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,222,888,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
288,2775000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,222,888,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
289,2786000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,223,892,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
290,2797000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,223,892,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
291,2808000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,224,896,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
292,2819000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,224,896,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
293,2830000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,225,900,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
294,2841000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,225,900,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,80,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
295,2852000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,226,904,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,80,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
296,2863000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,226,904,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,80,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
297,2874000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,227,908,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,80,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
298,2885000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,227,908,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,80,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
299,2896000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,228,912,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,80,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
300,2907000,FreeDiamonds,200,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,228,912,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,80,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
301,2918000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,229,916,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
302,2929000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,229,916,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
303,2940000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,230,920,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
304,2951000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,230,920,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
305,2962000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,231,924,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
306,2973000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,231,924,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
307,2984000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,232,928,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
308,2995000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,232,928,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
309,3006000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,233,932,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
310,3017000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,233,932,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
311,3028000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,234,936,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
312,3039000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,234,936,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
313,3050000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,235,940,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
314,3061000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,235,940,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
315,3072000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,236,944,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
316,3083000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,236,944,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
317,3094000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,237,948,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
318,3105000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,237,948,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
319,3116000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,238,952,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
320,3127000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,238,952,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
321,3138000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,239,956,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
322,3149000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,239,956,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
323,3160000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,240,960,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
324,3171000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,240,960,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
325,3182000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,241,964,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
326,3193000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,241,964,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
327,3204000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,242,968,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
328,3215000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,242,968,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
329,3226000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,243,972,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
330,3237000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,243,972,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
331,3248000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,244,976,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
332,3259000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,244,976,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
333,3270000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,245,980,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
334,3281000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,245,980,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
335,3292000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,246,984,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
336,3303000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,246,984,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
337,3314000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,247,988,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,80,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
338,3325000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,247,988,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,80,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
339,3336000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,248,992,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,80,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
