Name,TaskType,SubTaskType,TID,DescriptionTID,IconTooltipTID,ExportName,SubTaskIcon,MinRequiredQuantity,MaxRequiredQuantity,Deprecated,MinXPLevelForSpawn,SpawnProbabilityWeightLeague1,SpawnProbabilityWeightLeague2,SpawnProbabilityWeightLeague3,SpawnProbabilityWeightLeague4,SpawnProbabilityWeightLeague5,MinEventTimeMinLeftForSpawn,TaskParam1,TaskParam2,TaskParam3,MinRewardNeighborhoodPoints,MaxRewardNeighborhoodPoints,MinTaskDurationMin,MaxTaskDurationMin,CooldownIntervalSeconds,AdminCooldownIntervalSeconds,InstantCompleteCooldown,MinRepLevelForSpawn,TaskTags
,,FeedAnyAnimal,,TID_NEIGHBORHOOD_TASK_FEED_ANIMAL_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_FEEDANIMAL_TASK,,tool_feed_question,117,117,,,,,,,,,,,,,,,,,,,,
ComboTask_Angler_320,Combo,FishLureByWeight,TID_COMBO_TASKS_ANGLER_TITLE,TID_NEIGHBORHOOD_TASK_FISH_LURE_BY_WEIGHT_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_FISHING_TASK,icon_combo_task,nh_derby_task_fishing_order,60,60,,27,4,16,27,40,10,0,,,,320,320,0,0,1800,1800,5,,Combo;320;Regular;Blue Woolly Hat;Blackberry Muffin
,,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,14,14,,,,,,,,,Blue Woolly Hat,Loom,,,,,,,,,,
,,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,11,11,,,,,,,,,Blackberry Muffin,Bakery,,,,,,,,,,
ComboTask_Brunch_320,Combo,CollectGood,TID_COMBO_TASKS_BRUNCH_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,icon_combo_task,,9,9,,66,4,16,27,40,10,0,Baked Potato,Barbecue_Grill,,320,320,2100,2100,1800,1800,5,,Combo;320;Regular;Baked Potato;GreenSmoothie;Bacon and Eggs
,,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,8,8,,,,,,,,,GreenSmoothie,Smoothie_Mixer,,,,,,,,,,
,,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,12,12,,,,,,,,,Bacon and Eggs,Barbecue_Grill,,,,,,,,,,
ComboTask_Chilly_320,Combo,CollectGood,TID_COMBO_TASKS_CHILLY_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,icon_combo_task,,7,7,,47,4,16,27,40,10,0,Sweater,Loom,,320,320,2100,2100,1800,1800,5,,Combo;320;Regular;Sweater;Hot Chocolate;Pumpkin Pie
,,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,16,16,,,,,,,,,Hot Chocolate,Cafe_Kiosk,,,,,,,,,,
,,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,7,7,,,,,,,,,Pumpkin Pie,Pie_Oven,,,,,,,,,,
ComboTask_Sweets_320,Combo,HarvestCrop,TID_COMBO_TASKS_SWEETS_TITLE,TID_DERBY_TASK_HARVEST_STRAWBERRY_DESCRIPTION,,icon_combo_task,,150,150,,52,4,16,27,40,10,0,Strawberry,,,320,320,3600,3600,1800,1800,5,,Combo;320;Regular;Strawberry;Toffee;Vanilla Ice Cream
,,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,9,9,,,,,,,,,Toffee,Candy_Machine,,,,,,,,,,
,,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,7,7,,,,,,,,,Vanilla Ice Cream,Ice_Cream_Maker,,,,,,,,,,
ComboTask_Warm_320,Combo,CollectGood,TID_COMBO_TASKS_WARM_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,icon_combo_task,,7,7,,29,4,16,27,40,10,0,Vanilla Ice Cream,Ice_Cream_Maker,,320,320,2100,2100,1800,1800,5,,Combo;320;Regular;Vanilla Ice Cream;Berry Cake;Cotton Shirt
,,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,10,10,,,,,,,,,Berry Cake,Cake_Oven,,,,,,,,,,
,,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,11,11,,,,,,,,,Cotton Shirt,Sewing_Machine,,,,,,,,,,
ComboTask_Spa_320,Combo,CollectGood,TID_COMBO_TASKS_SPA_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,icon_combo_task,,9,9,,60,4,16,27,40,10,0,OliveOil,Sauce_Mixer,,320,320,2400,2400,1800,1800,5,,Combo;320;Regular;OliveOil;Goat Cheese;Strawberry Candle
,,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,9,9,,,,,,,,,Goat Cheese,Dairy,,,,,,,,,,
,,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,6,6,,,,,,,,,Strawberry Candle,Candle_Maker,,,,,,,,,,
ComboTask_Cornucopia_320,Combo,HarvestCrop,TID_COMBO_TASKS_CORNUCOPIA_TITLE,TID_DERBY_TASK_HARVEST_TOMATO_DESCRIPTION,,icon_combo_task,,151,151,,35,4,16,27,40,10,0,Tomato,,,320,320,3000,3000,1800,1800,5,,Combo;320;Regular;Tomato;Potato;Corn
,,HarvestCrop,,TID_DERBY_TASK_HARVEST_POTATO_DESCRIPTION,,,,155,155,,,,,,,,,Potato,,,,,,,,,,,
,,HarvestCrop,,TID_DERBY_TASK_HARVEST_CORN_DESCRIPTION,,,,251,251,,,,,,,,,Corn,,,,,,,,,,,
ComboTask_Tough_320,Combo,ExcavateOre,TID_COMBO_TASKS_TOUGH_TITLE,TID_NEIGHBORHOOD_TASK_EXCAVATE_ORE_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_EXCAVATEORE_TASK,icon_combo_task,nh_derby_task_mine_order,46,46,,70,4,16,27,40,10,0,,,,320,320,0,0,1800,1800,5,,Combo;320;Regular;Honey Toast;YogurtSmoothie
,,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,14,14,,,,,,,,,Honey Toast,Sandwich_Bar,,,,,,,,,,
,,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,7,7,,,,,,,,,YogurtSmoothie,Smoothie_Mixer,,,,,,,,,,
ComboTask_Townies_320,Combo,ServeTownVisitor,TID_COMBO_TASKS_TOWNIES_TITLE,TID_NEIGHBORHOOD_TASK_SERVE_SPECIFIC_TOWN_VISITOR_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_SPECIFIC_TOWNVISITOR_TASK,icon_combo_task,derby_task_icon_french_lady,5,5,,36,4,16,27,40,10,0,FrenchLady,,,320,320,0,0,1800,1800,5,,Combo;320;Regular;FrenchLady;Salesman;Grandpa
,,ServeTownVisitor,,TID_NEIGHBORHOOD_TASK_SERVE_SPECIFIC_TOWN_VISITOR_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_SPECIFIC_TOWNVISITOR_TASK,,derby_task_icon_salesman,5,5,,,,,,,,,Salesman,,,,,,,,,,,
,,ServeTownVisitor,,TID_NEIGHBORHOOD_TASK_SERVE_SPECIFIC_TOWN_VISITOR_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_SPECIFIC_TOWNVISITOR_TASK,,derby_task_icon_granpa,5,5,,,,,,,,,Grandpa,,,,,,,,,,,
ComboTask_Townies2_320,Combo,ServeTownVisitor,TID_COMBO_TASKS_TOWNIES_TITLE,TID_NEIGHBORHOOD_TASK_SERVE_SPECIFIC_TOWN_VISITOR_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_SPECIFIC_TOWNVISITOR_TASK,icon_combo_task,derby_task_icon_leyla,5,5,,36,4,16,27,40,10,0,Leyla,,,320,320,0,0,1800,1800,5,,Combo;320;Regular;Leyla;Mechanic;Teacher
,,ServeTownVisitor,,TID_NEIGHBORHOOD_TASK_SERVE_SPECIFIC_TOWN_VISITOR_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_SPECIFIC_TOWNVISITOR_TASK,,derby_task_icon_mechanic,5,5,,,,,,,,,Mechanic,,,,,,,,,,,
,,ServeTownVisitor,,TID_NEIGHBORHOOD_TASK_SERVE_SPECIFIC_TOWN_VISITOR_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_SPECIFIC_TOWNVISITOR_TASK,,derby_task_icon_teacher,5,5,,,,,,,,,Teacher,,,,,,,,,,,
ComboTask_Crafts_320,Combo,CollectAnimalProduct,TID_COMBO_TASKS_CRAFTS_TITLE,TID_DERBY_TASK_HARVEST_SHEEP_DESCRIPTION,,icon_combo_task,,40,40,,52,4,16,27,40,10,0,Wool,,,320,320,2700,2700,1800,1800,5,,Combo;320;Regular;Wool;Raspberry Candle;Pumpkin
,,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,7,7,,,,,,,,,Raspberry Candle,Candle_Maker,,,,,,,,,,
,,HarvestCrop,,TID_DERBY_TASK_HARVEST_PUMPKIN_DESCRIPTION,,,,157,157,,,,,,,,,Pumpkin,,,,,,,,,,,
ComboTask_Daytrip_320,Combo,FishLureByWeight,TID_COMBO_TASKS_DAYTRIP_TITLE,TID_NEIGHBORHOOD_TASK_FISH_LURE_BY_WEIGHT_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_FISHING_TASK,icon_combo_task,nh_derby_task_fishing_order,60,60,,75,4,16,27,40,10,0,,,,320,320,0,0,1800,1800,5,,Combo;320;Regular;Hot Dog
,,CarOrder,,TID_NEIGHBORHOOD_TASK_CAR_ORDER_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_CARORDERS_TASK,,nh_derby_task_car_order,16,16,,,,,,,,,,,,,,,,,,,,
,,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,15,15,,,,,,,,,Hot Dog,Hotdog_Stand,,,,,,,,,,
ComboTask_Market_320,Combo,HarvestCrop,TID_COMBO_TASKS_MARKET_TITLE,TID_DERBY_TASK_HARVEST_STRAWBERRY_DESCRIPTION,,icon_combo_task,,150,150,,50,4,16,27,40,10,0,Strawberry,,,320,320,0,0,1800,1800,5,,Combo;320;Regular;Strawberry;Goat Milk
,,CollectAnimalProduct,,TID_DERBY_TASK_HARVEST_GOAT_DESCRIPTION,,,,31,31,,,,,,,,,Goat Milk,,,,,,,,,,,
,,ServeTownVisitor,,TID_NEIGHBORHOOD_TASK_SERVE_TOWN_VISITOR_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_TOWNVISITOR_TASK,,nh_derby_task_town_order,13,13,,,,,,,,,,,,,,,,,,,,
ComboTask_Vegan_320,Combo,CollectGood,TID_COMBO_TASKS_VEGAN_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,icon_combo_task,,8,8,,76,4,16,27,40,10,0,Tofu Dog,Hotdog_Stand,,320,320,2100,2100,1800,1800,5,,Combo;320;Regular;Tofu Dog;Chili Popcorn;Tomato Juice
,,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,7,7,,,,,,,,,Chili Popcorn,Popcorn_Pot,,,,,,,,,,
,,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,9,9,,,,,,,,,Tomato Juice,Juice_Press,,,,,,,,,,
ComboTask_Muscles_320,Combo,ServeTownVisitor,TID_COMBO_TASKS_MUSCLES_TITLE,TID_NEIGHBORHOOD_TASK_SERVE_SPECIFIC_TOWN_VISITOR_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_SPECIFIC_TOWNVISITOR_TASK,icon_combo_task,derby_task_icon_strongman,5,5,,36,4,16,27,40,10,0,Strongman,,,320,320,0,0,1800,1800,5,,Combo;320;Regular;Strongman;Bacon and Eggs
,,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,12,12,,,,,,,,,Bacon and Eggs,Barbecue_Grill,,,,,,,,,,
,,ExcavateOre,,TID_NEIGHBORHOOD_TASK_EXCAVATE_ORE_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_EXCAVATEORE_TASK,,nh_derby_task_mine_order,46,46,,,,,,,,,,,,,,,,,,,,
CollectGoodEasyCookie,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,4,6,,18,2,8,4,2,0,0,Cookie,Bakery,,50,90,576,864,1800,1800,5,,Easy;CollectGood;Regular;Cookie
CollectGoodEasyRaspberry Muffin,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,4,6,,19,2,8,4,2,0,0,Raspberry Muffin,Bakery,,50,90,432,648,1800,1800,5,,Easy;CollectGood;Regular;Raspberry Muffin
CollectGoodEasyFrutti di Mare Pizza,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,5,7,,45,2,8,4,2,0,0,Frutti di Mare Pizza,Bakery,,50,90,180,252,1800,1800,5,,Easy;CollectGood;Regular;Frutti di Mare Pizza
CollectGoodEasyRoasted Tomatoes,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,3,4,,30,2,8,4,2,0,0,Roasted Tomatoes,Barbecue_Grill,,50,90,648,864,1800,1800,5,,Easy;CollectGood;Regular;Roasted Tomatoes
CollectGoodEasyFish and Chips,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,2,3,,41,2,8,4,2,0,0,Fish and Chips,Barbecue_Grill,,50,90,432,648,1800,1800,5,,Easy;CollectGood;Regular;Fish and Chips
CollectGoodEasyLobster Skewer,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,3,5,,48,2,8,4,2,0,0,Lobster Skewer,Barbecue_Grill,,50,90,288,480,1800,1800,5,,Easy;CollectGood;Regular;Lobster Skewer
CollectGoodEasyCarrot Pie,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,4,6,,18,2,8,4,2,0,0,Carrot Pie,Pie_Oven,,50,90,576,864,1800,1800,5,,Easy;CollectGood;Regular;Carrot Pie
CollectGoodEasyButter Popcorn,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,4,6,,18,2,8,4,2,0,0,Butter Popcorn,Popcorn_Pot,,50,90,576,864,1800,1800,5,,Easy;CollectGood;Regular;Butter Popcorn
CollectGoodEasyHoney Popcorn,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,3,4,,40,2,8,4,2,0,0,Honey Popcorn,Popcorn_Pot,,50,90,648,864,1800,1800,5,,Easy;CollectGood;Regular;Honey Popcorn
CollectGoodEasyHamburger,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,2,3,,18,2,8,4,2,0,0,Hamburger,Barbecue_Grill,,50,90,576,864,1800,1800,5,,Easy;CollectGood;Regular;Hamburger
CollectGoodEasyBananaBread,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,4,7,,91,2,8,4,2,0,0,BananaBread,Bakery,,50,90,288,504,1800,1800,5,,Easy;CollectGood;Regular;BananaBread
CollectGoodEasyGrilled Onion,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,4,6,,68,2,8,4,2,0,0,Grilled Onion,Barbecue_Grill,,50,90,576,864,1800,1800,5,,Easy;CollectGood;Regular;Grilled Onion
CollectGoodEasyBananaPancakes,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,2,4,,94,2,8,4,2,0,0,BananaPancakes,Barbecue_Grill,,50,90,288,576,1800,1800,5,,Easy;CollectGood;Regular;BananaPancakes
CollectGoodEasyGoat Cheese Toast,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,3,4,,92,2,8,4,2,0,0,Goat Cheese Toast,Sandwich_Bar,,50,90,360,480,1800,1800,5,,Easy;CollectGood;Regular;Goat Cheese Toast
CollectGoodEasyMixedSmoothie,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,4,6,,88,2,8,4,2,0,0,MixedSmoothie,Smoothie_Mixer,,50,90,288,432,1800,1800,5,,Easy;CollectGood;Regular;MixedSmoothie
CollectGoodEasyTaco,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,2,3,,77,2,8,4,2,0,0,Taco,Taco_Kitchen,,50,90,216,324,1800,1800,5,,Easy;CollectGood;Regular;Taco
CollectGoodEasyQuesadilla,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,3,5,,82,2,8,4,2,0,0,Quesadilla,Taco_Kitchen,,50,90,432,720,1800,1800,5,,Easy;CollectGood;Regular;Quesadilla
CollectGoodEasyMilk Tea,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,4,6,,81,2,8,4,2,0,0,Milk Tea,Tea_Stand,,50,90,432,648,1800,1800,5,,Easy;CollectGood;Regular;Milk Tea
CollectGoodEasyHoney Tea,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,4,6,,83,2,8,4,2,0,0,Honey Tea,Tea_Stand,,50,90,384,576,1800,1800,5,,Easy;CollectGood;Regular;Honey Tea
CollectGoodEasyOrange Tea,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,3,5,,89,2,8,4,2,0,0,Orange Tea,Tea_Stand,,50,90,288,480,1800,1800,5,,Easy;CollectGood;Regular;Orange Tea
CollectGoodMediumCookie,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,11,14,,18,2,7,6,5,0,0,Cookie,Bakery,,120,190,1254,1596,1800,1800,5,,Medium;CollectGood;Regular;Cookie
CollectGoodMediumRaspberry Muffin,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,11,14,,19,2,7,6,5,0,0,Raspberry Muffin,Bakery,,120,190,941,1197,1800,1800,5,,Medium;CollectGood;Regular;Raspberry Muffin
CollectGoodMediumFrutti di Mare Pizza,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,12,16,,45,2,7,6,5,0,0,Frutti di Mare Pizza,Bakery,,120,190,342,456,1800,1800,5,,Medium;CollectGood;Regular;Frutti di Mare Pizza
CollectGoodMediumRoasted Tomatoes,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,7,9,,30,2,7,6,5,0,0,Roasted Tomatoes,Barbecue_Grill,,120,190,1197,1539,1800,1800,5,,Medium;CollectGood;Regular;Roasted Tomatoes
CollectGoodMediumFish and Chips,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,5,7,,41,2,7,6,5,0,0,Fish and Chips,Barbecue_Grill,,120,190,855,1197,1800,1800,5,,Medium;CollectGood;Regular;Fish and Chips
CollectGoodMediumLobster Skewer,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,8,10,,48,2,7,6,5,0,0,Lobster Skewer,Barbecue_Grill,,120,190,608,760,1800,1800,5,,Medium;CollectGood;Regular;Lobster Skewer
CollectGoodMediumCarrot Pie,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,11,14,,18,2,7,6,5,0,0,Carrot Pie,Pie_Oven,,120,190,1254,1596,1800,1800,5,,Medium;CollectGood;Regular;Carrot Pie
CollectGoodMediumButter Popcorn,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,11,14,,18,2,7,6,5,0,0,Butter Popcorn,Popcorn_Pot,,120,190,1254,1596,1800,1800,5,,Medium;CollectGood;Regular;Butter Popcorn
CollectGoodMediumHoney Popcorn,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,7,9,,40,2,7,6,5,0,0,Honey Popcorn,Popcorn_Pot,,120,190,1197,1539,1800,1800,5,,Medium;CollectGood;Regular;Honey Popcorn
CollectGoodMediumHamburger,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,5,7,,18,2,7,6,5,0,0,Hamburger,Barbecue_Grill,,120,190,1140,1596,1800,1800,5,,Medium;CollectGood;Regular;Hamburger
CollectGoodMediumBananaBread,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,11,14,,91,2,7,6,5,0,0,BananaBread,Bakery,,120,190,627,798,1800,1800,5,,Medium;CollectGood;Regular;BananaBread
CollectGoodMediumGrilled Onion,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,10,13,,68,2,7,6,5,0,0,Grilled Onion,Barbecue_Grill,,120,190,1140,1482,1800,1800,5,,Medium;CollectGood;Regular;Grilled Onion
CollectGoodMediumBananaPancakes,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,6,8,,94,2,7,6,5,0,0,BananaPancakes,Barbecue_Grill,,120,190,684,912,1800,1800,5,,Medium;CollectGood;Regular;BananaPancakes
CollectGoodMediumGoat Cheese Toast,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,7,9,,92,2,7,6,5,0,0,Goat Cheese Toast,Sandwich_Bar,,120,190,665,855,1800,1800,5,,Medium;CollectGood;Regular;Goat Cheese Toast
CollectGoodMediumMixedSmoothie,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,9,12,,88,2,7,6,5,0,0,MixedSmoothie,Smoothie_Mixer,,120,190,513,684,1800,1800,5,,Medium;CollectGood;Regular;MixedSmoothie
CollectGoodMediumTaco,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,5,7,,77,2,7,6,5,0,0,Taco,Taco_Kitchen,,120,190,428,599,1800,1800,5,,Medium;CollectGood;Regular;Taco
CollectGoodMediumQuesadilla,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,8,11,,82,2,7,6,5,0,0,Quesadilla,Taco_Kitchen,,120,190,912,1254,1800,1800,5,,Medium;CollectGood;Regular;Quesadilla
CollectGoodMediumMilk Tea,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,10,13,,81,2,7,6,5,0,0,Milk Tea,Tea_Stand,,120,190,855,1112,1800,1800,5,,Medium;CollectGood;Regular;Milk Tea
CollectGoodMediumHoney Tea,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,9,12,,83,2,7,6,5,0,0,Honey Tea,Tea_Stand,,120,190,684,912,1800,1800,5,,Medium;CollectGood;Regular;Honey Tea
CollectGoodMediumOrange Tea,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,8,10,,89,2,7,6,5,0,0,Orange Tea,Tea_Stand,,120,190,608,760,1800,1800,5,,Medium;CollectGood;Regular;Orange Tea
CollectGoodHardCookie,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,17,25,,18,2,11,15,20,6,0,Cookie,Bakery,,235,320,1836,2700,1800,1800,5,,Hard;CollectGood;Regular;Cookie
CollectGoodHardRaspberry Muffin,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,17,25,,19,2,11,15,20,6,0,Raspberry Muffin,Bakery,,235,320,1377,2025,1800,1800,5,,Hard;CollectGood;Regular;Raspberry Muffin
