TID,FR
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_TOO_MANY_INVITES,Échec de l'invitation : vous avez envoyé trop d'invitations.
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_AVATAR_BANNED,Échec de l'invitation : le joueur a récemment été exclu de votre voisinage.
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_GENERIC,Échec de l'invitation.
TID_STREAM_EVENT_REPORTED,a été signalé(e)
TID_NEIGHBORHOOD_JOIN_FAILED_TEXT_REQUEST_ALREADY_SENT,Vous avez déjà demandé à rejoindre ce voisinage.
TID_NEIGHBORHOOD_ACCEPTED_BY,Accepté par <name>
TID_NEIGHBORHOOD_REJECTED_BY,Refusé par <name>
TID_STREAM_EVENT_BANNED_FROM_CHAT,est exclu(e) du chat pendant <TIME> suite à des signalements pour comportement inapproprié.
TID_PLAYER_SUPPORT_KNOWLEDGE_BASE,Aide supplémentaire
TID_FAQ_APPBANK_BUTTON,AppBank
TID_ABOUT_CREDITS,Crédits
TID_ABOUT_TERMS_OF_SERVICE,Conditions d'utilisation
TID_ABOUT_PRIVACY_POLICY,Confidentialité
TID_ABOUT_FACEBOOK,Obtenez les dernières nouvelles ! Suivez Hay Day sur Facebook !
TID_ABOUT_TWITTER,Suivez Hay Day sur X (anciennement Twitter) ! Tweetez @hayday
TID_ABOUT_INSTAGRAM,Retrouvez Hay Day sur Instragram ! #aMOOzing
TID_ABOUT_WEIBO,Suivez Hay Day sur Weibo !
TID_CREDITS_TITLE,Crédits
TID_NEIGHBORHOOD_BAR_INFO,Vous trouverez ici vos amis de voisinage.
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_NO_NEIGHBORHOOD_NO_RIGHTS,Vous devez faire partie d'un voisinage et pouvoir inviter !
TID_CONFIRM_POPUP_KICK_PLAYER_TITLE,Exclure le joueur
TID_CONFIRM_POPUP_KICK_PLAYER_TEXT,Voulez-vous vraiment exclure <NAME> de votre voisinage ?
TID_CONFIRM_POPUP_KICK_PLAYER_BUTTON_CONFIRM,Confirmer
TID_CONFIRM_POPUP_KICK_PLAYER_BUTTON_CANCEL,Annuler
TID_CONFIRM_POPUP_LEAVE_NEIGHBORHOOD_TITLE,Quitter le voisinage
TID_CONFIRM_POPUP_LEAVE_NEIGHBORHOOD_TEXT,Quitter le voisinage <NAME> ? Vous devrez attendre la semaine prochaine pour participer au derby !
TID_CONFIRM_POPUP_LEAVE_NEIGHBORHOOD_BUTTON_CONFIRM,Confirmer
TID_CONFIRM_POPUP_LEAVE_NEIGHBORHOOD_BUTTON_CANCEL,Annuler
TID_CONFIRM_POPUP_PROMOTE_LEADER_TITLE,Promouvoir au rôle de chef
TID_CONFIRM_POPUP_PROMOTE_LEADER_TEXT,Voulez-vous vraiment promouvoir <NAME> au rôle de chef ? Vous deviendrez chef adjoint !
TID_CONFIRM_POPUP_PROMOTE_LEADER_BUTTON_CONFIRM,Confirmer
TID_CONFIRM_POPUP_PROMOTE_LEADER_BUTTON_CANCEL,Annuler
TID_TOP_NEIGHBORHOODS,Meilleurs voisinages
TID_FISH_104,Perche du Nil
TID_FISH_104_DESCRIPTION,"Non, ce n'est pas ce bon vieil Angus que vous avez sorti de l'eau, c'est un poisson aussi gros que lui !"
TID_FISH_104_DESCRIPTION_MOBILE,"Non, ce n'est pas ce bon vieil Angus que vous avez sorti de l'eau, c'est un poisson aussi gros que lui !"
TID_FISH_105,Poisson-chat rouge
TID_FISH_105_DESCRIPTION,Ce superbe gros poisson a énormément d'appétit. Vous risquez d'y laisser un ou deux appâts !
TID_FISH_105_DESCRIPTION_MOBILE,Ce superbe gros poisson a énormément d'appétit. Vous risquez d'y laisser un ou deux appâts !
TID_FISH_70,Poisson-chat blanc
TID_FISH_70_DESCRIPTION,"Ce poisson-chat est un papa dévoué, qui se dépense sans compter pour ses petits."
TID_FISH_70_DESCRIPTION_MOBILE,"Ce poisson-chat est un papa dévoué, qui se dépense sans compter pour ses petits."
TID_FISH_71,Poisson-chat commun
TID_FISH_71_DESCRIPTION,"Ce noctambule adore faire la grasse matinée. Si vous le réveillez, il ne se lèvera pas du bon pied !"
TID_FISH_71_DESCRIPTION_MOBILE,"Ce noctambule adore faire la grasse matinée. Si vous le réveillez, il ne se lèvera pas du bon pied !"
TID_FISH_72,Poisson rouge
TID_FISH_72_DESCRIPTION,"Parmi les admirateurs de la beauté du poisson rouge, on compte même les empereurs de la Chine antique !"
TID_FISH_72_DESCRIPTION_MOBILE,"Parmi les admirateurs de la beauté du poisson rouge, on compte même les empereurs de la Chine antique !"
TID_FISH_73,Saumon rouge
TID_FISH_73_DESCRIPTION,"Fou de sport, ce poisson est toujours prêt à remonter la rivière pour faire la course."
TID_FISH_73_DESCRIPTION_MOBILE,"Fou de sport, ce poisson est toujours prêt à remonter la rivière pour faire la course."
TID_LEMON_TREE_FB_HELP_TEXT,Mon citronnier a besoin d'être arrosé. Tu peux m'aider ?
TID_PRODUCT_LEMON,Citron
TID_PRODUCT_LEMON_DESCRIPTION,À récolter sur un citronnier
TID_TREE_LEMONTREE,Citronnier
TID_TREE_LEMONTREE_DESCRIPTION,Fruits à cueillir trois fois
TID_PRODUCT_LEMON_CURD,Crème de citron
TID_PRODUCT_LEMON_PIE,Tarte au citron
TID_PRODUCT_LEMON_CAKE,Gâteau au citron
TID_NEIGHBORHOOD_NAME_TOO_SHORT,Nom trop court
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_AVATAR_LEVEL_TOO_LOW,Niveau du joueur insuffisant pour l'inviter !
TID_TUTORIAL_NEIGHBORHOOD_REPAIR,"Tiens, tiens, qu'est-ce que c'est que ça ? Réparez votre maison de voisinage pour discuter et jouer avec vos meilleurs amis."
TID_TUTORIAL_NEIGHBORHOOD_CREATEJOIN,Super ! Votre maison est réparée ! Il ne vous reste plus qu'à créer ou rejoindre un voisinage pour jouer et discuter avec vos amis !
TID_TUTORIAL_NEIGHBORHOOD_CHAT,"Félicitations, vous faites partie d'un voisinage ! N'hésitez pas à discuter avec ses membres ! Parlez de blé, de maïs, de bacon et d'œufs, mais ne leur manquez pas de respect ! (Vous pouvez cacher le panneau de chat via les paramètres avancés.)"
TID_TUTORIAL_NEIGHBORHOOD_INVITE,"Envie de jouer avec un ami ? À partir de maintenant, c'est possible ! Invitez vos proches à rejoindre votre voisinage en appuyant sur le bouton ci-dessus !"
TID_ADVANCED_EVENT_TITLE_VALENTINES,Week-end de la Saint-Valentin
TID_ADVANCED_EVENT_TEXT_VALENTINES,"Pour dire \qJe t'aime\q, rien de plus romantique qu'un cookie fait maison ! Contribuez le plus possible avant l'expiration du délai ! Atteignez vos objectifs personnels pour gagner des récompenses. Votre résultat sera ajouté à l'objectif général de la communauté. Si vous remplissez l'objectif général avec les fermiers du monde entier, vous serez tous récompensés."
TID_ADVANCED_EVENT_NOTIFICATION_VALENTINES,Participez à l'événement de la Saint-Valentin pour de magnifiques récompenses !
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_HEADER_VALENTINES,Événement général
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_VALENTINES,"Bonjour <NAME> ! La ville croule sous les cookies préparés par des fermiers du monde entier. Merci à tous d'avoir participé à cet événement général. Ensemble, nous avons réussi ! Voici une récompense pour vous remercier !"
TID_ADVANCED_EVENT_SUCCESS_TITLE_VALENTINES,L'amour est dans le pré !
TID_ADVANCED_EVENT_SUCCESS_TEXT_VALENTINES,"Merci, amis fermiers ! Notre communauté a un cœur gros comme ça et a rendu cette Saint-Valentin inoubliable."
TID_NONE,0
TID_NEWSPAPER_YOUTUBE_AD_WHILE_YOU_ARE_AWAY_TEXT,Touchez pour regarder !
TID_NEWSPAPER_YOUTUBE_AD_WHILE_YOU_ARE_AWAY_BUBBLE_TEXT,Merci pour votre attention.
TID_STREAM_CHAT_DESCRIPTION,Rejoignez un voisinage pour discuter avec ses membres !
TID_TUTORIAL_NEIGHBORHOOD_CREATEJOIN_BUBBLE,Ne restez pas dans votre coin ! Rejoignez ou créez un voisinage !
TID_TUTORIAL_NEIGHBORHOOD_CHAT_BUBBLE,Rendez visite à vos amis pour les inviter à rejoindre votre voisinage !
TID_TUTORIAL_NEIGHBORHOOD_INVITE_BUBBLE,Touchez le bouton d'invitation ci-dessus pour inviter cet ami !
TID_TUTORIAL_DIAMOND_CONFIMATION_CHANGE,Le fonctionnement de la confirmation des dépenses de diamants a été revu et finalisé. Il vous suffit d'appuyer deux fois pour confirmer. Cette option peut être désactivée via les paramètres avancés.
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_NOT_FRIEND,Vous ne pouvez inviter que vos amis du jeu !
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_NOT_FRIEND_ANDROID,Vous ne pouvez inviter que vos amis du jeu !
TID_INBOX_INVITATION_TITLE,Invitation
TID_INBOX_INVITATION,Vous avez reçu une invitation à rejoindre ce voisinage de la part de <SENDER>
TID_INBOX_YOU_WHERE_KICKED_TITLE,Exclusion
TID_INBOX_YOU_WHERE_KICKED,<SENDER> a décidé de vous exclure du voisinage
TID_INBOX_JOIN_REQUEST_ACCEPTED_TITLE,Acceptée
TID_INBOX_JOIN_REQUEST_ACCEPTED,<SENDER> a accepté votre demande.
TID_INBOX_JOIN_REQUEST_DENIED_TITLE,Refusée
TID_INBOX_JOIN_REQUEST_DENIED,<SENDER> a rejeté votre demande.
TID_NEIGHBORHOOD_CHAT,Chat
TID_CONFIRM_POPUP_LEAVE_NEIGHBORHOOD_DELAY_TEXT,Quitter le voisinage <NAME> ? Vous ne pourrez en rejoindre un autre qu'après <TIME> et vous devrez attendre la semaine prochaine pour participer au derby !
TID_DECO_VALENTINES_CUPID,Statue de Cupidon
TID_DECO_VALENTINES_CUPID_DESCRIPTION,Décoration unique de la Saint-Valentin
TID_NEIGHBORHOOD_JOIN_FAILED_TEXT_AVATAR_JOIN_NOT_ALLOWED_UNTIL,Vous pourrez rejoindre un autre voisinage dans <TIME>.
TID_NEIGHBORHOOD_JOIN_REQUEST_SENT_OK,Demande envoyée
TID_NEIGHBORHOOD_JOIN_FAILED_BUILDING_NOT_REPAIRED,Vous devez d'abord réparer votre maison de voisinage !
TID_NEIGHBORHOOD_INBOX_STREAM_DISABLED,"Vous n'avez pas encore reçu de message ou d'invitation. Vous trouverez ici les invitations envoyées par vos amis, ainsi que les réponses à vos demandes pour rejoindre un voisinage."
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_TITLE,Mise à jour du jeu
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_MESSAGE,Nous procédons à une mise à jour de Hay Day dans l'App Store. Votre ferme sera bientôt prête. Revenez dans un petit instant !
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_BUTTON,OK
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_MESSAGE_ANDROID,Nous procédons à une mise à jour de Hay Day dans Google Play Store. Votre ferme sera bientôt prête. Revenez dans un petit instant !
TID_CANNOT_VISIT_INFO_TITLE,Visite impossible
TID_CANNOT_VISIT_INFO_TEXT,Les visites ne sont pas disponibles pour l'instant. Merci de réessayer plus tard !
TID_CANNOT_VISIT_INFO_BUTTON,OK
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_LONG,"Désolé, nos serveurs sont en cours de maintenance. Merci de réessayer dans quelques heures."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_TWO_HOURS,"Désolé, nos serveurs sont en cours de maintenance. Merci de réessayer dans deux heures environ."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR_AND_HALF,"Désolé, nos serveurs sont en cours de maintenance. Merci de réessayer dans une heure trente environ."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR,"Désolé, nos serveurs sont en cours de maintenance. Merci de réessayer dans une heure environ."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_MINUTES,"Désolé, nos serveurs sont en cours de maintenance. Merci de réessayer dans <value> minutes environ."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_SOON,"Désolé, nos serveurs sont en cours de maintenance. Merci de réessayer dans quelques minutes."
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_NOT_FOLLOWER,Vous ne pouvez inviter que vos abonnés !
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_NOT_FRIEND_NOR_FOLLOWER,"Vous ne pouvez inviter que vos abonnés, amis Supercell ID et Game Center !"
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_NOT_FRIEND_NOR_FOLLOWER_ANDROID,Vous ne pouvez inviter que vos abonnés et amis Supercell ID !
TID_CONFIRM_POPUP_LEAVE_NEIGHBORHOOD_LAST_MEMBER_TEXT,"Quitter le voisinage <NAME> ? Comme vous êtes son dernier membre, il sera dissous, et vous devrez attendre la semaine prochaine pour participer au derby !"
TID_CONFIRM_POPUP_LEAVE_NEIGHBORHOOD_DELAY_LAST_MEMBER_TEXT,"Quitter le voisinage <NAME> ? Vous devrez patienter <TIME> pour en rejoindre un autre. Vous êtes également son dernier membre, il sera donc dissous !"
TID_FENCE_08,Sentier doré
TID_FENCE_09,Sentier de galets
TID_FENCE_10,Sentier pavé
TID_FENCE_11,Sentier de terre
TID_FENCE_ROSES_RED,Massif de roses rouges
TID_FENCE_ROSES_WHITE,Massif de roses blanches
TID_FENCE_ROSES_ORANGE,Massif de roses orange
TID_FENCE_ROSES_PINK,Massif de roses roses
TID_FENCE_ROSES_YELLOW,Massif de roses jaunes
TID_DECO_BALLOON_COW,Ballon vache
TID_DECO_BALLOON_CHICKEN,Ballon poule
TID_DECO_ROSEARCH,Arche de roses
TID_DECO_GENERIC_DESCRIPTION,Pour décorer votre ferme
TID_SMOOTHIEMIXER,Mixeur de smoothies
TID_SMOOTHIEMIXER_DESCRIPTION,Pour préparer des smoothies
TID_PRODUCT_GREENSMOOTHIE,Smoothie vert
TID_PRODUCT_BERRYSMOOTHIE,Smoothie aux baies
TID_PRODUCT_YOGURTSMOOTHIE,Smoothie au yaourt
TID_SMOOTHIEMIXER_PRODUCT_DESCRIPTION,Produit du mixeur de smoothies
TID_DONKEY3,Âne andalou
TID_TLO_SPECIAL_OFFER_DESCRIPTION,Une super réduction spéciale pour vous
TID_ADVANCED_EVENT_TITLE_EASTER,Week-end de Pâques
TID_EVENT_PAMFLET_EASTER,L'événement de Pâques a commencé !
TID_ADVANCED_EVENT_TEXT_EASTER,"Pour fêter l'arrivée des lapins de Pâques, les villageois ont décidé d'organiser un gigantesque festival de gâteaux à la carotte ! Contribuez le plus possible avant l'expiration du délai ! Atteignez vos objectifs personnels pour gagner des récompenses. Votre résultat sera ajouté à l'objectif général de la communauté. Si vous remplissez l'objectif général avec les fermiers du monde entier, vous serez tous récompensés."
TID_ADVANCED_EVENT_NOTIFICATION_EASTER,Participez à l'événement de Pâques pour de magnifiques récompenses !
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_EASTER,"Bonjour <NAME> ! La ville croule sous les gâteaux à la carotte préparés par des fermiers du monde entier. Ce week-end de Pâques restera longtemps dans les mémoires ! Merci à tous d'avoir participé à cet événement général. Ensemble, nous avons réussi ! Voici une récompense pour vous remercier !"
TID_ADVANCED_EVENT_SUCCESS_TITLE_EASTER,"Merci, amis fermiers !"
TID_ADVANCED_EVENT_SUCCESS_TEXT_EASTER,"Ensemble, les membres de notre communauté ont préparé une quantité incroyable de gâteaux à la carotte pour fêter Pâques en beauté !"
TID_DECO_EASTERBASKET_DESC,Décoration de Pâques
TID_DECO_EASTERBASKET,Panier de Pâques
TID_BUNNY1,Lapin blanc
TID_BUNNY_DESCRIPTION,À nourrir pour obtenir des points
TID_BUNNY_HOUSE,Lapinière
TID_BUNNY_HOUSE_DESCRIPTION,Abri pour <CAPACITY> lapins
TID_ACHIEVEMENT_EXPAND_TRAIN,Développement urbain
TID_ACHIEVEMENT_EXPAND_TRAIN_DESCRIPTION,Étendre votre ville <NUMBER> fois
TID_ACHIEVEMENT_SERVICE_BUILDINGS,À votre service
TID_ACHIEVEMENT_SERVICE_BUILDINGS_DESCRIPTION,Construire <NUMBER> bâtiments de service
TID_ACHIEVEMENT_VISITORS,Satisfaction garantie
TID_ACHIEVEMENT_VISITORS_DESCRIPTION,Servir <NUMBER> visiteurs dans votre ville
TID_EXPANSION_TITLE_TRAIN_AREA,Extension de la ville
TID_FLOATER_BUILDING_MAX_RANK,Votre <PARAM> est au niveau maximum !
TID_FLOATER_EXPANSION_CONNECTION_TRAIN_AREA,Le terrain doit être rattaché à la ville
TID_FLOATER_MINE_FULL,Récupérez vos minerais pour continuer à utiliser la mine.
TID_FLOATER_NEIGHBORHOOD_EVENT_BOARD_UNLOCKS,Participation aux événements de voisinage disponible au niveau <LEVEL>
TID_FLOATER_TRAIN_COMING_SOON,Ville disponible au niveau <LEVEL>
TID_FLOATER_VISIT_TRAIN_UNREPAIRED,Ce train doit être réparé par son propriétaire.
TID_KICK_PASSENGER_FROM_SERVICE_BUILDING_TOOLTIP_DESCRIPTION,Quitter la ville. Ce visiteur partira par le prochain train.
TID_NOTIFICATION_NPC_TRAIN_ARRIVES,Le train express est arrivé !
TID_NOTIFICATIONS_SETTINGS_HEADLINE_TOWN,Notifications pour la ville :
TID_NOTIFICATIONS_SETTINGS_NPC_TRAIN_ARRIVES,Notifications pour le train express
TID_PASSENGER_CLETUS,gars du coin
TID_PASSENGER_FRENCH_LADY,dame de bonne famille
TID_PASSENGER_GO_TO_SERVICE_BUILDING,"<PARAM>, me voilà !"
TID_PASSENGER_GO_TO_TRAIN,Je rentre chez moi. Dommage que vos amis n'aient pas pu m'aider.
TID_PASSENGER_GRANDPA,grand maître
TID_PASSENGER_GREETING1,Salut ! Votre ville a l'air chouette.\nVous me faites visiter ?
TID_PASSENGER_GREETING2,Bonjour ! Quelle jolie ville !\nVous pouvez me faire visiter ?
TID_PASSENGER_GREETING3,Bonjour ! Comment est le service dans votre ville ? J'ai quelques courses à faire.
TID_PASSENGER_GREETING4,Salut ! J'ai beaucoup entendu parler de votre ville.
TID_PASSENGER_GREETING5,Bien le bonjour ! J'aimerais goûter aux spécialités du coin. Pouvez-vous me dire où aller ?
TID_PASSENGER_LEYLA,danseuse
TID_PASSENGER_MECHANIC,mécanicien
TID_PASSENGER_ON_TRAIN_CROSSING,Juste une seconde ! Il faut d'abord que je traverse la voie !
TID_PASSENGER_PICK_UP_ARRIVED_TO_MY_FARM,Youpi ! On est arrivé !
TID_PASSENGER_PICK_UP_TO_MY_FARM,Merci ! Je me ferai un plaisir de vous rendre visite !
TID_PASSENGER_REWARD_GREETING1,Voici un cadeau pour votre accueil chaleureux.
TID_PASSENGER_REWARD_GREETING2,"J'ai apprécié les services que vous m'avez fournis, voici un cadeau."
TID_PASSENGER_REWARD_GREETING3,Les services que vous m'avez proposés étaient excellents ! Voilà pour vous remercier.
TID_PASSENGER_REWARD_GREETING4,"Mille mercis pour votre hospitalité ! Tenez, prenez ce petit cadeau."
TID_PASSENGER_REWARD_GREETING5,J'adore cette ville ! Voici un cadeau pour vous.
TID_PASSENGER_SALESMAN,représentant de commerce
TID_PASSENGER_SEND_AWAY_WARNING_ALREADY_VISITED,"Vraiment ? J'ai déjà rendu visite à l'un de vos voisins, alors je partirai à bord du train express."
TID_PASSENGER_SEND_AWAY_WARNING_NOT_IN_NEIGHBORHOOD,Vraiment ? Je partirai à bord du train express.
TID_PASSENGER_SEND_AWAY_WARNING_PICKUP_BY_NEIGHBOR,Vraiment ? Je retournerai sur le quai pour aller chez l'un de vos voisins ou pour reprendre le train express.
TID_PASSENGER_SERVICE_BUILDING_FULL,On dirait qu'il n'y a plus de place dans votre <BUILDING> ! Vous pourriez peut-être y ajouter des emplacements en l'améliorant ?
TID_PASSENGER_STRONGMAN,hercule de fête foraine
TID_PASSENGER_TEACHER,enseignante
TID_PASSENGER_WAITING_TRAIN,Merci pour tout ! J'attends juste le train.
TID_PASSENGER_WALKING_TO_NEIGHBORHOOD_PICKUP,Peut-être que l'un de vos voisins viendra me chercher ?
TID_PASSENGER_WALKING_TO_TRAIN,Merci pour votre aide ! À bientôt j'espère !
TID_PERSONAL_TRAIN,Train personnel
TID_PERSONAL_TRAIN_CAPACITY,Capacité du train personnel : <CAPACITY>
TID_PERSONAL_TRAIN_COMING_SOON,Train personnel disponible au niveau <LEVEL> de réputation
TID_PERSONAL_TRAIN_INFO,Rendez visite aux membres de votre voisinage pour recueillir des visiteurs sur le quai de leur gare. Chaque visiteur peut se rendre dans deux villes avant de reprendre le train express.
TID_PERSONAL_TRAIN_IS_ON_COOLDOWN,Le train est en maintenance
TID_PERSONAL_TRAIN_NEIGHBORHOOD_TRAIN_FRIENDS,Membres du voisinage ayant des visiteurs à recueillir :
TID_PERSONAL_TRAIN_TITLE,{size=17}Train personnel (niveau <RANK>)
TID_PERSONAL_TRAIN_TOOLTIP,"Actuellement, votre train personnel peut accueillir <CAPACITY> visiteur(s) et nécessite une maintenance de <TIME>."
TID_PERSONAL_TRAIN_UPGRADE,Améliorer
TID_PERSONAL_TRAIN_UPGRADE_DESCRIPTION_CAPACITY,Faire passer la capacité à <CAPACITY>
TID_PERSONAL_TRAIN_UPGRADE_DESCRIPTION_COOLDOWN_INTERVAL,Réduire la durée de maintenance à <TIME>
TID_PERSONAL_TRAIN_UPGRADE_REPUTATION_REQUIRED_TEXT,Une réputation de niveau <REPUTATION LEVEL> est nécessaire pour cette amélioration.
TID_PERSONAL_TRAIN_UPGRADE_TITLE,{size=17}Améliorer le train personnel
TID_PERSONAL_TRAIN_UPGRADE_TREE_HUD_CAPACITY_TOOLTIP,"Actuellement, votre train personnel peut recueillir <AMOUNT> visiteur(s) dans les villes des membres de votre voisinage."
TID_PERSONAL_TRAIN_UPGRADE_TREE_HUD_TIME_TOOLTIP,La maintenance de votre train personnel dure actuellement <AMOUNT>.
TID_PERSONAL_TRAIN_UPGRADE_TREE_HUD_TITLE,{size=17}Améliorer le train personnel
TID_PERSONAL_TRAIN_UPGRADE_TREE_HUD_UPGRADE_TEXT,Choisissez d'améliorer la capacité du train ou de réduire sa durée de maintenance :
TID_REPAIR_PERSONAL_TRAIN_TEXT,Réparez votre train personnel pour vous rendre dans les villes de votre voisinage et pour recueillir certains de leurs visiteurs.
TID_REPAIR_PERSONAL_TRAIN_TITLE,Réparer le train personnel ?
TID_REPAIR_PERSONAL_TRAIN_YES,Commencer les réparations
TID_REPAIR_TRAIN_TEXT,Réparez le quai pour accéder à votre ville et la reconstruire. De nouvelles aventures vous attendent !
TID_REPAIR_TRAIN_TITLE,Réparer le quai ?
TID_REPAIR_TRAIN_YES,Commencer les réparations
TID_REPUTATION_HEART_TOOLTIP,Servez vos visiteurs pour gagner des points de réputation.
TID_REPUTATION_LEVEL_UP_TEXT,Vous pouvez maintenant améliorer tous les bâtiments de la ville au niveau <LEVEL_NUMBER> !
TID_REPUTATION_LEVEL_UP_TITLE,FÉLICITATIONS !
TID_REPUTATION_UNLOCK_TOOLTIP,Disponible au niveau <LEVEL> de réputation
TID_SEND_TO_NEIGHBORHOOD_PLATFORM_FOR_PICKUP_TOOLTIP_DESCRIPTION,Envoyer <PASSENGER> se faire recueillir par un membre du voisinage.
TID_SEND_TO_SERVICE_BUILDING_TOOLTIP_DESCRIPTION,Dirigez <PASSENGER> vers votre <BUILDING>.\n\nPlaces disponibles : <COUNT>
TID_SEND_TO_TRAIN_TOOLTIP_DESCRIPTION,Dirigez <PASSENGER> vers votre <BUILDING>.
TID_SERVICE_BUILDING_NOT_YET_CONSTRUCTED,Vous n'avez pas encore construit votre <BUILDING>.
TID_SERVICE_BUILDING_UPGRADE_DESCRIPTION_COINS,Améliorer pour obtenir <BONUS> % de pièces en plus
TID_SERVICE_BUILDING_UPGRADE_DESCRIPTION_EXP_AND_REP,Améliorer pour obtenir <BONUS> % d'expérience et de réputation en plus
TID_SERVICE_BUILDING_UPGRADE_DESCRIPTION_SLOTS,Améliorer pour ajouter <BONUS> emplacement de visiteur
TID_SERVICE_BUILDING_UPGRADE_DESCRIPTION_TIME,Améliorer pour accélérer le délai de service de <BONUS> %
TID_SERVICE_BUILDING_UPGRADE_REPUTATION_REQUIRED_TEXT,Une réputation de niveau <REPUTATION LEVEL> est nécessaire pour cette amélioration.
TID_SERVICE_BUILDING_UPGRADE_TITLE,Améliorer votre <BUILDING>
TID_SERVICE_BUILDING_UPGRADE_TREE_HUD_CASH_TOOLTIP,Votre <BUILDING> permet actuellement d'obtenir <AMOUNT> % de pièces en plus par visiteur.
TID_SERVICE_BUILDING_UPGRADE_TREE_HUD_EXP_REP_TOOLTIP,Votre <BUILDING> permet actuellement d'obtenir <AMOUNT> % d'expérience et de réputation en plus par visiteur.
TID_SERVICE_BUILDING_UPGRADE_TREE_HUD_SLOT_TOOLTIP,Votre <BUILDING> a actuellement <AMOUNT> emplacement(s) de visiteur.
TID_SERVICE_BUILDING_UPGRADE_TREE_HUD_TIME_TOOLTIP,Votre <BUILDING> a actuellement des délais de service <AMOUNT> % plus rapides.
TID_SERVICE_BUILDING_UPGRADE_TREE_HUD_TITLE,{size=17}<SERVICE BUILDING> (niveau <LEVEL>)
TID_SERVICE_BUILDING_UPGRADE_TREE_HUD_UPGRADE_TEXT,"Choisissez d'améliorer la capacité, les paiements en or, l'expérience / réputation obtenue ou les délais de service :"
TID_SERVICE_BUILDINGS_NONE_ON_MAP,"Une épicerie, ça serait bien utile !"
TID_SERVICE_CANCELED,"Je me suis fait renvoyer de votre <BUILDING>, je n'y retournerai pas."
TID_SERVICE_COMPLETED,Je ne veux pas retourner dans votre <BUILDING>.
TID_TOWN_HALL_COMING_SOON,Hôtel de ville disponible au niveau <LEVEL> de réputation
TID_TOWN_HALL_PASSENGER_MANIFEST,Visiteurs dans votre ville :
TID_TOWN_HALL_PASSENGER_STATE_ARRIVED,Vient d'arriver
TID_TOWN_HALL_PASSENGER_STATE_BOARD_TRAIN,Monte dans le train
TID_TOWN_HALL_PASSENGER_STATE_BOARDED_TRAIN,À bord du train
TID_TOWN_HALL_PASSENGER_STATE_HAS_NH_PICKUP,À destination d'une ville voisine
TID_TOWN_HALL_PASSENGER_STATE_IDLE,Traîne en ville
TID_TOWN_HALL_PASSENGER_STATE_SERVICE,Service en cours (<TIME>)
TID_TOWN_HALL_PASSENGER_STATE_SERVICE_HAPPY,Achats terminés dans votre <BUILDING>
TID_TOWN_HALL_PASSENGER_STATE_WAIT_FOR_BOARD_TRAIN,Attend un train
TID_TOWN_HALL_PASSENGER_STATE_WAITING_FOR_SERVICE,Patiente dans votre <BUILDING>
TID_TOWN_HALL_PASSENGER_STATE_WALK_TO_RANDOM,Traîne en ville
TID_TOWN_HALL_PASSENGER_STATE_WALK_TO_SERVICE_BUILDING,En route vers votre <BUILDING>
TID_TOWN_HALL_PASSENGER_STATE_WALK_TO_TRAIN,En route vers le quai
TID_TOWN_HALL_REPUTATION,Niveau de réputation :
TID_TOWN_HALL_TITLE,Hôtel de ville (niveau <RANK>)
TID_TOWN_HALL_UPGRADE,Améliorer
TID_TOWN_HALL_UPGRADE_DESCRIPTION,Capacité de la ville +<VILLAGE CAPACITY>
TID_TOWN_HALL_UPGRADE_REPUTATION_REQUIRED_TEXT,Une réputation de niveau <REPUTATION LEVEL> est nécessaire pour améliorer l'hôtel de ville.
TID_TOWN_HALL_UPGRADE_TITLE,Améliorer l'hôtel de ville
TID_TOWN_HALL_VISITOR_CAPACITY,Nombre de visiteurs :
TID_TOWN_HALL_VISITOR_ICON_TOOLTIP,Nombre actuel et nombre maximum de visiteurs présents dans votre ville.
