TID,CH
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_NOT_FRIEND_ANDROID,您只能邀请自己的游戏好友！
TID_INBOX_INVITATION_TITLE,邀请
TID_INBOX_INVITATION,<SENDER>邀请您加入该社区
TID_INBOX_YOU_WHERE_KICKED_TITLE,被踢出
TID_INBOX_YOU_WHERE_KICKED,您被<SENDER>踢出了该社区
TID_INBOX_JOIN_REQUEST_ACCEPTED_TITLE,已接受
TID_INBOX_JOIN_REQUEST_ACCEPTED,您的加入请求已被<SENDER>接受
TID_INBOX_JOIN_REQUEST_DENIED_TITLE,已拒绝
TID_INBOX_JOIN_REQUEST_DENIED,您的加入请求被<SENDER>拒绝了
TID_NEIGHBORHOOD_CHAT,聊天
TID_CONFIRM_POPUP_LEAVE_NEIGHBORHOOD_DELAY_TEXT,要退出名为<NAME>的社区吗？您必须等待<TIME>才能加入另一社区！而且在下周之前，您都不能参加德比竞赛了！
TID_DECO_VALENTINES_CUPID,丘比特雕像
TID_DECO_VALENTINES_CUPID_DESCRIPTION,独特的情人节装饰
TID_NEIGHBORHOOD_JOIN_FAILED_TEXT_AVATAR_JOIN_NOT_ALLOWED_UNTIL,您可以在<TIME>后再次加入另一个社区。
TID_NEIGHBORHOOD_JOIN_REQUEST_SENT_OK,请求已发送
TID_NEIGHBORHOOD_JOIN_FAILED_BUILDING_NOT_REPAIRED,您必须首先修理您的社区活动中心！
TID_NEIGHBORHOOD_INBOX_STREAM_DISABLED,您尚未收到消息或邀请。您可以在这里查看好友发送给您的社区邀请，以及对您加入请求的答复。
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_TITLE,正在更新至新版本
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_MESSAGE,我们正在将卡通农场（Hay Day）更新至iOS App Store中的最新版本。您的农场将很快就绪，请稍后再回来查看！
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_BUTTON,确定
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_MESSAGE_ANDROID,我们正在将卡通农场（Hay Day）更新至Google Play Store中的最新版本。您的农场将很快就绪，请稍后再回来查看！
TID_CANNOT_VISIT_INFO_TITLE,无法访问
TID_CANNOT_VISIT_INFO_TEXT,当前无法访问，请稍后重试！
TID_CANNOT_VISIT_INFO_BUTTON,确定
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_LONG,抱歉，服务器正在维护，请几小时后重试。
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_TWO_HOURS,抱歉，服务器正在维护，请过一会重试。
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR_AND_HALF,抱歉，服务器正在维护，请一个半小时后重试。
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR,抱歉，服务器正在维护，请一小时后重试。
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_MINUTES,抱歉，服务器正在维护，请<value>分钟后重试。
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_SOON,抱歉，服务器正在维护。请几分钟后重试。
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_NOT_FOLLOWER,您只能邀请自己的粉丝！
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_NOT_FRIEND_NOR_FOLLOWER,您只能邀请自己的粉丝、Supercell ID好友和Game Center好友！
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_NOT_FRIEND_NOR_FOLLOWER_ANDROID,您只能邀请自己的粉丝或者Supercell ID好友！
TID_CONFIRM_POPUP_LEAVE_NEIGHBORHOOD_LAST_MEMBER_TEXT,要退出名叫<NAME>的社区吗？您是最后一个成员，退出后社区将被解散。而且在下周之前，您都不能参加德比竞赛了！
TID_CONFIRM_POPUP_LEAVE_NEIGHBORHOOD_DELAY_LAST_MEMBER_TEXT,要退出名叫<NAME>的社区吗？您必须等待<TIME>才能加入其他社区！而且，您是最后一个成员，退出后社区将被解散！
TID_FENCE_08,金色小路
TID_FENCE_09,砂砾路
TID_FENCE_10,青石小路
TID_FENCE_11,清幽小路
TID_FENCE_ROSES_RED,红玫瑰篱笆
TID_FENCE_ROSES_WHITE,白玫瑰篱笆
TID_FENCE_ROSES_ORANGE,橘玫瑰篱笆
TID_FENCE_ROSES_PINK,粉玫瑰篱笆
TID_FENCE_ROSES_YELLOW,黄玫瑰篱笆
TID_DECO_BALLOON_COW,奶牛气球
TID_DECO_BALLOON_CHICKEN,小鸡气球
TID_DECO_ROSEARCH,玫瑰拱门
TID_DECO_GENERIC_DESCRIPTION,装饰您的农场
TID_SMOOTHIEMIXER,沙冰机
TID_SMOOTHIEMIXER_DESCRIPTION,制作沙冰
TID_PRODUCT_GREENSMOOTHIE,绿沙冰
TID_PRODUCT_BERRYSMOOTHIE,浆果沙冰
TID_PRODUCT_YOGURTSMOOTHIE,酸奶沙冰
TID_SMOOTHIEMIXER_PRODUCT_DESCRIPTION,在沙冰机中制作
TID_DONKEY3,安达卢西亚毛驴
TID_TLO_SPECIAL_OFFER_DESCRIPTION,您有一个特别的折扣！
TID_ADVANCED_EVENT_TITLE_EASTER,复活节周末
TID_EVENT_PAMFLET_EASTER,复活节活动开始了！
TID_ADVANCED_EVENT_TEXT_EASTER,小镇正在举办一场盛大的胡萝卜蛋糕节来庆贺复活节兔子季。在截止日期前，尽可能贡献产品吧！达成个人目标，您将获得丰厚奖励。您提交的产品将被计算到所有农场主提交的产品总数中。现在就和其他农场主一起完成全服活动目标，赢取丰厚奖励吧！
TID_ADVANCED_EVENT_NOTIFICATION_EASTER,来看看全新的复活节活动，有丰厚的回报喔！
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_EASTER,<NAME>，您好！各地的农场主为我们的小镇提供了充裕的美味胡萝卜蛋糕。这是有史以来最盛大的复活节！谢谢大家参与本次全服活动！我们通力合作，并获得了成功！请接受这份奖励，感谢您的贡献！
TID_ADVANCED_EVENT_SUCCESS_TITLE_EASTER,谢谢大家！
TID_ADVANCED_EVENT_SUCCESS_TEXT_EASTER,大家共同努力，制作了数量惊人的胡萝卜蛋糕，让这个复活节终生难忘。
TID_DECO_EASTERBASKET_DESC,复活节装饰
TID_DECO_EASTERBASKET,复活节篮子
TID_BUNNY1,小白兔
TID_BUNNY_DESCRIPTION,喂食以获取经验值
TID_BUNNY_HOUSE,兔舍
TID_BUNNY_HOUSE_DESCRIPTION,可饲养<CAPACITY>只兔子
TID_ACHIEVEMENT_EXPAND_TRAIN,小镇开拓者
TID_ACHIEVEMENT_EXPAND_TRAIN_DESCRIPTION,将小镇扩建<NUMBER>次
TID_ACHIEVEMENT_SERVICE_BUILDINGS,服务明星
TID_ACHIEVEMENT_SERVICE_BUILDINGS_DESCRIPTION,建造<NUMBER>座服务设施
TID_ACHIEVEMENT_VISITORS,快乐游客
TID_ACHIEVEMENT_VISITORS_DESCRIPTION,为<NUMBER>位小镇游客提供服务
TID_EXPANSION_TITLE_TRAIN_AREA,扩建您的小镇
TID_FLOATER_BUILDING_MAX_RANK,<PARAM>已升到最高等级！
TID_FLOATER_EXPANSION_CONNECTION_TRAIN_AREA,土地需要与小镇相连
TID_FLOATER_MINE_FULL,收集矿石以继续采矿
TID_FLOATER_NEIGHBORHOOD_EVENT_BOARD_UNLOCKS,您达到<LEVEL>级以后就能参与社区活动
TID_FLOATER_TRAIN_COMING_SOON,小镇将在<LEVEL>级解锁
TID_FLOATER_VISIT_TRAIN_UNREPAIRED,这辆列车需要其拥有者对它进行修理
TID_KICK_PASSENGER_FROM_SERVICE_BUILDING_TOOLTIP_DESCRIPTION,离开小镇。下趟列车会接走游客。
TID_NOTIFICATION_NPC_TRAIN_ARRIVES,幸运彩蛋号特快列车已经到达！
TID_NOTIFICATIONS_SETTINGS_HEADLINE_TOWN,小镇通知：
TID_NOTIFICATIONS_SETTINGS_NPC_TRAIN_ARRIVES,幸运彩蛋号特快列车通知
TID_PASSENGER_CLETUS,原住民
TID_PASSENGER_FRENCH_LADY,女士
TID_PASSENGER_GO_TO_SERVICE_BUILDING,<PARAM>，我来啦！
TID_PASSENGER_GO_TO_TRAIN,现在要回家了。抱歉您的好友没能帮上忙。
TID_PASSENGER_GRANDPA,武学大师
TID_PASSENGER_GREETING1,您好啊！我很喜欢你的小镇，可以带我参观一下吗？
TID_PASSENGER_GREETING2,嗨！你的小镇很美，能带我参观一下吗？
TID_PASSENGER_GREETING3,嗨！我很好奇你的小镇有什么服务？能帮我做几件事吗？
TID_PASSENGER_GREETING4,嘿！我听过不少关于你小镇的好评。
TID_PASSENGER_GREETING5,嗨！我想尝尝当地美食，你能带我转转吗？
TID_PASSENGER_LEYLA,舞者
TID_PASSENGER_MECHANIC,技师
TID_PASSENGER_ON_TRAIN_CROSSING,等一下！我得先跨过轨道！
TID_PASSENGER_PICK_UP_ARRIVED_TO_MY_FARM,啊哈！我们到啦！
TID_PASSENGER_PICK_UP_TO_MY_FARM,谢谢！我会来拜访的！
TID_PASSENGER_REWARD_GREETING1,这是一份礼物，感谢您的款待。
TID_PASSENGER_REWARD_GREETING2,我很满意各项服务，这是给您的一份礼物。
TID_PASSENGER_REWARD_GREETING3,感谢您提供的一流服务！这是给您的额外礼物。
TID_PASSENGER_REWARD_GREETING4,十分感谢您的盛情款待！这是给您的一份小礼物。
TID_PASSENGER_REWARD_GREETING5,这是我见过最好的小镇！这是给您准备的小礼物。
TID_PASSENGER_SALESMAN,售货员
TID_PASSENGER_SEND_AWAY_WARNING_ALREADY_VISITED,您确定吗？我已经游览了您的一位邻居的小镇，并将乘坐幸运彩蛋号特快列车离开。
TID_PASSENGER_SEND_AWAY_WARNING_NOT_IN_NEIGHBORHOOD,您确定吗？我将乘坐幸运彩蛋号特快列车离开。
TID_PASSENGER_SEND_AWAY_WARNING_PICKUP_BY_NEIGHBOR,您确定吗？我就要去月台，等待您的邻居或者幸运彩蛋号特快列车把我接走。
TID_PASSENGER_SERVICE_BUILDING_FULL,看来<BUILDING>已经满员了！也许您可以通过升级来增加一些位置？
TID_PASSENGER_STRONGMAN,健美先生
TID_PASSENGER_TEACHER,老师
TID_PASSENGER_WAITING_TRAIN,感谢为我做的一切！我现在只是在等火车。
TID_PASSENGER_WALKING_TO_NEIGHBORHOOD_PICKUP,也许您的社区好友会把我接走？
TID_PASSENGER_WALKING_TO_TRAIN,感谢您提供的所有服务！希望能再次见到您！
TID_PERSONAL_TRAIN,私家专列
TID_PERSONAL_TRAIN_CAPACITY,私家专列容量：<CAPACITY>
TID_PERSONAL_TRAIN_COMING_SOON,私家专列在声誉等级达到<LEVEL>级时解锁
TID_PERSONAL_TRAIN_INFO,拜访您的社区好友，在他们的月台接取游客。每位游客在乘坐幸运彩蛋号特快列车回家前能够游览两个小镇。
TID_PERSONAL_TRAIN_IS_ON_COOLDOWN,列车正在维护保养中
TID_PERSONAL_TRAIN_NEIGHBORHOOD_TRAIN_FRIENDS,您可以到下列社区好友的小镇接取游客：
TID_PERSONAL_TRAIN_TITLE,私家专列（<RANK>级）
TID_PERSONAL_TRAIN_TOOLTIP,私家专列当前能够容纳<CAPACITY>名游客，每次维护时间为<TIME>。
TID_PERSONAL_TRAIN_UPGRADE,升级
TID_PERSONAL_TRAIN_UPGRADE_DESCRIPTION_CAPACITY,将容量增加至<CAPACITY>
TID_PERSONAL_TRAIN_UPGRADE_DESCRIPTION_COOLDOWN_INTERVAL,将维护时间缩短至<TIME>
TID_PERSONAL_TRAIN_UPGRADE_REPUTATION_REQUIRED_TEXT,要升级，您的声誉等级必须先达到<REPUTATION LEVEL>级。
TID_PERSONAL_TRAIN_UPGRADE_TITLE,升级私家专列
TID_PERSONAL_TRAIN_UPGRADE_TREE_HUD_CAPACITY_TOOLTIP,私家专列现在能够从您社区好友的小镇接取<AMOUNT>位游客。
TID_PERSONAL_TRAIN_UPGRADE_TREE_HUD_TIME_TOOLTIP,私家专列当前所需维护时间为<AMOUNT>。
TID_PERSONAL_TRAIN_UPGRADE_TREE_HUD_TITLE,升级私家专列
TID_PERSONAL_TRAIN_UPGRADE_TREE_HUD_UPGRADE_TEXT,选择增加游客接取数量或缩短维护时间：
TID_REPAIR_PERSONAL_TRAIN_TEXT,修理私家专列可以拜访您社区好友的小镇，接取要离开的游客。
TID_REPAIR_PERSONAL_TRAIN_TITLE,要修理私家专列吗？
TID_REPAIR_PERSONAL_TRAIN_YES,开始修理
TID_REPAIR_TRAIN_TEXT,修理月台，进入您的小镇开始全新经营。新的冒险在等待着您！
TID_REPAIR_TRAIN_TITLE,要修理月台吗？
TID_REPAIR_TRAIN_YES,开始修理
TID_REPUTATION_HEART_TOOLTIP,为游客提供服务以赢得声誉。
TID_REPUTATION_LEVEL_UP_TEXT,您现在可以将所有小镇建筑升级到<LEVEL_NUMBER>级！
TID_REPUTATION_LEVEL_UP_TITLE,恭喜！
TID_REPUTATION_UNLOCK_TOOLTIP,在声誉等级达到<LEVEL>级时解锁
TID_SEND_TO_NEIGHBORHOOD_PLATFORM_FOR_PICKUP_TOOLTIP_DESCRIPTION,将<PASSENGER>送去给社区好友接取。
TID_SEND_TO_SERVICE_BUILDING_TOOLTIP_DESCRIPTION,将<PASSENGER>送到<BUILDING>。\n\n空位：<COUNT>
TID_SEND_TO_TRAIN_TOOLTIP_DESCRIPTION,将<PASSENGER>送到<BUILDING>。
TID_SERVICE_BUILDING_NOT_YET_CONSTRUCTED,您还没有建造<BUILDING>。
TID_SERVICE_BUILDING_UPGRADE_DESCRIPTION_COINS,升级建筑以额外获得<BONUS>%的金币
TID_SERVICE_BUILDING_UPGRADE_DESCRIPTION_EXP_AND_REP,升级建筑以额外获得<BONUS>%的经验值与声誉值
TID_SERVICE_BUILDING_UPGRADE_DESCRIPTION_SLOTS,升级建筑以增加<BONUS>个游客位置
TID_SERVICE_BUILDING_UPGRADE_DESCRIPTION_TIME,升级建筑以将服务速度提升<BONUS>%
TID_SERVICE_BUILDING_UPGRADE_REPUTATION_REQUIRED_TEXT,要升级，您的声誉等级必须先达到<REPUTATION LEVEL>级。
TID_SERVICE_BUILDING_UPGRADE_TITLE,升级<BUILDING>
TID_SERVICE_BUILDING_UPGRADE_TREE_HUD_CASH_TOOLTIP,当前在<BUILDING>中服务游客可额外获得<AMOUNT>%的金币。
TID_SERVICE_BUILDING_UPGRADE_TREE_HUD_EXP_REP_TOOLTIP,当前在<BUILDING>中服务游客可额外获得<AMOUNT>%的经验值和声誉值。
TID_SERVICE_BUILDING_UPGRADE_TREE_HUD_SLOT_TOOLTIP,当前<BUILDING>拥有<AMOUNT>个游客位置。
TID_SERVICE_BUILDING_UPGRADE_TREE_HUD_TIME_TOOLTIP,当前在<BUILDING>中服务游客可缩短<AMOUNT>%的服务时间。
TID_SERVICE_BUILDING_UPGRADE_TREE_HUD_TITLE,<SERVICE BUILDING>（<LEVEL>级）
TID_SERVICE_BUILDING_UPGRADE_TREE_HUD_UPGRADE_TEXT,选择升级容量、金币、经验/声誉或服务时间：
TID_SERVICE_BUILDINGS_NONE_ON_MAP,超市是个不错的主意！
TID_SERVICE_CANCELED,我被人从<BUILDING>赶了出来，不想再去那里了。
TID_SERVICE_COMPLETED,我不想再去<BUILDING>了 。
TID_TOWN_HALL_COMING_SOON,市政厅在声誉等级达到<LEVEL>级时解锁
TID_TOWN_HALL_PASSENGER_MANIFEST,小镇中的游客：
TID_TOWN_HALL_PASSENGER_STATE_ARRIVED,已到达
TID_TOWN_HALL_PASSENGER_STATE_BOARD_TRAIN,正在上车
TID_TOWN_HALL_PASSENGER_STATE_BOARDED_TRAIN,已经上车
TID_TOWN_HALL_PASSENGER_STATE_HAS_NH_PICKUP,被好友接走了
TID_TOWN_HALL_PASSENGER_STATE_IDLE,空闲
TID_TOWN_HALL_PASSENGER_STATE_SERVICE,服务时间<TIME>
TID_TOWN_HALL_PASSENGER_STATE_SERVICE_HAPPY,已在<BUILDING>享受完服务
TID_TOWN_HALL_PASSENGER_STATE_WAIT_FOR_BOARD_TRAIN,等待列车
TID_TOWN_HALL_PASSENGER_STATE_WAITING_FOR_SERVICE,在<BUILDING>等候
TID_TOWN_HALL_PASSENGER_STATE_WALK_TO_RANDOM,空闲
TID_TOWN_HALL_PASSENGER_STATE_WALK_TO_SERVICE_BUILDING,去<BUILDING>
TID_TOWN_HALL_PASSENGER_STATE_WALK_TO_TRAIN,去月台
TID_TOWN_HALL_REPUTATION,声誉等级：
TID_TOWN_HALL_TITLE,市政厅（<RANK>级）
TID_TOWN_HALL_UPGRADE,升级
TID_TOWN_HALL_UPGRADE_DESCRIPTION,小镇接待能力+<VILLAGE CAPACITY>
TID_TOWN_HALL_UPGRADE_REPUTATION_REQUIRED_TEXT,要升级市政厅，声誉等级至少需要达到<REPUTATION LEVEL>级。
TID_TOWN_HALL_UPGRADE_TITLE,升级市政厅
TID_TOWN_HALL_VISITOR_CAPACITY,可容纳游客量：
TID_TOWN_HALL_VISITOR_ICON_TOOLTIP,小镇当前游客数量与最大游客接待能力。
TID_TRAIN,月台和铁轨
TID_TRAIN_BEACHCAFE,海滩咖啡馆
TID_TRAIN_BEACHCAFE_DESC,提供时尚且有趣的餐饮
TID_TRAIN_BEDANDBREAKFAST,酒店
TID_TRAIN_BEDANDBREAKFAST_DESC,提供美味的早餐和舒适的床位
TID_TRAIN_DINER,餐厅
TID_TRAIN_DINER_DESC,提供全国最好的派
TID_TRAIN_GROCERYSTORE,超市
TID_TRAIN_GROCERYSTORE_DESC,提供新鲜的有机食品
TID_TRAIN_ITEM_BRICKS,砖块
TID_TRAIN_ITEM_BRICKS_DESC,用来升级小镇建筑
TID_TRAIN_ITEM_HAMMER,锤子
TID_TRAIN_ITEM_HAMMER_DESC,用来升级小镇建筑
TID_TRAIN_ITEM_HAND_DRILL,手工钻
TID_TRAIN_ITEM_HAND_DRILL_DESC,用来升级小镇建筑
TID_TRAIN_ITEM_MAP_PIECE,地图
TID_TRAIN_ITEM_MAP_PIECE_DESC,用来扩大小镇范围
TID_TRAIN_ITEM_PAINT_BUCKET,油漆桶
TID_TRAIN_ITEM_PAINT_BUCKET_DESC,用来升级小镇建筑
TID_TRAIN_ITEM_STONES,石块
TID_TRAIN_ITEM_STONES_DESC,用来升级小镇建筑
TID_TRAIN_ITEM_TAR_BUCKET,柏油桶
TID_TRAIN_ITEM_TAR_BUCKET_DESC,用来升级小镇建筑
TID_TRAIN_MOVIETHEATER,影院
TID_TRAIN_MOVIETHEATER_DESC,提供美味点心和欢乐时光
TID_TRAIN_NEIGHBORHOOD_PLATFORM,社区月台
TID_TRAIN_PICK_UP_FROM_FRIEND_TOOLTIP_DESCRIPTION,用我的私家专列接取<PASSENGER>。
TID_TRAIN_SPA,水疗会所
TID_TRAIN_SPA_DESC,提供营养丰富，利于健康的产品
TID_TRAIN_STATE_ARRIVING,幸运彩蛋号特快列车即将到站
TID_TRAIN_STATE_AWAY,下趟幸运彩蛋号特快列车到达还需：<TIME>
TID_TRAIN_STATE_LEAVING,幸运彩蛋号特快列车正离开您的小镇
TID_TRAIN_STATE_STOPPED,幸运彩蛋号特快列车到达小镇
TID_TRAIN_STATION_GET_TRAIN_NOW,让列车现在就到达
TID_TRAIN_STATION_IMAGE_TOOLTIP,列车每<TIME>来一趟，会带来<MAX CAPACITY>位游客。升级火车站可以获得更多游客。
TID_TRAIN_STATION_PICKUP_SLOT_NONE_AVAILABLE,升级社区火车站以解锁更多月台！
TID_TRAIN_STATION_TITLE,火车站（<LEVEL>级）
TID_TRAIN_STATION_UPGRADE,升级
TID_TRAIN_STATION_UPGRADE_DESCRIPTION,当前列车容量：<OLD MAX CAPACITY>\n\n升级至： <NEW MAX CAPACITY>
TID_TRAIN_STATION_UPGRADE_REPUTATION_REQUIRED_TEXT,要升级，您的声誉等级必须先达到<REPUTATION LEVEL>级。
TID_TRAIN_STATION_UPGRADE_TITLE,升级车站
TID_TRAIN_STATION_VISITOR_AMOUNT,下趟列车中的游客： <AMOUNT>
TID_TRAIN_STATION_VISITOR_AMOUNT_VILLAGE_CAPACITY_FULL,您的小镇还能接待<AMOUNT>位游客！
TID_TRAIN_TOWNHALL,市政厅
TID_TRAIN_TOWNHALL_DESC,升级以增加小镇接待能力
TID_TRAIN_TRAINSTATION,送走
TID_TYPE_TRAIN_STATION_PASSENGER_ALREADY_PICKED,抱歉，已经有人接走了这位游客！
TID_VISITOR_PICK_UP_PASSENGER_MANIFEST,在月台候车的游客：
TID_VISITOR_PICK_UP_PERSONAL_TRAIN_CAPACITY,私家专列容量：
TID_VISITOR_PICK_UP_PERSONAL_TRAIN_FULL_DESCRIPTION,私家专列满员了！请升级您的私家专列以增加座位数。
TID_VISITOR_PICK_UP_PERSONAL_TRAIN_IS_ON_COOLDOWN,列车正在维护中！可使用钻石加速！
TID_VISITOR_PICK_UP_TITLE,私家专列
TID_VISITOR_PICK_UP_PERSONAL_TRAIN_UNREPAIRED,要从社区好友的小镇接取要离开的游客，需要首先修理自己的私家专列。
TID_ISSUE_TYPE_TELEPHONE_HELP,电话帮助（仅限韩语）
TID_TELEPHONE_HELP_TITLE,电话帮助标题（仅限韩语）
TID_TELEPHONE_HELP_TEXT,电话帮助内容（仅限韩语）
TID_TELEPHONE_HELP_OK,电话帮助完成（仅限韩语）
TID_TOWN_ROAD_01,石灰岩路
TID_TOWN_ROAD_02,石子路
TID_TOWN_HALL_PASSENGER_STATE_GOING_HOME,回家
TID_NAME_AND_TITLE_FORMAT,<NAME> <TITLE>
TID_TOWN_ROAD_03,鹅卵石路
TID_TUTORIAL_93_DRASINE_UNLOCKED,市长对您在农场中的工作印象深刻！他想给您看些东西。
TID_TUTORIAL_93A_DRASINE_UNLOCKED,修理月台，让我们看看这些轨道会带我们去哪儿。
TID_TUTORIAL_94_DRASINE_FIXED,太棒了！看看那辆崭新的手摇车。看起来和您叔叔的那台一模一样。现在点击手摇车，看看它会带我们去哪儿！
TID_TUTORIAL_95_TRAIN_AREA_WELCOME,哇哦！这是您叔叔曾经与市长一起工作过的小镇。在他退休之后就没人管理了。你应该重建它！
TID_TUTORIAL_96A_PAINT_TRAIN_STATION,卷起袖子开始工作吧！就从修理火车站开始！
TID_TUTORIAL_97A_TAP_FIRST_VISITOR,这是您的第一批游客！太让人兴奋了。点击一位游客看看他需要什么。
TID_TUTORIAL_98A_PLACE_GROCERY,太棒了！请从左下方商店中找到超市并拖放到小镇上！
TID_TUTORIAL_99_GROCERY_STORE_BUILT,很好！现在超市已经建成，让我们来为游客提供服务吧！
TID_COAL_ORE,煤炭
TID_IRON_ORE,铁矿石
TID_COAL_ORE_DESCRIPTION,从矿场收集
TID_IRON_ORE_DESCRIPTION,从矿场收集
TID_COAL_BAR,精炼煤炭
TID_IRON_BAR,铁锭
TID_IRONBRACELET,铁手镯
TID_VISITOR_PICK_UP_SELECTED,已选取
TID_TUTORIAL_100A_SEND_TO_GROCERY,点击一位游客并将其送至超市！
TID_TUTORIAL_SERVICE_BUILDING_TITLE,服务游客
TID_TUTORIAL_101A_SERVICE_VISITOR,点击游客图标，并拖动小麦和鸡蛋至游客开始服务！
TID_NAME_MALE_0,阿伦
TID_NAME_MALE_1,艾德里安
TID_NAME_MALE_2,阿尔伯托
TID_NAME_MALE_3,亚历杭德罗
TID_NAME_MALE_4,亚历克斯
TID_NAME_MALE_5,亚历山大
TID_NAME_MALE_6,阿方索
TID_NAME_MALE_7,安德魯
TID_NAME_MALE_8,安迪
TID_NAME_MALE_9,安东尼
TID_NAME_MALE_10,安东尼
TID_NAME_MALE_11,阿瑟
TID_NAME_MALE_12,奧斯汀
TID_NAME_MALE_13,亚塞尔
TID_NAME_MALE_14,本
TID_NAME_MALE_15,本杰明
TID_NAME_MALE_16,比利
TID_NAME_MALE_17,布兰登
TID_NAME_MALE_18,布鲁诺
TID_NAME_MALE_19,查尔斯
TID_NAME_MALE_20,克里斯提
TID_NAME_MALE_21,克里斯托弗
TID_NAME_MALE_22,克拉克
TID_NAME_MALE_23,克雷格
TID_NAME_MALE_24,丹尼尔
TID_NAME_MALE_25,大卫
TID_NAME_MALE_26,多米尼克
TID_NAME_MALE_27,爱德华
TID_NAME_MALE_28,伊莱贾
TID_NAME_MALE_29,艾略特
TID_NAME_MALE_30,埃里克
TID_NAME_MALE_31,伊森
TID_NAME_MALE_32,埃文
TID_NAME_MALE_33,亨利
TID_NAME_MALE_34,尹恩
TID_NAME_MALE_35,杰克
TID_NAME_MALE_36,詹姆斯
TID_NAME_MALE_37,約翰
TID_NAME_MALE_38,约瑟夫
TID_NAME_MALE_39,胡安
TID_NAME_MALE_40,莱昂纳多
TID_NAME_MALE_41,利亚姆
TID_NAME_MALE_42,洛根
TID_NAME_MALE_43,卢卡斯
TID_NAME_MALE_44,卢克
TID_NAME_MALE_45,马尔科姆
TID_NAME_MALE_46,马丁
TID_NAME_MALE_47,马修
TID_NAME_MALE_48,迈克
TID_NAME_MALE_49,摩根
TID_NAME_MALE_50,纳特
TID_NAME_MALE_51,纳森
TID_NAME_MALE_52,尼尔
TID_NAME_MALE_53,尼可拉斯
TID_NAME_MALE_54,奥利弗
TID_NAME_MALE_55,彼得潘
TID_NAME_MALE_56,拉斐尔
TID_NAME_MALE_57,理查
TID_NAME_MALE_58,罗伯特
TID_NAME_MALE_59,瑞恩
TID_NAME_MALE_60,撒母耳
TID_NAME_MALE_61,塞巴斯蒂安
TID_NAME_MALE_62,塞斯
TID_NAME_MALE_63,西蒙
TID_NAME_MALE_64,斯坦利
TID_NAME_MALE_65,泰勒
TID_NAME_MALE_66,西奥
TID_NAME_MALE_67,托马斯
TID_NAME_MALE_68,威廉
TID_NAME_MALE_69,怀亚特
TID_NAME_FEMALE_0,阿比盖尔
TID_NAME_FEMALE_1,阿黛尔
TID_NAME_FEMALE_2,雅丽珊卓
TID_NAME_FEMALE_3,亚历克西斯
TID_NAME_FEMALE_4,爱丽丝
TID_NAME_FEMALE_5,爱丽珊
TID_NAME_FEMALE_6,爱丽莎
TID_NAME_FEMALE_7,爱丽森
TID_NAME_FEMALE_8,阿曼达
TID_NAME_FEMALE_9,艾米莉亚
TID_NAME_FEMALE_10,艾米
TID_NAME_FEMALE_11,安娜贝拉
TID_NAME_FEMALE_12,安德雷
TID_NAME_FEMALE_13,安吉拉
TID_NAME_FEMALE_14,安杰莉娜
TID_NAME_FEMALE_15,安娜贝尔
TID_NAME_FEMALE_16,安莉
TID_NAME_FEMALE_17,安妮
TID_NAME_FEMALE_18,艾希莉
TID_NAME_FEMALE_19,奥黛丽
TID_NAME_FEMALE_20,芭芭拉
TID_NAME_FEMALE_21,贝拉
TID_NAME_FEMALE_22,卡塔利娜
TID_NAME_FEMALE_23,夏洛特
TID_NAME_FEMALE_24,蔻依
TID_NAME_FEMALE_25,克拉里
TID_NAME_FEMALE_26,戴妮娜
TID_NAME_FEMALE_27,桃乐丝
TID_NAME_FEMALE_28,伊丽莎白
TID_NAME_FEMALE_29,艾拉
TID_NAME_FEMALE_30,艾米莉
TID_NAME_FEMALE_31,艾玛
TID_NAME_FEMALE_32,艾丝特
TID_NAME_FEMALE_33,伊芙琳
TID_NAME_FEMALE_34,菲奥娜
TID_NAME_FEMALE_35,加布里
TID_NAME_FEMALE_36,格蕾丝
TID_NAME_FEMALE_37,格蕾希
TID_NAME_FEMALE_38,汉娜
TID_NAME_FEMALE_39,伊莎贝拉
TID_NAME_FEMALE_40,珍妮弗
TID_NAME_FEMALE_41,杰西卡
TID_NAME_FEMALE_42,茱莉娅
TID_NAME_FEMALE_43,朱丽叶
TID_NAME_FEMALE_44,凯特
TID_NAME_FEMALE_45,凯瑟琳
TID_NAME_FEMALE_46,凯丝琳
