TID,IT
TID_PASSENGER_GO_TO_SERVICE_BUILDING,<PARAM> eccomi!
TID_PASSENGER_GO_TO_TRAIN,Ora vado a casa. Mi dispiace che i tuoi amici non abbiano potuto dare una mano.
TID_PASSENGER_GRANDPA,Gran maestro
TID_PASSENGER_GREETING1,Ciao! La tua città mi piace molto. Mi fai fare un giro?
TID_PASSENGER_GREETING2,Ciao! La tua città è molto carina! Mi porti a fare un giro?
TID_PASSENGER_GREETING3,Ciao! Chissà com'è il servizio nella tua città? Puoi aiutarmi a fare delle commissioni?
TID_PASSENGER_GREETING4,Ehilà! Ho sentito dire un gran bene della tua città.
TID_PASSENGER_GREETING5,Ciao! Volevo assaggiare le specialità del posto. Hai qualche locale da mostrarmi?
TID_PASSENGER_LEYLA,Ballerina
TID_PASSENGER_MECHANIC,Meccanico
TID_PASSENGER_ON_TRAIN_CROSSING,Un attimo! Prima devo attraversare i binari!
TID_PASSENGER_PICK_UP_ARRIVED_TO_MY_FARM,Salute a tutti! Eccoci qua!
TID_PASSENGER_PICK_UP_TO_MY_FARM,Grazie! Verrò a trovarvi!
TID_PASSENGER_REWARD_GREETING1,Ecco un omaggio per l'attenzione e la cordialità.
TID_PASSENGER_REWARD_GREETING2,"Ho gradito tutti i servizi, ecco un regalo."
TID_PASSENGER_REWARD_GREETING3,Grazie per il servizio eccellente! Ecco un piccolo extra per te.
TID_PASSENGER_REWARD_GREETING4,Grazie mille per la tua ospitalità! Ecco un pensierino per te.
TID_PASSENGER_REWARD_GREETING5,Questa è la città migliore del mondo! Ecco un regalino per te.
TID_PASSENGER_SALESMAN,Venditore
TID_PASSENGER_SEND_AWAY_WARNING_ALREADY_VISITED,Sei sicuro? Ho già visitato uno dei tuoi vicini e ripartirò con il treno espresso.
TID_PASSENGER_SEND_AWAY_WARNING_NOT_IN_NEIGHBORHOOD,Sei sicuro? Io parto con il treno espresso.
TID_PASSENGER_SEND_AWAY_WARNING_PICKUP_BY_NEIGHBOR,Sei sicuro? Io andrò alla banchina per farmi prelevare dai tuoi vicini o dal treno espresso.
TID_PASSENGER_SERVICE_BUILDING_FULL,L'edificio <BUILDING> è pieno! Forse potresti aggiungere altro spazio con un potenziamento?
TID_PASSENGER_STRONGMAN,Forzuto
TID_PASSENGER_TEACHER,Insegnante
TID_PASSENGER_WAITING_TRAIN,Grazie di tutto! Sto solo aspettando il treno.
TID_PASSENGER_WALKING_TO_NEIGHBORHOOD_PICKUP,Non possono prelevarmi i tuoi amici del vicinato?
TID_PASSENGER_WALKING_TO_TRAIN,Grazie per tutti i servizi! Spero di rivederti!
TID_PERSONAL_TRAIN,Treno personale
TID_PERSONAL_TRAIN_CAPACITY,Capienza del treno personale: <CAPACITY>
TID_PERSONAL_TRAIN_COMING_SOON,Il treno personale si sblocca con una reputazione di livello <LEVEL>
TID_PERSONAL_TRAIN_INFO,Visita i tuoi amici del vicinato per prelevare i visitatori dalla loro banchina. Ogni visitatore può visitare due città prima di tornare indietro con il treno espresso.
TID_PERSONAL_TRAIN_IS_ON_COOLDOWN,Il treno è in manutenzione
TID_PERSONAL_TRAIN_NEIGHBORHOOD_TRAIN_FRIENDS,Amici del vicinato con visitatori da prelevare:
TID_PERSONAL_TRAIN_TITLE,{size=17}Treno personale (livello <RANK>)
TID_PERSONAL_TRAIN_TOOLTIP,Attualmente il treno personale ha capienza per <CAPACITY> visitatore/i e tempi di manutenzione di <TIME>.
TID_PERSONAL_TRAIN_UPGRADE,Migliora
TID_PERSONAL_TRAIN_UPGRADE_DESCRIPTION_CAPACITY,Aumenta la capienza a <CAPACITY>
TID_PERSONAL_TRAIN_UPGRADE_DESCRIPTION_COOLDOWN_INTERVAL,Riduci i tempi di manutenzione a\n<TIME>
TID_PERSONAL_TRAIN_UPGRADE_REPUTATION_REQUIRED_TEXT,Per migliorare è necessaria una reputazione minima di livello <REPUTATION LEVEL>.
TID_PERSONAL_TRAIN_UPGRADE_TITLE,Migliora il treno personale
TID_PERSONAL_TRAIN_UPGRADE_TREE_HUD_CAPACITY_TOOLTIP,Il treno personale attualmente può prelevare <AMOUNT> visitatore/i dai tuoi amici del vicinato.
TID_PERSONAL_TRAIN_UPGRADE_TREE_HUD_TIME_TOOLTIP,Attualmente il tempo di manutenzione del treno è di <AMOUNT>.
TID_PERSONAL_TRAIN_UPGRADE_TREE_HUD_TITLE,Migliora il treno personale
TID_PERSONAL_TRAIN_UPGRADE_TREE_HUD_UPGRADE_TEXT,Scegli di migliorare la capienza in visitatori o ridurre i tempi di manutenzione:
TID_REPAIR_PERSONAL_TRAIN_TEXT,Ripara il treno personale per recarti nelle città del tuo vicinato e prelevare i visitatori che partono.
TID_REPAIR_PERSONAL_TRAIN_TITLE,Riparare il treno personale?
TID_REPAIR_PERSONAL_TRAIN_YES,Inizia a riparare
TID_REPAIR_TRAIN_TEXT,Ripara la banchina e recati nella tua città per ricostruirla. Nuove avventure ti aspettano!
TID_REPAIR_TRAIN_TITLE,Riparare la banchina?
TID_REPAIR_TRAIN_YES,Inizia a riparare
TID_REPUTATION_HEART_TOOLTIP,Servi i visitatori per farti una reputazione.
TID_REPUTATION_LEVEL_UP_TEXT,Ora puoi potenziare tutti gli edifici della città al livello <LEVEL_NUMBER>!
TID_REPUTATION_LEVEL_UP_TITLE,CONGRATULAZIONI!
TID_REPUTATION_UNLOCK_TOOLTIP,Si sblocca al livello rep. <LEVEL>
TID_SEND_TO_NEIGHBORHOOD_PLATFORM_FOR_PICKUP_TOOLTIP_DESCRIPTION,Manda <PASSENGER> a farsi prelevare dagli amici del vicinato.
TID_SEND_TO_SERVICE_BUILDING_TOOLTIP_DESCRIPTION,Manda <PASSENGER> a <BUILDING>.\n\nPosti liberi: <COUNT>
TID_SEND_TO_TRAIN_TOOLTIP_DESCRIPTION,Manda <PASSENGER> a <BUILDING>.
TID_SERVICE_BUILDING_NOT_YET_CONSTRUCTED,Non hai ancora costruito: <BUILDING>.
TID_SERVICE_BUILDING_UPGRADE_DESCRIPTION_COINS,Potenzia l'edificio per generare il <BONUS>% di monete in più
TID_SERVICE_BUILDING_UPGRADE_DESCRIPTION_EXP_AND_REP,Potenzia l'edificio per ricevere il <BONUS>% di esperienza e punti reputazione in più
TID_SERVICE_BUILDING_UPGRADE_DESCRIPTION_SLOTS,Potenzia l'edificio per avere <BONUS> spazio in più per i visitatori
TID_SERVICE_BUILDING_UPGRADE_DESCRIPTION_TIME,Potenzia l'edificio per accelerare i servizi del <BONUS>%
TID_SERVICE_BUILDING_UPGRADE_REPUTATION_REQUIRED_TEXT,Per migliorare è necessaria una reputazione minima di livello <REPUTATION LEVEL>.
TID_SERVICE_BUILDING_UPGRADE_TITLE,Migliora <BUILDING>
TID_SERVICE_BUILDING_UPGRADE_TREE_HUD_CASH_TOOLTIP,<BUILDING> al momento ricava <AMOUNT>% di monete in più dai visitatori.
TID_SERVICE_BUILDING_UPGRADE_TREE_HUD_EXP_REP_TOOLTIP,<BUILDING> al momento ricava <AMOUNT>% di esperienza e reputazione in più dai visitatori.
TID_SERVICE_BUILDING_UPGRADE_TREE_HUD_SLOT_TOOLTIP,<BUILDING> attualmente ha <AMOUNT> spazio/i per visitatori.
TID_SERVICE_BUILDING_UPGRADE_TREE_HUD_TIME_TOOLTIP,<BUILDING> attualmente ha tempi di servizio del <AMOUNT>% più brevi.
TID_SERVICE_BUILDING_UPGRADE_TREE_HUD_TITLE,{size=17}<SERVICE BUILDING> (liv. <LEVEL>)
TID_SERVICE_BUILDING_UPGRADE_TREE_HUD_UPGRADE_TEXT,"Scegli di potenziare spazi, monete, esperienza/reputazione o tempi di servizio:"
TID_SERVICE_BUILDINGS_NONE_ON_MAP,Un negozio di alimentari sarebbe perfetto!
TID_SERVICE_CANCELED,Mi hanno mandato via da un edificio (<BUILDING>) e non voglio tornarci più.
TID_SERVICE_COMPLETED,<BUILDING>? Non ho voglia di tornare lì!
TID_TOWN_HALL_COMING_SOON,Il municipio si sblocca con una reputazione di livello <LEVEL>
TID_TOWN_HALL_PASSENGER_MANIFEST,Visitatori nella tua città:
TID_TOWN_HALL_PASSENGER_STATE_ARRIVED,Arrivato
TID_TOWN_HALL_PASSENGER_STATE_BOARD_TRAIN,Imbarco
TID_TOWN_HALL_PASSENGER_STATE_BOARDED_TRAIN,A bordo
TID_TOWN_HALL_PASSENGER_STATE_HAS_NH_PICKUP,Prelevato dall'amico
TID_TOWN_HALL_PASSENGER_STATE_IDLE,Inattivo
TID_TOWN_HALL_PASSENGER_STATE_SERVICE,Servito tra <TIME>
TID_TOWN_HALL_PASSENGER_STATE_SERVICE_HAPPY,Pronto in <BUILDING>
TID_TOWN_HALL_PASSENGER_STATE_WAIT_FOR_BOARD_TRAIN,In attesa del treno
TID_TOWN_HALL_PASSENGER_STATE_WAITING_FOR_SERVICE,In attesa in <BUILDING>
TID_TOWN_HALL_PASSENGER_STATE_WALK_TO_RANDOM,Inattivo
TID_TOWN_HALL_PASSENGER_STATE_WALK_TO_SERVICE_BUILDING,In cammino verso <BUILDING>
TID_TOWN_HALL_PASSENGER_STATE_WALK_TO_TRAIN,Diretto alla banchina
TID_TOWN_HALL_REPUTATION,Livello di reputazione:
TID_TOWN_HALL_TITLE,Municipio (livello <RANK>)
TID_TOWN_HALL_UPGRADE,Migliora
TID_TOWN_HALL_UPGRADE_DESCRIPTION,Capienza della città +<VILLAGE CAPACITY>
TID_TOWN_HALL_UPGRADE_REPUTATION_REQUIRED_TEXT,Per migliorare è necessaria una reputazione minima di livello <REPUTATION LEVEL>.
TID_TOWN_HALL_UPGRADE_TITLE,Migliora il municipio
TID_TOWN_HALL_VISITOR_CAPACITY,Capienza visitatori:
TID_TOWN_HALL_VISITOR_ICON_TOOLTIP,Il numero attuale e il numero massimo di visitatori nella tua città.
TID_TRAIN,Banchina e binari
TID_TRAIN_BEACHCAFE,Bar sulla spiaggia
TID_TRAIN_BEACHCAFE_DESC,Serviamo piatti deliziosi in un'atmosfera piacevole
TID_TRAIN_BEDANDBREAKFAST,Bed & Breakfast
TID_TRAIN_BEDANDBREAKFAST_DESC,Offriamo colazioni deliziose e letti confortevoli
TID_TRAIN_DINER,Trattoria
TID_TRAIN_DINER_DESC,Serviamo le migliori torte della regione
TID_TRAIN_GROCERYSTORE,Negozio di alimentari
TID_TRAIN_GROCERYSTORE_DESC,Offriamo generi alimentari freschi e biologici
TID_TRAIN_ITEM_BRICKS,Mattone
TID_TRAIN_ITEM_BRICKS_DESC,Serve per migliorare gli edifici della città
TID_TRAIN_ITEM_HAMMER,Martello
TID_TRAIN_ITEM_HAMMER_DESC,Serve per migliorare gli edifici della città
TID_TRAIN_ITEM_HAND_DRILL,Trapano a mano
TID_TRAIN_ITEM_HAND_DRILL_DESC,Serve per migliorare gli edifici della città
TID_TRAIN_ITEM_MAP_PIECE,Frammento di mappa
TID_TRAIN_ITEM_MAP_PIECE_DESC,Serve per espandere l'area della città
TID_TRAIN_ITEM_PAINT_BUCKET,Secchio di vernice
TID_TRAIN_ITEM_PAINT_BUCKET_DESC,Serve per migliorare gli edifici della città
TID_TRAIN_ITEM_STONES,Blocco di pietra
TID_TRAIN_ITEM_STONES_DESC,Serve per migliorare gli edifici della città
TID_TRAIN_ITEM_TAR_BUCKET,Secchio di catrame
TID_TRAIN_ITEM_TAR_BUCKET_DESC,Serve per migliorare gli edifici della città
TID_TRAIN_MOVIETHEATER,Cinema
TID_TRAIN_MOVIETHEATER_DESC,Serviamo gustosi stuzzichini in un clima allegro
TID_TRAIN_NEIGHBORHOOD_PLATFORM,Banchina del vicinato
TID_TRAIN_PICK_UP_FROM_FRIEND_TOOLTIP_DESCRIPTION,Preleva <PASSENGER> con il mio treno personale.
TID_TRAIN_SPA,Centro benessere
TID_TRAIN_SPA_DESC,Offriamo prodotti sani e nutrienti
TID_TRAIN_STATE_ARRIVING,Il treno espresso è in arrivo
TID_TRAIN_STATE_AWAY,Il prossimo treno espresso arriva tra: <TIME>
TID_TRAIN_STATE_LEAVING,Il treno espresso sta lasciando la tua città
TID_TRAIN_STATE_STOPPED,Il treno espresso è in città
TID_TRAIN_STATION_GET_TRAIN_NOW,Fa' arrivare il treno
TID_TRAIN_STATION_IMAGE_TOOLTIP,Il treno arriva ogni <TIME> e porta <MAX CAPACITY> visitatori. Migliora la stazione per ricevere più visitatori.
TID_TRAIN_STATION_PICKUP_SLOT_NONE_AVAILABLE,Migliora la stazione ferroviaria del vicinato per sbloccare altri spazi in banchina!
TID_TRAIN_STATION_TITLE,{size=17}Stazione ferroviaria (livello <LEVEL>)
TID_TRAIN_STATION_UPGRADE,Migliora
TID_TRAIN_STATION_UPGRADE_DESCRIPTION,Capienza attuale del treno: <OLD MAX CAPACITY>\n\nAumenta a: <NEW MAX CAPACITY>
TID_TRAIN_STATION_UPGRADE_REPUTATION_REQUIRED_TEXT,Per migliorare è necessaria una reputazione minima di livello <REPUTATION LEVEL>.
TID_TRAIN_STATION_UPGRADE_TITLE,Migliora la stazione
TID_TRAIN_STATION_VISITOR_AMOUNT,Visitatori sul prossimo treno: <AMOUNT>
TID_TRAIN_STATION_VISITOR_AMOUNT_VILLAGE_CAPACITY_FULL,Nella tua città c'è spazio solo per <AMOUNT> visitatore/i!
TID_TRAIN_TOWNHALL,Municipio
TID_TRAIN_TOWNHALL_DESC,Migliora per aumentare la capienza della città
TID_TRAIN_TRAINSTATION,Manda via
TID_TYPE_TRAIN_STATION_PASSENGER_ALREADY_PICKED,"Spiacenti, qualcuno ha già prelevato questo visitatore!"
TID_VISITOR_PICK_UP_PASSENGER_MANIFEST,Visitatori in attesa sulla banchina:
TID_VISITOR_PICK_UP_PERSONAL_TRAIN_CAPACITY,Capienza del treno personale:
TID_VISITOR_PICK_UP_PERSONAL_TRAIN_FULL_DESCRIPTION,Il treno personale è pieno! Aumenta i posti a bordo migliorando il tuo treno personale.
TID_VISITOR_PICK_UP_PERSONAL_TRAIN_IS_ON_COOLDOWN,Il treno è in manutenzione! Accelera le cose!
TID_VISITOR_PICK_UP_TITLE,Treno personale
TID_VISITOR_PICK_UP_PERSONAL_TRAIN_UNREPAIRED,Per prelevare i visitatori che partono dalle città del vicinato devi prima riparare il tuo treno personale.
TID_ISSUE_TYPE_TELEPHONE_HELP,Guida telefonica (solo coreano)
TID_TELEPHONE_HELP_TITLE,Titolo guida telefonica (solo coreano)
TID_TELEPHONE_HELP_TEXT,Testo guida telefonica (solo coreano)
TID_TELEPHONE_HELP_OK,Guida telefonica OK (solo coreano)
TID_TOWN_ROAD_01,Strada calcarea
TID_TOWN_ROAD_02,Strada di pietra
TID_TOWN_HALL_PASSENGER_STATE_GOING_HOME,In viaggio verso casa
TID_NAME_AND_TITLE_FORMAT,"<NAME>, <TITLE>"
TID_TOWN_ROAD_03,Strada ciottolata
TID_TUTORIAL_93_DRASINE_UNLOCKED,"Il sindaco è rimasto molto colpito dal tuo lavoro nella fattoria, e vorrebbe mostrarti qualcosa!"
TID_TUTORIAL_93A_DRASINE_UNLOCKED,Ripara la banchina e vediamo dove ci porteranno quei binari.
TID_TUTORIAL_94_DRASINE_FIXED,Ottimo! Guarda anche quel fiammante carrello ferroviario. Sembra proprio come quello che aveva tuo zio. Ora tocca il carrello e vediamo dove ci porterà!
TID_TUTORIAL_95_TRAIN_AREA_WELCOME,Wow! È la vecchia città a cui stava lavorando tuo zio con il sindaco. Da quando è andato in pensione nessuno se ne occupa più. Dovresti pensare tu a costruirla!
TID_TUTORIAL_96A_PAINT_TRAIN_STATION,Rimboccati le maniche e al lavoro! Iniziamo riparando la stazione ferroviaria!
TID_TUTORIAL_97A_TAP_FIRST_VISITOR,"I tuoi primi visitatori, che emozione! Toccane uno per vedere cosa vuole."
TID_TUTORIAL_98A_PLACE_GROCERY,Eccellente! Costruisci il negozio di alimentari disponibile nel negozio!
TID_TUTORIAL_99_GROCERY_STORE_BUILT,Ottimo! Ora che il negozio di alimentari è pronto iniziamo a servire i visitatori!
TID_COAL_ORE,Carbone
TID_IRON_ORE,Minerale di ferro
TID_COAL_ORE_DESCRIPTION,Raccogli dalla miniera
TID_IRON_ORE_DESCRIPTION,Raccogli dalla miniera
TID_COAL_BAR,Carbone raffinato
TID_IRON_BAR,Lingotto di ferro
TID_IRONBRACELET,Bracciale di ferro
TID_VISITOR_PICK_UP_SELECTED,Selezionato
TID_TUTORIAL_100A_SEND_TO_GROCERY,Tocca un visitatore per mandarlo al negozio di alimentari!
TID_TUTORIAL_SERVICE_BUILDING_TITLE,Servire i visitatori
TID_TUTORIAL_101A_SERVICE_VISITOR,Tocca l'icona del visitatore e trascinaci sopra grano e uova per iniziare a servirlo!
TID_NAME_MALE_0,Aaron
TID_NAME_MALE_1,Adrian
TID_NAME_MALE_2,Alberto
TID_NAME_MALE_3,Alejandro
TID_NAME_MALE_4,Alex
TID_NAME_MALE_5,Alexander
TID_NAME_MALE_6,Alfonso
TID_NAME_MALE_7,Andrew
TID_NAME_MALE_8,Andy
TID_NAME_MALE_9,Anthony
TID_NAME_MALE_10,Antoine
TID_NAME_MALE_11,Arthur
TID_NAME_MALE_12,Austin
TID_NAME_MALE_13,Axel
TID_NAME_MALE_14,Ben
TID_NAME_MALE_15,Benjamin
TID_NAME_MALE_16,Billy
TID_NAME_MALE_17,Brandon
TID_NAME_MALE_18,Bruno
TID_NAME_MALE_19,Charles
TID_NAME_MALE_20,Christian
TID_NAME_MALE_21,Christopher
TID_NAME_MALE_22,Clark
TID_NAME_MALE_23,Craig
TID_NAME_MALE_24,Daniel
TID_NAME_MALE_25,David
TID_NAME_MALE_26,Dominic
TID_NAME_MALE_27,Edward
TID_NAME_MALE_28,Elijah
TID_NAME_MALE_29,Elliot
TID_NAME_MALE_30,Eric
TID_NAME_MALE_31,Ethan
TID_NAME_MALE_32,Evan
TID_NAME_MALE_33,Henry
TID_NAME_MALE_34,Ian
TID_NAME_MALE_35,Jack
TID_NAME_MALE_36,James
TID_NAME_MALE_37,John
TID_NAME_MALE_38,Joseph
TID_NAME_MALE_39,Juan
TID_NAME_MALE_40,Leonard
TID_NAME_MALE_41,Liam
TID_NAME_MALE_42,Logan
TID_NAME_MALE_43,Lucas
TID_NAME_MALE_44,Luke
TID_NAME_MALE_45,Malcolm
TID_NAME_MALE_46,Martin
TID_NAME_MALE_47,Matthew
TID_NAME_MALE_48,Michael
TID_NAME_MALE_49,Morgan
TID_NAME_MALE_50,Nate
TID_NAME_MALE_51,Nathan
TID_NAME_MALE_52,Neil
TID_NAME_MALE_53,Nicholas
TID_NAME_MALE_54,Oliver
TID_NAME_MALE_55,Peter
TID_NAME_MALE_56,Rafael
TID_NAME_MALE_57,Richard
TID_NAME_MALE_58,Robert
TID_NAME_MALE_59,Ryan
TID_NAME_MALE_60,Samuel
TID_NAME_MALE_61,Sebastian
TID_NAME_MALE_62,Seth
TID_NAME_MALE_63,Simon
TID_NAME_MALE_64,Stanley
TID_NAME_MALE_65,Taylor
TID_NAME_MALE_66,Theo
TID_NAME_MALE_67,Thomas
TID_NAME_MALE_68,William
TID_NAME_MALE_69,Wyatt
TID_NAME_FEMALE_0,Abigail
TID_NAME_FEMALE_1,Adele
TID_NAME_FEMALE_2,Alexandra
TID_NAME_FEMALE_3,Alexis
TID_NAME_FEMALE_4,Alice
TID_NAME_FEMALE_5,Allison
TID_NAME_FEMALE_6,Alysha
TID_NAME_FEMALE_7,Alyson
TID_NAME_FEMALE_8,Amanda
TID_NAME_FEMALE_9,Amelia
TID_NAME_FEMALE_10,Amy
TID_NAME_FEMALE_11,Anabelle
TID_NAME_FEMALE_12,Andrea
TID_NAME_FEMALE_13,Angela
TID_NAME_FEMALE_14,Angeline
TID_NAME_FEMALE_15,Annabell
TID_NAME_FEMALE_16,Anne
TID_NAME_FEMALE_17,Annie
TID_NAME_FEMALE_18,Ashley
TID_NAME_FEMALE_19,Audrey
TID_NAME_FEMALE_20,Barbara
TID_NAME_FEMALE_21,Bella
TID_NAME_FEMALE_22,Catalina
TID_NAME_FEMALE_23,Charlotte
TID_NAME_FEMALE_24,Chloe
TID_NAME_FEMALE_25,Claire
TID_NAME_FEMALE_26,Daniela
TID_NAME_FEMALE_27,Dorothy
TID_NAME_FEMALE_28,Elizabeth
TID_NAME_FEMALE_29,Ella
TID_NAME_FEMALE_30,Emily
TID_NAME_FEMALE_31,Emma
TID_NAME_FEMALE_32,Esther
TID_NAME_FEMALE_33,Evelyn
TID_NAME_FEMALE_34,Fiona
TID_NAME_FEMALE_35,Gabrielle
TID_NAME_FEMALE_36,Grace
TID_NAME_FEMALE_37,Gracie
TID_NAME_FEMALE_38,Hannah
TID_NAME_FEMALE_39,Isabella
TID_NAME_FEMALE_40,Jennifer
TID_NAME_FEMALE_41,Jessica
TID_NAME_FEMALE_42,Julia
TID_NAME_FEMALE_43,Juliette
TID_NAME_FEMALE_44,Kate
TID_NAME_FEMALE_45,Katherine
TID_NAME_FEMALE_46,Kathryn
TID_NAME_FEMALE_47,Kylie
TID_NAME_FEMALE_48,Laura
TID_NAME_FEMALE_49,Layla
TID_NAME_FEMALE_50,Lillian
TID_NAME_FEMALE_51,Lily
TID_NAME_FEMALE_52,Linda
TID_NAME_FEMALE_53,Lucy
TID_NAME_FEMALE_54,Lydia
TID_NAME_FEMALE_55,Maggie
TID_NAME_FEMALE_56,Mary
TID_NAME_FEMALE_57,Maya
TID_NAME_FEMALE_58,Mia
TID_NAME_FEMALE_59,Molly
TID_NAME_FEMALE_60,Natalie
TID_NAME_FEMALE_61,Nicole
TID_NAME_FEMALE_62,Olivia
TID_NAME_FEMALE_63,Patricia
TID_NAME_FEMALE_64,Piper
TID_NAME_FEMALE_65,Rachel
TID_NAME_FEMALE_66,Samantha
TID_NAME_FEMALE_67,Sarah
TID_NAME_FEMALE_68,Scarlett
TID_NAME_FEMALE_69,Sophia
TID_NAME_FEMALE_70,Sophie
TID_NAME_FEMALE_71,Susan
TID_NAME_FEMALE_72,Victoria
TID_NAME_FEMALE_73,Violet
TID_NAME_FEMALE_74,Zoey
TID_VISITOR_PICK_UP_PERSONAL_TRAIN_IS_LEAVING,Il treno personale sta partendo!
TID_TRAIN_STATION,Stazione ferroviaria
TID_TUTORIAL_102A_SPEED_UP_SERVICE,"Ora velocizziamo il servizio! Non ti preoccupare, il primo potenziamento di velocità è gratuito!"
TID_TUTORIAL_103A_COLLECT_REWARD,Fantastico! Ora tocca il visitatore per ricevere la ricompensa!
TID_TUTORIAL_104A_UPGRADE_SERVICE_BUILDING,Eccellente! Ora potenzia il tuo negozio di alimentari per servire più visitatori per volta!
TID_TUTORIAL_105A_REPAIR_TOWN_HALL,La tua città cresce veloce e sta guadagnando popolarità! Ripara il vecchio municipio per annotare le presenze dei tuoi visitatori!
TID_TUTORIAL_106A_SEND_TO_GROCERY_VIA_TOWN_HALL,Usa il municipio per trovare i visitatori!
TID_TUTORIAL_107_TRAIN_TUTORIAL_COMPLETED,"Perfetto! Ora posiziona altri edifici, servi un maggior numero di visitatori e riporta la tua città ai tempi d'oro!"
TID_TUTORIAL_108_REPAIR_PERSONAL_TRAIN,È ora di fare una visita al tuo vicinato! Ripara il vecchio treno di tuo zio e scopri cosa stanno facendo i tuoi amici!
TID_TUTORIAL_109A_VISIT_NEIGHBORHOOD_FRIEND,Usa il tuo treno personale per visitare i tuoi amici del vicinato e prelevare i loro visitatori in partenza!
TID_PASSENGER_WAITING_TRAIN_GOING_HOME,Grazie di tutto! Ho già visitato due città. Ora torno a casa.
TID_VISITOR_PICK_UP_NEIGHBOURHOOD_INFO,Al momento il tuo amico non ha visitatori in partenza da prelevare.
TID_UPGRADE_TREE_HUD_TOOLTIP_BUILDING_UPGRADE_REQUIRED,Potenzia <BUILDING> al livello <LEVEL> per sbloccare.
TID_UPGRADE_TREE_HUD_TOOLTIP_BONUS_MAXED_OUT,Livello massimo raggiunto!
TID_VISITOR_COLLECT_REPUTATION,<PARAM> ha prelevato un visitatore e ti ha dato un punto reputazione!
TID_PERSONALTRAIN_FRIENDLIST_NOT_IN_NEIGHBORHOOD,Unisciti a un vicinato per prelevare visitatori!
TID_PERSONALTRAIN_FRIENDLIST_NO_MEMBERS,Stringi più amicizie nel vicinato per prelevare visitatori!
TID_PERSONALTRAIN_FRIENDLIST_NO_VISITORS,I tuoi amici del vicinato non hanno visitatori da prelevare adesso!
TID_VISITOR_PICK_UP_UI_TITLE,Preleva i visitatori!
TID_FLOATER_EXPANSION_TRAIN_AREA_COMING_SOON,Le espansioni della città si sbloccano con una reputazione di livello <LEVEL>
TID_VISITOR_PICK_UP_TOWN_FULL,La tua città è piena! Migliora il municipio per ospitare più visitatori!
TID_VISITOR_PICK_UP_SERVICE_BUILDING_LOCKED,L'edificio di servizio si sblocca al livello di reputazione <PARAM>!
TID_VISITOR_PICK_UP_NOT_IN_NEIGHBORHOOD,Unisciti a un vicinato per prelevare visitatori dai tuoi vicini!
TID_VISITOR_PICK_UP_NOT_IN_SAME_NEIGHBORHOOD,Puoi prelevare visitatori dai tuoi vicini. Invita <PARAM> nel tuo vicinato!
TID_VISITOR_PICK_UP_PERSONAL_TRAIN_GOING_HOME,Il tuo treno sta portando visitatori alla tua città!
TID_SERVICE_LIST_ITEM_REWARDS,Ricompense
TID_TOP_CENTER_HUD_REPUTATION_ICON_TOOLTIP,Il livello di reputazione della tua città. Servi altri visitatori per sbloccare ulteriori edifici di servizio!
TID_CROP_COTTON,Cotone
TID_PASSENGER_COWBOY,Cowboy
TID_ADVANCED_EVENT_TITLE_BIRTHDAY,Buon compleanno!
TID_ADVANCED_EVENT_TEXT_BIRTHDAY,"In ogni angolo del mondo, si festeggia il secondo compleanno di Hay Day. Prepara delle torte con panna nel forno per le torte e contribuisci il più possibile entro il tempo limite! Raggiungi i tuoi obiettivi personali per ricevere fantastici premi. Inoltre, i tuoi risultati contribuiscono all'obiettivo globale della community. Raggiungi l'obiettivo globale insieme ad altri contadini in tutto il mondo e sarete ricompensati a dovere."
TID_ADVANCED_EVENT_NOTIFICATION_BIRTHDAY,Dai un'occhiata all'evento Buon compleanno di Hay Day con tanto di generose ricompense!
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_BIRTHDAY,"Ciao, <NAME>! C'erano torte con panna ovunque e i festeggiamenti sono stati MUUgnifici! Grazie a tutti per la partecipazione all'evento globale. L'unione fa la forza! Accetta questo premio come ricompensa per il contributo!"
TID_ADVANCED_EVENT_SUCCESS_TITLE_BIRTHDAY,Il miglior compleanno di sempre!
TID_ADVANCED_EVENT_SUCCESS_TEXT_BIRTHDAY,"Grazie, contadini! Insieme, la nostra community ha contribuito a fare di questo compleanno il migliore di sempre."
TID_PRODUCT_COTTON_FABRICS,Tessuto di cotone
TID_PRODUCT_COTTON_SHIRT,Maglietta in cotone
TID_PRODUCT_WOOLY_PANTS,Gambali da cowboy
TID_PRODUCT_COTTON_VIOLET_DRESS,Abito viola
TID_SEWING_MACHINE_PRODUCT_DESCRIPTION,Prodotto della macchina da cucire
TID_SEWINGMACHINE,Macchina da cucire
TID_SEWINGMACHINE_DESCRIPTION,Cuce abiti
TID_DECO_STREETLIGHT_DESC,Decora la tua città
TID_DECO_STREETLIGHT,Lampione
TID_DECO_LEAFYPLANT_DESC,Decora la tua città
TID_DECO_LEAFYPLANT,Pianta con foglie
TID_DECO_HYDRANT_DESC,Decora la tua città
TID_DECO_HYDRANT,Idrante
TID_DECO_MUSHROOM_HOUSE_DESC,Goditi l'estate (tempo limitato)
TID_DECO_MUSHROOM_HOUSE,Casa fungo
TID_MASSGIFT_FACEBOOK_HEADER,12 milioni di Mi piace!
