TID,FI
TID_TELEPHONE_HELP_TEXT,Puhelinohjeen teksti (vain koreaksi)
TID_TELEPHONE_HELP_OK,Puhelinohje OK (vain koreaksi)
TID_TOWN_ROAD_01,Kalkkikivitie
TID_TOWN_ROAD_02,Kivitie
TID_TOWN_HALL_PASSENGER_STATE_GOING_HOME,Menossa kotiin
TID_NAME_AND_TITLE_FORMAT,<NAME> - <TITLE>
TID_TOWN_ROAD_03,Soratie
TID_TUTORIAL_93_DRASINE_UNLOCKED,Työsi farmilla on tehnyt suuren vaikutuksen kylän pormestariin! Hänellä on sinulle jotain näytettävää.
TID_TUTORIAL_93A_DRASINE_UNLOCKED,"Korjaa laituri, niin voimme ottaa selvää, minne tuo rata johtaakaan."
TID_TUTORIAL_94_DRASINE_FIXED,"Loistavaa! Katsohan tuota kiiltävää resiinaa. Se näyttää aivan setäsi vanhalta resiinalta. Napautapa sitä, niin saamme tietää, minne se viekään meidät!"
TID_TUTORIAL_95_TRAIN_AREA_WELCOME,"Vau! Sehän on vanha kylä, jota setäsi oli rakentamassa kylän pormestarin kanssa. Kukaan ei ole pitänyt siitä huolta hänen jäätyään eläkkeelle. Sinun tulisi korjata se!"
TID_TUTORIAL_96A_PAINT_TRAIN_STATION,"Käärihän hihasi, niin voimme ryhtyä hommiin! Aloita korjaamalla juna-asema!"
TID_TUTORIAL_97A_TAP_FIRST_VISITOR,"Jännittävää, ensimmäiset vierailijasi! Napauta heitä nähdäksesi, mitä he haluavat."
TID_TUTORIAL_98A_PLACE_GROCERY,Mahtavaa! Mene kauppaan ja rakenna ruokakauppa!
TID_TUTORIAL_99_GROCERY_STORE_BUILT,"Hienoa työtä! Nyt kun ruokakauppa on valmis, palvellaanpa näitä vierailijoita!"
TID_COAL_ORE,Hiili
TID_IRON_ORE,Rautamalmi
TID_COAL_ORE_DESCRIPTION,Kerää kaivoksesta.
TID_IRON_ORE_DESCRIPTION,Kerää kaivoksesta.
TID_COAL_BAR,Jalostettu hiili
TID_IRON_BAR,Rautaharkko
TID_IRONBRACELET,Rautakoru
TID_VISITOR_PICK_UP_SELECTED,Valittu
TID_TUTORIAL_100A_SEND_TO_GROCERY,Napauta vierailijaa ja lähetä tämä ruokakauppaan!
TID_TUTORIAL_SERVICE_BUILDING_TITLE,Vieraiden palvelu
TID_TUTORIAL_101A_SERVICE_VISITOR,"Napauta vierailijan kuvaketta, ja ala palvella vetämällä vehnä ja munat vierailijan luo!"
TID_NAME_MALE_0,Aaron
TID_NAME_MALE_1,Adrian
TID_NAME_MALE_2,Alberto
TID_NAME_MALE_3,Alejandro
TID_NAME_MALE_4,Alex
TID_NAME_MALE_5,Alexander
TID_NAME_MALE_6,Alfonso
TID_NAME_MALE_7,Andrew
TID_NAME_MALE_8,Andy
TID_NAME_MALE_9,Anthony
TID_NAME_MALE_10,Antoine
TID_NAME_MALE_11,Arthur
TID_NAME_MALE_12,Austin
TID_NAME_MALE_13,Axel
TID_NAME_MALE_14,Ben
TID_NAME_MALE_15,Benjamin
TID_NAME_MALE_16,Billy
TID_NAME_MALE_17,Brandon
TID_NAME_MALE_18,Bruno
TID_NAME_MALE_19,Charles
TID_NAME_MALE_20,Christian
TID_NAME_MALE_21,Christopher
TID_NAME_MALE_22,Clark
TID_NAME_MALE_23,Craig
TID_NAME_MALE_24,Daniel
TID_NAME_MALE_25,David
TID_NAME_MALE_26,Dominic
TID_NAME_MALE_27,Edward
TID_NAME_MALE_28,Elijah
TID_NAME_MALE_29,Elliot
TID_NAME_MALE_30,Eric
TID_NAME_MALE_31,Ethan
TID_NAME_MALE_32,Evan
TID_NAME_MALE_33,Henry
TID_NAME_MALE_34,Ian
TID_NAME_MALE_35,Jack
TID_NAME_MALE_36,James
TID_NAME_MALE_37,John
TID_NAME_MALE_38,Joseph
TID_NAME_MALE_39,Juan
TID_NAME_MALE_40,Leonard
TID_NAME_MALE_41,Liam
TID_NAME_MALE_42,Logan
TID_NAME_MALE_43,Lucas
TID_NAME_MALE_44,Luke
TID_NAME_MALE_45,Malcolm
TID_NAME_MALE_46,Martin
TID_NAME_MALE_47,Matthew
TID_NAME_MALE_48,Michael
TID_NAME_MALE_49,Morgan
TID_NAME_MALE_50,Nate
TID_NAME_MALE_51,Nathan
TID_NAME_MALE_52,Neil
TID_NAME_MALE_53,Nicholas
TID_NAME_MALE_54,Oliver
TID_NAME_MALE_55,Peter
TID_NAME_MALE_56,Rafael
TID_NAME_MALE_57,Richard
TID_NAME_MALE_58,Robert
TID_NAME_MALE_59,Ryan
TID_NAME_MALE_60,Samuel
TID_NAME_MALE_61,Sebastian
TID_NAME_MALE_62,Seth
TID_NAME_MALE_63,Simon
TID_NAME_MALE_64,Stanley
TID_NAME_MALE_65,Taylor
TID_NAME_MALE_66,Theo
TID_NAME_MALE_67,Thomas
TID_NAME_MALE_68,William
TID_NAME_MALE_69,Wyatt
TID_NAME_FEMALE_0,Abigail
TID_NAME_FEMALE_1,Adele
TID_NAME_FEMALE_2,Alexandra
TID_NAME_FEMALE_3,Alexis
TID_NAME_FEMALE_4,Alice
TID_NAME_FEMALE_5,Allison
TID_NAME_FEMALE_6,Alysha
TID_NAME_FEMALE_7,Alyson
TID_NAME_FEMALE_8,Amanda
TID_NAME_FEMALE_9,Amelia
TID_NAME_FEMALE_10,Amy
TID_NAME_FEMALE_11,Anabelle
TID_NAME_FEMALE_12,Andrea
TID_NAME_FEMALE_13,Angela
TID_NAME_FEMALE_14,Angeline
TID_NAME_FEMALE_15,Annabell
TID_NAME_FEMALE_16,Anne
TID_NAME_FEMALE_17,Annie
TID_NAME_FEMALE_18,Ashley
TID_NAME_FEMALE_19,Audrey
TID_NAME_FEMALE_20,Barbara
TID_NAME_FEMALE_21,Bella
TID_NAME_FEMALE_22,Catalina
TID_NAME_FEMALE_23,Charlotte
TID_NAME_FEMALE_24,Chloe
TID_NAME_FEMALE_25,Claire
TID_NAME_FEMALE_26,Daniela
TID_NAME_FEMALE_27,Dorothy
TID_NAME_FEMALE_28,Elizabeth
TID_NAME_FEMALE_29,Ella
TID_NAME_FEMALE_30,Emily
TID_NAME_FEMALE_31,Emma
TID_NAME_FEMALE_32,Esther
TID_NAME_FEMALE_33,Evelyn
TID_NAME_FEMALE_34,Fiona
TID_NAME_FEMALE_35,Gabrielle
TID_NAME_FEMALE_36,Grace
TID_NAME_FEMALE_37,Gracie
TID_NAME_FEMALE_38,Hannah
TID_NAME_FEMALE_39,Isabella
TID_NAME_FEMALE_40,Jennifer
TID_NAME_FEMALE_41,Jessica
TID_NAME_FEMALE_42,Julia
TID_NAME_FEMALE_43,Juliette
TID_NAME_FEMALE_44,Kate
TID_NAME_FEMALE_45,Katherine
TID_NAME_FEMALE_46,Kathryn
TID_NAME_FEMALE_47,Kylie
TID_NAME_FEMALE_48,Laura
TID_NAME_FEMALE_49,Layla
TID_NAME_FEMALE_50,Lillian
TID_NAME_FEMALE_51,Lily
TID_NAME_FEMALE_52,Linda
TID_NAME_FEMALE_53,Lucy
TID_NAME_FEMALE_54,Lydia
TID_NAME_FEMALE_55,Maggie
TID_NAME_FEMALE_56,Mary
TID_NAME_FEMALE_57,Maya
TID_NAME_FEMALE_58,Mia
TID_NAME_FEMALE_59,Molly
TID_NAME_FEMALE_60,Natalie
TID_NAME_FEMALE_61,Nicole
TID_NAME_FEMALE_62,Olivia
TID_NAME_FEMALE_63,Patricia
TID_NAME_FEMALE_64,Piper
TID_NAME_FEMALE_65,Rachel
TID_NAME_FEMALE_66,Samantha
TID_NAME_FEMALE_67,Sarah
TID_NAME_FEMALE_68,Scarlett
TID_NAME_FEMALE_69,Sophia
TID_NAME_FEMALE_70,Sophie
TID_NAME_FEMALE_71,Susan
TID_NAME_FEMALE_72,Victoria
TID_NAME_FEMALE_73,Violet
TID_NAME_FEMALE_74,Zoey
TID_VISITOR_PICK_UP_PERSONAL_TRAIN_IS_LEAVING,Henkilökohtainen juna on lähdössä!
TID_TRAIN_STATION,Juna-asema
TID_TUTORIAL_102A_SPEED_UP_SERVICE,"Nopeutetaanpa palvelua! Älä huolehdi, ensimmäinen nopeutus on ilmainen!"
TID_TUTORIAL_103A_COLLECT_REWARD,Upeaa! Kerää palkintosi napauttamalla vierailijaa!
TID_TUTORIAL_104A_UPGRADE_SERVICE_BUILDING,"Loistavaa! Päivitä nyt ruokakauppaasi, jotta voit palvella lisää vierailijoita kerralla!"
TID_TUTORIAL_105A_REPAIR_TOWN_HALL,"Kyläsi kasvaa nopeasti, ja siitä on tulossa suosittu! Pidä lukua vierailijoista korjaamalla vanha kunnantalo!"
TID_TUTORIAL_106A_SEND_TO_GROCERY_VIA_TOWN_HALL,Etsitään vieraita kunnantaloa käyttämällä!
TID_TUTORIAL_107_TRAIN_TUTORIAL_COMPLETED,"Upeaa jälkeä! Aseta nyt lisää rakennuksia, palvele lisää vierailijoita ja palauta kyläsi vanhaan loistoonsa!"
TID_TUTORIAL_108_REPAIR_PERSONAL_TRAIN,"On aika vierailla naapurustossasi! Korjataanpa setäsi vanha juna, ja käydään katsomassa, mitä ystäväsi puuhaavat!"
TID_TUTORIAL_109A_VISIT_NEIGHBORHOOD_FRIEND,"Vieraile henkilökohtaisella junallasi naapuruston ystäviesi luona, ja nouda heidän lähteviä vieraitaan!"
TID_PASSENGER_WAITING_TRAIN_GOING_HOME,Kiitos kaikesta! Olen jo vieraillut kahdessa kylässä. Lähden nyt kotiin.
TID_VISITOR_PICK_UP_NEIGHBOURHOOD_INFO,Ystävälläsi ei ole tällä hetkellä noudettavia vieraita.
TID_UPGRADE_TREE_HUD_TOOLTIP_BUILDING_UPGRADE_REQUIRED,Avaa päivittämällä <BUILDING> tasolle <LEVEL>.
TID_UPGRADE_TREE_HUD_TOOLTIP_BONUS_MAXED_OUT,Korkein taso saavutettu.
TID_VISITOR_COLLECT_REPUTATION,"<PARAM> nouti vierailijan, ja antoi sinulle mainepisteen!"
TID_PERSONALTRAIN_FRIENDLIST_NOT_IN_NEIGHBORHOOD,"Liity naapurustoon, ja nouda vierailijoita!"
TID_PERSONALTRAIN_FRIENDLIST_NO_MEMBERS,Nouda vierailijoita hankkimalla lisää ystäviä naapurustoosi!
TID_PERSONALTRAIN_FRIENDLIST_NO_VISITORS,Naapuruston ystävilläsi ei ole tällä hetkellä noudettavia vierailijoita!
TID_VISITOR_PICK_UP_UI_TITLE,Nouda vierailijoita!
TID_FLOATER_EXPANSION_TRAIN_AREA_COMING_SOON,Kylän laajennukset avautuvat mainetasolla <LEVEL>.
TID_VISITOR_PICK_UP_TOWN_FULL,Kyläsi on täynnä! Päivitä kunnantaloa nostaaksesi enimmäisasukasmäärää.
TID_VISITOR_PICK_UP_SERVICE_BUILDING_LOCKED,Palvelurakennus avautuu mainetasolla <PARAM>!
TID_VISITOR_PICK_UP_NOT_IN_NEIGHBORHOOD,Liity naapurustoon noutaaksesi vierailijoita naapuruston ystäviltä!
TID_VISITOR_PICK_UP_NOT_IN_SAME_NEIGHBORHOOD,Voit noutaa vierailijoita naapuruston ystäviltä. Kutsu <PARAM> naapurustoosi!
TID_VISITOR_PICK_UP_PERSONAL_TRAIN_GOING_HOME,Junasi tuo tällä hetkellä vierailijoita kylääsi!
TID_SERVICE_LIST_ITEM_REWARDS,Palkinnot
TID_TOP_CENTER_HUD_REPUTATION_ICON_TOOLTIP,Kyläsi mainetaso. Avaa lisää palvelurakennuksia palvelemalla lisää vierailijoita.
TID_CROP_COTTON,Puuvilla
TID_PASSENGER_COWBOY,Lehmipoika
TID_ADVANCED_EVENT_TITLE_BIRTHDAY,Hyvää syntymäpäivää!
TID_ADVANCED_EVENT_TEXT_BIRTHDAY,"Hay Day täyttää kaksi vuotta, mikä tarkoittaa, että ympäri maailmaa juhlitaan. Valmista kermakakkuja kakku-uunissa ja tee oma osasi ennen kuin aika loppuu. Saat upeita palkintoja, kun saavutat henkilökohtaisen tavoitteesi. Tuloksesi vaikuttaa myös yhteisötavoitteeseen. Kun saavutatte yhteisen tavoitteen muiden eri puolilla maailmaa asuvien farmarien kanssa, saatte kaikki palkinnon."
TID_ADVANCED_EVENT_NOTIFICATION_BIRTHDAY,"Tule mukaan Hay Day -syntymäpäivätapahtumaan, niin voit saada upeita palkintoja."
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_BIRTHDAY,"Hei <NAME>! Kermakakkuja kertyi roppakaupalla, ja juhlinta oli aivan AMMUUHTAVAA! Kiitos kaikille osallistumisesta yhteisötapahtumaan. Onnistuimme yhdessä! Tässä on palkinto kiitokseksi panoksestasi."
TID_ADVANCED_EVENT_SUCCESS_TITLE_BIRTHDAY,Nämä olivat synttäreistä parhaat!
TID_ADVANCED_EVENT_SUCCESS_TEXT_BIRTHDAY,Kiitos farmareille! Yhteisömme teki yhdessä näistä kaikkien aikojen syntymäpäiväjuhlat.
TID_PRODUCT_COTTON_FABRICS,Puuvillakangas
TID_PRODUCT_COTTON_SHIRT,Puuvillapaita
TID_PRODUCT_WOOLY_PANTS,Villachapsit
TID_PRODUCT_COTTON_VIOLET_DRESS,Violetti mekko
TID_SEWING_MACHINE_PRODUCT_DESCRIPTION,Tee ompelukoneella.
TID_SEWINGMACHINE,Ompelukone
TID_SEWINGMACHINE_DESCRIPTION,Ompelee vaatteita.
TID_DECO_STREETLIGHT_DESC,Koristele kylääsi.
TID_DECO_STREETLIGHT,Katuvalo
TID_DECO_LEAFYPLANT_DESC,Koristele kylääsi.
TID_DECO_LEAFYPLANT,Lehtikasvi
TID_DECO_HYDRANT_DESC,Koristele kylääsi.
TID_DECO_HYDRANT,Paloposti
TID_DECO_MUSHROOM_HOUSE_DESC,Nauti kesästä! (aikarajoitettu)
TID_DECO_MUSHROOM_HOUSE,Sienitalo
TID_MASSGIFT_FACEBOOK_HEADER,12 miljoonaa tykkäystä!
TID_MASSGIFT_FACEBOOK_TEXT,"12 miljoonan tykkäyksen kunniaksi Hay Dayn virallisella Facebook-sivulla lahjoitamme teille kaikille 12 timanttia osoituksena kiitollisuudestamme! Omistautumisenne ja tukenne on ollut aivan MUUahtavaa. Toivottavasti nautitte antamastamme pienestä vastalahjasta. :) Jos et ole vielä tykännyt Hay Daystä Facebookissa, voit tehdä sen osoitteessa www.facebook.com/HayDayOfficial."
TID_BUNNY2,Pörröinen pupu
TID_MOVIE_TICKET_WATCH_ANOTHER_TITLE,Katsotaanko toinen traileri?
TID_MOVIE_TICKET_WATCH_ANOTHER_TEXT,Palkinto on sattumanvarainen.
TID_MOVIE_TICKET_WATCH_ANOTHER_OR,tai
TID_MOVIE_TICKET_ALL_WATCHED_TITLE,Olet nyt katsonut kaikki trailerit. Kiitos paljon!
TID_MOVIE_TICKET_ALL_WATCHED_TEXT,Tule <PARAM> tunnin päästä uudestaan.
TID_MOVIE_TICKET_NO_FEED_TITLE,Odotamme uutta traileria
TID_MOVIE_TICKET_NO_FEED_TEXT,Tule myöhemmin uudestaan.
TID_TOOL_PICKAXE,Hakku
TID_TOOL_PICKAXE_DESC,Käytä malmin louhimiseen kaivoksesta.
TID_MYSTERY_CRATE_DESCRIPTION,Löytämäsi aarrearkku on lukittu! Voit avata sen käyttämällä timantteja.
TID_MYSTERY_CRATE_OPEN,arkun avaamiseen.
TID_GIFT_TOWN_TITLE,Mystinen kyläpaketti
TID_GIFT_FISHING_TITLE,Mystinen kalastuspaketti
TID_ABOUT_FSA,FSA (vain japani)
TID_NECTAR_DESCRIPTION,Mehiläiset keräävät tätä mesipensaista.
TID_NECTAR,Mesi
TID_BEE,Mehiläinen
TID_BEE_HIVE_TREE,Mehiläispesäpuu
TID_DANDELION,Mesipensas
TID_BEE_HIVE_TREE_SHOP_DESCRIPTION,Tarjoaa kodin mehiläisille.
TID_DANDELION_DESCRIPTION,Tuottaa mettä mehiläisille.
TID_BEE_HIVE,Mehiläispesä
TID_GATHERER_SHOP_DESCRIPTION,Kerää mettä ja tuottaa hunajakennoja.
TID_HONEYCOMB,Hunajakenno
TID_HONEYCOMB_DESCRIPTION,Kerää mehiläispesästä.
TID_FLOATER_COORDINATE_NOT_IN_NEST,Aseta paikkaan <PARAM>!
TID_FLOATER_NEST_FULL,<PARAM> on täynnä.
TID_GATHERER_MASTERY_INFO_POPUP_TOOLTIP,<BUILDING> on koti <PARAM> mehiläispesälle.
TID_GATHERER_MASTERY_INFO_POPUP_DESCRIPTION,"Ansaitse tähtiä, ja hanki lisää mehiläispesiä keräämällä mettä!"
TID_GATHERER_MASTERY_INFO_POPUP_PROGRESS,<COUNT>/<COUNT_LIMIT> mettä
TID_GATHERER_MASTERY_STAR_GAIN_POPUP_DESCRIPTION,<BUILDING> on nyt koti <PARAM> mehiläispesälle. Osta lisää mehiläisiä kaupasta.
TID_PRODUCT_HONEY,Hunaja
TID_PRODUCT_BEESWAX,Mehiläisvaha
TID_HONEYEXTRACTOR,Hunajalinko
TID_HONEYEXTRACTOR_DESCRIPTION,Linkoaa hunajan hunajakennoista.
TID_HONEYEXTRACTOR_PRODUCT_DESCRIPTION,Tuota hunajalingolla.
TID_DECO_SANDCASTLE,Hiekkalinna
TID_DECO_BEACHCHAIR1,Rantatuoli: Meri
TID_DECO_BEACHCHAIR2,Rantatuoli: Kesä
TID_DECO_SANDCASTLE_DESC,Koristele kylääsi.
TID_DECO_BEACHCHAIR1_DESC,Koristele kylääsi.
TID_DECO_BEACHCHAIR2_DESC,Koristele kylääsi.
TID_GATHERER_NEST_PROGRESS_HUD_RESOURCES_LEFT,<RESOURCE>: <GATHERED>/<MAX>
TID_GATHERER_NEST_READY_TO_HARVEST,Valmis kerättäväksi
TID_FLOATER_NO_SUPPORTED_MINES,Jatka tuotantoa ostamalla <PARAM>.
TID_PRODUCT_PUMPKIN_SOUP,Kurpitsakeitto
TID_PRODUCT_LOBSTERSKEWERS,Hummerivarras
TID_PRODUCT_HONEY_TOAST,Hunajapaahtari
TID_PRODUCT_HONEY_POPCORN,Hunaja-popcorn
TID_PRODUCT_HONEY_APPLE_CAKE,Hunajaomenakakku
TID_STAT_BOUGHT_FREE,Ostettuja: <BOUGHT> / Ilmaisia: <FREE>
TID_STAT_TOTAL,Yhteensä: <AMOUNT>
TID_NOTIFICATION_HIVES_READY,Hunajakennoja on valmiina kerättäväksi.
TID_TRAIN_GIFTSHOP,Lahjapuoti
TID_TRAIN_GIFTSHOP_DESC,Myy paikallisia käsintehtyjä matkamuistoja.
TID_PASSENGER_VICTORIAN_LADY,Näyttelijätär
TID_TUTORIAL_110_BEES_UNLOCKED,Hyviä uutisia: voit nyt ostaa mehiläisiä ja alkaa tuottaa herkullista hunajaa. Aloitetaan!
TID_TUTORIAL_111a_BUY_BEEHIVETREE,Osta ensin mehiläispesäpuu.
TID_TUTORIAL_112a_BUY_BEE,Osta nyt mehiläinen.
TID_TUTORIAL_113a_BUY_NECTARBUSH,"Mehiläiset tarvitsevat mettä. Osta mesipensas, jotta mehiläiset pääsevät työn touhuun."
TID_TUTORIAL_114_BEE_TUTORIAL_END,"Mainiota! Kasvata tuotantoa ostamalla lisää mehiläisiä ja mesipensaita. Muista myös rakentaa hunajalinko, jotta pääset valmistamaan ihanaa hunajaa."
TID_NO_HONEYCOMBS_TOOLTIP,"Hunajakennoja ei ole valmiina. Odota, että mehiläiset keräävät lisää mettä."
TID_DANDELION_FB_HELP_TEXT,Mesipensaani kaipaa kiireellisesti kastelua. Voitko auttaa?
TID_TUTORIAL_113a2_WAIT_FOR_BEES,Odota hetki ja anna mehiläisten kerätä mettä.
TID_DECO_GARGOYLE,Gargoili
TID_DECO_GARGOYLE_DESC,Ainutlaatuinen halloween-koriste.
TID_DECO_GARGOYLE_DESC_MOBILE,Ainutlaatuinen halloween-koriste.
TID_ADVANCED_EVENT_TITLE_HALLOWEEN2014,Halloweenin aika!
TID_EVENT_PAMFLET_HALLOWEEN2014,Halloween-tapahtuma on täällä!
TID_ADVANCED_EVENT_TEXT_HALLOWEEN2014,"Kurpitsapiirakoiden ja kurpitsakeiton kysyntä on kovimmillaan pyhien aikana. Saavuta omia tapahtumatavoitteita, niin saat hienoja palkintoja. Voit auttaa panoksellasi yhteisötavoitteen saavuttamisessa, kunhan saavutat yläpuolella olevan sinisen kuvakkeen."
TID_ADVANCED_EVENT_NOTIFICATION_HALLOWEEN2014,"Tutustu uuteen halloween-tapahtumaan, josta voit saada hienoja palkintoja!"
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_HEADER_HALLOWEEN2014,Yhteisötapahtuma
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_HALLOWEEN2014,Hei <NAME>! Kylä melkein hukkui kurpitsapiirakoihin ja kurpitsakeittoon. Kiitos kaikille osallistumisesta. Onnistuimme yhdessä! Tässä on palkinto kiitokseksi panoksestasi!
TID_ADVANCED_EVENT_SUCCESS_TITLE_HALLOWEEN2014,Kaikkien aikojen hienoin halloween!
TID_ADVANCED_EVENT_SUCCESS_TEXT_HALLOWEEN2014,Kylä oli täpötäynnä kurpitsapiirakoita ja kurpitsakeittoa. Yhteisömme sai yhdessä aikaan kaikkien aikojen hienoimman halloweenin.
TID_INVALID_GAME_CENTER_SIGNATURE_TITLE,TÄRKEÄ ILMOITUS!
TID_INVALID_GAME_CENTER_SIGNATURE_TEXT,"Yhdistäthän pelisi Game Centeriin tai Supercell ID:hen, niin voit tallentaa etenemisesi pelissä ja pelata useilla laitteilla.\nJos mahdollista, suosittelemme päivittämään laitteesi iOS7:ään tai uudempaan.\nVoit lukea lisätietoja iOS:n päivittämisestä osoitteessa http://support.apple.com/kb/HT4623"
TID_INVALID_GAME_CENTER_SIGNATURE_ACTION,OK
TID_GATHERER_HABITAT_HUD_BUTTON_TOOLTIP,Tarvitaan enemmän mettä.
TID_TUTORIAL_DOUBLE_TAP_INFO,"Tiesitkö, että lisäasetuksista voit kytkeä päälle timanttien käytön yhteydessä tehtävän kaksoisnapautusvahvistuksen? Käy katsomassa!"
TID_MASSGIFT_HALLOWEENDECO_HEADER,Halloween on päättymässä
TID_MASSGIFT_HALLOWEENDECO_TEXT,"Hei <NAME>! Poistamme pian hirmuiset halloween-koristeet kaupasta. Hanki omasi, kun vielä ehdit."
TID_MASSGIFT_HALLOWEENSEASON_HEADER,Hauskaa halloweenia!
TID_MASSGIFT_HALLOWEENSEASON_TEXT,"Hei <NAME>! Halloween on vihdoin koittanut. Käy kaupassa katsastamassa uudet, rajoitetun ajan tarjolla olevat karmivat koristeet. Muista myös käydä kalapaikalla, sillä jos sinulla käy tuuri, saatat nähdä vilauksen hurjasta halloween-kummituksesta, joka antaa sinulle yllätyslahjoja! :) Jos näet kummituksen, kerro siitä muillekin Facebook-sivulla: http://facebook.com/HayDayOfficial"
TID_CANDLEMAKER,Kynttiläkone
TID_CANDLEMAKER_DESCRIPTION,Tekee kynttilöitä.
TID_CANDLEMAKER_PRODUCT_DESCRIPTION,Tee kynttiläkoneella.
TID_PRODUCT_STRAWBERRY_CANDLE,Mansikkakynttilä
TID_PRODUCT_LEMON_CANDLE,Sitruunakynttilä
TID_PRODUCT_RASPBERRY_CANDLE,Vadelmakynttilä
TID_DECO_HAUNTED_BIRDHOUSE,Pelottava linnunpönttö
TID_DECO_HAUNTED_BIRDHOUSE_DESC,Halloween-koriste.
TID_IOS4_SUPPORT_ENDING_TITLE,Varoitus!
TID_IOS4_SUPPORT_ENDING_TEXT,"Useista teknisistä syistä johtuen joudumme valitettavasti lopettamaan tuen kaikilta versiota 5.1.1 vanhemmilta iOS-versioilta Hay Day -pelin seuraavan App Store -päivityksen myötä. Koska laitteesi käyttää tällä hetkellä vanhempaa versiota, et voi päivityksen jälkeen enää jatkaa Hay Dayn pelaamista, paitsi jos päivität laitteesi iOS-käyttöjärjestelmän tuoreimpaan versioon."
TID_IOS4_SUPPORT_ENDING_BUTTON,iOS-päivitysohje
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_TITLE,Yhteys katkesi
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE,Toinen laite yrittää yhdistää tähän farmiin.
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_BUTTON,Lataa peli uudestaan
TID_STAT_LEVEL_REWARDS_LEVEL_THRESHOLD_TITLE,"Kun yllät tason välikynnyksille, saat palkintoja:"
TID_STAT_LEVEL_REWARDS_NEXT_LEVEL_TITLE,Seuraavalla tasolla (<LEVEL>) avaat nämä palkinnot:
TID_DUCK_SALON,Sorsasalonki
TID_REPAIR_DUCK_SALON_TITLE,{size=19}Korjataanko sorsasalonki?
TID_REPAIR_DUCK_SALON_TEXT,"Nappaamasi sorsat siirtyvät automaattisesti tänne, kun olet korjannut salongin."
TID_REPAIR_DUCK_SALON_YES,Aloita korjaus
TID_DUCK_TRAP,Sorsapyydys
TID_DUCK,Sorsa
TID_DUCK_SALON_CAPACITY,Sorsasalongin tila: <COUNT>/<MAX>
TID_DUCK_READY_TO_HARVEST,Valmis kerättäväksi
TID_FLOATER_DUCK_CATCHING_COMING_SOON,Sorsien pyydystäminen avautuu tasolla <LEVEL>.
TID_REQUIRES_DUCK_SALON,Vaatii sorsasalongin ja verkontekijän.
TID_FLOATER_DUCK_SALON_FULL,Sorsasalonki on täynnä!
TID_UPGRADE_DUCK_SALON_YES,Aloita päivitys
TID_UPGRADE_DUCK_SALON_TITLE,{size=19}Päivitetäänkö sorsasalonki?
TID_UPGRADE_DUCK_SALON_TEXT,"Päivitä, niin saat lisää tilaa sorsillesi. Mitä enemmän sorsia lisäät, sen hauskempaa niillä on."
TID_DUCK_DOWN,Sorsanhöyhen
TID_DUCK_DOWN_DESCRIPTION,Saalista kalastusalueella.
TID_FLOATER_DUCK_SALON_MAX_RANK,Sorsasalonki on korkeimmalla tasolla!
TID_FLOATER_DUCK_SALON_UPGRADING,Sorsasalongin päivitys on käynnissä!
TID_NOTIFICATION_DUCK_SALON_HARVEST_READY,Sorsat ovat valmiita käsiteltäviksi!
TID_NOTIFICATIONS_SETTINGS_DUCK_SALON_HARVEST_READY,Sorsasalongin ilmoitukset
TID_ACHIEVEMENT_DUCK_DOWN,Sorsaparturi
TID_ACHIEVEMENT_DUCK_DOWN_DESCRIPTION,Kerää <NUMBER> sorsanhöyhentä.
TID_ACHIEVEMENT_DUCK_SALON,Kauneussalonki
TID_ACHIEVEMENT_DUCK_SALON_DESCRIPTION,Pidä <NUMBER> sorsaa salongissa yhtä aikaa.
TID_EXP_LEVEL_THRESHOLD_REWARD_GAINED,Tasokynnys saavutettu.
TID_STORAGE_FULL_BUTTON,Päivitä nyt
TID_FEATURE_BOAT,Laivatilaukset
TID_FEATURE_MINE,Kaivos
TID_FEATURE_FISHING,Kalastusalue
TID_FEATURE_NEIGHBORHOOD,Naapurustot
TID_FEATURE_TRAIN,Kyläalue
TID_FEATURE_LOBSTER_FISHING,Hummerit
TID_FEATURE_RSS_NEWSPAPER,Kaupankäynti
TID_FEATURE_CALENDAR_EVENTS,Tapahtumat
TID_FEATURE_TOM,Tom
TID_FEATURE_FIRST_PET,Lemmikit
TID_FEATURE_EXPANSIONS,Farmin laajennukset
TID_FEATURE_FISHING_NETS,Kalastusverkot
TID_FEATURE_BEES,Mehiläiset
TID_LEVEL_UP_CONFIRM_BUTTON_TEXT,Jatka
TID_REPUTATION_LEVEL_UP_CONFIRM_BUTTON_TEXT,Jatka
TID_ANIMAL_HABITAT_HUD_NO_ANIMAL_PRODUCT_TO_COLLECT,Yksikään <ANIMAL> ei ole valmis kerättäväksi!
TID_ANIMAL_HABITAT_HUD_NO_ANIMAL_TO_FEED,Yksikään <ANIMAL> ei ole nyt nälkäinen.
TID_STAT_LEVEL_CAP_REACHED,Olet saavuttanut tällä hetkellä korkeimman saavutettavissa olevan tason. Onnittelut!
