TID,MS
TID_FLOATER_EVENT_BOARD_UNLOCKS,Acara boleh disertai daripada tahap <LEVEL> dan seterusnya
TID_FLOATER_EVENT_BOARD_UNLOCKS_MOBILE,Acara boleh disertai daripada tahap <LEVEL> dan seterusnya
TID_CALENDAR_EVENT_BOAT_ORDER_BONUS_ALT_TEXT,"Musim bot sungai dan pelancongan pada kemuncak! Dalam tempoh acara ini, anda akan mendapat dua kali ganda duit syiling untuk melengkapkan peti kayu! Jangan lupa untuk melawat rakan anda dan membantu mereka menyiapkan bot mereka."
TID_FLOATER_VISIT_FISHING_BOAT_UNREPAIRED,Bot memancing perlu dibaiki dahulu!
TID_FLOATER_NET_MAKER_CLAIM_BUT_TACKLE_BOX_FULL,Kotak takal penuh!
TID_NETMAKER,Pembuat Jaring
TID_NETMAKER_DESCRIPTION,Menghasilkan jaring
TID_CONFIRM_REMOVE_FOLLOWER_NO,TIDAK
TID_CONFIRM_REMOVE_FOLLOWER_YES,YA
TID_CONFIRM_REMOVE_FOLLOWER_TITLE,Buang Pengikut?
TID_CONFIRM_REMOVE_FOLLOWER_TEXT,Anda pasti ingin membeli membuang <NAME> secara kekal?\nAmaran: tindakan ini tidak boleh berbalik!
TID_LOBSTER_POOL,Kolam Udang Kara
TID_REPAIR_NET_MAKER_TITLE,Baiki Pembuat Jaring?
TID_REPAIR_NET_MAKER_TEXT,"Menghasilkan jaring memancing, jaring misteri dan perangkap udang kara untuk menangkap apa jua yang terdapat dalam air ini."
TID_REPAIR_NET_MAKER_TEXT_MOBILE,"Menghasilkan jaring memancing, jaring misteri dan perangkap udang kara untuk menangkap apa jua yang terdapat dalam air ini."
TID_REPAIR_NET_MAKER_YES,Mula membaiki
TID_REPAIR_LOBSTER_POOL_TITLE,Baiki Kolam Udang Kara?
TID_REPAIR_LOBSTER_POOL_TEXT,Udang kara yang anda tangkap akan secara automatik beralih ke sini setelah anda membaiki kolam!
TID_REPAIR_LOBSTER_POOL_YES,Mula membaiki
TID_NETMAKER_PRODUCT_DESCRIPTION,Hasilkan di Pembuat Jaring
TID_LOBSTER_TRAP,Perangkap Udang Kara
TID_SOUP_KITCHEN,Dapur Sup
TID_SOUP_KITCHEN_DESCRIPTION,Menghasilkan Sup
TID_SOUP_KITCHEN_PRODUCT_DESCRIPTION,Hasilkan di Dapur Sup
TID_FISH_SOUP,Sup Ikan
TID_TOMATO_SOUP,Sup Tomato
TID_LOBSTER_SOUP,Sup Udang Kara
TID_FRUTTI_DI_MARE_PIZZA,Piza Makanan Laut
TID_LOBSTER,Udang Kara
TID_LOBSTER_POOL_CAPACITY,Kapasiti Kolam Udang Kara: <COUNT>/<MAX>
TID_FISHING_NET,Jaring Memancing
TID_MYSTERY_NET,Jaring Misteri
TID_LOBSTER_READY_TO_HARVEST,Sedia untuk diambil
TID_FLOATER_NET_FISHING_COMING_SOON,Jaring memancing dibuka kunci pada tahap <LEVEL>
TID_FLOATER_LOBSTER_FISHING_COMING_SOON,Pemancingan udang kara dibuka kunci pada tahap <LEVEL>
TID_REQUIRES_NET_MAKER,Memerlukan pembuat jaring
TID_REQUIRES_LOBSTER_POOL,Memerlukan Kolam Udang Kara dan pembuat jaring
TID_DOUBLE_TAP_CONFIRM_DIAMOND_PURCHASE,Ketik sekali lagi untuk sahkan
TID_FLOATER_LOBSTER_POOL_FULL,Kolam Udang Kara penuh!
TID_UPGRADE_LOBSTER_POOL_YES,Mulakan peningkatan
TID_UPGRADE_LOBSTER_POOL_TITLE,Tingkatkan Kolam Udang Kara?
TID_UPGRADE_LOBSTER_POOL_TEXT,"Tingkatkan untuk mendapatkan lebih banyak ruang untuk Udang Kara. Lebih banyak Udang Kara yang anda tambah, mereka lebih seronok!"
TID_TUTORIAL_DOUBLE_TAP,"Hai, kami sedang menguji pengesahan perbelanjaan berlian ketik dua kali. Lihat sekarang!"
TID_TUTORIAL_HOLDING_DOWN,"Hai, kami sedang menguji pengesahan perbelanjaan berlian. Hanya tahan butang sekejap dan lepaskan untuk belanjakan. Lihat!"
TID_TUTORIAL_FISHING_10,Hai! Saya sudah melihat beberapa barang pakcik kamu dan menemui pembuat jaring lama ini. Alat ini sudah rosak sedikit tetapi dapat membantu kamu semasa pengembaraan memancing. Mari membaikinya!
TID_TUTORIAL_FISHING_11,Ketik pembuat jaring untuk membaikinya
TID_TUTORIAL_FISHING_12,"Hebat. Sekarang, anda boleh membuat jaring. Letakkannya saja di tempat memancing, tunggu dan kembali untuk mendapatkan ganjaran."
TID_TUTORIAL_FISHING_13,Anda juga boleh menghasilkan jaring Misteri. Ini dia satu jaring percuma untuk mencubanya. Anda tidak akan kecewa.
TID_TUTORIAL_FISHING_14,Saya ternampak sekumpulan udang kara sedang berseronok di dalam air sejuk baru-baru ini. Patutkah kita membaiki kolam air panas itu untuk mereka?
TID_TUTORIAL_FISHING_15,Ketik Kolam Udang Kara untuk membaikinya
TID_TUTORIAL_FISHING_16,"Hebat! Sekarang, hasilkan perangkap udang kara dan letakkannya dalam tempat memancing. Tangkap udang kara akan secara automatik kelihatan dalam kolam."
TID_PEARLOFTHESEA,Mutiara di Lautan
TID_PEARLOFTHESEA_DESCRIPTION,Hias ladang anda
TID_LOBSTER_MEAT,Ekor udang kara
TID_LOBSTER_MEAT_DESCRIPTION,Tangkap di kawasan memancing
TID_TUTORIAL_FISHING_17,Udang kara yang anda tangkap sekarang berada dalam kolam.
TID_TUTORIAL_75,Pembuat jaring dan jaring kini dibuka kunci di kawasan memancing anda. Sila lihat.
TID_TUTORIAL_76,Pemancingan udang kara dan kolam udang kara kini dibuka kunci di kawasan memancing anda. Sila lihat.
TID_NEWSPAPER_WB_PROMO_TEXT,Untuk berita Hay Day terkini!
TID_NEWSPAPER_WB_PROMO_BUBBLE_TEXT,Terima kasih!
TID_FLOATER_LOBSTER_POOL_MAX_RANK,Kolam Udang Kara kini pada tahap maksimum!
TID_CONFIRM_SPEND_DIAMONDS_TO_PRODUCE,Anda ingin memulakan penghasilan <PRODUCT>
TID_FLOATER_LOBSTER_POOL_UPGRADING,Peningkatan Kolam Udang Kara sedang dijalankan!
TID_CHICKEN_HABITAT_SHOP_DESCRIPTION_MOBILE,Rumah untuk <CAPACITY> Ayam
TID_COW_HABITAT_SHOP_DESCRIPTION_MOBILE,Rumah untuk <CAPACITY> Lembu
TID_PIG_HABITAT_SHOP_DESCRIPTION_MOBILE,Rumah untuk <CAPACITY> Khinzir
TID_GOAT_HABITAT_SHOP_DESCRIPTION_MOBILE,Rumah untuk <CAPACITY> Kambing
TID_POPCORN_POT_DESCRIPTION_MOBILE,Menghasilkan Popcorn
TID_ICE_CREAM_MAKER_DESCRIPTION_MOBILE,Membuat Aiskrim
TID_APPLE_TREE_DESCRIPTION_MOBILE,Petik tiga kali
TID_CHERRY_TREE_DESCRIPTION_MOBILE,Petik tiga kali
TID_CACAO_TREE_DESCRIPTION_MOBILE,Petik tiga kali
TID_RASPBERRY_BUSH_DESCRIPTION_MOBILE,Petik tiga kali
TID_BLUEBERRY_BUSH_DESCRIPTION_MOBILE,Petik tiga kali
TID_NEED_MORE_POPUP_GENERIC_TEXT_MOBILE,Dapatkan sumber yang tiada dan membuat tindakan menggunakan berlian.
TID_NEED_MORE_ANIMAL_FOOD_HINT_MOBILE,Buat lebih banyak makanan untuk haiwan anda menggunakan Pengisar Makanan atau beri makan haiwan itu sekarang menggunakan berlian.
TID_TUTORIAL_01_MOBILE,Hai! Saya En. Wicker dan saya akan membantu kamu memulakan perladangan baharu kamu!
TID_TUTORIAL_04_MOBILE,"Biji benih memerlukan masa untuk tumbuh. Apabila dituai, setiap batas menghasilkan dua tanaman."
TID_TUTORIAL_05a_MOBILE,Ketik rumah anda dan seret berus padanya untuk mengecat.
TID_TUTORIAL_06a_MOBILE,Kemas! Bangsal juga boleh diwarnakan...
TID_TUTORIAL_10_MOBILE,"Hebat! Sekarang, mari dapatkan beberapa ekor ayam!"
TID_TUTORIAL_10a_MOBILE,Seret ayam dari kedai ke reban ayam.
TID_TUTORIAL_12a_MOBILE,Apa kata kita beli ayam ketiga?
TID_TUTORIAL_13a_MOBILE,Ketik ayam dan seret beg makanan pada ayam untuk memberi makan.
TID_TUTORIAL_14a_MOBILE,"Ketik ayam dan kemudian, ketik butang percepatkan!"
TID_TUTORIAL_15a_MOBILE,Cemerlang! Cepatkan ayam kedua juga.
TID_TUTORIAL_16a_MOBILE,"Luar biasa! Sekarang, percepatkan ayam ketiga."
TID_TUTORIAL_17a_MOBILE,Seret bakul pada kesemua ayam untuk mengambil telur.
TID_TUTORIAL_20_MOBILE,Bagus! Apa kata tukarkan semua gandum ini menjadi roti dengan bakeri baharu?
TID_TUTORIAL_21a_MOBILE,Tunggu pembinaan selesai atau mempercepat menggunakan berlian.
TID_TUTORIAL_23a_MOBILE,Selesaikan pembakaran segera dengan mengetik butang Percepatkan di bawah roti. Bau enak!
TID_TUTORIAL_24_MOBILE,"Apabila naik tahap, anda membuka peningkatan baharu. Sekarang, ada tiga petak tanaman untuk dibeli di kedai!"
TID_TUTORIAL_24a_MOBILE,Buka menu kedai dan seret tiga petak tanaman baharu ke tanah anda.
TID_TUTORIAL_25a_MOBILE,Mari tanam lebih banyak biji benih. Ingat bagaimana? (Ketik pada batas!)
TID_TUTORIAL_26_MOBILE,Haiwan yang gembira mewujudkan ladang yang menyeronokkan. Pastikan haiwan anda tidak kelaparan dengan membina pengisar makanan!
TID_TUTORIAL_26a_MOBILE,Beli pengisar makanan dengan menyeretnya dari kedai ke tanah anda.
TID_TUTORIAL_27_MOBILE,"Perniagaan menguntungkan! Teruskan menuai dari batas, membakar roti dan menghasilkan telur untuk dijual."
TID_TUTORIAL_28_MOBILE,"Bip, bip, trak penghantaran telah tiba! Bersedia untuk memenuhi banyak pesanan!"
TID_TUTORIAL_29_MOBILE,Papan pesanan menunjukkan pesanan yang tersedia. Dapatkan wang dan pengalaman dengan menghantarnya.
TID_TUTORIAL_29a_MOBILE,Ketik trak atau papan pesanan untuk membuat penghantaran pertama anda.
TID_TUTORIAL_30_MOBILE,"Itu dia! Sekarang, trak penghantaran dalam perjalanan ke tadika."
TID_TUTORIAL_30a_MOBILE,Penduduk bandar ini inginkan hasil segar dari ladang kita! Mari penuhi pesanan yang lain.
TID_TUTORIAL_31_MOBILE,"Anda memang pandai menguruskan ini! Buat masa ini, teruskan aktiviti perladangan dan penuhi pesanan!"
TID_TUTORIAL_36_MOBILE,Moooo! Sudah lama tiada lembu di sini!
TID_TUTORIAL_39_MOBILE,Lembu yang diberi makan dengan baik menghasilkan susu berkhasiat untuk dikumpulkan.
TID_TUTORIAL_40_MOBILE,"Apabila anda mempunyai wang yang mencukupi, beli penghasil tenusu dari kedai. Penghasil tenusu boleh memproses susu menjadi krim, mentega dan keju!"
TID_TUTORIAL_42_MOBILE,Hai! Saya Mike dan saya menguruskan kilang berdekatan bandar. Apakah nama ladang kamu yang cantik ini?
TID_TUTORIAL_45_MOBILE,Seronok melihat ada orang menjaga tempat ini. Jumpa kamu lagi!
TID_TUTORIAL_46_MOBILE,"Adakah bau enak itu datang dari sini? Oh, maafkan saya! Nama saya Joan."
TID_TUTORIAL_GUEST1_MOBILE,Kita ada pelawat! Ketik dia untuk melihat apa yang dia hendak katakan!
TID_TUTORIAL_47a_MOBILE,Mari buka penutup dengan mengetiknya.
TID_TUTORIAL_48a_MOBILE,"Tunggu trak penghantaran kembali dengan ganjaran anda, kemudian ketik untuk menuntutnya!"
TID_TUTORIAL_47_MOBILE,"Lihat, kanak-kanak dari tadika menghantarkan nota ucapan terima kasih kepada anda!"
TID_TUTORIAL_48_MOBILE,"Hai, saya Greg, jiran kamu. Jika kamu perlukan beberapa alat, datang ke tempat saya dan saya akan bantu kamu!"
TID_TUTORIAL_49_MOBILE,Kita boleh gunakan alat untuk membersihkan tanah. Mari lawat ladang Greg!
TID_TUTORIAL_50_MOBILE,Selamat datang ke ladang saya! Pastikan kamu melihat barang yang dijual di Gerai Tepi Jalan saya ini!
TID_TUTORIAL_51_MOBILE,"Terima kasih kerana melawat! Ingat, kamu boleh melawat saya atau rakan kamu pada bila-bila masa yang kamu mahu!"
TID_TUTORIAL_52_MOBILE,"Wow, Greg banyak membantu. Anda boleh menambah lebih ramai rakan sebagai jiran dari Bar Rakan."
TID_TUTORIAL_53_MOBILE,Ini ialah Gerai Tepi Jalan anda. Anda boleh meletakkan barangan untuk dijual di situ untuk dibeli oleh pemain lain.
TID_TUTORIAL_54_MOBILE,"Anda boleh memutuskan jumlah hasil yang anda ingin jual, tetapkan harga atau iklankan di dalam surat khabar tempatan! Sila cuba!"
TID_TUTORIAL_56_MOBILE,Hai! Perlukan bantuan untuk menanam tanaman baharu kamu? Saya boleh berikan kamu sedikit petua!
TID_TUTORIAL_55_MOBILE,"Anda boleh mencari surat khabar dalam peti mel anda. Dari situ, anda boleh melihat barang yang dijual oleh orang lain."
TID_TUTORIAL_59_MOBILE,Itu ialah koleksi yang anda boleh dapat daripada pesanan bot yang lengkap dan tempat lain! Ini untuk anda...
TID_TUTORIAL_60_MOBILE,Ketik rumah dan isikan mangkuk kosong dengan makanan yang menyelerakan!
TID_TUTORIAL_61_MOBILE,"Sekarang, tunggu sehingga haiwan peliharaan anda tidur semula."
TID_TUTORIAL_66_MOBILE,Perlukan lebih ruang? Jangan risau! Anda boleh mula meluaskannya sekarang.
TID_TUTORIAL_67_MOBILE,Mungkin ini masa yang baik untuk membaiki lombong lama? Mana tahu ada harta karun di dalamnya.
TID_TUTORIAL_68_MOBILE,"Tahniah, dok telah dibaiki! Sekarang, anda boleh melengkapkan pesanan bot."
TID_TUTORIAL_70_MOBILE,"Kamu pernah melihat peti surat yang baharu dan berkilat? Oh, saya rasa ada orang datang. Kamu dengar bunyi siulan?"
TID_TUTORIAL_71_MOBILE,Yeay! Kamu telah menerima surat pertama. Sila buka dengan mengklik peti surat.
TID_TUTORIAL_73_MOBILE,Bagaimanakah anda boleh mendapatkan lebih banyak surat? Bantu saja petani lain di ladang mereka dan mereka mungkin menghantarkan surat kepada anda sebagai balasan!
TID_TUTORIAL_74_MOBILE,"Jika bernasib baik, mungkin surat itu mengandungi kad hadiah. Ingat: Posmen akan melawat anda sekali sehari."
TID_TUTORIAL_GUEST6_MOBILE,Ketik Gerai Tepi Jalan Greg untuk melihat barang yang dijual!
TID_STORAGE_UPGRADE_DESCRIPTION_MOBILE,Tingkatkan Stor kepada <CAPACITY>
TID_EXPANSION_DESCRIPTION_MOBILE,Lebih kawasan untuk bangunan anda
TID_TUTORIAL_FISHING_14_MOBILE,Saya ternampak sekumpulan udang kara sedang berseronok di dalam air sejuk baru-baru ini. Patutkah kita membaiki kolam air panas itu untuk mereka?
TID_TUTORIAL_64_MOBILE,Hai! Kamu perlukan bantuan dengan piza?
TID_TUTORIAL_FISHING_2_MOBILE,"Dia terapung lagi! Jangan ragu-ragu, bawanya ke sungai."
TID_TUTORIAL_FISHING_16_MOBILE,"Hebat! Sekarang, hasilkan perangkap udang kara dan letakkannya dalam tempat memancing. Tangkap udang kara akan secara automatik kelihatan dalam kolam."
TID_TUTORIAL_FISHING_12_MOBILE,"Hebat. Sekarang, anda boleh membuat jaring. Letakkannya saja di tempat memancing, tunggu dan kembali untuk mendapatkan ganjaran."
TID_TUTORIAL_FISHING_13_MOBILE,Anda juga boleh menghasilkan jaring Misteri. Ini dia satu jaring percuma untuk mencubanya. Anda tidak akan kecewa.
TID_PLANK_DESCRIPTION_MOBILE,Gunakan untuk meningkatkan Bangsal anda
TID_NAIL_DESCRIPTION_MOBILE,Gunakan untuk meningkatkan Silo anda
TID_BOLT_DESCRIPTION_MOBILE,Gunakan untuk meningkatkan Bangsal anda
TID_SCREW_DESCRIPTION_MOBILE,Gunakan untuk meningkatkan Silo anda
TID_DUCT_TAPE_DESCRIPTION_MOBILE,Gunakan untuk meningkatkan Bangsal anda
TID_WOOD_PANEL_DESCRIPTION_MOBILE,Gunakan untuk meningkatkan Silo anda
TID_DEMOLITION_CHARGE_DESCRIPTION_MOBILE,Gunakan untuk memusnahkan batu besar
TID_AXE_DESCRIPTION_MOBILE,Gunakan untuk memotong pokok kecil
TID_BARBECUE_PRODUCT_DESCRIPTION_MOBILE,Hasilkan di Gril BBQ
TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION_MOBILE,Hasilkan di Pembuat Aiskrim
TID_RASPBERRY_DESCRIPTION_MOBILE,Ambil dari Rimbunan Raspberi
TID_CASH_DESCRIPTION_MOBILE,Beli barang dan peningkatan untuk ladang anda
TID_DIAMONDS_DESCRIPTION_MOBILE,Galakkan pengeluaran dan beli barang yang tiada
TID_ORDER_SCREEN_SELECT_ORDER_MOBILE,Pilih pesanan dari kiri.
TID_PEOPLE_ORDER_GREETING10_MOBILE,Hai! Saya membeli-belah untuk Nenek.
TID_ABOUT_TEXT_MOBILE,Hay Day (tm) V. <VERSION>\n\nHak Cipta 2012-2025 Supercell Oy. Hak Cipta Terpelihara.\n\nSemua penggunaan perisian ini tertakluk pada\nTerma Perkhidmatan di http://www.supercell.net/terms-of-service dan Dasar Privasi di http://www.supercell.net/privacy-policy\n\nKREDIT\n<CREDITS>\n\n
TID_ACHIEVEMENT_PRETTY_FARMER_DESCRIPTION_MOBILE,Melabur <NUMBER> duit syiling untuk menghias ladang anda
TID_ACHIEVEMENT_LOCAL_SELLER_DESCRIPTION_MOBILE,Buat <NUMBER> duit syiling dalam penjualan di gerai tepi jalan anda
TID_ACHIEVEMENT_TURBO_HARVEST_DESCRIPTION_MOBILE,Tuai <NUMBER> batas dalam <MINUTES> minit
TID_ACHIEVEMENT_TURBO_CAR_ORDERS_DESCRIPTION_MOBILE,Hantar <NUMBER> pesanan trak dalam <MINUTES> minit
TID_NEED_MORE_FRIENDS_MOBILE,Memerlukan <NUMBER> rakan Supercell ID baharu untuk buka!
TID_BOY_FIRST_POPUP_TEXT_MOBILE,"Hai, saya Tom dan saya boleh melakukan kerja seharian untuk kamu. Saya akan tunggu di gerai tepi jalan kamu!"
TID_ACHIEVEMENT_GREEN_THUMB_DESCRIPTION_MOBILE,Segarkan <NUMBER> pokok buah atau rimbunan beri
TID_CAT_DESCRIPTION_MOBILE,Beri makan untuk mengumpul mata
TID_DOG_DESCRIPTION_MOBILE,Beri makan untuk mengumpul mata
TID_TUTORIAL_58_MOBILE,"Sekarang, anda boleh menggunakan baucar untuk membeli haiwan peliharaan dan item hebat lain di kedai!"
TID_VOUCHER1_DESCRIPTION_MOBILE,Gunakan untuk menukar item istimewa di kedai
TID_VOUCHER2_DESCRIPTION_MOBILE,Gunakan untuk menukar item istimewa di kedai
TID_VOUCHER3_DESCRIPTION_MOBILE,Gunakan untuk menukar item istimewa di kedai
TID_VOUCHER4_DESCRIPTION_MOBILE,Gunakan untuk menukar item istimewa di kedai
TID_COFFEE_DESCRIPTION_MOBILE,Petik daripada Rimbunan Kopi
TID_COFFEE_BUSH_DESCRIPTION_MOBILE,Petik tiga kali
TID_CAFE_DESCRIPTION_MOBILE,Menghasilkan minuman panas
TID_HOLIDAYTREE_DESCRIPTION_MOBILE,Raikan Musim Cuti
TID_GIFTS_DESCRIPTION_MOBILE,Raikan Musim Cuti
TID_TOYSOLDIER_DESCRIPTION_MOBILE,Raikan Musim Cuti
TID_CANDYPOLE_DESCRIPTION_MOBILE,Raikan Musim Cuti
TID_HOLIDAYFLOWER_DESCRIPTION_MOBILE,Raikan Musim Cuti
TID_SNOWMAN_DESCRIPTION_MOBILE,Raikan Musim Cuti
TID_FROZENPOND_1_DESCRIPTION_MOBILE,Raikan Musim Cuti
TID_FROZENPOND_2_DESCRIPTION_MOBILE,Raikan Musim Cuti
TID_HORSE_DESCRIPTION_MOBILE,Beri makan untuk mengumpul mata
TID_BIRD_BATH_DESCRIPTION_MOBILE,Menarik burung
TID_NEWSPAPER_FB_PROMO_TEXT_MOBILE,Untuk berita Hay Day terkini!
TID_FISHING_SPOT_UNLOCK_DESCRIPTION_MOBILE,Ikan baru yang menyeronokkan sedang menunggu di tempat ini.
TID_TUTORIAL_FISHING_5_MOBILE,Ini tempat memancing yang bagus untuk pemancing baharu. Cuba tangkap seekor ikan. Bersabar dan tunggu ikan gigit.
TID_TUTORIAL_FISHING_8_MOBILE,"Dengan meja kerja ini, anda boleh mencipta umpan baharu. Umpan cacing mengambil masa untuk dibuat tetapi kebanyakan ikan tidak sukakannya."
TID_TUTORIAL_FISHING_9_MOBILE,"Gunakan baucar untuk mencipta umpan khas yang menarik perhatian ikan berlainan. Setelah selesai, semua umpan anda disimpan dalam kotak takal. Semoga berjaya! Jika anda perlukan arahan, ketik saja pada saya."
TID_REPAIR_MINE_TEXT_MOBILE,"Di lombong, anda boleh menggali barangan menggunakan Dinamit, Tong TNT dan Penyodok. Anda boleh menemui bijih yang berharga dan juga berlian!"
TID_REPAIR_LOBSTER_POOL_TEXT_MOBILE,Udang kara yang anda tangkap akan secara automatik beralih ke sini setelah anda membaiki kolam!
TID_TUTORIAL_75_MOBILE,Pembuat jaring dan jaring kini dibuka kunci di kawasan memancing anda. Sila lihat.
TID_TUTORIAL_76_MOBILE,Pemancingan udang kara dan kolam udang kara kini dibuka kunci di kawasan memancing anda. Sila lihat.
TID_REQUIRES_LOBSTER_POOL_MOBILE,Memerlukan Kolam Udang Kara dan pembuat jaring
TID_EVENT_CONTRIBUTE_BUTTON,Sumbangkan
TID_EVENT_CRATE_TEXT,Ketik untuk menambah
TID_MASSGIFT_GLOBAL_EVENT_FOOTER_REGARDS,Yang ikhlas
TID_MASSGIFT_GLOBAL_EVENT_FOOTER_MAYOR,Datuk Bandar
TID_RATE_APP_MESSAGE_ANDROID,Sila nilai kami di Google Play supaya kami boleh terus menghasilkan permainan hebat!
TID_DECO_HALLOWEEN_TOMBSTONE,Batu Nisan
TID_DECO_HALLOWEEN_PUMPKINTOTEM,Kekaki Labu
TID_DECO_HALLOWEEN_COFFIN,Keranda Rahsia
TID_DECO_HALLOWEEN_DEAD_TREE,Pokok Labah-labah
TID_DECO_HALLOWEEN_PUMPKIN,Tanglung Labu
TID_DECO_HALLOWEEN_CAULDRON,Kauldron Gula-gula
TID_DECO_HALLOWEEN_TOMBSTONE_DESC,Hiasan Halloween
TID_DECO_HALLOWEEN_PUMPKINTOTEM_DESC,Hiasan Halloween
TID_DECO_HALLOWEEN_COFFIN_DESC,Hiasan Halloween unik
TID_DECO_HALLOWEEN_COFFIN_DESC_MOBILE,Hiasan Halloween unik
TID_DECO_HALLOWEEN_DEAD_TREE_DESC,Hiasan Halloween
TID_DECO_HALLOWEEN_PUMPKIN_DESC,Hiasan Halloween
TID_DECO_HALLOWEEN_CAULDRON_DESC,Hiasan Halloween
TID_DECO_HALLOWEEN_FENCE_08,Pagar Tanah Perkuburan
TID_DECO_HALLOWEEN_FENCE_08_DESC,Hiasan Halloween
TID_TOP_CONTRIBUTORS,Penyumbang utama
TID_RECENT_CONTRIBUTORS,Penyumbang terkini
TID_CALENDAR_EVENT_THRESHOLD_REWARD_GAINED,Matlamat acara peribadi dicapai!
TID_NOTIFICATIONS_SETTINGS_ORDER_READY,Makluman Pesanan Kereta
TID_NOTIFICATIONS_SETTINGS_ROADSIDE_SHOP,Makluman Gerai Tepi Jalan
TID_NOTIFICATIONS_SETTINGS_CROPS,Makluman Tanaman
TID_NOTIFICATIONS_SETTINGS_ANIMALS,Makluman Haiwan
TID_NOTIFICATIONS_SETTINGS_CONSTRUCTION_BUILDING,Makluman Bangunan
TID_NOTIFICATIONS_SETTINGS_TOM,Makluman Tom
TID_NOTIFICATIONS_SETTINGS_BOAT,Makluman Bot Sungai
TID_NOTIFICATIONS_SETTINGS_MASTERY_STAR,Makluman Penguasaan
TID_NOTIFICATIONS_SETTINGS_MISCELLANEOUS,Pelbagai makluman
TID_NOTIFICATIONS_SETTINGS_CALENDAR_EVENT,Maklumat Acara
TID_CANDY_MACHINE_DESCRIPTION_MOBILE,Menghasilkan\ngula-gula
TID_MASTERY_INFO_POPUP_TOOLTIP_COINS_MOBILE,Semua pesanan trak dari <BUILDING> akan memberikan <BONUS> duit syiling.
TID_MASTERY_INFO_POPUP_TOOLTIP_TIME_MOBILE,Semua barangan <BUILDING> akan dihasilkan <BONUS> lebih cepat.
TID_TOOLS_OFFER_DESCRIPTION_MOBILE,Item jarang ini sekarang -<DISCOUNT>% diskaun!
TID_CONFIRM_SPEND_DIAMONDS_DESCRIPTION_MOBILE,Adakah anda ingin membeli bintang Penguasaan seterusnya sekarang?
TID_BOY_HIRE_OFFER_TEXT_MOBILE,Terima kasih kerana mengupah saya. Saya akan berikan diskaun jika anda mengupah saya semula dalam masa beberapa minit selepas ini.
TID_TUTORIAL_FISHING_3_MOBILE,"Mengejutkan! Saya dah lama tidak tengok bot itu! Pakcik anda dan saya telah berseronok memancing dalam bot itu. Kamu juga patut cuba memancing, kamu akan sukakannya! Hehe!"
TID_FISH_2_DESCRIPTION_MOBILE,Ikan hebat dan agung bertukar menjadi merah terang pada musim bunga. Sukakan dasar sungai berpasir.
TID_FISH_6_DESCRIPTION_MOBILE,Selera salmon yang tidak pernah puas menyebabkan ikan ini sentiasa ingin menggigit.
TID_FISH_7_DESCRIPTION_MOBILE,"Biasa dan mudah untuk ditangkap, ikan yang disukai ini masih menikmati keseronokkan apabila dikejar."
TID_FISH_13_DESCRIPTION_MOBILE,Penjaga tasik! Suka makan sampah untuk menjaga kebersihan tasik ini.
TID_FISH_14_DESCRIPTION_MOBILE,"Selepas perjalanan yang lama di sungai, pengembara ini sedia untuk berehat."
TID_FISH_17_DESCRIPTION_MOBILE,Kehadiran ikan lagun di tasik ini menunjukkan bahawa tasik anda mempunyai habitat yang menakjubkan.
TID_FISH_19_DESCRIPTION_MOBILE,Ikan umpan ini berkawan dengan banyak spesies. Penjaga anaknya ialah moluska!
TID_FISH_25_DESCRIPTION_MOBILE,"Pantas, kecil dan licik, ikan ini sukar untuk ditangkap tetapi sudah tentu berbaloi!"
TID_FISH_27_DESCRIPTION_MOBILE,Pakar memburu serangga dan sangat kuat. Pegang rod anda dengan berhati-hati!
TID_FISH_31_DESCRIPTION_MOBILE,Suka bersantai di dalam kolam yang selesa daripada melompat ke hulu sungai.
TID_FISH_36_DESCRIPTION_MOBILE,Ini ialah spesimen hebat dengan sisik bersinar dan berenang dengan gemalai.
TID_FISH_38_DESCRIPTION_MOBILE,"Bersinar, licin dan cantik, ikan ini sangat suka menunjuk-nunjuk sisiknya."
TID_FISH_43_DESCRIPTION_MOBILE,Suka air yang sejuk dan berenang secara berkelompok. Ikan ini ingin menonjol dalam hidupnya.
TID_FISH_47_DESCRIPTION_MOBILE,"Sentiasa bergaya dalam warna merah dan emas, tiada apa yang boleh menggoyahkan keyakinan ikan yang ketinggalan zaman ini!"
TID_FISH_48_DESCRIPTION_MOBILE,"Bukan ikan bass terbesar, ikan ini masih mempunyai kelakuan bintang rock dan sirip untuk menyokongnya."
TID_FISH_50_DESCRIPTION_MOBILE,"Penakluk sebenar, ikan ini mempunyai impian untuk menakluk tasik baharu sejak zaman mudanya."
TID_FISH_52_DESCRIPTION_MOBILE,"Pandai menyamar, ikan bass ini ialah tangkapan yang amat mengagumkan. Bolehkah anda mengumpannya?"
TID_FISH_55_DESCRIPTION_MOBILE,"Besar dan cantik, salah satu tangkapan air tawar paling jarang ditemui. Jaganya elok-elok!"
TID_FISH_56_DESCRIPTION_MOBILE,Sentiasa berada pada ekor ikan lain! Mereka menghargainya jika anda mengambil tombak itu untuk seketika.
TID_FISH_57_DESCRIPTION_MOBILE,Ikan kerakap ini tahu waktu yang sesuai untuk menutup mulut besarnya. Gunakan umpan yang cantik!
