TID,ES
TID_SMALLPOND,Charquita
TID_WATERWELL_DESCRIPTION,Decora tu granja.
TID_WATERWELL,Pozo
TID_WHITEBENCH_DESCRIPTION,Decora tu granja.
TID_WHITEBENCH,Banco de jardín
TID_FENCE_04_DESCRIPTION,Decora tu granja.
TID_FENCE_04,Seto
TID_FENCE_05_DESCRIPTION,Decora tu granja.
TID_FENCE_05,Seto con flores
TID_WHEEL_OF_FORTUNE_TITLE,Ruleta de la fortuna
TID_WHEEL_OF_FORTUNE_JACKPOT_TITLE,Bote
TID_WHEEL_OF_FORTUNE_BUY_MORE_SPINS,Nueva tirada
TID_WHEEL_OF_FORTUNE_JACKPOT,¡Bote!
TID_WHEEL_OF_FORTUNE_FREESPIN,¡Vuelve a tirar!
TID_MOVIE_TICKET_TITLE,Noche de cine
TID_MOVIE_TICKET_QUESTION,¿Ver el tráiler?
TID_MOVIE_TICKET_REWARD,Conseguirás:
TID_MOVIE_TICKET_BONUS_TITLE,¡Qué bien ha estado!
TID_MOVIE_TICKET_BONUS_TEXT,Bonus:
TID_MOVIE_TICKET_REWARD_TITLE,¡Gracias por ver el tráiler!
TID_MOVIE_TICKET_REWARD_TEXT,Tienes:
TID_MOVIE_TICKET_CLAIM_BUTTON,Reclamar recompensa
TID_ACHIEVEMENT_STEVEDORE,Estibador
TID_ACHIEVEMENT_CAPTAIN,Capitán
TID_ACHIEVEMENT_CAPTAIN_DESCRIPTION,Carga completamente <NUMBER> botes seguidos.
TID_ACHIEVEMENT_CAPTAIN_DESCRIPTION_MOBILE,Carga completamente <NUMBER> botes seguidos.
TID_ACHIEVEMENT_GOAT_GOADER,Cabrero
TID_ACHIEVEMENT_GOAT_GOADER_DESCRIPTION,Recoge <NUMBER> botellas de leche de cabra.
TID_ACHIEVEMENT_GOAT_GOADER_DESCRIPTION_MOBILE,Recoge <NUMBER> botellas de leche de cabra.
TID_ACHIEVEMENT_FRUIT_FARMER,Agricultor de frutas
TID_ACHIEVEMENT_FRUIT_FARMER_DESCRIPTION,Recoge <NUMBER> frutas.
TID_ACHIEVEMENT_BERRY_PICKER,Recolector de bayas
TID_ACHIEVEMENT_BERRY_PICKER_DESCRIPTION,Recoge <NUMBER> bayas.
TID_ACHIEVEMENT_GREEN_THUMB,Manos de jardinero
TID_ACHIEVEMENT_GREEN_THUMB_DESCRIPTION,Revive <NUMBER> árboles frutales o arbustos de bayas.
TID_ACHIEVEMENT_GOLD_MINER,Minero de oro
TID_ACHIEVEMENT_GOLD_MINER_DESCRIPTION,Extrae <NUMBER> minerales de oro.
TID_ACHIEVEMENT_HELTER_SMELTER,Fundidor imparable
TID_ACHIEVEMENT_HELTER_SMELTER_DESCRIPTION,Produce <NUMBER> lingotes de metales preciosos.
TID_OUTHOUSE_DESCRIPTION,Decora tu granja.
TID_SWINGSET_DESCRIPTION,Anima tu granja.
TID_BONFIRE_DESCRIPTION,Anima tu granja.
TID_FOUNTAIN_DESCRIPTION,Anima tu granja.
TID_WOODPILE_DESCRIPTION,Decora tu granja.
TID_FENCE_06_DESCRIPTION,Decora tu granja.
TID_FLOWERLOG_DESCRIPTION,Atrae mariposas.
TID_OUTHOUSE,Letrina
TID_SWINGSET,Columpio de jardín
TID_BONFIRE,Fogata
TID_FOUNTAIN,Fuente
TID_WOODPILE,Pila de madera
TID_FENCE_06,Muro de ladrillos
TID_FLOWERLOG,Lirios
TID_GC_CHALLENGE_BUTTON,Retar a un amigo
TID_STAT_TOTAL_LIKES_NAME,Total de Me gusta:
TID_FARM_LIKED,¡Te gusta esta granja! Total de Me gusta: <NUMBER>.
TID_FARM_ALREADY_LIKED,Ya has dejado claro que te gusta. Total de Me gusta: <NUMBER>.
TID_VOUCHERS_GENERIC,Tiques
TID_VOUCHER1,Tique verde
TID_VOUCHER2,Tique azul
TID_VOUCHER3,Tique morado
TID_VOUCHER4,Tique dorado
TID_BUY_VOUCHERS_POPUP_TITLE,Tus tiques
TID_DOG_HOUSE,Caseta de perro
TID_DOG_HOUSE_SHOP_DESCRIPTION,Caben <CAPACITY> perros.
TID_CAT_HOUSE,Caseta de gato
TID_CAT_HOUSE_SHOP_DESCRIPTION,Caben <CAPACITY> gatos.
TID_CAT1,Gato bicolor
TID_CAT2,Gato atigrado
TID_CAT3,Gato tricolor
TID_DOG1,Perro cobrador
TID_DOG2,Perro pinscher
TID_DOG3,Perro de caza
TID_CAT_DESCRIPTION,Aliméntalo para conseguir puntos.
TID_DOG_DESCRIPTION,Aliméntalo para conseguir puntos.
TID_ISSUE_TYPE_TITLE,Tipo de problema
TID_ISSUE_TYPE_PURCHASE,Problema con las compras
TID_ISSUE_TYPE_CONNECTION,Problema de conexión
TID_ISSUE_TYPE_REPORT_PROBLEM,Otro problema
TID_ISSUE_TYPE_FEEDBACK,Dejar comentarios
TID_ISSUE_DESCRIBE,<details>\n\n\n--------¡NO BORRAR!--------\n<tags>\n------------------------------
TID_FAQ_UPDATES_BUTTON,Últimas actualizaciones
TID_FAQ_FORUMS_BUTTON,¡Únete a la comunidad de Hay Day!
TID_LAND_DEED,Escritura de tierras
TID_LAND_DEED_DESCRIPTION,Sirve para ampliar tu granja.
TID_MALLET,Maza
TID_MALLET_DESCRIPTION,Sirve para ampliar tu granja.
TID_STAKE,Estaca para marcar
TID_STAKE_DESCRIPTION,Sirve para ampliar tu granja.
TID_RASPBERRY_MUFFIN,Magd. frambuesa
TID_BLACKBERRY_MUFFIN,Magd. mora
TID_BERRY_CAKE,Pastel de bayas
TID_EXPANSION_TITLE,¡Amplía tu granja!
TID_EXPANSION_DESCRIPTION,¡Más espacio para tus edificios!
TID_BOAT_ORDER_HELP_BUTTON,Pedir ayuda
TID_BOAT_ORDER_HELP_ALREADY_COMPLETED,¡Ya has llenado esta caja!
TID_TUTORIAL_58,¡Ahora puedes utilizar los tiques para comprar mascotas y otras cosas geniales de la tienda!
TID_VOUCHERS_GENERIC_DESCRIPTION,Reúne tiques y cámbialos por artículos especiales.
TID_VOUCHER1_DESCRIPTION,Sirve para comprar artículos especiales de la tienda.
TID_VOUCHER2_DESCRIPTION,Sirve para comprar artículos especiales de la tienda.
TID_VOUCHER3_DESCRIPTION,Sirve para comprar artículos especiales de la tienda.
TID_VOUCHER4_DESCRIPTION,Sirve para comprar artículos especiales de la tienda.
TID_BUY_VOUCHERS_POPUP_TEXT,Consigue tiques realizando pedidos del barco y de otros lugares para cambiarlos por artículos especiales.
TID_STAT_MOST_OFFERS_IN_DAY_NAME,Récord de repartos con la camioneta en un día:
TID_STAT_MOST_VISITORS_IN_DAY_NAME,Récord de visitas de jugadores en un día:
TID_STAT_BIGGEST_PROFIT_NAME,Récord de ingresos en el puesto de venta en un día:
TID_IN_APP_PURCHASES_DISABLED,Activa las compras integradas en los ajustes de tu dispositivo.
TID_IN_APP_PURCHASES_DISABLED_ANDROID,Necesitas una cuenta de Google para hacer compras. Crea una con el siguiente botón.
TID_IAP_NOT_AVAILABLE_OLD_GOOGLE_PLAY,¡Las compras no están disponibles! Actualiza la aplicación en Google Play Store.
TID_SOCIAL_LOGIN_1_TEXT_2,Conecta con <SOCIAL_1> para comerciar con tus amigos.
TID_SOCIAL_LOGIN_2_TEXT_2,Conecta con <SOCIAL_1> o <SOCIAL_2> para comerciar con tus amigos.
TID_COFFEE_DESCRIPTION,Se recogen de la planta de café.
TID_COFFEE,Granos de café
TID_COFFEE_BUSH_DESCRIPTION,Puedes recoger hasta tres veces.
TID_COFFEE_BUSH_FB_HELP_TEXT,Mi planta de café necesita agua urgentemente. ¿Puedes ayudarme a regarla?
TID_COFFEE_BUSH,Planta de café
TID_HELP_BAR_INFO,Aquí verás si alguno de tus amigos necesita ayuda.
TID_CAFE,Cafetería
TID_CAFE_DESCRIPTION,Aquí se hacen bebidas calientes.
TID_CAFE_PRODUCT_DESCRIPTION,Se hace en la cafetería.
TID_CHANGE_FARM_CONFIRM_TITLE,¿Cargar granja <NAME> ?
TID_CHANGE_FARM_CONFIRM_INFO,{size=17}Escribe CONFIRMAR si quieres cargar la granja de <NAME> y eliminar la actual.
TID_CHANGE_FARM_CONFIRM_STRING_UPPER,CONFIRMAR
TID_CHANGE_FARM_CONFIRM_STRING_LOWER,confirmar
TID_ACHIEVEMENT_STEVEDORE_DESCRIPTION,Consigue <NUMBER> monedas cargando mercancía en el barco.
TID_ESPRESSO,Café expreso
TID_CAFFE_LATTE,Café con leche
TID_CAFFE_MOCHA,Café moca
TID_RASPBERRY_MOCHA,Moca con frambuesa
TID_HOT_CHOCOLATE,Chocolate caliente
TID_HOLIDAYTREE,Árbol navideño
TID_GIFTS,Regalos
TID_TOYSOLDIER,Soldado de juguete
TID_CANDYPOLE,Poste de caramelo
TID_HOLIDAYFLOWER,Planta de Navidad
TID_SNOWMAN,Sr. Nieve
TID_FROZENPOND_1,Charquita helada
TID_FROZENPOND_2,Charca helada
TID_HOLIDAYTREE_DESCRIPTION,Celebra las fiestas.
TID_GIFTS_DESCRIPTION,Celebra las fiestas.
TID_TOYSOLDIER_DESCRIPTION,Celebra las fiestas.
TID_CANDYPOLE_DESCRIPTION,Celebra las fiestas.
TID_HOLIDAYFLOWER_DESCRIPTION,Celebra las fiestas.
TID_SNOWMAN_DESCRIPTION,Celebra las fiestas.
TID_FROZENPOND_1_DESCRIPTION,Celebra las fiestas.
TID_FROZENPOND_2_DESCRIPTION,Celebra las fiestas.
TID_SHOP_STORAGE,Almacenados:
TID_PURCHASE_LIMIT_POPUP_TITLE,Límite de gasto alcanzado
TID_PURCHASE_LIMIT_POPUP_INFO,"Como medida de precaución, no podrás volver a comprar hasta que pasen:"
TID_PURCHASE_LIMIT_POPUP_CONFIRM,Comprar igualmente
TID_PURCHASE_LIMIT_CONFIRM_TITLE,Confirmar la compra
TID_PURCHASE_LIMIT_CONFIRM_INFO,"Para adquirir esto (<ITEM>) por <PRICE>, escribe \q<CONFIRM>\q."
TID_PURCHASE_LIMIT_CONFIRM_TEXT_UPPER,CONFIRMAR
TID_PURCHASE_LIMIT_CONFIRM_TEXT_LOWER,confirmar
TID_TLO_PURCHASE_BUTTON,Comprar
TID_TLO_POPUP_TITLE,Oferta especial
TID_TLO_TIME_LEFT,Tiempo restante:
TID_TLO_TIME_LEFT_M_S,<M>:<S>
TID_TLO_EXPIRED,Oferta caducada
TID_TLO_DESCRIPTION,¡Te hemos seleccionado para ofrecerte un increíble descuento!
TID_PN_HELP_WITH_BOAT_ORDER,¡<NAME> te ha ayudado con el pedido del barco!
TID_PN_HELP_WITH_BOAT_ORDER_ANONYMOUS,¡Alguien te ha ayudado con el pedido del barco!
TID_HORSE_HOUSE,Establo
TID_HORSE_HOUSE_SHOP_DESCRIPTION,Caben <CAPACITY> caballos.
TID_HORSE1,Caballo castaño
TID_HORSE2,Caballo palomino
TID_HORSE3,Caballo pinto
TID_HORSE_DESCRIPTION,Aliméntalo para conseguir puntos.
TID_REGULAR_TOPIARY,Topiario clásico
TID_CONE_TOPIARY,Topiario cónico
TID_BRIDGE,Puente
TID_WATERFALL,Cascada
TID_HOTAIR_BALLOON,Globo aerostático
TID_POOL,Piscina
TID_LAYERED_TOPIARY,Topiario escalonado
TID_BIKE_BASKET,Bici rosa
TID_MALE_BIKE,Bici roja
TID_PICNIC_TABLE,Mesa de pícnic
TID_BIRD_BATH,Fuente para aves
TID_FLOWER_LADYBUG,Mariquita
TID_FLOWER_BUTTERFLY,Mariposa
TID_CATERPILLAR,Oruga
TID_GNOME_FEMALE,Señora Gnomo
TID_GNOME_MALE,Señor Gnomo
TID_HEART_TOPIARY,Topiario de corazón
TID_CRANE_TOPIARY,Topiario de grulla
TID_FANCY_TOPIARY,Topiario exótico
TID_FROGKING,Rey rana
TID_TORTOISE,Tortuga
TID_GARDENBOYSTATUE,Estatua
TID_SNAIL,Caracol
TID_WINDMILL,Molino
TID_OLD_BIKE,Bici retro
TID_TRACTOR,Tractor
TID_SNAIL_DESCRIPTION,Decora tu granja.
TID_WINDMILL_DESCRIPTION,Decora tu granja.
TID_OLD_BIKE_DESCRIPTION,Decora tu granja.
TID_TRACTOR_DESCRIPTION,Decora tu granja.
TID_FROGKING_DESCRIPTION,Decora tu granja.
TID_TORTOISE_DESCRIPTION,Decora tu granja.
TID_GARDENBOYSTATUE_DESCRIPTION,Decora tu granja.
TID_REGULAR_TOPIARY_DESCRIPTION,Decora tu granja.
TID_CONE_TOPIARY_DESCRIPTION,Decora tu granja.
TID_BRIDGE_DESCRIPTION,Decora tu granja.
TID_WATERFALL_DESCRIPTION,Anima tu granja.
TID_HOTAIR_BALLOON_DESCRIPTION,Decora tu granja.
TID_POOL_DESCRIPTION,Decora tu granja.
TID_LAYERED_TOPIARY_DESCRIPTION,Decora tu granja.
TID_BIKE_BASKET_DESCRIPTION,Decora tu granja.
TID_MALE_BIKE_DESCRIPTION,Decora tu granja.
TID_PICNIC_TABLE_DESCRIPTION,Decora tu granja.
TID_BIRD_BATH_DESCRIPTION,Atrae pájaros.
TID_FLOWER_LADYBUG_DESCRIPTION,Decora tu granja.
TID_FLOWER_BUTTERFLY_DESCRIPTION,Decora tu granja.
TID_CATERPILLAR_DESCRIPTION,Decora tu granja.
TID_GNOME_FEMALE_DESCRIPTION,Decora tu granja.
TID_GNOME_MALE_DESCRIPTION,Decora tu granja.
TID_HEART_TOPIARY_DESCRIPTION,Decora tu granja.
TID_CRANE_TOPIARY_DESCRIPTION,Decora tu granja.
TID_FANCY_TOPIARY_DESCRIPTION,Decora tu granja.
TID_FENCE_07_DESCRIPTION,Decora tu granja.
TID_FENCE_07,Muro dorado
TID_CANDY_PRODUCT_DESCRIPTION,Se hace en la máquina de caramelos.
TID_CARAMEL_APPLE,Manzana caramelizada
TID_TOFFEE,Caramelos
TID_CHOCOLATE,Chocolate
TID_LOLLIPOP,Piruleta
TID_JELLY_BEANS,Gominolas
TID_CANDY_MACHINE,Máquina de caramelos
TID_CANDY_MACHINE_DESCRIPTION,Aquí se hacen caramelos.
TID_ACHIEVEMENT_PETS,Amistad peluda
TID_ACHIEVEMENT_PETS_DESCRIPTION,Compra <NUMBER> mascotas.
TID_BOY_INFO_POPUP_TITLE,Contratar al recadero
TID_MASTERY_INFO_POPUP_TITLE,{size=23}Maestría de <BUILDING>
TID_MASTERY_INFO_POPUP_DESCRIPTION,Usa esta máquina para conseguir estrellas.
TID_MASTERY_INFO_POPUP_DESCRIPTION_FULL,¡Maestría total!
TID_MASTERY_INFO_POPUP_PROGRESS,<HOURS>/<HOURS_LIMIT> h
TID_MASTERY_INFO_POPUP_BUY_STAR,Obtener estrella
TID_MASTERY_INFO_POPUP_TOOLTIP_COINS,Los productos de tu <BUILDING> te reportarán un <BONUS> de monedas en los pedidos de la camioneta.
TID_MASTERY_INFO_POPUP_TOOLTIP_EXP,Los productos de tu <BUILDING> te reportarán un <BONUS> de experiencia en los pedidos de la camioneta.
TID_MASTERY_INFO_POPUP_TOOLTIP_BOAT_EXP,Los productos de tu <BUILDING> te reportarán un <BONUS> de experiencia en los pedidos del barco.
TID_MASTERY_INFO_POPUP_TOOLTIP_BOAT_SPECIAL_CURRENCY,Los productos de tu <BUILDING> te reportarán un <BONUS> de <CURRENCY> en los pedidos del barco.
TID_MASTERY_INFO_POPUP_TOOLTIP_TIME,Los productos de tu <BUILDING> se elaborarán un <BONUS> más rápido.
TID_MASTERY_STAR_GAIN_POPUP_TITLE,¡Felicidades!
TID_MASTERY_STAR_GAIN_POPUP_DESCRIPTION_COINS,Los productos de tu <BUILDING> reportan más monedas al completar pedidos de la camioneta.
TID_MASTERY_STAR_GAIN_POPUP_DESCRIPTION_EXP,Los productos de tu <BUILDING> reportan más experiencia al completar pedidos de la camioneta.
TID_MASTERY_STAR_GAIN_POPUP_DESCRIPTION_TIME,Ahora los productos se elaboran más rápidamente en tu <BUILDING>.
TID_MASTERY_STAR_GAIN_POPUP_DESCRIPTION_BOAT_EXP,Los productos de tu <BUILDING> reportan más experiencia al completar pedidos del barco.
TID_MASTERY_STAR_GAIN_POPUP_DESCRIPTION_BOAT_SPECIAL_CURRENCY,Los productos de tu <BUILDING> reportan más <CURRENCY> al completar pedidos del barco.
TID_MASTERY_BONUS,¡Bonus!
TID_ACHIEVEMENT_FEED_PETS,Sabrosas delicias
TID_ACHIEVEMENT_FEED_PETS_DESCRIPTION,Da de comer a tus mascotas <NUMBER> veces.
TID_ACHIEVEMENT_COOP,Cooperativa
TID_ACHIEVEMENT_COOP_DESCRIPTION,Llena <NUMBER> cajas para los pedidos del barco de otros jugadores.
TID_ACHIEVEMENT_EXPANSION,Terrateniente
TID_ACHIEVEMENT_EXPANSION_DESCRIPTION,Amplía tu granja <NUMBER> veces.
TID_ACHIEVEMENT_WHEEL,Gran racha
TID_ACHIEVEMENT_WHEEL_DESCRIPTION,Haz girar la ruleta de la fortuna <NUMBER> días seguidos.
TID_ACHIEVEMENT_WHEEL_DESCRIPTION_MOBILE,Haz girar la ruleta de la fortuna <NUMBER> días seguidos.
TID_NOTIFICATION_BOAT_ARRIVED,¡El barco ha llegado!
TID_NOTIFICATION_BOAT_LEAVING,El barco zarpará pronto. ¡Date prisa!
TID_NOTIFICATION_BOAT_LEAVING_MOBILE,El barco zarpará pronto. ¡Date prisa!
TID_NOTIFICATION_TOM_READY,¡Tom está listo para un nuevo recado!
TID_NEWSPAPER_FB_PROMO_TEXT,¡Recibe las últimas noticias de Hay Day!
TID_NEWSPAPER_FB_PROMO_BUBBLE_TEXT,¡Gracias!
TID_GOOD_UNLOCKED_TOOLTIP,Nivel de desbloqueo: <LEVEL>
TID_NATIVE_DIALOG_BILLING_ERROR_TITLE,Error
TID_NATIVE_DIALOG_BILLING_ERROR_BUTTON,Vale
TID_PN_LIKE_FARM,¡A <NAME> le gusta tu granja!
TID_PN_LIKE_FARM_ANONYMOUS,¡A alguien le gusta tu granja!
TID_TOOLS_OFFER_TITLE,¡Oferta diaria!
TID_TOOLS_OFFER_DESCRIPTION,Este artículo tiene un descuento del <DISCOUNT> %.
TID_HORSE4,Caballo andaluz
TID_CONFIRM_SPEND_DIAMONDS_TITLE,Confirmación
TID_CONFIRM_SPEND_DIAMONDS_DESCRIPTION,¿Te gustaría comprar ahora mismo la siguiente estrella de maestría?
TID_CONFIRM_SPEND_DIAMONDS_BUTTON,Sí
TID_POTATO,Patata
TID_POTATOE_BREAD,Pan de patata
TID_BAKED_POTATO,Patata asada
TID_POTATO_FETA_CAKE,Pastelitos de patata
TID_CASSEROLE,Gratinado de beicon
TID_SHEPHERDS_PIE,Gratinado de carne
TID_CUSTOMER_SUPPORT_LANGUAGES,"Desplázate por la lista y selecciona el tipo de problema. Luego redacta tu mensaje en español, inglés, francés, alemán, italiano, neerlandés, coreano o finés. ¡Gracias!"
TID_TLO_VALENTINE_POPUP_TITLE,Especial San Valentín
TID_TLO_VALENTINE_DESCRIPITON,¡Un increíble descuento solo para ti!
TID_TOOL_OFFER_PURCHASE_CONFIRMATION_TITLE,¡Oferta diaria!
TID_TOOL_OFFER_PURCHASE_CONFIRMATION_DESCRIPTION,¿Te gustaría comprar esta oferta especial?
TID_TOOL_OFFER_PURCHASE_CONFIRMATION_BUTTON,Comprar oferta
TID_NOTIFICATION_MASTERY_STAR_GAINED,¡<NAME> ha conseguido una estrella de maestría!
TID_LEADERBOARD_HUD_TITLE,Clasificación del barco
TID_LEADERBOARD_BOAT_FRIENDS_TITLE,Clasificación de amigos
TID_LEADERBOARD_BOAT_GLOBAL_TITLE,Clasificación general
TID_LEADERBOARD_BOAT_ERROR_TIMEOUT,"Vaya, no se han podido cargar las clasificaciones. Inténtalo de nuevo."
TID_LEADERBOARD_VISIT,¿Visitar?
TID_BOAT_SCORE,Puntuación de barco actualizada <SCORE>
TID_PURCHASE_WARNING_TITLE,¡Aviso importante!
TID_PURCHASE_WARNING_TEXT,"Hay Day es gratis, pero algunos artículos tendrás que comparlos. Si no quieres hacerlo, deshabilita las compras integradas en los ajustes de tu dispositivo. Recuerda que debes ser mayor de 13 años para jugar."
TID_PURCHASE_WARNING_TEXT_ANDROID,"Jugar a Hay Day es gratis, pero puedes utilizar dinero real para comprar algunos artículos. Si no quieres hacerlo, habilita la protección por contraseña para tus compras en los ajustes de Google Play Store. Recuerda que debes tener más de 13 años para jugar."
TID_PURCHASE_WARNING_TAP_TEXT,Vale
TID_BOY_HIRE_OFFER_TEXT,¡Gracias por haberme contratado! Te haré un descuento si me vuelves a contratar en los próximos minutos.
TID_BOY_HIRE_INTERVAL_OFFER_TEXT,"¡Oye, hoy puedo hacerte un descuentillo si me contratas pronto!"
TID_BOY_HIRE_OFFER_CANCEL_BUTTON,Ahora no
TID_ACHIEVEMENT_BOAT_SCORE,Cazador de puntos de barco
TID_ACHIEVEMENT_BOAT_SCORE_DESCRIPTION,Alcanza los <NUMBER> puntos en la clasificación del barco.
TID_ACHIEVEMENT_BOAT_SCORE_DESCRIPTION_MOBILE,Alcanza los <NUMBER> puntos en la clasificación del barco.
TID_TIME_BONUS,Bonus de tiempo
TID_FLOATER_BOAT_LEADERBOARD_COMING_SOON,La clasificación del barco está disponible en el nivel <LEVEL>.
TID_GIFT_SENT_TO,¡Carta de agradecimiento enviada a <NAME>!
TID_FRIEND_BAR_HELPERS_TAB,Ayudantes
TID_HELPER_BAR_INFO,Aquí están los amigos que te han ayudado recientemente.
TID_FLOATER_GIFT_BOX_COMING_SOON,Las cartas se entregan en el nivel <LEVEL>.
TID_COLLECT_ALL_LETTERS,Recoger
TID_GIFT_S_TITLE,Paquete misterioso pequeño
TID_GIFT_S_TEXT,Puede contener:
TID_GIFT_M_TITLE,Paquete misterioso mediano
TID_GIFT_M_TEXT,Puede contener:
TID_GIFT_L_TITLE,Paquete misterioso grande
TID_GIFT_L_TEXT,Puede contener:
TID_GIFT_TOOL_TITLE,Paquete misterioso de herramientas
TID_GIFT_DECO_TITLE,Paquete misterioso de adornos
TID_GIFT_TOOL_TEXT,Puede contener:
TID_GIFT_DECO_TEXT,Puede contener:
TID_GIFT_WILL_CONTAIN,Contiene:
TID_HOLIDAY_GIFT_TITLE,Paquete festivo
TID_LETTER_GREETING1,¡Hola! Me has ayudado un montón.
TID_LETTER_GREETING2,"Gracias por ayudarme, colega."
TID_LETTER_GREETING3,Tu ayuda siempre es de agradecer.
TID_LETTER_GREETING4,¡Gracias! La ayuda siempre es bienvenida.
TID_LETTER_GREETING5,"¡Hola, compi! ¡Muchas gracias!"
TID_LETTER_GREETING6,¡Muchas gracias!
TID_LETTER_GREETING7,No podría haberlo hecho sin ti.
TID_LETTER_GREETING8,"Me has salvado, ¡gracias!"
TID_LETTER_GREETING9,¡Gracias! ¿Cómo te va?
TID_LETTER_GREETING10,"Eres un cielo, ¡gracias por ayudarme!"
TID_LETTER_GREETING11,¡Eres más dulce que el azúcar!
TID_LETTER_GREETING12,¡Gracias requetedulces!
TID_LETTER_GREETING13,"¡Gracias! Cuando nos veamos, te invitaré a un helado."
TID_LETTER_GREETING14,¡Gracias! Espero poder ayudarte yo a ti pronto.
TID_LETTER_GREETING15,¡Mira siempre el lado bueno de las cosas!
TID_LETTER_GREETING16,¡Pásatelo genial! ¡Gracias!
TID_LETTER_GREETING17,¡Gracias por ayudarme!
TID_LETTER_GREETING18,¡Gracias!
TID_LETTER_GREETING19,¡Muchas gracias! ¡Eres la bomba!
TID_LETTER_GREETING20,¡Gracias! Espero que mi carta contenga un vale de regalo.
TID_LETTER_REGARDS,¡Saludos!
TID_CATALOGUE_TOTAL,Total de vales de regalo:
TID_OPEN_HOLIDAY_GIFT_MESSAGE,¡Ya está aquí tu regalo festivo!
TID_OPEN_CATALOGUE_GIFT_MESSAGE,¡Ha llegado tu paquete misterioso del catálogo!
TID_OPEN_MASS_GIFT_MESSAGE,¡Sentimos el tiempo de inactividad!
TID_GIFT_OR,o
TID_GIFT_PURCHASE_CONFIRMATION_TITLE,Confirmación del pedido
TID_GIFT_PURCHASE_CONFIRMATION_DESCRIPTION,<GIFT_NAME>
TID_GIFT_PURCHASE_CONFIRMATION_BUTTON,Pedir paquete
TID_GIFT_CANNOT_PURCHASE_CONFIRMATION_DESCRIPTION,Necesitas más vales de regalo para pedir este paquete.
TID_GIFT_PENDING_ORDER_CONFIRMATION_DESCRIPTION,Ya tienes un pedido pendiente.
TID_GIFT_SPEEDUP_BUTTON,Comprar oferta
TID_GIFT_COOLDOWN_TITLE,Nuevo paquete misterioso
TID_GIFT_CARDS,Vales de regalo
TID_GIFT_CARDS_DESCRIPTION,Usa los vales de regalo para pedir paquetes misteriosos.
TID_PINETREE_BIG,Pino grande
TID_PINETREE_BIG_DESCRIPTION,Decora tu granja.
TID_PINETREE_MED,Pino normal
TID_PINETREE_MED_DESCRIPTION,Decora tu granja.
TID_PINETREE_SMALL,Pino pequeño
TID_PINETREE_SMALL_DESCRIPTION,Decora tu granja.
TID_LEAFYTREE_BIG1,Árbol oscuro
TID_LEAFYTREE_BIG1_DESCRIPTION,Decora tu granja.
TID_LEAFYTREE_BIG2,Árbol frondoso
TID_LEAFYTREE_BIG2_DESCRIPTION,Decora tu granja.
TID_LEAFYTREE_SMALL,Arbolito frondoso
TID_LEAFYTREE_SMALL_DESCRIPTION,Decora tu granja.
TID_FISHING_SPOT_UNLOCK_TITLE,Desbloquear punto de pesca
TID_FISHING_SPOT_UNLOCK_DESCRIPTION,En este punto te esperan nuevos y desafiantes peces.
TID_TUTORIAL_FISHING_1,Esta es la antigua barca de pesca de tu tío. ¿Qué tal si le haces unos arreglos?
TID_TUTORIAL_FISHING_2,¡Ya vuelve a flotar! No tengas miedo y navega ya por el río.
TID_TUTORIAL_FISHING_3,"¡Caramba! ¡Hacía años que no veía esa barca! Tu tío y yo solíamos salir de pesca con ella. Deberías dar una oportunidad a la pesca. ¡Seguro que te engancha! ¡Je, je!"
TID_TUTORIAL_FISHING_4,Cómo pescar
TID_TUTORIAL_FISHING_5,Este es un buen punto de pesca para principiantes. Intenta pescar algo. Ten paciencia y espera a que piquen.
TID_TUTORIAL_FISHING_6,Intenta mantener a los peces en el círculo central. Tócame para volver a ver el tutorial.
TID_TUTORIAL_FISHING_7,"Bueno, no está mal... ¡pero deberías haber visto lo que pescó tu tío! Dejó su libro de capturas en esta cabaña."
TID_TUTORIAL_FISHING_7_MOBILE,"Bueno, no está mal... ¡pero deberías haber visto lo que pescó tu tío! Dejó su libro de capturas en esta cabaña."
TID_TUTORIAL_FISHING_8,"En este taller puedes fabricar nuevos cebos. Para fabricar los que llevan gusano solo necesitas tiempo, pero a muchos peces no les gustan."
TID_TUTORIAL_FISHING_9,"Usa tiques para fabricar cebos especiales que atraigan a otros peces. Una vez fabricados, se guardarán en la caja de pesca. ¡Buena suerte! Y si vuelves a necesitar ayuda, solo tienes que tocarme."
TID_REPAIR_FISHING_BOAT_TITLE,¿Restaurar la barca?
TID_REPAIR_FISHING_BOAT_TEXT,¡Restaura la barca de pesca y sal a pescar!
TID_REPAIR_FISHING_BOAT_YES,Iniciar restauración
TID_FISHING_BOAT,Barca de pesca
TID_FISHING_SPOT_SHALLOW,Punto de pesca de aguas poco profundas
TID_FISHING_SPOT_DEEP,Punto de pesca de aguas profundas
TID_FISHING_SPOT_REED,Punto de pesca de juncos
TID_FISHING_SPOT_ROCKY,Punto de pesca rocoso
TID_FISH_1,Matalote
TID_FISH_1_DESCRIPTION,"Este pez dócil, tranquilo y longevo ha hecho de tu lago su residencia permanente."
TID_FISH_1_DESCRIPTION_MOBILE,"Este pez dócil, tranquilo y longevo ha hecho de tu lago su residencia permanente."
TID_FISH_2,Salmón del Danubio
TID_FISH_2_DESCRIPTION,Un pez majestuoso que se vuelve de color rojo intenso durante la primavera.
TID_FISH_3,Perca moteada azul
