TID,KR
TID_CONFIRM_SPEND_DIAMONDS_DESCRIPTION,다음 단계 숙련 별을 즉시 구매하시겠습니까?
TID_CONFIRM_SPEND_DIAMONDS_BUTTON,확인
TID_POTATO,감자
TID_POTATOE_BREAD,감자빵
TID_BAKED_POTATO,구운 감자
TID_POTATO_FETA_CAKE,감자 페타 치즈 케이크
TID_CASSEROLE,캐서롤
TID_SHEPHERDS_PIE,셰퍼드 파이
TID_CUSTOMER_SUPPORT_LANGUAGES,"메시지는 영어, 프랑스어, 독일어, 스페인어, 이탈리아어, 네덜란드어, 한국어, 핀란드어로 작성하실 수 있습니다. 스크롤을 내려 문제 유형을 선택해주세요. 감사합니다!"
TID_TLO_VALENTINE_POPUP_TITLE,밸런타인 특별 행사
TID_TLO_VALENTINE_DESCRIPITON,농부님만을 위한 멋진 할인 행사입니다.
TID_TOOL_OFFER_PURCHASE_CONFIRMATION_TITLE,오늘만 특가!
TID_TOOL_OFFER_PURCHASE_CONFIRMATION_DESCRIPTION,이 특별 상품을 구매하시겠습니까?
TID_TOOL_OFFER_PURCHASE_CONFIRMATION_BUTTON,구매
TID_NOTIFICATION_MASTERY_STAR_GAINED,<NAME> 숙련 별 획득!
TID_LEADERBOARD_HUD_TITLE,화물선 순위표
TID_LEADERBOARD_BOAT_FRIENDS_TITLE,친구 순위
TID_LEADERBOARD_BOAT_GLOBAL_TITLE,세계 상위 플레이어 순위
TID_LEADERBOARD_BOAT_ERROR_TIMEOUT,"이런, 순위표를 불러오지 못했습니다. 다시 시도해주세요."
TID_LEADERBOARD_VISIT,방문?
TID_BOAT_SCORE,화물선 점수 업데이트: <SCORE>
TID_PURCHASE_WARNING_TITLE,중요: 읽어주세요!
TID_PURCHASE_WARNING_TEXT,"헤이데이는 무료 게임이지만, 일부 아이템은 현금으로 구매해야 합니다. 이를 차단하려면 인앱 구매를 할 수 없도록 기기 설정을 변경해 주세요. 게임은 13세 이상부터 플레이할 수 있습니다."
TID_PURCHASE_WARNING_TEXT_ANDROID,"헤이데이는 무료 게임이지만, 일부 아이템은 현금으로 구매해야 합니다. 이를 차단하려면 Google Play 스토어 앱 설정에서 암호를 걸어 보호해 주세요. 게임은 13세 이상부터 플레이할 수 있습니다."
TID_PURCHASE_WARNING_TAP_TEXT,확인
TID_BOY_HIRE_OFFER_TEXT,저번엔 감사했어요. 지금부터 몇 분 안에 일을 또 맡겨주시면 할인해 드릴게요!
TID_BOY_HIRE_INTERVAL_OFFER_TEXT,안녕하세요. 지금부터 몇 분 안에 일을 맡겨주시면 할인해 드릴게요!
TID_BOY_HIRE_OFFER_CANCEL_BUTTON,나중에요.
TID_ACHIEVEMENT_BOAT_SCORE,선박 전문가
TID_ACHIEVEMENT_BOAT_SCORE_DESCRIPTION,화물선 순위표 점수 <NUMBER>점 달성하기
TID_ACHIEVEMENT_BOAT_SCORE_DESCRIPTION_MOBILE,화물선 순위표 점수 <NUMBER>점 달성하기
TID_TIME_BONUS,시간 보너스
TID_FLOATER_BOAT_LEADERBOARD_COMING_SOON,화물선 순위표는 <LEVEL>레벨부터 열립니다.
TID_GIFT_SENT_TO,<NAME> 님에게 감사의 편지 전송 완료!
TID_FRIEND_BAR_HELPERS_TAB,도와준 사람
TID_HELPER_BAR_INFO,최근에 나를 도와준 친구들을 볼 수 있습니다!
TID_FLOATER_GIFT_BOX_COMING_SOON,편지는 <LEVEL>레벨부터 배달됩니다.
TID_COLLECT_ALL_LETTERS,모두 수집하기
TID_GIFT_S_TITLE,작은 선물 꾸러미
TID_GIFT_S_TEXT,미리 보기:
TID_GIFT_M_TITLE,선물 꾸러미
TID_GIFT_M_TEXT,미리 보기:
TID_GIFT_L_TITLE,커다란 선물 꾸러미
TID_GIFT_L_TEXT,미리 보기:
TID_GIFT_TOOL_TITLE,신비한 도구 꾸러미
TID_GIFT_DECO_TITLE,신비한 장식 꾸러미
TID_GIFT_TOOL_TEXT,미리 보기:
TID_GIFT_DECO_TEXT,미리 보기:
TID_GIFT_WILL_CONTAIN,포함 아이템:
TID_HOLIDAY_GIFT_TITLE,크리스마스 패키지
TID_LETTER_GREETING1,안녕하세요! 정말 많은 도움이 됐어요.
TID_LETTER_GREETING2,오늘도 좋은 하루 보내세요!
TID_LETTER_GREETING3,도움을 주셔서 고맙습니다! 행복하세요!
TID_LETTER_GREETING4,언제나 도와주셔서 고마워요.
TID_LETTER_GREETING5,덕분에 농장이 잘 운영되고 있어요!
TID_LETTER_GREETING6,고마워요! 또 부탁할게요!
TID_LETTER_GREETING7,항상 고마워요. 하마터면 성공 못 할 뻔했네요!
TID_LETTER_GREETING8,덕분에 살았어요!
TID_LETTER_GREETING9,잘 지내시죠? 이 은혜 잊지 않을게요!
TID_LETTER_GREETING10,덕분에 살았어요!
TID_LETTER_GREETING11,최고예요! 은혜 잊지 않을게요. ^^
TID_LETTER_GREETING12,주신 도움 잊지 않을게요!
TID_LETTER_GREETING13,다음에 만나면 아이스크림이라도 사야겠네요!
TID_LETTER_GREETING14,기회가 되면 저도 꼭 도움을 드리겠습니다!
TID_LETTER_GREETING15,인생에서 긍정의 힘이 중요하죠!
TID_LETTER_GREETING16,걱정 말아요. 잘될 거예요!
TID_LETTER_GREETING17,이 은혜 꼭 보답하겠습니다!
TID_LETTER_GREETING18,감사합니다!
TID_LETTER_GREETING19,또 놀러오세요!
TID_LETTER_GREETING20,제 편지에 선물 카드가 첨부됐으면 좋겠네요.
TID_LETTER_REGARDS,감사합니다.
TID_CATALOGUE_TOTAL,선물 카드 합계
TID_OPEN_HOLIDAY_GIFT_MESSAGE,이벤트 선물이 도착했습니다.
TID_OPEN_CATALOGUE_GIFT_MESSAGE,카탈로그 선물이 여기 표시됩니다.
TID_OPEN_MASS_GIFT_MESSAGE,기능 지연으로 불편을 드려 죄송합니다.
TID_GIFT_OR,또는
TID_GIFT_PURCHASE_CONFIRMATION_TITLE,주문하기
TID_GIFT_PURCHASE_CONFIRMATION_DESCRIPTION,<GIFT_NAME>
TID_GIFT_PURCHASE_CONFIRMATION_BUTTON,꾸러미 주문
TID_GIFT_CANNOT_PURCHASE_CONFIRMATION_DESCRIPTION,이 아이템을 구매하려면 선물 카드가 더 필요합니다.
TID_GIFT_PENDING_ORDER_CONFIRMATION_DESCRIPTION,대기 중인 주문이 이미 있습니다.
TID_GIFT_SPEEDUP_BUTTON,지금 보기!
TID_GIFT_COOLDOWN_TITLE,다음 선물 꾸러미
TID_GIFT_CARDS,선물 카드
TID_GIFT_CARDS_DESCRIPTION,선물 카드로 선물을 주문할 수 있습니다.
TID_PINETREE_BIG,큰 소나무
TID_PINETREE_BIG_DESCRIPTION,농장 장식
TID_PINETREE_MED,소나무
TID_PINETREE_MED_DESCRIPTION,농장 장식
TID_PINETREE_SMALL,작은 소나무
TID_PINETREE_SMALL_DESCRIPTION,농장 장식
TID_LEAFYTREE_BIG1,검은 나무
TID_LEAFYTREE_BIG1_DESCRIPTION,농장 장식
TID_LEAFYTREE_BIG2,무성한 나무
TID_LEAFYTREE_BIG2_DESCRIPTION,농장 장식
TID_LEAFYTREE_SMALL,작은 나무
TID_LEAFYTREE_SMALL_DESCRIPTION,농장 장식
TID_FISHING_SPOT_UNLOCK_TITLE,낚시 포인트 잠금 해제
TID_FISHING_SPOT_UNLOCK_DESCRIPTION,새로운 멋진 물고기들이 이 포인트에서 기다립니다.
TID_TUTORIAL_FISHING_1,이건 삼촌의 낡은 낚싯배군요. 손을 좀 보는 게 어때요?
TID_TUTORIAL_FISHING_2,배가 나타났군요! 망설이지 말고 어서 한번 타보세요.
TID_TUTORIAL_FISHING_3,"아니, 이럴 수가! 이 배를 본 게 얼마만인지 모르겠군. 자네 삼촌과 저 배를 타고 큰 놈들을 많이 낚았지. 자네도 낚시에 도전해보게. 분명 자네도 푹 빠질걸. 허허허!"
TID_TUTORIAL_FISHING_4,낚시 방법
TID_TUTORIAL_FISHING_5,여기는 초보자들이 낚시하기 좋은 곳 같군. 한 마리 잡아보겠나? 물고기가 걸릴 때까지 꾹 참고 기다려봐.
TID_TUTORIAL_FISHING_6,물고기를 원 중앙에 오게 해야 해. 설명을 다시 듣고 싶으면 나를 터치하면 돼.
TID_TUTORIAL_FISHING_7,흠... 귀여운 물고기군. 하지만 자네 삼촌이 잡은 물고기 컬렉션은 대단했어! 이 오두막에 기록장을 남겨두었으니 한번 보게나! 허허!
TID_TUTORIAL_FISHING_7_MOBILE,흠... 귀여운 물고기군. 하지만 자네 삼촌이 잡은 물고기 컬렉션은 대단했어! 이 오두막에 기록장을 남겨두었으니 한번 보게나! 허허!
TID_TUTORIAL_FISHING_8,"이 작업장에서 새 미끼를 만들 수 있지. 지렁이 미끼는 시간만 들이면 만들 수 있지만, 물고기들이 별로 좋아하진 않더군."
TID_TUTORIAL_FISHING_9,쿠폰으로 특별한 미끼를 만들어 여러 가지 물고기들을 유혹해 보게나. 만들어낸 미끼는 낚시 상자에 보관되니 잊지 말고! 궁금한 게 있으면 언제든 나를 터치하면 돼.
TID_REPAIR_FISHING_BOAT_TITLE,낚싯배 수리
TID_REPAIR_FISHING_BOAT_TEXT,낚싯배를 수리하고 낚시를 시작하세요!
TID_REPAIR_FISHING_BOAT_YES,수리 시작
TID_FISHING_BOAT,낚싯배
TID_FISHING_SPOT_SHALLOW,얕은 낚시 포인트
TID_FISHING_SPOT_DEEP,깊은 낚시 포인트
TID_FISHING_SPOT_REED,갈대밭 어장
TID_FISHING_SPOT_ROCKY,바위투성이 어장
TID_FISH_1,붉은 잉어
TID_FISH_1_DESCRIPTION,느긋한 성격을 지닌 이 물고기는 연못에 살고 사람을 좋아합니다.
TID_FISH_1_DESCRIPTION_MOBILE,느긋한 성격을 지닌 이 물고기는 연못에 살고 사람을 좋아합니다.
TID_FISH_2,자치
TID_FISH_2_DESCRIPTION,봄이 되면 선홍색으로 변하는 멋진 물고기입니다. 모래로 된 강바닥을 좋아합니다.
TID_FISH_3,파란 점박이 개복치
TID_FISH_3_DESCRIPTION,대부분 잠을 자며 시간을 보내기 때문에 좀처럼 잡히지 않는 물고기입니다.
TID_FISH_6,은연어
TID_FISH_6_DESCRIPTION,식탐이 무척 강해서 언제나 먹이를 찾아다닙니다.
TID_FISH_7,로치
TID_FISH_7_DESCRIPTION,"흔해서 잡기 쉬운 활발한 물고기로, 변함 없이 추격의 스릴을 즐깁니다."
TID_FISH_10,황색 농어
TID_FISH_10_DESCRIPTION,"혼자 있는 걸 좋아해서 갈대밭이나 통나무 아래, 진흙탕에서 숨곤 합니다."
TID_FISH_10_DESCRIPTION_MOBILE,"혼자 있는 걸 좋아해서 갈대밭이나 통나무 아래, 진흙탕에서 숨곤 합니다."
TID_FISH_13,잉어
TID_FISH_13_DESCRIPTION,연못의 청소부인 이 물고기는 바닥 이끼를 즐겨 먹으며 연못을 청결하게 만들어줍니다.
TID_FISH_14,연어
TID_FISH_14_DESCRIPTION,강을 거슬러오르는 긴 여행 끝에 휴식할 곳을 찾은 물고기입니다.
TID_FISH_17,구피
TID_FISH_17_DESCRIPTION,"이 물고기가 당신의 호수에 있다면, 멋진 호수를 가졌다고 자부해도 좋습니다."
TID_FISH_19,납줄개
TID_FISH_19_DESCRIPTION,종을 가리지 않고 친구를 만드는 물고기입니다. 연체동물의 보살핌을 받기도 하죠.
TID_FISH_20,아스프
TID_FISH_20_DESCRIPTION,이 커다란 물고기는 예전에는 몰려다니기도 했지만 지금은 혼자서 고독을 즐긴답니다.
TID_FISH_25,점무늬 황어
TID_FISH_25_DESCRIPTION,"작고 민첩해서 잡기 힘들지만, 잡을 만한 가치가 있는 물고기입니다!"
TID_FISH_27,점박이 개복치
TID_FISH_27_DESCRIPTION,벌레 사냥의 명수로 힘이 장사예요. 낚싯대를 단단히 잡으세요!
TID_FISH_31,민물 송어
TID_FISH_31_DESCRIPTION,강을 오르기보다 편안한 연못을 더 좋아하는 물고기입니다.
TID_FISH_36,블루길
TID_FISH_36_DESCRIPTION,반짝거리는 비늘을 가지고 우아하게 헤엄치는 멋진 물고기입니다.
TID_FISH_38,무지개 잉어
TID_FISH_38_DESCRIPTION,반짝임이 아름다운 이 매끈한 물고기는 비늘 자랑하기를 좋아합니다.
TID_FISH_43,민물 농어
TID_FISH_43_DESCRIPTION,"찬물에서 떼지어 다니기를 좋아하며, 더 잘나 보이고 싶어하는 물고기입니다."
TID_FISH_45,북극 곤들매기
TID_FISH_45_DESCRIPTION,방랑벽이 있어 매년 바다로 긴 여행을 떠납니다. 그래도 항상 집에는 오고 싶어하지요!
TID_FISH_47,담수 잉어
TID_FISH_47_DESCRIPTION,"자부심이 강하고 빨간색과 금색이 멋지게 어우러진, 나이 지긋한 물고기입니다!"
TID_FISH_48,황색 배스
TID_FISH_48_DESCRIPTION,"배스 중에 가장 크지는 않지만, 록스타 같은 열정과 활기찬 지느러미를 가졌답니다."
TID_FISH_50,황금 송어
TID_FISH_50_DESCRIPTION,개척 정신이 투철한 이 물고기는 새로운 호수를 정복하리라는 야망을 어릴 때부터 품고 있습니다.
TID_FISH_52,검은 배스
TID_FISH_52_DESCRIPTION,위장에 능숙한 이 배스는 멋진 낚싯감입니다. 과연 잡을 수 있을까요?
TID_FISH_55,거대 잉어
TID_FISH_55_DESCRIPTION,크고 아름다운 희귀종 민물고기입니다. 잘 돌봐주세요!
TID_FISH_56,북방 꼬치고기
TID_FISH_56_DESCRIPTION,언제나 다른 물고기 꽁무니를 따라다닙니다. 잠시 멈추면 고마워할 거예요.
TID_FISH_57,큰입 배스
TID_FISH_57_DESCRIPTION,입은 크지만 다물 때는 다무는 물고기입니다. 먹음직스러운 미끼를 보면 참지 못하지만요.
TID_FISH_59,초어
TID_FISH_59_DESCRIPTION,단순하고 건강한 삶을 추구하는 채식주의자 물고기입니다. 벌레는 좋아하지 않습니다!
TID_FISH_60,녹색 개복치
TID_FISH_60_DESCRIPTION,튼튼해서 어디서든 잘 살아가는 물고기입니다. 농부님의 호수 정도면 \q호화로운 스파\q가 따로 없죠!
TID_FISH_62,북방 송사리
TID_FISH_62_DESCRIPTION,작지만 혈기 왕성한 녀석입니다. 미끼를 물었다면 한바탕 싸울 준비를 하세요!
TID_FISH_63,줄무늬 배스
TID_FISH_63_DESCRIPTION,낚시계의 연예인 같은 물고기입니다. 다른 낚시꾼들이 알아채면 이 호수로 엄청나게 몰려들 겁니다!
TID_FISH_66,긴귀 개복치
TID_FISH_66_DESCRIPTION,이 물고기가 호수에 있으면 수족관 애호가들의 부러움을 살 수 있습니다.
TID_BAIT_SHOP_TITLE,미끼 상점
TID_BAIT_SHOP_BUTTON_BUY,구매
TID_FISHMEAT,생선살
TID_FISHMEAT_DESCRIPTION,낚시터에서 낚을 수 있습니다.
TID_FISHBURGER,피시 버거
TID_FISHPIE,피시 파이
TID_BAIT_RED,빨간색 미끼
TID_BAIT_GREEN,녹색 미끼
TID_BAIT_BLUE,파란색 미끼
TID_BAIT_PURPLE,자주색 미끼
TID_BAIT_GOLD,금색 미끼
TID_ACHIEVEMENT_SPORTS_FISHER,스포츠 낚시꾼
TID_ACHIEVEMENT_SPORTS_FISHER_DESCRIPTION,미끼로 물고기 <NUMBER>마리 낚기
TID_ACHIEVEMENT_SPORTS_FISHER_DESCRIPTION_MOBILE,미끼로 물고기 <NUMBER>마리 낚기
TID_ACHIEVEMENT_BIGGAME_FISHER,대어 낚시꾼
TID_ACHIEVEMENT_BIGGAME_FISHER_DESCRIPTION,미끼로 물고기 총 <NUMBER>kg 낚기
TID_ACHIEVEMENT_FISH_FARMER,낚시터 관리인
TID_ACHIEVEMENT_FISH_FARMER_DESCRIPTION,낚시터 <NUMBER>번 확장하기
TID_ACHIEVEMENT_FISHERMANS_FRIEND,어부의 친구
TID_ACHIEVEMENT_FISHERMANS_FRIEND_DESCRIPTION,<NUMBER>일 연속 낚시하기
TID_SCRAPBOOK_FISH_NEW,신규
TID_TACKLE_BOX_STORAGE,낚시 상자 저장량: <COUNT>/<MAX>
TID_TACKLE_BOX_FULL_TITLE,낚시 상자 공간 부족
TID_TACKLE_BOX_FULL_DESCRIPTION,낚시 상자가 가득 찼습니다! 개조해서 공간을 늘리세요.
TID_BAITMAKER,미끼 작업대
TID_BAITMAKER_DESCRIPTION,미끼를 만듭니다.
TID_BAITMAKER_PRODUCT_DESCRIPTION,미끼 작업대에서 만듭니다.
TID_SCRAPBOOK_BIGGEST_CATCH,가장 큰 물고기: <WEIGHT>kg
TID_FLOATER_FISHING_SPOT_CONNECTION,낚시 포인트는 잠금 해제된 낚시 포인트와 이어져 있어야 합니다.
TID_FLOATER_FISHING_SPOT_CONNECTION_MOBILE,낚시 포인트는 잠금 해제된 낚시 포인트와 이어져 있어야 합니다.
TID_LETTER_GREETING21,덕분에 오늘 하루가 정말 즐겁네요!
TID_LETTER_GREETING22,호의를 베풀면 친구 사이가 더 좋아지죠! ^^
TID_LETTER_GREETING23,안녕하세요! 덕분이 오늘 참 행복해요!
TID_LETTER_GREETING24,너무 감사해서 어쩔 줄 모르겠네요.
TID_LETTER_GREETING25,너무 기뻐요! 은혜 잊지 않을게요!
TID_LETTER_GREETING25_MOBILE,너무 기뻐요! 은혜 잊지 않을게요!
TID_LETTER_GREETING26,함께해 주셔서 감사합니다. 또 들러주세요!
TID_LETTER_GREETING27,오늘 하루도 좋은 일만 있으시길 바래요!
TID_LETTER_GREETING28,좋은 하루 보내시고 나중에 또 들러주세요!
TID_LETTER_GREETING29,즐거운 하루 되세요!
TID_LETTER_GREETING30,베푸는 것은 최대의 수확이죠.^^
TID_LETTER_GREETING31,덕분에 세상이 더 환해진 것 같아요.
TID_LETTER_GREETING32,덕분에 즐거운 하루가 되었어요.
TID_LETTER_GREETING33,정말 최고예요! 덕분에 한시름 놓았어요!
TID_LETTER_GREETING34,은혜 잊지 않을게요. 언제든지 들러주세요!
TID_LETTER_GREETING35,덕분에 농사가 아주 잘 됐어요!
TID_FLOATER_BAIT_MAKER_CLAIM_BUT_TACKLE_BOX_FULL,낚시 상자가 가득 찼습니다!
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_GIFT_DIAMONDS,App Store에서 새 업데이트를 받을 수 있습니다! 지금 업데이트하고 다이아몬드 <NUMBER>개를 받을 준비를 하세요. 언제 등장할지 모르니 상점을 자주 확인하세요!
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_GIFT_DIAMONDS_ANDROID,Google Play에서 새 업데이트를 받을 수 있습니다! 지금 업데이트하고 다이아몬드 <NUMBER>개를 받을 준비를 하세요. 언제 등장할지 모르니 상점을 자주 확인하세요!
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_GIFT_COINS,App Store에서 새 업데이트를 받을 수 있습니다! 지금 업데이트하고 코인 <NUMBER>개를 받으세요.
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_GIFT_GREEN_VOUCHERS,App Store에서 새 업데이트를 받을 수 있습니다! 지금 업데이트하고 녹색 쿠폰 <NUMBER>장을 받으세요.
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_GIFT_BLUE_VOUCHERS,App Store에서 새 업데이트를 받을 수 있습니다! 지금 업데이트하고 파란색 쿠폰 <NUMBER>장을 받으세요.
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_GIFT_PURPLE_VOUCHERS,App Store에서 새 업데이트를 받을 수 있습니다! 지금 업데이트하고 자주색 쿠폰 <NUMBER>장을 받으세요.
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_GIFT_GOLDEN_VOUCHERS,App Store에서 새 업데이트를 받을 수 있습니다! 지금 업데이트하고 황금색 쿠폰 <NUMBER>장을 받으세요.
TID_MASS_GIFT_REWARD_CLAIM_BUTTON,받기
TID_MASSGIFT_BIRTHDAY_HEADER,헤이데이 생일
TID_MASSGIFT_BIRTHDAY_TEXT,"안녕하세요, <NAME> 님! 헤이데이가 세 번째 생일을 맞이했습니다! 야호! 헤이데이를 즐겨주시는 여러분의 성원과 도움에 감사드리고자 이 빛나는 다이아몬드를 선물을 마련했습니다! 함께 더 나은 한 해를 만들어 봐요!"
TID_MASSGIFT_BIRTHDAY_6TH_TEXT,"안녕하세요, <NAME> 님! 헤이데이의 6번째 생일입니다! 우와! 헤이데이를 즐겨주시는 여러분의 성원과 도움에 감사드리고자 이 특별한 장식 선물을 마련했습니다! 편지라는 건 봐서 아시겠죠? 생일 이벤트에 참여해 다른 선물도 받으세요. 함께 더 나은 한 해를 만들어 봐요!"
TID_MASSGIFT_UPDATE_HEADER,새 버전 업데이트
TID_MASSGIFT_UPDATE_TEXT,"안녕하세요, <NAME> 님! 최신 버전으로 업데이트해주셔서 감사합니다! 새로운 내용은 설정 메뉴의 새로운 \q뉴스\q 항목에서 확인하실 수 있습니다. 새롭게 업데이트된 게임으로 즐거운 시간 보내시길 바랍니다. 무료 다이아몬드를 받아주세요!"
TID_MASSGIFT_MAINTENANCE_HEADER,죄송합니다!
TID_MASSGIFT_MAINTENANCE2_HEADER,어머나!
TID_MASSGIFT_MAINTENANCE3_HEADER,죄송합니다!
TID_MASSGIFT_MAINTENANCE4_HEADER,점검
TID_MASSGIFT_MAINTENANCE_TEXT,"안녕하세요, <NAME> 님! 점검으로 인해 일시적으로 게임 접속이 불가능했습니다. 보상으로 이 선물을 드립니다. 즐거운 하루 보내세요!"
TID_MASSGIFT_MAINTENANCE2_TEXT,"안녕하세요, <NAME> 님! 점검으로 인해 일시적으로 게임 접속이 불가능했습니다. 보상으로 이 선물을 드립니다."
TID_MASSGIFT_MAINTENANCE3_TEXT,"안녕하세요, <NAME> 님! 어제 일시적으로 게임 접속이 불가능했습니다. 보상으로 이 선물을 드립니다. 알찬 하루 되세요!"
TID_MASSGIFT_MAINTENANCE4_TEXT,"안녕하세요, <NAME> 님! 게임 개선 작업을 하는 동안 잠시 접속하실 수 없었습니다. 불편에 대한 보상으로 이 선물을 드립니다!"
TID_MASSGIFT_MAINTENANCE5_TEXT,"안녕하세요, <NAME> 님! 사소한 문제로 인해 점검을 진행하여 잠시 접속하실 수 없었습니다. 불편에 대한 보상으로 이 선물을 드립니다!"
TID_MASSGIFT_MAINTENANCE6_TEXT,"최근 게임에 사소한 버그가 발생하여 사라진 화물선, 주문 등에 대한 보상으로 작은 선물을 준비했습니다."
TID_MASSGIFT_MAINTENANCE_BUG_TEXT,"안녕하세요, <NAME> 님! 작은 버그가 발견되어 점검을 통해 수정했습니다. 이제 정상적으로 게임을 즐길 수 있습니다. 보상으로 이 선물을 드립니다."
TID_MASSGIFT_MAINTENANCE_DERBY1_TEXT,최근 더비에 약간의 문제가 발생했으며 여러분께도 영향을 미쳤을 수 있습니다. 이에 여러분 모두에게 선물을 준비했습니다!
TID_MASSGIFT_MAINTENANCE_DERBY2_TEXT,더비 문제를 수정하기 위해 잠시 게임 운영을 중단해야 했습니다. 불편을 끼쳐 드려 죄송합니다. 이에 대한 보상 차원으로 선물을 준비했습니다.
TID_MASSGIFT_HOLIDAYSEASON_HEADER,메리 크리스마스!
TID_MASSGIFT_HOLIDAYSEASON_TEXT,"안녕하세요, <NAME> 님! 낚시터에서 때때로 특별한 크리스마스 선물이 발견된다는 소식을 받았습니다. 과연 정말일까요? 만약 선물을 찾는다면 다른 친구들에게도 알려주세요. 그럼 즐겁게 찾아보시기 바랍니다!^^"
TID_MASSGIFT_HOLIDAYDECO_TEXT,"안녕하세요, <NAME> 님! 상점에 새로운 장식 하나가 추가로 입고되었습니다. 지금 확인해보세요! 즐거운 연말 맞이하시길 헤이데이 팀의 모두가 기원합니다."
TID_MASSGIFT_EASTERSEASON_HEADER,토끼 애완동물 추가!
TID_MASSGIFT_EASTERSEASON_TEXT,"안녕하세요, <NAME> 님! 복실복실하고 놀라운 소식이 있습니다. 이제 농장에 새로운 애완동물인 토끼를 들여놓을 수 있습니다. 오늘 식구로 맞이하시고, 당근도 충분히 먹여주세요! ^^"
TID_MASSGIFT_FOOTER_REGARDS,감사합니다.
TID_MASSGIFT_FOOTER_HAYDAYTEAM,헤이데이 팀
TID_MASSGIFT_UPDATE_MARKETINGTEXT_HEADER,새 업데이트 안내!
TID_MASSGIFT_UPDATE_MARKETINGTEXT_TEXT,"헤이데이의 세 번째 생일과 새롭고도 알찬 업데이트를 축하해주세요! 야호!\n\n새로운 내용은 뭐가 있을까요?\n-특별 이벤트 기간에만 볼 수 있는 생일 장식으로 멋진 파티를 연출하세요!\n-다시 헤이데이를 찾아온 여름을 맞아 특별한 장식과 농장 동물들을 위한 매력적인 옷들이 추가됩니다. 더욱 맛... 멋있어진 동물들과 만나보세요!\n-귀여운 하운드 강아지와 턱시도 아기 고양이가 새 가족이 됩니다.\n-새로운 파스타 조리대로 맛있는 라자냐, 뇨키, 가재 파스타를 만들어보세요!\n-새로운 게임 이벤트: 두 배의 XP와 타운 방문객 서비스 이벤트를 기대해주세요!\n-새로운 더비 작업: 상품 생산, 동물 사료 주기, 친구 도와주기.\n-전용 수신함에서 개발자 주요 메시지를 받을 수 있습니다.\n-새로운 장식: 배수로나 오솔길 타일, 또는 맵시 있는 분홍색 스쿠터로 농장을 꾸며보세요. 또한 100레벨 이상의 농부들에게는 감사의 표시로 특별한 장식을 드립니다.\n-이웃 검색 개선으로 친구가 무엇을 하고 있는지 더 자세히 알 수 있습니다. 여러분과 농장에 가장 잘 어울리는 이웃을 선택하세요.\n\n그 외의 특징:\n-UI 설정이 변경됩니다.\n-이웃 및 더비 잠금 해제 레벨이 18로 하향 조정됩니다.\n-톰의 애니메이션이 새롭게 개선됩니다.\n-일반적인 버그 수정과 함께 이웃과 더비가 일부 조정됩니다."
TID_MASSGIFT_SUMMERDECO_TEXT,"안녕하세요, <NAME> 님! 이제 곧 알찬 업데이트가 찾아옵니다. 멋진 기능들이 새롭게 선보이면서 여름 한정 장식은 상점에서 사라집니다. 마음에 드는 장식이 있다면 늦기 전에 구매하세요!"
TID_MASSGIFT_SUMMERDECO_HEADER,정보
TID_MASSGIFT_WINTERDECO_TEXT,"안녕하세요, <NAME> 님! 이제 곧 알찬 업데이트가 찾아옵니다. 농장의 겨울 시즌 마감과 함께 새롭고 멋진 기능들이 선보일 예정입니다. 마음에 드는 겨울 한정 장식이 있다면 늦기 전에 구매하세요!"
TID_MASSGIFT_2YEARSTHANKYOU_HEADER,감사합니다!
TID_MASSGIFT_2YEARSTHANKYOU_TEXT,"안녕하세요, <NAME> 님. 헤이데이를 플레이해 주신 지 2년이 넘었네요 시간이 참 빠르기도 하죠! 이에 대한 감사의 뜻으로 선물을 첨부했습니다. 헤이데이를 플레이해 주셔서 감사합니다. - 헤이데이 팀"
TID_MASSGIFT_WOMENSDAY_HEADER,여성의 날
TID_MASSGIFT_WOMENSDAY_TEXT,<NAME> 님! 세계 여성의 날을 기념해 다이아몬드 선물을 준비했습니다. 즐거운 농장 생활 되세요!
TID_MASSGIFT_VALLEY_MAINTENANCE,"안녕하세요, <NAME> 님! 커다란 문제가 생겨서 잠시 골짜기 마을에 갈 수 없게 되었습니다. 곧 자세한 소식을 알려드릴게요. 사과의 뜻으로 이 선물을 받아주세요."
TID_MASSGIFT_VALLEY_MAINTENANCE_RESUME,"안녕하세요, <NAME> 님! 골짜기 마을에 생겼던 문제가 해결되었습니다. 이제 다시 골짜기 마을을 모험하실 수 있습니다. 사과의 뜻으로 이 선물을 받아주세요."
TID_MASSGIFT_VALLEY_MAINTENANCE_EXTRATIME,"안녕하세요, <NAME> 님! 골짜기 마을에 생겼던 문제가 해결되었습니다. 이제 다시 골짜기 마을을 모험하실 수 있습니다. 모험을 즐기시지 못한 시간 만큼, 골짜기 시즌 기간이 연장되었습니다. 사과의 뜻으로 이 선물을 받아주세요."
TID_CALENDAR_EVENT_CROP_IN_SEASON_TITLE,수확의 계절
