TID,DE
TID_TUTORIAL_30_MOBILE,Auf geht's! Der Lieferwagen ist jetzt unterwegs zum Kindergarten.
TID_TUTORIAL_30a_MOBILE,Diese Städter können einfach nicht genug von unseren frischen Farmprodukten bekommen! Liefere noch eine Bestellung.
TID_TUTORIAL_31_MOBILE,Du hast den Bogen wirklich raus! Arbeite jetzt weiter auf deiner Farm und liefere Bestellungen aus.
TID_TUTORIAL_36_MOBILE,"Muuuh! Es ist schon eine Weile her, dass es hier eine Kuh gab!"
TID_TUTORIAL_39_MOBILE,"Eine wohlgenährte Kuh produziert gesunde Milch, die du einsammeln kannst."
TID_TUTORIAL_40_MOBILE,"Kaufe eine Molkerei, wenn du genug Geld hast. Die Molkerei kann Milch zu Sahne, Butter und sogar Käse verarbeiten!"
TID_TUTORIAL_42_MOBILE,Howdy! Ich bin Mike und mir gehört die alte Mühle in der Nähe der Stadt. Wie heißt deine hübsche Farm?
TID_TUTORIAL_45_MOBILE,"Gut, dass sich jemand um die Farm kümmert. Wir sehen uns!"
TID_TUTORIAL_46_MOBILE,"Kommt dieser wunderbare Duft von hier? Oh, wo sind meine Manieren! Mein Name ist Joan."
TID_TUTORIAL_GUEST1_MOBILE,"Wir haben einen Besucher! Tippe auf ihn und erfahre, was er zu sagen hat!"
TID_TUTORIAL_47a_MOBILE,"Entferne zuerst die Plane, indem du darauf tippst."
TID_TUTORIAL_48a_MOBILE,"Warte, bis der Lieferwagen mit deiner Belohnung zurückkehrt, und tippe ihn dann an, um sie einzusammeln!"
TID_TUTORIAL_47_MOBILE,"Sieh mal, die Kinder aus dem Kindergarten haben dir eine Dankesnachricht geschickt!"
TID_TUTORIAL_48_MOBILE,"Hallo! Ich bin Greg, dein Nachbar. Wenn du ein paar Werkzeuge brauchst, komm zu mir, ich kann welche besorgen!"
TID_TUTORIAL_49_MOBILE,"Wir könnten ein paar Werkzeuge gebrauchen, um etwas Land freizuräumen. Besuche Gregs Farm!"
TID_TUTORIAL_50_MOBILE,"Willkommen auf meiner Farm! Sieh dir an, was ich in meinem Straßenverkauf anzubieten habe!"
TID_TUTORIAL_51_MOBILE,"Danke für deinen Besuch! Denk daran, dass du mich oder deine Freunde jederzeit besuchen kannst!"
TID_TUTORIAL_52_MOBILE,"Klasse, Greg war sehr hilfreich. Du kannst auf der Freundeleiste noch mehr Freunde als Nachbarn hinzufügen."
TID_TUTORIAL_53_MOBILE,"Das ist dein Straßenverkauf. Du kannst dort Waren anbieten, die andere Spieler kaufen können."
TID_TUTORIAL_54_MOBILE,"Du kannst festlegen, wie viele deiner Produkte du verkaufen möchtest und wie hoch der Preis sein soll. Du kannst sogar in der Zeitung inserieren! Versuche es!"
TID_TUTORIAL_56_MOBILE,Howdy! Brauchst du Hilfe beim Pflanzen deiner neuen Samen? Ich kann dir ein paar Hinweise geben!
TID_TUTORIAL_55_MOBILE,"Du findest die Zeitung in deinem Briefkasten. Hier kannst du sehen, was andere Leute verkaufen."
TID_TUTORIAL_59_MOBILE,"Es sind Sammelobjekte, die du für den Abschluss von Schiffsbestellungen und von anderen Orten bekommst! Hier ist einer für dich ..."
TID_TUTORIAL_60_MOBILE,Tippe auf die Hütte und fülle die leere Schüssel mit köstlichem Futter!
TID_TUTORIAL_61_MOBILE,"Warte jetzt, bis dein Tier zum Schlafen wiederkommt."
TID_TUTORIAL_66_MOBILE,Du brauchst mehr Platz? Keine Sorge! Du kannst jetzt mit der Erweiterung beginnen.
TID_TUTORIAL_67_MOBILE,"Vielleicht solltest du jetzt die alte Mine reparieren? Wer weiß, welche Schätze dort zu finden sind?"
TID_TUTORIAL_68_MOBILE,"Glückwunsch, die Anlegestelle ist repariert! Du kannst jetzt Schiffsbestellungen ausführen."
TID_TUTORIAL_70_MOBILE,"Hast du deinen neuen und glänzenden Briefkasten gesehen? Oh, ich glaube, da kommt jemand. Hörst du das Pfeifen?"
TID_TUTORIAL_71_MOBILE,"Juhu! Du hast deinen ersten Brief erhalten. Öffne ihn, indem du auf den Briefkasten tippst."
TID_TUTORIAL_73_MOBILE,"Wie kriegt man selbst mehr Briefe? Hilf einfach anderen Farmern, dann schicken sie dir vielleicht welche!"
TID_TUTORIAL_74_MOBILE,"Mit ein wenig Glück könnte eine Geschenkkarte enthalten sein. Und denk daran, der Postbote kommt jeden Tag einmal!"
TID_TUTORIAL_GUEST6_MOBILE,"Tippe auf Gregs Straßenverkauf, um zu sehen, was er anbietet!"
TID_STORAGE_UPGRADE_DESCRIPTION_MOBILE,Kapazität auf <CAPACITY> erhöhen
TID_EXPANSION_DESCRIPTION_MOBILE,Mehr Platz für deine Gebäude
TID_TUTORIAL_FISHING_14_MOBILE,"Ich habe neulich einige Hummer gesehen, die sich im kalten Wasser vergnügt haben. Sollen wir den kleinen beheizten Pool für sie reparieren?"
TID_TUTORIAL_64_MOBILE,Howdy! Brauchst du Hilfe mit den Pizzen?
TID_TUTORIAL_FISHING_2_MOBILE,"Es schwimmt wieder! Keine Angst, fahr damit den Fluss hinab."
TID_TUTORIAL_FISHING_16_MOBILE,Wunderb'arrr! Produziere jetzt ein paar Hummerfallen und platziere sie an den Angelstellen. Gefangene Hummer erscheinen automatisch im Pool.
TID_TUTORIAL_FISHING_12_MOBILE,"Fantastisch. Jetzt kannst du Fischernetze herstellen. Wirf sie an den Angelstellen aus, warte ein wenig und hol dir deine Belohnung!"
TID_TUTORIAL_FISHING_13_MOBILE,Du kannst auch Überraschungsnetze produzieren. Hier ist eines als Geschenk. Probier es gleich mal aus!
TID_PLANK_DESCRIPTION_MOBILE,Zum Verbessern deiner Scheune
TID_NAIL_DESCRIPTION_MOBILE,Zum Verbessern deines Silos
TID_BOLT_DESCRIPTION_MOBILE,Zum Verbessern deiner Scheune
TID_SCREW_DESCRIPTION_MOBILE,Zum Verbessern deines Silos
TID_DUCT_TAPE_DESCRIPTION_MOBILE,Zum Verbessern deiner Scheune
TID_WOOD_PANEL_DESCRIPTION_MOBILE,Zum Verbessern deines Silos
TID_DEMOLITION_CHARGE_DESCRIPTION_MOBILE,Zum Zerstören eines großen Felsens
TID_AXE_DESCRIPTION_MOBILE,Zum Fällen eines kleinen Baumes
TID_BARBECUE_PRODUCT_DESCRIPTION_MOBILE,Am Grill produzieren
TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION_MOBILE,In Eismaschine produzieren
TID_RASPBERRY_DESCRIPTION_MOBILE,Vom Himbeerstrauch sammeln
TID_CASH_DESCRIPTION_MOBILE,Waren und Verbesserungen für die Farm kaufen
TID_DIAMONDS_DESCRIPTION_MOBILE,Produktion beschleunigen und fehlende Waren kaufen
TID_ORDER_SCREEN_SELECT_ORDER_MOBILE,Wähle links eine Bestellung.
TID_PEOPLE_ORDER_GREETING10_MOBILE,Hallo! Ich kaufe für meine Oma ein.
TID_ABOUT_TEXT_MOBILE,Hay Day (tm) V. <VERSION>\n\nCopyright 2012–2025 Supercell Oy. Alle Rechte vorbehalten.\n\nDie Verwendung dieser Software unterliegt den\nNutzungsbedingungen unter https://supercell.com/en/terms-of-service/de/ sowie der Datenschutzrichtlinie unter https://supercell.com/en/privacy-policy/de/\n\nMITWIRKENDE\n<CREDITS>\n\n
TID_ACHIEVEMENT_PRETTY_FARMER_DESCRIPTION_MOBILE,Investiere <NUMBER> Münzen in die Dekoration deiner Farm
TID_ACHIEVEMENT_LOCAL_SELLER_DESCRIPTION_MOBILE,Verdiene <NUMBER> Münzen mit deinem Straßenverkauf
TID_ACHIEVEMENT_TURBO_HARVEST_DESCRIPTION_MOBILE,Ernte in <MINUTES> Minuten <NUMBER> Felder ab
TID_ACHIEVEMENT_TURBO_CAR_ORDERS_DESCRIPTION_MOBILE,Liefere in <MINUTES> Minuten <NUMBER> Bestellungen mit dem Lieferwagen aus
TID_NEED_MORE_FRIENDS_MOBILE,Zum Freischalten brauchst du <NUMBER> neue Supercell-ID-Freunde!
TID_BOY_FIRST_POPUP_TEXT_MOBILE,"Hallo, ich bin Tom und kann Besorgungen für dich machen. Du findest mich bei deinem Straßenverkauf."
TID_ACHIEVEMENT_GREEN_THUMB_DESCRIPTION_MOBILE,Belebe <NUMBER> Obstbäume oder Beerensträucher wieder
TID_CAT_DESCRIPTION_MOBILE,"Füttern, um Punkte zu sammeln"
TID_DOG_DESCRIPTION_MOBILE,"Füttern, um Punkte zu sammeln"
TID_TUTORIAL_58_MOBILE,Jetzt kannst du Tiere und andere tolle Dinge mit Gutscheinen im Laden kaufen!
TID_VOUCHER1_DESCRIPTION_MOBILE,Zum Tausch gegen besondere Objekte im Laden
TID_VOUCHER2_DESCRIPTION_MOBILE,Zum Tausch gegen besondere Objekte im Laden
TID_VOUCHER3_DESCRIPTION_MOBILE,Zum Tausch gegen besondere Objekte im Laden
TID_VOUCHER4_DESCRIPTION_MOBILE,Zum Tausch gegen besondere Objekte im Laden
TID_COFFEE_DESCRIPTION_MOBILE,Vom Kaffeestrauch sammeln
TID_COFFEE_BUSH_DESCRIPTION_MOBILE,Dreimal ernten
TID_CAFE_DESCRIPTION_MOBILE,Produziert heiße Getränke
TID_HOLIDAYTREE_DESCRIPTION_MOBILE,Feiere Weihnachten
TID_GIFTS_DESCRIPTION_MOBILE,Feiere Weihnachten
TID_TOYSOLDIER_DESCRIPTION_MOBILE,Feiere Weihnachten
TID_CANDYPOLE_DESCRIPTION_MOBILE,Feiere Weihnachten
TID_HOLIDAYFLOWER_DESCRIPTION_MOBILE,Feiere Weihnachten
TID_SNOWMAN_DESCRIPTION_MOBILE,Feiere Weihnachten
TID_FROZENPOND_1_DESCRIPTION_MOBILE,Feiere Weihnachten
TID_FROZENPOND_2_DESCRIPTION_MOBILE,Feiere Weihnachten
TID_HORSE_DESCRIPTION_MOBILE,"Füttern, um Punkte zu sammeln"
TID_BIRD_BATH_DESCRIPTION_MOBILE,Lockt Vögel an
TID_NEWSPAPER_FB_PROMO_TEXT_MOBILE,Neueste Nachrichten für Hay Day!
TID_FISHING_SPOT_UNLOCK_DESCRIPTION_MOBILE,An dieser Stelle erwarten dich aufregende neue Fische.
TID_TUTORIAL_FISHING_5_MOBILE,"Das ist eine gute Angelstelle für Anfänger. Versuche einen Fisch zu fangen. Sei geduldig und warte darauf, dass er anbeißt."
TID_TUTORIAL_FISHING_8_MOBILE,"Mit dieser Werkbank kannst du neue Köder erstellen. Für Wurmköder brauchst du nur Zeit, aber die meisten Fische mögen sie nicht."
TID_TUTORIAL_FISHING_9_MOBILE,"Mit Gutscheinen kannst du Spezialköder herstellen, die andere Fische anlocken. All deine fertigen Köder werden im Angelkasten aufbewahrt. Viel Glück! Und wenn du mal Hilfe benötigen solltest, dann tipp mich einfach an."
TID_REPAIR_MINE_TEXT_MOBILE,"In der Mine kannst du mit Dynamit, TNT-Fässern und Schaufeln Dinge zu Tage fördern. Du findest dort wertvolle Erze und sogar Diamanten!"
TID_REPAIR_LOBSTER_POOL_TEXT_MOBILE,"Sobald der Pool repariert ist, erscheinen deine gefangenen Hummer hier drin."
TID_TUTORIAL_75_MOBILE,Die Seilerei und Netze sind jetzt in deinem Angelbereich freigeschaltet. Schau's dir an!
TID_TUTORIAL_76_MOBILE,Hummerfischen und der Hummerpool sind jetzt in deinem Angelbereich freigeschaltet. Schau's dir an!
TID_REQUIRES_LOBSTER_POOL_MOBILE,Erfordert Hummerpool und Seilerei
TID_EVENT_CONTRIBUTE_BUTTON,Beitragen
TID_EVENT_CRATE_TEXT,Zum Hinzufügen tippen
TID_MASSGIFT_GLOBAL_EVENT_FOOTER_REGARDS,Grüße
TID_MASSGIFT_GLOBAL_EVENT_FOOTER_MAYOR,der Bürgermeister
TID_RATE_APP_MESSAGE_ANDROID,"Bitte bewerte uns bei Google Play, damit wir weiterhin tolle Spiele machen können!"
TID_DECO_HALLOWEEN_TOMBSTONE,Grabstein
TID_DECO_HALLOWEEN_PUMPKINTOTEM,Kürbis-Sockel
TID_DECO_HALLOWEEN_COFFIN,Geheimer Sarg
TID_DECO_HALLOWEEN_DEAD_TREE,Baum mit Spinnen
TID_DECO_HALLOWEEN_PUMPKIN,Kürbislaterne
TID_DECO_HALLOWEEN_CAULDRON,Süßigkeitenkessel
TID_DECO_HALLOWEEN_TOMBSTONE_DESC,Halloween-Deko
TID_DECO_HALLOWEEN_PUMPKINTOTEM_DESC,Halloween-Deko
TID_DECO_HALLOWEEN_COFFIN_DESC,Einzigartige Halloween-Deko
TID_DECO_HALLOWEEN_COFFIN_DESC_MOBILE,Einzigartige Halloween-Deko
TID_DECO_HALLOWEEN_DEAD_TREE_DESC,Halloween-Deko
TID_DECO_HALLOWEEN_PUMPKIN_DESC,Halloween-Deko
TID_DECO_HALLOWEEN_CAULDRON_DESC,Halloween-Deko
TID_DECO_HALLOWEEN_FENCE_08,Friedhofszaun
TID_DECO_HALLOWEEN_FENCE_08_DESC,Halloween-Deko
TID_TOP_CONTRIBUTORS,Hauptbeitragende
TID_RECENT_CONTRIBUTORS,Neueste Beitragende
TID_CALENDAR_EVENT_THRESHOLD_REWARD_GAINED,Persönliches Ereignis-Ziel erreicht!
TID_NOTIFICATIONS_SETTINGS_ORDER_READY,Lieferwagen-Benachrichtigungen
TID_NOTIFICATIONS_SETTINGS_ROADSIDE_SHOP,Straßenverkauf-Benachrichtigungen
TID_NOTIFICATIONS_SETTINGS_CROPS,Pflanzen-Benachrichtigungen
TID_NOTIFICATIONS_SETTINGS_ANIMALS,Tier-Benachrichtigungen
TID_NOTIFICATIONS_SETTINGS_CONSTRUCTION_BUILDING,Gebäude-Benachrichtigungen
TID_NOTIFICATIONS_SETTINGS_TOM,Benachrichtigungen von Tom
TID_NOTIFICATIONS_SETTINGS_BOAT,Flussschiff-Benachrichtigungen
TID_NOTIFICATIONS_SETTINGS_MASTERY_STAR,Benachrichtigungen zu Meisterungen
TID_NOTIFICATIONS_SETTINGS_MISCELLANEOUS,Sonstige Benachrichtigungen
TID_NOTIFICATIONS_SETTINGS_CALENDAR_EVENT,Ereignis-Benachrichtigung
TID_CANDY_MACHINE_DESCRIPTION_MOBILE,Produziert Süßigkeiten
TID_MASTERY_INFO_POPUP_TOOLTIP_COINS_MOBILE,Alle <BUILDING>-Waren werden bei Lieferwagenbestellungen <BONUS> Münzen wert sein.
TID_MASTERY_INFO_POPUP_TOOLTIP_TIME_MOBILE,Alle <BUILDING>-Waren werden <BONUS> schneller produziert werden.
TID_TOOLS_OFFER_DESCRIPTION_MOBILE,Jetzt <DISCOUNT> % billiger!
TID_CONFIRM_SPEND_DIAMONDS_DESCRIPTION_MOBILE,Möchtest du jetzt den nächsten Meisterstern kaufen?
TID_BOY_HIRE_OFFER_TEXT_MOBILE,"Danke, dass du mich zuvor angeheuert hast. Ich gebe dir einen Rabatt, wenn du mich in den nächsten Minuten wieder anheuerst."
TID_TUTORIAL_FISHING_3_MOBILE,"Heiliges Kanonenrohr! Ich habe dieses Boot seit Ewigkeiten nicht gesehen! Dein Onkel und ich waren damit auf tollen Angelausflügen. Wenn dich das Angeln erst einmal am Haken hat, kommst du davon nicht so schnell wieder los! Hehe!"
TID_FISH_2_DESCRIPTION_MOBILE,"Ein majestätischer Fisch, der im Frühling hellrot wird. Mag sandige Flussbetten."
TID_FISH_6_DESCRIPTION_MOBILE,Der unersättliche Appetit dieses Lachses lässt ihn stets nach dem nächsten Bissen suchen.
TID_FISH_7_DESCRIPTION_MOBILE,Dieser flotte Fisch ist gewöhnlich und leicht zu fangen – und steht auf eine aufregende Jagd!
TID_FISH_13_DESCRIPTION_MOBILE,Der Hausmeister des Sees! Ernährt sich gerne von Resten am Boden und hält den Ort sauber.
TID_FISH_14_DESCRIPTION_MOBILE,Nach einem langen Weg flussaufwärts lässt es dieser Reisende lockerer angehen.
TID_FISH_17_DESCRIPTION_MOBILE,"Dieser Süßwasserfisch zeigt, was für ein wunderbarer Lebensraum dein Teich ist."
TID_FISH_19_DESCRIPTION_MOBILE,Dieser kleine Fisch macht sich Freunde jeglicher Gattung. Sein Babysitter ist eine Muschel!
TID_FISH_25_DESCRIPTION_MOBILE,"Dieser schnelle, bewegliche Fisch lässt sich teils nur schwer fangen, ist den Ärger aber wert!"
TID_FISH_27_DESCRIPTION_MOBILE,"Ein Experte für die Insektenjagd, überraschend stark. Halte deine Angel gut fest!"
TID_FISH_31_DESCRIPTION_MOBILE,Entspannt sich gerne in einem gemütlichen Teich statt Flüsse hinaufzuhüpfen.
TID_FISH_36_DESCRIPTION_MOBILE,Ein toller Fisch mit funkelnden Schuppen und anmutigem Schwimmstil.
TID_FISH_38_DESCRIPTION_MOBILE,"Dieser schillernde, geschmeidige und schöne Fisch präsentiert wirklich gerne seine Schuppen."
TID_FISH_43_DESCRIPTION_MOBILE,Mag kühles Wasser und schwimmt gerne im Schwarm. Dieser Fisch will im Leben vorwärtskommen!
TID_FISH_47_DESCRIPTION_MOBILE,Dieser Fisch der alten Schule in trendigem Rot und Gold lässt sich durch nichts erschüttern.
TID_FISH_48_DESCRIPTION_MOBILE,"Nicht der größte Barsch, aber er hat die Attitüde eines Rockstars und dicke Flossen."
TID_FISH_50_DESCRIPTION_MOBILE,Dieser Fisch ist ein wahrer Pionier und träumt schon seit seiner Jugend vom Erobern neuer Seen.
TID_FISH_52_DESCRIPTION_MOBILE,Dieser gut getarnte Barsch ist ein höchst beeindruckender Fang. Kannst du ihn ködern?
TID_FISH_55_DESCRIPTION_MOBILE,Groß und schön – einer der seltensten Süßwasserfänge. Pass gut auf ihn auf!
TID_FISH_56_DESCRIPTION_MOBILE,Stets am Schwanz anderer Fische! Schnapp ihn dir und gönne ihnen eine Verschnaufpause.
TID_FISH_57_DESCRIPTION_MOBILE,"Dieser Barsch weiß, wann er sein Maul halten soll. Verwende nur die exquisitesten Köder!"
TID_FISH_59_DESCRIPTION_MOBILE,Dieser vegetarische Fisch führt ein gesundes Leben. Tipp: mag keine Würmer!
TID_FISH_62_DESCRIPTION_MOBILE,"Klein aber lebhaft. Wenn er anbeißt, dann steht dir ein wahrer Kampf bevor!"
TID_FISH_63_DESCRIPTION_MOBILE,"Sollten andere Angler diese Berühmtheit finden, gäbe es einen Ansturm auf den Teich!"
TID_FISH_66_DESCRIPTION_MOBILE,Das Großohr macht deinen Teich zum Neidobjekt vieler Aquarium-Liebhaber.
TID_DECO_PICNICMAT_DESCRIPTION_MOBILE,Sommerspaß (zeitlich begrenzt)
TID_DECO_STATUE_SINGING_DESCRIPTION_MOBILE,Premium-Deko
TID_DECO_STATUE_ET_DESCRIPTION_MOBILE,Premium-Deko
TID_DECO_STATUE_ALICE_DESCRIPTION_MOBILE,Premium-Deko
TID_DECO_STATUE_ROCKY_DESCRIPTION_MOBILE,Premium-Deko
TID_ACHIEVEMENT_BIGGAME_FISHER_DESCRIPTION_MOBILE,Fange insgesamt <NUMBER> kg mit Ködern
TID_FISH_100,Zander
TID_FISH_100_DESCRIPTION,"Dieser riesige Raubfisch brennt darauf, deinen Köder zu schnappen. Alle anderen Fische werden jubeln, wenn du ihn an Land ziehen kannst!"
TID_FISH_100_DESCRIPTION_MOBILE,"Dieser riesige Raubfisch brennt darauf, deinen Köder zu schnappen. Alle anderen Fische werden jubeln, wenn du ihn an Land ziehen kannst!"
TID_FISH_101,Riesenbarbe
TID_FISH_101_DESCRIPTION,Komm der Barbe bloß nicht frech! Sie ist der größte Fisch im Teich und das weiß sie auch!
TID_FISH_101_DESCRIPTION_MOBILE,Komm der Barbe bloß nicht frech! Sie ist der größte Fisch im Teich und das weiß sie auch!
TID_FISH_102,Seestör
TID_FISH_102_DESCRIPTION,"Dieser große Fisch hat dicke Schuppen. Zwicke und kneife, so viel du willst, es kratzt ihn nicht."
TID_FISH_102_DESCRIPTION_MOBILE,"Dieser große Fisch hat dicke Schuppen. Zwicke und kneife, so viel du willst, es kratzt ihn nicht."
TID_FISH_103,Karpfen
TID_FISH_103_DESCRIPTION,"Der Teddybär des Sees. Er ist groß, niedlich und knuddelig. Er würde anderen Fischen keine Schuppe krümmen."
TID_FISH_103_DESCRIPTION_MOBILE,"Der Teddybär des Sees. Er ist groß, niedlich und knuddelig. Er würde anderen Fischen keine Schuppe krümmen."
TID_GREG,Greg
TID_TOM,Tom
TID_CALENDAR_EVENT_FISH_WEIGHT,<WEIGHT> kg
TID_ADVANCED_EVENT_NOTIFICATION_GENERIC,Ein Ereignis mit tollen Preisen hat gerade begonnen! Schau's dir an!
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_HEADER_GENERIC,Globales Ereignis
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_GENERIC,"Hi, <NAME>! Vielen Dank an alle für die Beteiligung am globalen Ereignis. Wir haben es gemeinsam geschafft! Es war ein Riesenerfolg! Nimm bitte diese Belohnung als Dankeschön für deinen Beitrag."
TID_ADVANCED_EVENT_SUCCESS_TITLE_GENERIC,Wir haben es geschafft!
TID_ADVANCED_EVENT_SUCCESS_TEXT_GENERIC,Der Bürgermeister freut sich riesig über die Beiträge jedes einzelnen Farmers und die großartige Zusammenarbeit.
TID_ADVANCED_EVENT_FAIL_TITLE_GENERIC,Wir haben es nicht geschafft ...
TID_ADVANCED_EVENT_FAIL_TEXT_GENERIC,Aber wir haben unser Bestes gegeben. Wir werden es der Welt beim nächsten Mal zeigen!
TID_ADVANCED_EVENT_TITLE_GENERIC_CARORDERS,Vorratsknappheit
TID_ADVANCED_EVENT_TEXT_GENERIC_CARORDERS,"Das Geschäft floriert, doch überall sind die Waren knapp. Führe so viele Lieferwagenbestellungen wie möglich aus, bevor die Zeit abläuft. Erreiche deine persönlichen Ziele, um tolle Belohnungen zu erhalten. Dein Ergebnis trägt auch zum globalen Community-Ziel bei. Erreiche das Ziel zusammen mit Farmern aus der ganzen Welt, dann erhältst du eine Belohnung."
TID_ADVANCED_EVENT_TITLE_GENERIC_VISITORS,Urlaubssaison
TID_ADVANCED_EVENT_TEXT_GENERIC_VISITORS,"Zahlreiche Touristen strömen in die Stadt und aufs Land. Verkaufe Waren an so viele Besucher wie möglich, bevor die Zeit abläuft! Erreiche deine persönlichen Ziele, um tolle Belohnungen zu erhalten. Dein Ergebnis trägt auch zum globalen Community-Ziel bei. Erreiche das Ziel zusammen mit Farmern aus der ganzen Welt, dann erhältst du eine Belohnung."
TID_ADVANCED_EVENT_TITLE_GENERIC_BOAT,Flussschiff-Saison
TID_ADVANCED_EVENT_TEXT_GENERIC_BOAT,"Unten am Fluss finden ein großes Fest statt und es werden ganze Schiffsladungen von Vorräten benötigt. Schließe so viele Schiffslieferungen wie möglich ab, bevor die Zeit abläuft. Erreiche deine persönlichen Ziele, um tolle Belohnungen zu erhalten. Dein Ergebnis trägt auch zum globalen Community-Ziel bei. Erreiche das Ziel zusammen mit Farmern aus der ganzen Welt, dann erhältst du eine Belohnung."
TID_ADVANCED_EVENT_TITLE_GENERIC_FISHING,Angelsaison
TID_ADVANCED_EVENT_TEXT_GENERIC_FISHING,"Angle mit Ködern, um ein möglichst hohes Gesamtgewicht von gefangenen Fischen zu erreichen. Außerdem wurden einige enorm große, seltene und nur saisonal auftretende Fische gesichtet. Kannst du sie alle fangen, um deine Sammlung zu vervollständigen? Erreiche deine persönlichen Ziele, um tolle Belohnungen zu erhalten. Dein Ergebnis trägt auch zum globalen Community-Ziel bei. Erreiche das Ziel zusammen mit Farmern aus der ganzen Welt, dann erhältst du eine Belohnung."
TID_ADVANCED_EVENT_TITLE_GENERIC_ITEM_DUMPING,Hilfe benötigt!
TID_ADVANCED_EVENT_TEXT_GENERIC_ITEM_DUMPING,"Es gibt eine globale Knappheit an bestimmten Gegenständen. Schließe persönliche Ereignis-Ziele ab, um Belohnungen zu erhalten. Deine Beiträge helfen dabei, das globale Ereignis-Ziel zu erreichen, sobald du die vom blauen Symbol oben angezeigte Stufe erreicht hast. Leg los!"
TID_ADVANCED_EVENT_TEXT_GENERIC_ITEM_DUMPING_BACONEGGS,"Es gibt eine globale Knappheit an Speck und Eiern. Schließe persönliche Ereignis-Ziel ab, um tolle Belohnungen zu erhalten. Deine Beiträge helfen dabei, das globale Ereignis-Ziel zu erreichen, sobald du die vom blauen Symbol oben angezeigte Stufe erreicht hast."
TID_ADVANCED_EVENT_TITLE_HALLOWEEN,Halloween-Saison!
TID_ADVANCED_EVENT_TEXT_HALLOWEEN,"Die Nachfrage nach Kürbiskuchen ist enorm! Schließe für tolle Belohnungen persönliche Ereignis-Ziele ab. Deine Beiträge helfen dabei, das globale Ereignis-Ziel zu erreichen, sobald du die vom blauen Symbol oben angezeigte Stufe erreicht hast. Happy Halloween!"
TID_ADVANCED_EVENT_NOTIFICATION_HALLOWEEN,Sieh dir das neue Halloween-Ereignis mit tollen Belohnungen an!
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_HEADER_HALLOWEEN,Globales Ereignis
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_HALLOWEEN,"Hi, <NAME>! Die Stadt war voller Kürbiskuchen! Vielen Dank an alle Teilnehmer. Zusammen haben wir es geschafft! Nimm diese Belohnung als Dankeschön für deinen Beitrag."
TID_ADVANCED_EVENT_SUCCESS_TITLE_HALLOWEEN,Das beste Halloween!
TID_ADVANCED_EVENT_SUCCESS_TEXT_HALLOWEEN,Überall in der Stadt gab es Kürbiskuchen. Gemeinsam hat unsere Community für das beste Halloween überhaupt gesorgt.
TID_ADVANCED_EVENT_FAIL_TITLE_HALLOWEEN,Wir haben es nicht geschafft ...
TID_ADVANCED_EVENT_FAIL_TEXT_HALLOWEEN,"Wir haben unser Bestes gegeben, aber einige Familien haben keinen Kürbiskuchen bekommen."
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_HEADER_BIRTHDAY2018,Geburtstagsereignis
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_BIRTHDAY2018,"Hi, <NAME>! Wir möchten allen für die Teilnahme an unserem besonderen Geburtstagsereignis danken. Wir haben es zusammen geschafft! Nimm diese Belohnung als Dankeschön für deinen Beitrag an."
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_HEADER_SUMMER2018,Sommerereignis
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_SUMMER2018,"Hi, <NAME>! Vielen Dank an alle für die Beteiligung am Sommerereignis. Wir haben es gemeinsam geschafft! Es war ein Riesenerfolg! Nimm bitte diese Belohnung als Dankeschön für deinen Beitrag."
TID_LOBSTER_TUTORIAL_TITLE,So fängst du Hummer
TID_NOTIFICATIONS_SETTINGS_INFO,"Um Benachrichtigungen erhalten zu können, musst du diese im Benachrichtigungszentrum über \qEinstellungen\q / \qBenachrichtigungszentrum\q / \qHay Day\q aktivieren."
TID_NOTIFICATIONS_SETTINGS_INFO_MOBILE,"Um Benachrichtigungen erhalten zu können, musst du diese im Benachrichtigungszentrum über \qEinstellungen\q / \qBenachrichtigungszentrum\q / \qHay Day\q aktivieren."
TID_NOTIFICATIONS_SETTINGS_INFO_ANDROID,"Ab Android Version 4.1: Um Benachrichtigungen erhalten zu können, musst du diese in den Geräteeinstellungen aktivieren: \qEinstellungen\q / \qApps\q / \qHay Day\q / \qBenachrichtigungen zeigen\q."
TID_YOU_HAVE_NOT_REACHED_THRESHOLD,"Schließe mehr persönliche Ereignis-Ziele ab, um an diesem globalen Ereignis teilnehmen zu können."
TID_EVENT_BOARD_GLOBAL,Globales Ereignis-Ziel
TID_EVENT_BOARD_PREVIOUS,Vorheriges globales Ereignis
TID_EVENT_BOARD_PERSONAL,Persönliche Ereignis-Ziele
TID_CANNOT_PARTICIPATE_IN_EVENT_TITLE,Level zu niedrig
TID_YOU_HAVE_NOT_REACHED_THRESHOLD_TITLE,Teilnehmen
TID_NO_EVENT_TITLE,Kein Ereignis
TID_ADVANCED_EVENT_SUCCESS_FLUFF_GENERIC,Jeder hat erhalten:
