TID,JP
TID_TLO_PURCHASE_BUTTON,今すぐ購入
TID_TLO_POPUP_TITLE,特別セール！
TID_TLO_TIME_LEFT,残り時間
TID_TLO_TIME_LEFT_M_S,<M>:<S>
TID_TLO_EXPIRED,セールは終了しました
TID_TLO_DESCRIPTION,期間限定セール中！
TID_PN_HELP_WITH_BOAT_ORDER,<NAME>が船の積み込みを手伝ってくれました！
TID_PN_HELP_WITH_BOAT_ORDER_ANONYMOUS,誰かが船の積み込みを手伝ってくれました！
TID_HORSE_HOUSE,ウマ小屋
TID_HORSE_HOUSE_SHOP_DESCRIPTION,<CAPACITY>頭のウマが\n暮らせます
TID_HORSE1,ベイホース
TID_HORSE2,パロミノ
TID_HORSE3,ピント
TID_HORSE_DESCRIPTION,エサをあげれば\n経験値がもらえます
TID_REGULAR_TOPIARY,古典的トピアリー
TID_CONE_TOPIARY,三角トピアリー
TID_BRIDGE,橋
TID_WATERFALL,滝
TID_HOTAIR_BALLOON,熱気球
TID_POOL,プール
TID_LAYERED_TOPIARY,多層型トピアリー
TID_BIKE_BASKET,女の子用自転車
TID_MALE_BIKE,赤い自転車
TID_PICNIC_TABLE,ランチテーブル
TID_BIRD_BATH,バードバス
TID_FLOWER_LADYBUG,テントウ虫の飾り
TID_FLOWER_BUTTERFLY,チョウの飾り
TID_CATERPILLAR,イモ虫の飾り
TID_GNOME_FEMALE,ミセス・ノーム
TID_GNOME_MALE,ミスター・ノーム
TID_HEART_TOPIARY,心のトピアリー
TID_CRANE_TOPIARY,ツル型トピアリー
TID_FANCY_TOPIARY,トピアリー
TID_FROGKING,カエルの王様
TID_TORTOISE,カメ
TID_GARDENBOYSTATUE,像
TID_SNAIL,カタツムリ
TID_WINDMILL,風車
TID_OLD_BIKE,古風なバイク
TID_TRACTOR,トラクター
TID_SNAIL_DESCRIPTION,農場をかざり\nつけられます
TID_WINDMILL_DESCRIPTION,農場をかざり\nつけられます
TID_OLD_BIKE_DESCRIPTION,農場をかざり\nつけられます
TID_TRACTOR_DESCRIPTION,農場をかざり\nつけられます
TID_FROGKING_DESCRIPTION,農場をかざり\nつけられます
TID_TORTOISE_DESCRIPTION,農場をかざり\nつけられます
TID_GARDENBOYSTATUE_DESCRIPTION,農場をかざり\nつけられます
TID_REGULAR_TOPIARY_DESCRIPTION,農場をかざり\nつけられます
TID_CONE_TOPIARY_DESCRIPTION,農場をかざり\nつけられます
TID_BRIDGE_DESCRIPTION,農場をかざり\nつけられます
TID_WATERFALL_DESCRIPTION,農場を楽しく\n演出できます
TID_HOTAIR_BALLOON_DESCRIPTION,農場をかざり\nつけられます
TID_POOL_DESCRIPTION,農場をかざり\nつけられます
TID_LAYERED_TOPIARY_DESCRIPTION,農場をかざり\nつけられます
TID_BIKE_BASKET_DESCRIPTION,農場をかざり\nつけられます
TID_MALE_BIKE_DESCRIPTION,農場をかざり\nつけられます
TID_PICNIC_TABLE_DESCRIPTION,農場をかざり\nつけられます
TID_BIRD_BATH_DESCRIPTION,鳥が寄ってきます
TID_FLOWER_LADYBUG_DESCRIPTION,農場をかざり\nつけられます
TID_FLOWER_BUTTERFLY_DESCRIPTION,農場をかざり\nつけられます
TID_CATERPILLAR_DESCRIPTION,農場をかざり\nつけられます
TID_GNOME_FEMALE_DESCRIPTION,農場をかざり\nつけられます
TID_GNOME_MALE_DESCRIPTION,農場をかざり\nつけられます
TID_HEART_TOPIARY_DESCRIPTION,農場をかざり\nつけられます
TID_CRANE_TOPIARY_DESCRIPTION,農場をかざり\nつけられます
TID_FANCY_TOPIARY_DESCRIPTION,農場をかざり\nつけられます
TID_FENCE_07_DESCRIPTION,農場をかざり\nつけられます
TID_FENCE_07,金色の壁
TID_CANDY_PRODUCT_DESCRIPTION,キャンディー機で作れます
TID_CARAMEL_APPLE,キャラメルアップル
TID_TOFFEE,トフィー
TID_CHOCOLATE,チョコレート
TID_LOLLIPOP,ロリポップ
TID_JELLY_BEANS,ジェリービーンズ
TID_CANDY_MACHINE,キャンディー機
TID_CANDY_MACHINE_DESCRIPTION,キャンディーを\n作れます
TID_ACHIEVEMENT_PETS,最良の友
TID_ACHIEVEMENT_PETS_DESCRIPTION,ペットを<NUMBER>回買う
TID_BOY_INFO_POPUP_TITLE,物探しのお手伝い
TID_MASTERY_INFO_POPUP_TITLE,{size=23}<BUILDING>マスター
TID_MASTERY_INFO_POPUP_DESCRIPTION,この設備を使い続ければ\n星が増えていきます
TID_MASTERY_INFO_POPUP_DESCRIPTION_FULL,すべてマスター済みです！
TID_MASTERY_INFO_POPUP_PROGRESS,<HOURS>/<HOURS_LIMIT>時間
TID_MASTERY_INFO_POPUP_BUY_STAR,今すぐアップグレード！
TID_MASTERY_INFO_POPUP_TOOLTIP_COINS,<BUILDING>で作る商品を配達トラックで納品するとコインを<BONUS>獲得します。
TID_MASTERY_INFO_POPUP_TOOLTIP_EXP,<BUILDING>で作る商品を配達トラックで納品すると経験値を<BONUS>獲得します。
TID_MASTERY_INFO_POPUP_TOOLTIP_BOAT_EXP,<BUILDING>で作る商品を船で納品すると経験値を<BONUS>獲得します。
TID_MASTERY_INFO_POPUP_TOOLTIP_BOAT_SPECIAL_CURRENCY,<BUILDING>で作る商品を船で納品すると<CURRENCY>を<BONUS>獲得します。
TID_MASTERY_INFO_POPUP_TOOLTIP_TIME,<BUILDING>で作る全商品の生産速度が<BONUS>アップします。
TID_MASTERY_STAR_GAIN_POPUP_TITLE,{size=17}おめでとう！
TID_MASTERY_STAR_GAIN_POPUP_DESCRIPTION_COINS,<BUILDING>で作る商品を配達トラックで納品する際の価格が上がりました！
TID_MASTERY_STAR_GAIN_POPUP_DESCRIPTION_EXP,<BUILDING>で作る商品を配達トラックで納品した際にもらえる経験値が増えました！
TID_MASTERY_STAR_GAIN_POPUP_DESCRIPTION_TIME,<BUILDING>で作る全商品の生産速度が上がりました！
TID_MASTERY_STAR_GAIN_POPUP_DESCRIPTION_BOAT_EXP,<BUILDING>で作る商品を船で納品した際にもらえる経験値が増えました！
TID_MASTERY_STAR_GAIN_POPUP_DESCRIPTION_BOAT_SPECIAL_CURRENCY,<BUILDING>で作る商品を船で納品した際にもらえる<CURRENCY>が増えました！
TID_MASTERY_BONUS,ボーナス！
TID_ACHIEVEMENT_FEED_PETS,おあずけ、待て、よし！
TID_ACHIEVEMENT_FEED_PETS_DESCRIPTION,ペットに\n<NUMBER>回エサをやる
TID_ACHIEVEMENT_COOP,協力関係
TID_ACHIEVEMENT_COOP_DESCRIPTION,他のプレイヤーの農場で\n船の荷作りを<NUMBER>回手伝う
TID_ACHIEVEMENT_EXPANSION,大地主
TID_ACHIEVEMENT_EXPANSION_DESCRIPTION,農場を<NUMBER>回拡張する
TID_ACHIEVEMENT_WHEEL,ハイローラー
TID_ACHIEVEMENT_WHEEL_DESCRIPTION,ルーレットを\n<NUMBER>日連続でまわす
TID_ACHIEVEMENT_WHEEL_DESCRIPTION_MOBILE,ルーレットを\n<NUMBER>日連続でまわす
TID_NOTIFICATION_BOAT_ARRIVED,船が到着しました！
TID_NOTIFICATION_BOAT_LEAVING,船がもうすぐ出発します！積み込みを急ぎましょう！
TID_NOTIFICATION_BOAT_LEAVING_MOBILE,船がもうすぐ出発します！\n積み込みを急ぎましょう！
TID_NOTIFICATION_TOM_READY,トムに新しい探し物を頼めます！
TID_NEWSPAPER_FB_PROMO_TEXT,「ヘイ・デイ」の最新\nニュースをチェック！
TID_NEWSPAPER_FB_PROMO_BUBBLE_TEXT,ありがとうございます！
TID_GOOD_UNLOCKED_TOOLTIP,レベル<LEVEL>で登場
TID_NATIVE_DIALOG_BILLING_ERROR_TITLE,エラー
TID_NATIVE_DIALOG_BILLING_ERROR_BUTTON,OK
TID_PN_LIKE_FARM,<NAME>があなたの農場を気に入ってくれました！
TID_PN_LIKE_FARM_ANONYMOUS,誰かがあなたの農場を気に入ってくれました！
TID_TOOLS_OFFER_TITLE,本日のセール！
TID_TOOLS_OFFER_DESCRIPTION,レアアイテムを<DISCOUNT>％OFFでご提供！
TID_HORSE4,アンダルシアン
TID_CONFIRM_SPEND_DIAMONDS_TITLE,確認
TID_CONFIRM_SPEND_DIAMONDS_DESCRIPTION,今すぐダイヤモンドを使用して\nアップグレードしますか？
TID_CONFIRM_SPEND_DIAMONDS_BUTTON,はい
TID_POTATO,ジャガイモ
TID_POTATOE_BREAD,ポテトパン
TID_BAKED_POTATO,ベイクドポテト
TID_POTATO_FETA_CAKE,ポテトフェタケーキ
TID_CASSEROLE,キャセロール
TID_SHEPHERDS_PIE,シェパーズパイ
TID_CUSTOMER_SUPPORT_LANGUAGES,メッセージは以下の言語のいずれかでお書きください：英語、フランス語、ドイツ語、スペイン語、イタリア語、オランダ語、韓国語、フィンランド語、日本語。また、下にスクロールして問題の種類を選択してください。
TID_TLO_VALENTINE_POPUP_TITLE,バレンタインスペシャル
TID_TLO_VALENTINE_DESCRIPITON,あなただけに大幅ディスカウント！
TID_TOOL_OFFER_PURCHASE_CONFIRMATION_TITLE,本日のセール！
TID_TOOL_OFFER_PURCHASE_CONFIRMATION_DESCRIPTION,この特別セール品を購入しますか？
TID_TOOL_OFFER_PURCHASE_CONFIRMATION_BUTTON,購入する
TID_NOTIFICATION_MASTERY_STAR_GAINED,<NAME>に星がつきました！
TID_LEADERBOARD_HUD_TITLE,船のランキング
TID_LEADERBOARD_BOAT_FRIENDS_TITLE,フレンドランキング
TID_LEADERBOARD_BOAT_GLOBAL_TITLE,グローバルランキング
TID_LEADERBOARD_BOAT_ERROR_TIMEOUT,ランキングを読み込めませんでした。もう一度お試しください。
TID_LEADERBOARD_VISIT,見に行く
TID_BOAT_SCORE,船のスコアを更新：<SCORE>
TID_PURCHASE_WARNING_TITLE,重要なお知らせ：必ずお読みください！
TID_PURCHASE_WARNING_TEXT,「ヘイ・デイ」は完全に無料でプレイできますが、一部のゲーム内アイテムは有料で購入することも可能です。ゲーム内アイテムの購入を行いたくない場合、お使いのデバイスの「設定」から「App内での購入」を無効に設定してください。また、ダウンロードおよびご利用は13歳以上の方のみとさせていただきます。
TID_PURCHASE_WARNING_TEXT_ANDROID,「ヘイ・デイ」は完全に無料でプレイできますが、一部のゲーム内アイテムは有料で購入することも可能です。ゲーム内アイテムの購入を行いたくない場合、「Google Playストア」アプリで「パスワード保護」を有効にしてください。また、ダウンロードおよびご利用は13歳以上の方のみとさせていただきます。
TID_PURCHASE_WARNING_TAP_TEXT,OK
TID_BOY_HIRE_OFFER_TEXT,お手伝いできて楽しかったよ！\n数分以内にもう一度雇ってくれれば、\nオマケしとくよ！
TID_BOY_HIRE_INTERVAL_OFFER_TEXT,やあ、今から数分以内に雇ってくれれば、オマケするよ！
TID_BOY_HIRE_OFFER_CANCEL_BUTTON,後で
TID_ACHIEVEMENT_BOAT_SCORE,貨物大好き
TID_ACHIEVEMENT_BOAT_SCORE_DESCRIPTION,船のランキングで\n<NUMBER>ポイントとる
TID_ACHIEVEMENT_BOAT_SCORE_DESCRIPTION_MOBILE,船のランキングで\n<NUMBER>ポイントとる
TID_TIME_BONUS,タイムボーナス
TID_FLOATER_BOAT_LEADERBOARD_COMING_SOON,船のランキングはレベル<LEVEL>から利用可能になります
TID_GIFT_SENT_TO,<NAME>にお礼の手紙を送りました！
TID_FRIEND_BAR_HELPERS_TAB,ヘルパー
TID_HELPER_BAR_INFO,最近協力してくれたフレンドが表示されます
TID_FLOATER_GIFT_BOX_COMING_SOON,手紙はレベル<LEVEL>から届くようになります
TID_COLLECT_ALL_LETTERS,受け取る
TID_GIFT_S_TITLE,ミステリーパック（小）
TID_GIFT_S_TEXT,ランダムで：
TID_GIFT_M_TITLE,ミステリーパック（中）
TID_GIFT_M_TEXT,ランダムで：
TID_GIFT_L_TITLE,ミステリーパック（大）
TID_GIFT_L_TEXT,ランダムで：
TID_GIFT_TOOL_TITLE,ミステリー道具パック
TID_GIFT_DECO_TITLE,ミステリーデコパック
TID_GIFT_TOOL_TEXT,ランダムで：
TID_GIFT_DECO_TEXT,ランダムで：
TID_GIFT_WILL_CONTAIN,必ず入手：
TID_HOLIDAY_GIFT_TITLE,クリスマスパック
TID_LETTER_GREETING1,こんにちは！ 本当に助かり\nました。
TID_LETTER_GREETING2,ご協力ありがとうございます！
TID_LETTER_GREETING3,手伝ってくれてありがとう！
TID_LETTER_GREETING4,ありがとう！ 手伝ってもらえて嬉しいです！
TID_LETTER_GREETING5,どうも！\n助かりました！
TID_LETTER_GREETING6,本当にありがとうございました。
TID_LETTER_GREETING7,おかげさまで\n助かりました。
TID_LETTER_GREETING8,助かりました。\n感謝してます！
TID_LETTER_GREETING9,ありがとう\nございました！\nそちらは\nいかがですか？
TID_LETTER_GREETING10,ご協力に感謝！
TID_LETTER_GREETING11,ありがとうございました！
TID_LETTER_GREETING12,心から感謝しています！
TID_LETTER_GREETING13,ありがとう！\n今度アイスでも\nおごるから！
TID_LETTER_GREETING14,ありがとう！\n近いうちにお返しできますように。
TID_LETTER_GREETING15,お礼申し上げます！
TID_LETTER_GREETING16,今日が良い日に\nなりますように！
TID_LETTER_GREETING17,ご協力に感謝！
TID_LETTER_GREETING18,ありがとうございます！
TID_LETTER_GREETING19,本当ありがとう！\nもつべきものは\n友達だね！
TID_LETTER_GREETING20,ありがとう！ この手紙にギフト券が入ってます\nように。
TID_LETTER_REGARDS,ではまた。
TID_CATALOGUE_TOTAL,ギフト券の合計枚数
TID_OPEN_HOLIDAY_GIFT_MESSAGE,クリスマスプレゼントが届いています
TID_OPEN_CATALOGUE_GIFT_MESSAGE,注文したミステリーパックが\n届きました
TID_OPEN_MASS_GIFT_MESSAGE,サーバーダウンのおわびです！
TID_GIFT_OR,または
TID_GIFT_PURCHASE_CONFIRMATION_TITLE,注文の確認
TID_GIFT_PURCHASE_CONFIRMATION_DESCRIPTION,<GIFT_NAME>
TID_GIFT_PURCHASE_CONFIRMATION_BUTTON,注文する
TID_GIFT_CANNOT_PURCHASE_CONFIRMATION_DESCRIPTION,ギフト券が足りません。
TID_GIFT_PENDING_ORDER_CONFIRMATION_DESCRIPTION,到着待ちです。
TID_GIFT_SPEEDUP_BUTTON,今すぐ更新！
TID_GIFT_COOLDOWN_TITLE,次のミステリーパック
TID_GIFT_CARDS,ギフト券
TID_GIFT_CARDS_DESCRIPTION,ギフト券でギフトを注文できます
TID_PINETREE_BIG,大きな針葉樹
TID_PINETREE_BIG_DESCRIPTION,農場をかざり\nつけられます
TID_PINETREE_MED,針葉樹
TID_PINETREE_MED_DESCRIPTION,農場をかざり\nつけられます
TID_PINETREE_SMALL,小さな針葉樹
TID_PINETREE_SMALL_DESCRIPTION,農場をかざり\nつけられます
TID_LEAFYTREE_BIG1,暗めの広葉樹
TID_LEAFYTREE_BIG1_DESCRIPTION,農場をかざり\nつけられます
TID_LEAFYTREE_BIG2,広葉樹
TID_LEAFYTREE_BIG2_DESCRIPTION,農場をかざり\nつけられます
TID_LEAFYTREE_SMALL,小さな広葉樹
TID_LEAFYTREE_SMALL_DESCRIPTION,農場をかざり\nつけられます
TID_FISHING_SPOT_UNLOCK_TITLE,{size=23}魚釣りスポットを拡張
TID_FISHING_SPOT_UNLOCK_DESCRIPTION,珍しい魚たちが\nあなたを\n待っています！
TID_TUTORIAL_FISHING_1,伯父さんの古い釣り用ボートです。\n修理すればまだ使えそうです。
TID_TUTORIAL_FISHING_2,ボートが直りました！\nせっかくですので乗って下流まで行ってみましょう！
TID_TUTORIAL_FISHING_3,こいつはおどろいた！そのボートを見るのは何年ぶりかな。\n君んとこの伯父さんとそいつでよく釣りを楽しんだもんだよ。
TID_TUTORIAL_FISHING_4,魚釣りのしかた
TID_TUTORIAL_FISHING_5,ここは初心者向けのいい魚釣りスポットだ。やってみるといい。あせらずに、魚のほうから食いついてくるのを待つんだ。
TID_TUTORIAL_FISHING_6,魚が中央の円に入るようにうまく操作するんだ。わしをタップすればもう一度説明するぞ。
TID_TUTORIAL_FISHING_7,なかなかかわいいのが釣れたな。\n君の伯父さんが釣ったアレはもっと\nすごかったが。小屋に記録帳が\nあるはずだ。
TID_TUTORIAL_FISHING_7_MOBILE,なかなかかわいいのが釣れたな。\n君の伯父さんが釣ったアレは\nもっとすごかったが。\n小屋に記録帳があるはずだ。
TID_TUTORIAL_FISHING_8,この作業台を使えば新しいルアーを作れる。ワームルアーは時間さえあれば作れるが、魚たちはあまり食いついてくれんのだ。
TID_TUTORIAL_FISHING_9,チケットを使って特製のルアーを作れば、様々な魚が寄ってくるぞ。\n完成したルアーは横の箱に入れておける。やってみるといい。\n説明が必要ならいつでもわしをタップしてくれ。
TID_REPAIR_FISHING_BOAT_TITLE,{size=23}修理しますか？
TID_REPAIR_FISHING_BOAT_TEXT,釣り用ボートを修理して釣りに出かけましょう！
TID_REPAIR_FISHING_BOAT_YES,修理を開始
TID_FISHING_BOAT,釣り用ボート
TID_FISHING_SPOT_SHALLOW,水深の浅い釣りスポット
TID_FISHING_SPOT_DEEP,水深の深い釣りスポット
TID_FISHING_SPOT_REED,アシの多い釣りスポット
TID_FISHING_SPOT_ROCKY,岩場の釣りスポット
TID_FISH_1,レッドホース
TID_FISH_1_DESCRIPTION,気性がおとなしく、のんびり屋で寿命の長いこの魚は湖が気に入って棲みついているようです。
TID_FISH_1_DESCRIPTION_MOBILE,気性がおとなしく、のんびり屋で寿命の長いこの魚は湖が気に入って棲みついている\nようです。
TID_FISH_2,フーケン
TID_FISH_2_DESCRIPTION,春先になると体色が鮮やかな赤に変わる優雅な魚。\n砂の多い川底を好んで棲むといいます。
TID_FISH_3,ブルーサン
TID_FISH_3_DESCRIPTION,生涯の大半を寝て過ごす\n珍しい魚です。
TID_FISH_6,コホサーモン
TID_FISH_6_DESCRIPTION,食欲旺盛なこのサケの仲間は\n食いつきがかなり\nいいそうです。
TID_FISH_7,ローチ
TID_FISH_7_DESCRIPTION,数も多く捕まえやすい、つき合いのいい魚ですが、それなりに釣り人との駆け引きを楽しんでいるようです。
TID_FISH_10,パーチ
TID_FISH_10_DESCRIPTION,プライバシーを大事にするこの魚はアシの多い場所、倒木の下、にごった水などに棲んでいるようです。
TID_FISH_10_DESCRIPTION_MOBILE,プライバシーを大事にするこの魚はアシの多い場所、倒木の下、にごった水などに\n棲んでいるようです。
TID_FISH_13,フォール
TID_FISH_13_DESCRIPTION,湖の掃除人ともいうべき存在で、底に溜まった食べ物のカスなどを主食にして周囲をきれいにしてくれています。
TID_FISH_14,サーモン
TID_FISH_14_DESCRIPTION,川をさかのぼる長旅を終え、のんびりしたがっているようです。
TID_FISH_17,レインボー
TID_FISH_17_DESCRIPTION,この魚は普段は潟などに棲んでいるはずですが、この湖がよほど気に入ったみたいです
TID_FISH_19,ビタリング
TID_FISH_19_DESCRIPTION,この小型の魚は他の生物とも仲良くなれる社交家で、\n稚魚のベビーシッターを\n淡水に棲む貝に\n頼んだりするそうです！
TID_FISH_20,アスプ
TID_FISH_20_DESCRIPTION,独りを好む大型の魚です。以前は修学旅行などが好きだったとか。でも近年は静かに暮らしたがっているようです。
TID_FISH_25,スペックル
TID_FISH_25_DESCRIPTION,小型で素早いこの魚は釣り上げるのは一苦労ですが、その甲斐があるというものです！
TID_FISH_27,スポットサン
TID_FISH_27_DESCRIPTION,凄腕の昆虫狩り名人で、びっくりするぐらい力強い魚です。釣りざおを放さないようにしましょう！
TID_FISH_31,ブルック
TID_FISH_31_DESCRIPTION,飛び跳ねつつ川をさかのぼるよりも、池などでのんびりリラックスするのが好きなようです。
TID_FISH_36,ブルーギル
TID_FISH_36_DESCRIPTION,キラキラと輝くウロコに優雅\nな泳ぎっぷり。見事な魚です
TID_FISH_38,スメルト
TID_FISH_38_DESCRIPTION,つやつやときらめく美しさのこの魚は、ウロコが\n自慢のようです。
TID_FISH_43,ソーガー
TID_FISH_43_DESCRIPTION,涼しい水を大勢で泳ぐのが好きみたいです。上昇志向の\n強い魚だそうです！
TID_FISH_45,アークチャー
TID_FISH_45_DESCRIPTION,旅行熱にかられて毎年外海旅行に出かける魚ですが、故郷に戻るのも好きみたいです！
TID_FISH_47,ラッド
TID_FISH_47_DESCRIPTION,赤と金でオシャレなこの魚は、いつも自信満々です！
TID_FISH_48,イエローバス
TID_FISH_48_DESCRIPTION,バスの中ではそこまで大きいほどではないものの、ロックスターかと思うような\nいでたちと振る舞いが\n特徴の魚です。
TID_FISH_50,ゴールデン
TID_FISH_50_DESCRIPTION,真の意味でのパイオニアの名にふさわしいこの魚は、若い頃から新しい湖の開拓に余念がないそうです。
TID_FISH_52,シャドウバス
TID_FISH_52_DESCRIPTION,周囲に溶け込む迷彩模様の\nバスで、捕まえるのが大変な\nことで知られています。\nうまく釣れるでしょうか？
TID_FISH_55,ビッグレッド
TID_FISH_55_DESCRIPTION,大型で美しい、淡水魚では最も珍しい部類のものです。\n大事にしましょう！
TID_FISH_56,ノースパイク
TID_FISH_56_DESCRIPTION,いつも他の魚を追いかけまわしています。 ここだけの話、しばらくどこかに連れて行ってほしいという声も...
TID_FISH_57,ラージマウス
TID_FISH_57_DESCRIPTION,クチは大きいものの、それをつぐむべき時は心得ているバスです。最高級のルアーを\n使いましょう！
TID_FISH_59,グラスカープ
TID_FISH_59_DESCRIPTION,質素で健康的な暮らしをしているベジタリアンの魚です。ワームルアーは\n嫌いみたいです！
TID_FISH_60,グリーンサン
TID_FISH_60_DESCRIPTION,どんな環境でもたくましく暮らせるタフな魚です。この湖は\qリゾートスパ\q級に過ごしやすいと言ってるそうです。
TID_FISH_62,スタッド
TID_FISH_62_DESCRIPTION,小柄ですが気骨のある魚です。かかったら激戦を\n覚悟しましょう！
TID_FISH_63,ストライプ
TID_FISH_63_DESCRIPTION,釣り人たちの間では有名な魚です。ここにいることが他のアングラーたちに知られたら湖が大混雑してしまう\nでしょう！
TID_FISH_66,ロングイヤー
TID_FISH_66_DESCRIPTION,この湖にこの魚がいることを観賞魚ファンが知ったら、\nさぞうらやましがることでしょう。
TID_BAIT_SHOP_TITLE,ルアーショップ
TID_BAIT_SHOP_BUTTON_BUY,購入する
TID_FISHMEAT,魚の切り身
TID_FISHMEAT_DESCRIPTION,釣りエリアで\n釣れます
TID_FISHBURGER,フィッシュバーガー
TID_FISHPIE,フィッシュパイ
TID_BAIT_RED,赤のルアー
TID_BAIT_GREEN,緑のルアー
TID_BAIT_BLUE,青のルアー
TID_BAIT_PURPLE,紫のルアー
TID_BAIT_GOLD,金のルアー
TID_ACHIEVEMENT_SPORTS_FISHER,スポーツフィッシング
TID_ACHIEVEMENT_SPORTS_FISHER_DESCRIPTION,ルアーで魚を\n合計<NUMBER>匹釣る
TID_ACHIEVEMENT_SPORTS_FISHER_DESCRIPTION_MOBILE,ルアーで魚を\n合計<NUMBER>匹釣る
TID_ACHIEVEMENT_BIGGAME_FISHER,大物狙い
TID_ACHIEVEMENT_BIGGAME_FISHER_DESCRIPTION,ルアーで合計\n<NUMBER>キロの魚を釣る
TID_ACHIEVEMENT_FISH_FARMER,フィッシュファーマー
TID_ACHIEVEMENT_FISH_FARMER_DESCRIPTION,釣りエリアを<NUMBER>回拡張する
TID_ACHIEVEMENT_FISHERMANS_FRIEND,釣り人の心
TID_ACHIEVEMENT_FISHERMANS_FRIEND_DESCRIPTION,<NUMBER>日連続で魚を釣る
TID_SCRAPBOOK_FISH_NEW,NEW
TID_TACKLE_BOX_STORAGE,ルアーボックス：<COUNT>/<MAX>
TID_TACKLE_BOX_FULL_TITLE,{size=23}ルアーボックスが一杯です
TID_TACKLE_BOX_FULL_DESCRIPTION,ルアーボックスが一杯です！アップグレードして容量を増やしましょう。
TID_BAITMAKER,ルアー用作業台
TID_BAITMAKER_DESCRIPTION,ルアーを作れます
TID_BAITMAKER_PRODUCT_DESCRIPTION,ルアー用作業台で作れます
TID_SCRAPBOOK_BIGGEST_CATCH,最大記録：<WEIGHT>キロ
TID_FLOATER_FISHING_SPOT_CONNECTION,解禁済みの釣りスポットにつながっているスポットを選択してください。
TID_FLOATER_FISHING_SPOT_CONNECTION_MOBILE,解禁済みの釣りスポットにつながっている\nスポットを選択してください。
TID_LETTER_GREETING21,太っ腹な対応に\n感謝感激！
TID_LETTER_GREETING22,これからも仲良く\nしてくださいね。
TID_LETTER_GREETING23,ご協力に感謝！
TID_LETTER_GREETING24,ありがとうございます！
TID_LETTER_GREETING25,助けてくれてありがとう！
TID_LETTER_GREETING25_MOBILE,助けてくれて\nありがとう！
TID_LETTER_GREETING26,モー、大助かり！
TID_LETTER_GREETING27,感謝してます！
TID_LETTER_GREETING28,持つべき物は友達ですね！
TID_LETTER_GREETING29,ありがとう、そして良い一日を！
TID_LETTER_GREETING30,恩に着るよ！
TID_LETTER_GREETING31,お礼申し上げます！
TID_LETTER_GREETING32,今日という日が素晴らしい一日に\nなりました！\nありがとう！
TID_LETTER_GREETING33,そうこなくちゃ！ 感謝感謝！
TID_LETTER_GREETING34,頼れる友人はありがたいものです。いつでも遊びに\n来てください！
TID_LETTER_GREETING35,これだから農場経営は楽しいん\nですよね！
TID_FLOATER_BAIT_MAKER_CLAIM_BUT_TACKLE_BOX_FULL,{size=23}ルアーボックスが一杯です！
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_GIFT_DIAMONDS,App Storeから新しいアップデートをダウンロード可能！今すぐアップデートしましょう！ショップにダイヤモンド<NUMBER>個がまもなく登場！お見逃しなく！
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_GIFT_DIAMONDS_ANDROID,Google Playから新しいアップデートをダウンロード可能！今すぐアップデートしましょう！ショップにダイヤモンド<NUMBER>個がまもなく登場！お見逃しなく！
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_GIFT_COINS,App Storeから新しいアップデートをダウンロードできます！ 今すぐアップデートすればコインが<NUMBER>個もらえます
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_GIFT_GREEN_VOUCHERS,App Storeから新しいアップデートをダウンロードできます！ 今すぐアップデートすれば緑のチケットが<NUMBER>個もらえます
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_GIFT_BLUE_VOUCHERS,App Storeから新しいアップデートをダウンロードできます！ 今すぐアップデートすれば青のチケットが<NUMBER>個もらえます
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_GIFT_PURPLE_VOUCHERS,App Storeから新しいアップデートをダウンロードできます！ 今すぐアップデートすれば紫のチケットが<NUMBER>個もらえます
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_GIFT_GOLDEN_VOUCHERS,App Storeから新しいアップデートをダウンロードできます！ 今すぐアップデートすれば金のチケットが<NUMBER>個もらえます
TID_MASS_GIFT_REWARD_CLAIM_BUTTON,受け取る
TID_MASSGIFT_BIRTHDAY_HEADER,誕生記念
TID_MASSGIFT_BIRTHDAY_TEXT,<NAME>さんこんにちは！おかげさまでヘイ･デイは3周年を迎えました！ここまでこれたのも、プレイヤーの皆様が様々なご意見をお寄せいただき、このゲームを支えてくださったおかげです！こちらはお礼のダイヤモンドです。ぜひ今後のプレイにお役立てください！今日からの1年を、これまで以上に楽しい年にしていきましょう！
TID_MASSGIFT_BIRTHDAY_6TH_TEXT,こんにちは、<NAME>！ヘイ・デイが6周年を迎えました！めでたい！日頃のお礼として、特別なデコレーションをご用意しました。農場をより賑やかに飾り付けましょう！お気付きですか？実はアルファベットなんです。バースデー記念イベントをプレイして、他の像も集めましょう。この1年が、より素晴らしいものになりますように！
TID_MASSGIFT_UPDATE_HEADER,新バージョンに\nアップデート
