TID,NO
TID_ADVANCED_EVENT_TITLE_GENERIC_FISHING,Sesong for slukfiske
TID_ADVANCED_EVENT_TEXT_GENERIC_FISHING,"Fisk med sluker for å få så mange kilo med fisk som mulig. Det er også blitt observert noen sjeldne kjempefisker. Klarer du fange alle og fullføre samlingen? Nå dine personlige mål for å få flotte belønninger. Resultatet ditt teller også mot samfunnets mål totalt. Nå målet sammen med bønder fra hele verden, så får alle belønninger."
TID_ADVANCED_EVENT_TITLE_GENERIC_ITEM_DUMPING,Hjelp ønskes!
TID_ADVANCED_EVENT_TEXT_GENERIC_ITEM_DUMPING,Det er mangel på visse spesialjenstander. Fullfør personlige hendelsesmål for å få flotte belønninger. Bidragene dine teller mot samfunnets felles globale hendelsesmål når du når nivået som vises i det blå ikonet ovenfor. Sett i gang!
TID_ADVANCED_EVENT_TEXT_GENERIC_ITEM_DUMPING_BACONEGGS,Det er global mangel på egg og bacon. Fullfør personlige hendelsesmål for å få flotte belønninger. Bidragene dine teller mot samfunnets felles globale hendelsesmål når du når nivået som vises i det blå ikonet ovenfor. Sett i gang!
TID_ADVANCED_EVENT_TITLE_HALLOWEEN,Halloween-sesong!
TID_ADVANCED_EVENT_TEXT_HALLOWEEN,Det er enorm etterspørsel etter gresskarpaier. Fullfør personlige hendelsesmål for å få flotte belønninger. Bidragene dine teller mot samfunnets felles globale hendelsesmål når du når nivået som vises i det blå ikonet ovenfor. God Halloween!
TID_ADVANCED_EVENT_NOTIFICATION_HALLOWEEN,Ta en titt på den nye Halloween-hendelsen med flotte belønninger!
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_HEADER_HALLOWEEN,Global hendelse
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_HALLOWEEN,"Hei, <NAME>! Byen ble oversvømt av gresskarpaier. Takk for den flotte innsatsen. Vi klarte det sammen! Her, ta denne belønningen som takk for bidraget!"
TID_ADVANCED_EVENT_SUCCESS_TITLE_HALLOWEEN,Den beste Halloween-feiringen!
TID_ADVANCED_EVENT_SUCCESS_TEXT_HALLOWEEN,Byen var full av gresskarpaier. Lokalsamfunnet skapte den beste Halloween-feiringen noensinne!
TID_ADVANCED_EVENT_FAIL_TITLE_HALLOWEEN,Vi klarte det ikke ...
TID_ADVANCED_EVENT_FAIL_TEXT_HALLOWEEN,"Vi gjorde vårt beste, men noen familier måtte klare seg uten gresskarpaier."
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_HEADER_BIRTHDAY2018,Bursdagshendelse
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_BIRTHDAY2018,"Hei, <NAME>! Takk for deltakelsen i vår spesielle bursdagshendelse. Vi gjorde det sammen, og det var en suksess! Ta imot denne belønningen som takk for bidraget!"
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_HEADER_SUMMER2018,Sommerhendelse
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_SUMMER2018,"Hei, <NAME>! Vi takker alle som deltok i den spesielle sommerhendelsen. Vi klarte dette sammen! Ta imot denne belønningen som takk for bidraget!"
TID_LOBSTER_TUTORIAL_TITLE,Slik fanger du hummer
TID_NOTIFICATIONS_SETTINGS_INFO,"For å motta varsler må du aktivere dem i enhetens varselsenter, via Innstillinger / Varselsenter / Hay Day"
TID_NOTIFICATIONS_SETTINGS_INFO_MOBILE,"For å motta varsler må du aktivere dem i enhetens varselsenter, via Innstillinger / Varselsenter / Hay Day"
TID_NOTIFICATIONS_SETTINGS_INFO_ANDROID,Fra Android versjon 4.1 og nyere: For å motta varsler må du aktivere dem i Innstillinger / Programmer / Hay Day / Vis varsler
TID_YOU_HAVE_NOT_REACHED_THRESHOLD,Fullfør flere personlige mål for å delta i denne globale hendelsen.
TID_EVENT_BOARD_GLOBAL,Globalt hendelsesmål
TID_EVENT_BOARD_PREVIOUS,Forrige globale hendelse
TID_EVENT_BOARD_PERSONAL,Personlig hendelsesmål
TID_CANNOT_PARTICIPATE_IN_EVENT_TITLE,For lavt nivå
TID_YOU_HAVE_NOT_REACHED_THRESHOLD_TITLE,Delta
TID_NO_EVENT_TITLE,Ingen hendelse
TID_ADVANCED_EVENT_SUCCESS_FLUFF_GENERIC,Alle fikk
TID_ADVANCED_EVENT_FAIL_FLUFF_GENERIC,Tapt belønning
TID_GOOGLE_PLUS,Google Play
TID_SETTINGS_CONNECT_DEVICE,Knytt sammen med en enhet
TID_CONFIRM_EXIT_TITLE,Bekreft avslutting
TID_CONFIRM_EXIT_TEXT,Vil du avslutte spillet?
TID_CONFIRM_EXIT_BUTTON_OK,OK
TID_CONFIRM_EXIT_BUTTON_CANCEL,Avbryt
TID_GOOGLE_SERVICE_POPUP_TITLE,Google Play
TID_GOOGLE_SERVICE_POPUP_TEXT_SIGN_IN_CANCELED,Pålogging til Google Play avbrutt.
TID_GOOGLE_SERVICE_POPUP_TEXT_SIGN_IN_FAILED,Pålogging til Google Play mislyktes.
TID_FACEBOOK_POPUP_TEXT_SIGN_IN_FAILED,Pålogging til Facebook mislyktes.
TID_ISSUE_TYPE_LOST_FARM,Gården er borte
TID_ISSUE_DETAILS_GENERIC,Beskriv problemet her ...
TID_ISSUE_DETAILS_LOST_FARM,Vennligst oppgi:\nNavnet på gården som er borte: -\nNivået på gården som er borte: -\nMer informasjon om hvordan gården ble borte:\n
TID_ISSUE_TYPE_RETRIEVE_LOST_FARM,Angi gjenoppr.kode
TID_SAUCEMIXER,Sausmaker
TID_SAUCEMIXER_DESCRIPTION,Produserer sauser
TID_SAUCEMIXER_PRODUCT_DESCRIPTION,Produseres med sausmakeren
TID_SALADBAR,Salatbar
TID_SALADBAR_DESCRIPTION,Lager salater
TID_SALADBAR_PRODUCT_DESCRIPTION,Produseres i salatbaren
TID_SUSHIBAR,Sushibar
TID_SUSHIBAR_DESCRIPTION,Lager sushi
TID_SUSHIBAR_PRODUCT_DESCRIPTION,Produseres i sushibaren
TID_PRODUCT_SUSHIROLL,Sushirull
TID_PRODUCT_LOBSTERSUSHI,Hummersushi
TID_PRODUCT_EGGROLL,Eggsushi
TID_PRODUCT_SOYSAUCE,Soyasaus
TID_PRODUCT_MAYONAISE,Majones
TID_PRODUCT_OLIVEOIL,Olivenolje
TID_PRODUCT_OLIVE,Olivener
TID_PRODUCT_OLIVE_DESCRIPTION,Høstes inn fra oliventre
TID_PRODUCT_OLIVETREE,Oliventre
TID_PRODUCT_OLIVETREE_DESCRIPTION,Samle inn tre ganger
TID_OLIVE_TREE_FB_HELP_TEXT,Oliventreet mitt trenger vann! Kan du hjelpe?
TID_PRODUCT_GREEK_SALAD,Fetasalat
TID_PRODUCT_LOBSTER_SALAD,Salat med fisk og skalldyr
TID_PRODUCT_BACON_SALAD,Baconsalat
TID_CROP_LETTUCE,Salat
TID_CROP_RICE,Ris
TID_RED_SCARF,Rødt skjerf
TID_STRAWBERRY_JAM,Jordbærsyltetøy
TID_DECO_CHRISTMAS_SNOWGLOBE,Snøkule
TID_DECO_CHRISTMAS_SNOWGLOBE_DESC,Høytidsdekorasjon
TID_DECO_CHRISTMAS_LANTERN,Snølykt
TID_DECO_CHRISTMAS_LANTERN_DESC,Høytidsdekorasjon
TID_DECO_CHRISTMAS_SLEDGE,Kjelke
TID_DECO_CHRISTMAS_SLEDGE_DESC,Unik høytidsdekorasjon
TID_DECO_CHRISTMAS_FENCE_09,Høytidsgjerde
TID_DECO_CHRISTMAS_FENCE_09_DESC,Høytidsdekorasjon
TID_DECO_NEWYEAR_TELESCOPE,Gullfarget teleskop
TID_DECO_NEWYEAR_TELESCOPE_DESC,Unik nyttårsdekorasjon
TID_DECO_NEWYEAR_BALLOON,Griseballong
TID_DECO_NEWYEAR_BALLOON_DESC,Nyttårsdekorasjon
TID_RECOVER_LOST_FARM_TITLE,Skriv inn gjenopprettingskode
TID_RECOVER_LOST_FARM_TEXT,Skriv inn koden nedenfor:
TID_RECOVER_LOST_FARM_ERROR,Feil kode. Prøv igjen.
TID_RECOVER_LOST_FARM_CONFIRMATION_TITLE,Gjenopprett gård
TID_RECOVER_LOST_FARM_CONFIRMATION_TEXT,Er dette gården du ønsker å gjenopprette?\nNavn: <NAME>\nNivå: <LEVEL>
TID_RECOVER_LOST_FARM_CONFIRMATION_BUTTON,"Ja, dette er gården!"
TID_SETTINGS_LOGIN,I iOS7 og nyere må du logge deg på Game Center for å lagre gården.\nFor å spille på flere enheter må du logge deg på Supercell ID.
TID_SETTINGS_LOGIN_ANDROID,"Hvis du vil lagre gården din, må du logge deg på Google Play.\nFor å spille på flere enheter må du logge deg på Supercell ID."
TID_SETTINGS_LOGIN_CH_ANDROID,"Hvis du vil lagre gården og spille på flere Android-enheter, kan du logge deg på Google Play."
TID_SETTINGS_LOGIN_CH,"Hvis du vil lagre gården og spille på flere iOS-enheter, logger du på Game Center før du starter spillet."
TID_FAQ_FAMITSU_BUTTON,Famitsu
TID_CONFIRM_BUTTON_PRESS_TO_LONG,Slipp knappen for å bekrefte
TID_CONFIRM_BUTTON_PRESS_TO_SHORT,Hold knappen nede for å bekrefte
TID_ADVANCED_EVENT_TITLE_CHRISTMAS,Høytid!
TID_ADVANCED_EVENT_TEXT_CHRISTMAS,"Klær av økologisk ull er det store denne høytiden. Lag klær med veven, og bidra så godt du kan før tiden er ute! Nå dine personlige mål for å få flotte belønninger. Resultatet ditt teller også mot samfunnets mål totalt. Nå målet sammen med bønder fra hele verden, så får alle belønninger. God jul!"
TID_ADVANCED_EVENT_NOTIFICATION_CHRISTMAS,Prøv den nye høytidshendelsen der du kan vinne flotte belønninger!
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_HEADER_CHRISTMAS,Global hendelse
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_CHRISTMAS,"Hei, <NAME>! Byen flommet over av førsteklasses ull fra bønder rundt om i verden. Vi takker alle som har deltatt - vi klarte det sammen! Ta imot denne belønningen som takk for hjelpen!"
TID_ADVANCED_EVENT_SUCCESS_TITLE_CHRISTMAS,Høytiden er reddet!
TID_ADVANCED_EVENT_SUCCESS_TEXT_CHRISTMAS,"Takk, bønder! Sammen har vi skapt den beste høytiden noensinne."
TID_ADVANCED_EVENT_TITLE_NEWYEAR,Det er nyttår!
TID_ADVANCED_EVENT_TEXT_NEWYEAR,"Popkorn er det store i nyttårstiden, og etterspørselen er skyhøy. Bidra så godt du kan før tiden er ute! Nå dine personlige mål for å få flotte belønninger. Resultatet ditt legges også til samfunnets globale mål. Nå målet sammen med bønder fra verden, så får alle belønninger."
TID_ADVANCED_EVENT_NOTIFICATION_NEWYEAR,"Prøv den nye nyttårshendelsen, der du kan vinne flotte belønninger!"
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_HEADER_NEWYEAR,Global hendelse
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_NEWYEAR,"Hei, <NAME>! Byen flommet over av popkorn fra bønder rundt om i verden. Vi takker alle som har deltatt - vi klarte det sammen! Ta imot denne belønningen som takk for hjelpen!"
TID_ADVANCED_EVENT_SUCCESS_TITLE_NEWYEAR,Godt nyttår!
TID_ADVANCED_EVENT_SUCCESS_TEXT_NEWYEAR,"Takk, bønder! Sammen har vi sørget for den beste nyttårsfeiringen noensinne."
TID_NOTIFICATIONS_SETTINGS_TITLE,Avanserte innstillinger
TID_NOTIFICATIONS_SETTINGS_HEADLINE,Avansert
TID_DIAMOND_CONFIRMATION_SETTINGS_HEADLINE,Dobbelttrykk for å bekrefte
TID_DIAMOND_CONFIRMATION_SETTINGS_TEXT,Aktiver diamantbekreftelse
TID_SETTINGS_NOTIFICATIONS,Av. Innstillinger
TID_NOTIFICATION_FISHING_SPOT_COLLECTION_READY,<NET> kan samles inn!
TID_NOTIFICATION_LURE_COOLDOWN_ENDED,Nå kan du fiske på fiskestedet!
TID_NOTIFICATION_LOBSTER_POOL_HARVEST_READY,Hummerne kan samles inn!
TID_NOTIFICATIONS_SETTINGS_LURE_COOLDOWN_ENDED,Varsler for slukfiske
TID_NOTIFICATIONS_SETTINGS_FISHING_SPOT_COLLECTION_READY,Varsler for garnfiske
TID_NOTIFICATIONS_SETTINGS_LOBSTER_POOL_HARVEST_READY,Varsler for hummerbasseng
TID_DONKEY_HOUSE,Eselstall
TID_DONKEY_HOUSE_SHOP_DESCRIPTION,Har plass til <CAPACITY> esler
TID_DONKEY1,Provence-esel
TID_DONKEY2,Anatolier-esel
TID_DONKEY_DESCRIPTION,Mat dyret for å få poeng
TID_DECO_CHRISTMAS_CAROUSEL_DESC,Høytidsdekorasjon
TID_DECO_CHRISTMAS_CAROUSEL,Vinterkarusell
TID_GOOGLE_SERVICE_CONNECT_TITLE,Lagre gården nå!
TID_GOOGLE_SERVICE_CONNECT_TEXT,Logg inn på Google Play for å unngå å miste gården din! Dette gjør det også mulig å spille på flere Android-enheter.
TID_GOOGLE_SERVICE_CANCEL_BUTTON,Avbryt
TID_SANDWICHBAR,Smørbrødbod
TID_SANDWICHBAR_DESCRIPTION,Produserer smørbrød
TID_SANDWICHBAR_PRODUCT_DESCRIPTION,Produseres i smørbrødboden
TID_PRODUCT_BLTTOAST,Baconsandwich
TID_PRODUCT_VEGGIEBAGEL,Vegetarbagel
TID_PRODUCT_EGGSANDWICH,Eggsmørbrød
TID_NEWSPAPER_IG_PROMO_TEXT,Følg oss på Instagram!
TID_NEWSPAPER_IG_PROMO_BUBBLE_TEXT,Takk!
TID_ACHIEVEMENT_LOBSTER_TAILS,Hummergourmet
TID_ACHIEVEMENT_LOBSTER_TAILS_DESCRIPTION,Hent <NUMBER> hummerhaler
TID_ACHIEVEMENT_LOBSTER_POOL,Bassengfest
TID_ACHIEVEMENT_LOBSTER_POOL_DESCRIPTION,Ha <NUMBER> hummere i bassenget samtidig
TID_STAT_FOLLOWERS,Følgere
TID_EVENT_PAMFLET,Ny hendelse startet!
TID_RECEIPT_VERIFICATION_MESSAGE_FAIL_TITLE,Kjøpet kunne ikke bekreftes
TID_RECEIPT_VERIFICATION_MESSAGE_FAIL_MESSAGE,Oi ... det oppsto en feil da vi skulle bekrefte bestillingen. Vi vil forsøke å gjennomføre kjøpet senere.
TID_RECEIPT_VERIFICATION_MESSAGE_FAIL_BUTTON,OK
TID_RECEIPT_VERIFICATION_MESSAGE_INVALID_TITLE,Ugyldig kjøp
TID_RECEIPT_VERIFICATION_MESSAGE_INVALID_MESSAGE,Ugyldig kjøp. Kontakt brukerstøtte for å løse problemet. Ha kjøpskvitteringen tilgjengelig.
TID_RECEIPT_VERIFICATION_MESSAGE_INVALID_BUTTON,OK
TID_NOTIFICATIONS_SETTINGS_HEADLINE_FARM,Varsler for gård:
TID_NOTIFICATIONS_SETTINGS_HEADLINE_FISHING,Varsler for fiske:
TID_IN_APP_PURCHASES_DISABLED_SETTINGS_BUTTON,Android-innstillinger
TID_FACEBOOK_ERROR_RETRY,Kunne ikke logge inn på Facebook. Prøv igjen.
TID_FACEBOOK_ERROR_RETRY_LATER,Kunne ikke logge inn på Facebook på grunn av en feil på Facebook-serveren. Prøv igjen senere.
TID_FACEBOOK_ERROR_SETTINGS,"Kunne ikke logge inn på Facebook. Gå til Innstillinger > Facebook.\nTrinn 1: Slett kontoen og logg inn på Facebook på nytt.\nTrinn 2: Forsikre deg om at Hay Day er aktivert i listen over apper som har tilgang til kontoen din.\n(Hvis du ikke finner Hay Day på listen, må du logge inn på Facebook fra Hay Day først)"
TID_FACEBOOK_ERROR_SETTINGS_ANDROID,Kunne ikke logge inn på Facebook. Gå til Innstillinger > Kontoer > Facebook.\nTrinn 1: Slett kontoen og logg inn på Facebook på nytt.\nTrinn 2: Gå tilbake til Hay Day og logg inn på Facebook på nytt.
TID_FACEBOOK_ERROR_UNKNOWN,"Av ukjente årsaker mislyktes pålogging til Facebook. Prøv igjen. Hvis det fremdeles ikke er mulig å logge seg på, kan du kontakte kundestøtte i spillet gjennom knappen for feilrapportering."
TID_NEIGHBORHOOD_TITLE,Nabolag
TID_FLOATER_NEIGHBORHOOD_COMING_SOON,Nabolag og chat låses opp på nivå <LEVEL>
TID_REPAIR_NEIGHBORHOOD_TITLE,Reparere nabolagsbygget?
TID_REPAIR_NEIGHBORHOOD_TEXT,Bli med i eller opprett et nabolag for å chatte og spille med gode venner.
TID_REPAIR_NEIGHBORHOOD_YES,Start reparasjon
TID_NEIGHBORHOOD,Nabolagsbygg
TID_FACEBOOK_ERROR_CANCELED,"Pålogging til Facebook avbrutt. For å få full Facebook-funksjonalitet i Hay Day, må du logge inn på Facebook."
TID_STREAM_SENDER_YOU,Deg (<FARM>)
TID_NEIGHBORHOOD_ROLE_LEADER,Leder
TID_NEIGHBORHOOD_ROLE_COLEADER,Ass. leder
TID_NEIGHBORHOOD_ROLE_ADMIN,Senior
TID_NEIGHBORHOOD_ROLE_MEMBER,Medlem
TID_STREAM_ENTRY_AGE,For <time> siden
TID_STREAM_EVENT_ACCEPTED,ble godkjent som nabolagsmedlem av <name>
TID_STREAM_EVENT_DEMOTED,ble degradert av <name>
TID_STREAM_EVENT_PROMOTED,ble forfremmet av <name>
TID_STREAM_EVENT_JOINED,ble med i nabolaget
TID_STREAM_EVENT_KICKED,er blitt sparket ut av nabolaget av <name>
TID_STREAM_EVENT_LEFT,har forlatt nabolaget
TID_TIME_DAYS,d
TID_TIME_HOURS,t
TID_TIME_MINS,m
TID_TIME_SECS,s
TID_NEIGHBORHOOD_MY_NEIGHBORHOOD,Mitt nabolag
TID_NEIGHBORHOOD_SEARCH,Søk
TID_NEIGHBORHOOD_INBOX,Nabolagsvarsler
TID_NEIGHBORHOOD_CREATE,Opprett
TID_NEIGHBORHOOD_NAME,Nabolagets navn:
TID_NEIGHBORHOOD_EMBLEM,Emblem:
TID_NEIGHBORHOOD_DESCRIPTION,Beskrivelse:
TID_NEIGHBORHOOD_TYPE,Nabolagstype:
TID_NEIGHBORHOOD_MIN_LEVEL_TO_JOIN,Minimumsnivå for å være med:
TID_NEIGHBORHOOD_CHANGE,Endre
TID_NEIGHBORHOOD_ANYONE_CAN_JOIN,Alle kan bli med
TID_NEIGHBORHOOD_REQUEST_TO_JOIN,Forespørsel om å bli med
TID_NEIGHBORHOOD_INVITATION_ONLY,Kun inviterte
TID_NEIGHBORHOOD_SEARCH_RESULTS,Viser søkeresultater for \q<name>\q
TID_NEIGHBORHOOD_SEARCH_NO_RESULTS,Ingen treff.
TID_NEIGHBORHOOD_SEARCH_BUTTON_SEARCH,Søk
TID_NEIGHBORHOOD_SEARCH_BUTTON_BACK,Tilbake
TID_NEIGHBORHOOD_SEARCH_INFO,Skriv inn taggen eller de første bokstavene i nabolaget som du vil søke etter.
TID_NEIGHBORHOOD_SEARCH_TITLE,Søk
TID_NEIGHBORHOOD_PROFANITIES_IN_NAME,Banneord i navnet
TID_NEIGHBORHOOD_PROFANITIES_IN_DESCRIPTION,Banneord i beskrivelsen
TID_NEIGHBORHOOD_PROFANITIES_IN_TEXT,Banneord i teksten
TID_NEIGHBORHOOD_LEAVE,Forlat
TID_NEIGHBORHOOD_EDIT,Rediger
TID_NEIGHBORHOOD_JOIN,Bli med
TID_NEIGHBORHOOD_MEMBERS,Medlemmer:
TID_NEIGHBORHOOD_TYPE_SHORT,Type:
TID_NEIGHBORHOOD_REQUIRED_LEVEL,Nødvendig nivå:
TID_NEIGHBORHOOD_SAVE,Lagre
TID_NEIGHBORHOOD_JOIN_FAILED_TITLE,Kan ikke bli med i nabolaget
TID_NEIGHBORHOOD_JOIN_FAILED_TEXT_ALREADY_IN_NEIGHBORHOOD,Du er allerede med i et nabolag.
TID_NEIGHBORHOOD_JOIN_FAILED_TEXT_TARGET_ALREADY_IN_NEIGHBORHOOD,Spilleren er allerede med i et nabolag.
TID_NEIGHBORHOOD_JOIN_FAILED_TEXT_LEVEL_TOO_LOW,Du har for lavt nivå for dette nabolaget.
TID_NEIGHBORHOOD_JOIN_FAILED_TEXT_IS_FULL,Nabolaget er fullt.
TID_NEIGHBORHOOD_JOIN_FAILED_TEXT_IS_NOT_OPEN,Nabolagstypen ble endret til Kun inviterte
TID_NEIGHBORHOOD_JOIN_FAILED_TEXT_AVATAR_BANNED,Du kan bli med i dette nabolaget igjen om <TIME>.
TID_NEIGHBORHOOD_JOIN_FAILED_TEXT_GENERIC,Kan ikke bli med i nabolaget.
TID_NEIGHBORHOOD_LEADER,Leder
TID_NEIGHBORHOOD_LEADER_DESCRIPTION,"Spark ut, forfrem, degrader, inviter og godta spillere. Rediger innstillinger"
TID_NEIGHBORHOOD_CO_LEADER,Ass. leder
TID_NEIGHBORHOOD_CO_LEADER_DESCRIPTION,"Det samme som lederen, men kan ikke endre lederens eller ass. lederens rettigheter"
TID_NEIGHBORHOOD_ADMIN,Senior
TID_NEIGHBORHOOD_ADMIN_DESCRIPTION,Inviter og godta nye spillere til nabolaget.
TID_NEIGHBORHOOD_MEMBER,Medlem
TID_NEIGHBORHOOD_MEMBER_DESCRIPTION,Ingen spesielle rettigheter
TID_NATIVE_DIALOG_CHAT_JUST_BANNED_TITLE,Chat-varsel
TID_NATIVE_DIALOG_CHAT_JUST_BANNED_MESSAGE,Andre spillere har rapportert deg på grunn av upassende kommentarer. Du har ikke lenger mulighet til å delta i nabolagschatten.
TID_NATIVE_DIALOG_CHAT_JUST_BANNED_BUTTON,OK
TID_NATIVE_DIALOG_CHRONOS_CSV_DATA_CHANGED_TITLE,Dataoppdatering
TID_NATIVE_DIALOG_CHRONOS_CSV_DATA_CHANGED_MESSAGE,"Vi har oppdatert litt ting og tang, så du må laste inn spillet på nytt!"
TID_NATIVE_DIALOG_CHRONOS_CSV_DATA_CHANGED_BUTTON,Last inn spillet på nytt
TID_FISHING_SPOT_SWAMP,Fiskeområde i sumpen
TID_STREAM_WARNING,"Ikke del personlig informasjon (e-post, telefonnummer, adresse, passord)!"
TID_STREAM_SENDER_SYSTEM,SYSTEM
TID_NEIGHBORHOOD_CHOOSE_SYMBOL,Symbol
TID_NEIGHBORHOOD_CHOOSE_PATTERN,Mønster
TID_NEIGHBORHOOD_CHOOSE_BACKGROUND,Bakgrunn
TID_ADVANCE_SETTINGS_CHAT_HEADLINE,Nabolagsinnstillinger:
TID_ADVANCE_SETTINGS_CHAT_TEXT,Aktiver/deaktiver nabolagschat
TID_NEIGHBORHOOD_DONE,Ferdig
TID_NEIGHBORHOOD_MENU_INFO_BUTTON,Info
TID_NEIGHBORHOOD_MENU_EDIT_BUTTON,Rediger
TID_NEIGHBORHOOD_MENU_VISIT_BUTTON,Besøk
TID_NEIGHBORHOOD_MENU_REPORT_BUTTON,Rapporter
TID_NEIGHBORHOOD_CHAT_PLAYER_REPORTED,Spiller rapportert!
TID_NEIGHBORHOOD_ACCEPT,Godta
TID_NEIGHBORHOOD_DECLINE,Avslå
TID_NEIGHBORHOOD_EDIT_MEMBER_DESCRIPTION,Rediger medlemmets tittel og rettigheter
TID_NEIGHBORHOOD_KICK_OUT,Spark ut
TID_NEIGHBORHOOD_ROLE,Rolle:
TID_NEIGHBORHOOD_CHAT_PLAYER_ALREADY_REPORTED,Du har allerede rapportert denne spilleren.
TID_NEIGHBORHOOD_CHAT_TOO_MANY_REPORTS,Du har overskredet dagsgrensen for rapporter.
TID_CONFIRM_POPUP_REPORT_PLAYER_TITLE,Rapporter spiller
TID_CONFIRM_POPUP_REPORT_PLAYER_TEXT,Er du sikker på at du vil rapportere <NAME> for upassende adferd?
TID_CONFIRM_POPUP_REPORT_PLAYER_BUTTON_CONFIRM,Bekreft
TID_CONFIRM_POPUP_REPORT_PLAYER_BUTTON_CANCEL,Avbryt
TID_CONFIRM_POPUP_INVITE_PLAYER_TITLE,Inviter spiller
TID_CONFIRM_POPUP_INVITE_PLAYER_TEXT,Er du sikker på at du vil invitere <NAME> til å bli med i nabolaget?
TID_CONFIRM_POPUP_INVITE_PLAYER_BUTTON_CONFIRM,Bekreft
TID_CONFIRM_POPUP_INVITE_PLAYER_BUTTON_CANCEL,Avbryt
TID_NEIGHBORHOOD_REQUEST_TO_JOIN_TITLE,Bli med
TID_NEIGHBORHOOD_REQUEST_TO_JOIN_DEFAULT_MESSAGE,"Hei, <NEIGHBORHOOD>! Jeg vil gjerne bli med i nabolaget ditt."
TID_NEIGHBORHOOD_REQUEST_TO_JOIN_BUTTON_CONFIRM,Forespørsel om å bli med
TID_NEIGHBORHOOD_REQUEST_TO_JOIN_BUTTON_CANCEL,Avbryt
TID_NEIGHBORHOOD_INVITATION_SENT_OK,Invitasjon sendt
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_NO_RIGHTS,Invitasjonen mislyktes - du har ikke de nødvendige rettighetene.
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_NO_NEIGHBORHOOD_BUILDING,Invitasjonen mislyktes - spilleren har ikke reparert nabolagsbygget.
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_ALREADY_IN_NEIGHBORHOOD,Invitasjonen mislyktes - spilleren er allerede med i et nabolag.
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_ALREADY_HAS_AN_INVITE,Invitasjonen mislyktes - du har allerede invitert denne spilleren.
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_TOO_MANY_INVITES,Invitasjonen mislyktes - du har sendt for mange invitasjoner.
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_AVATAR_BANNED,Invitasjonen mislyktes - spilleren er nylig blitt sparket ut fra nabolaget ditt.
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_GENERIC,Invitasjonen mislyktes!
TID_STREAM_EVENT_REPORTED,ble rapportert
TID_NEIGHBORHOOD_JOIN_FAILED_TEXT_REQUEST_ALREADY_SENT,Du har allerede bedt om å få bli med i dette nabolaget.
TID_NEIGHBORHOOD_ACCEPTED_BY,Godtatt av <name>
TID_NEIGHBORHOOD_REJECTED_BY,Avslått av <name>
TID_STREAM_EVENT_BANNED_FROM_CHAT,er utestengt fra chatten i <TIME> fordi vi har mottatt nok rapporter om upassende oppførsel.
TID_PLAYER_SUPPORT_KNOWLEDGE_BASE,Mer hjelp
TID_FAQ_APPBANK_BUTTON,AppBank
TID_ABOUT_CREDITS,Medvirkende
TID_ABOUT_TERMS_OF_SERVICE,Tjenestevilkår
TID_ABOUT_PRIVACY_POLICY,Personvern
TID_ABOUT_FACEBOOK,Få med deg siste nytt! Lik Hay Day på Facebook!
TID_ABOUT_TWITTER,Følg Hay Day på X (tidligere Twitter)! Tweet @hayday
TID_ABOUT_INSTAGRAM,Sjekk Hay Day på Instagram! #aMOOzing
TID_ABOUT_WEIBO,Følg Hay Day på Weibo!
TID_CREDITS_TITLE,Medvirkende
TID_NEIGHBORHOOD_BAR_INFO,Her finner du nabolagsvennene dine!
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_NO_NEIGHBORHOOD_NO_RIGHTS,Du må være med i et nabolag og ha rett til å invitere!
TID_CONFIRM_POPUP_KICK_PLAYER_TITLE,Spark ut spiller
TID_CONFIRM_POPUP_KICK_PLAYER_TEXT,Er du sikker på at du vil sparke ut <NAME> fra nabolaget?
TID_CONFIRM_POPUP_KICK_PLAYER_BUTTON_CONFIRM,Bekreft
TID_CONFIRM_POPUP_KICK_PLAYER_BUTTON_CANCEL,Avbryt
TID_CONFIRM_POPUP_LEAVE_NEIGHBORHOOD_TITLE,Forlat nabolaget
TID_CONFIRM_POPUP_LEAVE_NEIGHBORHOOD_TEXT,Forlate nabolaget <NAME>? Du vil ikke kunne være med i et derby før neste uke!
TID_CONFIRM_POPUP_LEAVE_NEIGHBORHOOD_BUTTON_CONFIRM,Bekreft
TID_CONFIRM_POPUP_LEAVE_NEIGHBORHOOD_BUTTON_CANCEL,Avbryt
TID_CONFIRM_POPUP_PROMOTE_LEADER_TITLE,Forfrem til leder
