TID,SV
TID_NAME_FEMALE_71,Susan
TID_NAME_FEMALE_72,Victoria
TID_NAME_FEMALE_73,Violet
TID_NAME_FEMALE_74,Zoey
TID_VISITOR_PICK_UP_PERSONAL_TRAIN_IS_LEAVING,Privattåget åker!
TID_TRAIN_STATION,Tågstation
TID_TUTORIAL_102A_SPEED_UP_SERVICE,"Nu skyndar vi på servicen. Oroa dig inte, den första påskyndningen är gratis!"
TID_TUTORIAL_103A_COLLECT_REWARD,Fantastiskt! Tryck nu på besökaren för att hämta belöningen.
TID_TUTORIAL_104A_UPGRADE_SERVICE_BUILDING,Strålande! Uppgradera nu din mataffär för att servera fler besökare åt gången.
TID_TUTORIAL_105A_REPAIR_TOWN_HALL,Din by växer fort och blir mer och mer poppis! Reparera det gamla rådhuset för att hålla kolla på alla besökare.
TID_TUTORIAL_106A_SEND_TO_GROCERY_VIA_TOWN_HALL,Använd rådhuset för att hitta besökarna!
TID_TUTORIAL_107_TRAIN_TUTORIAL_COMPLETED,"Bra jobbat. Placera nu ut fler byggnader, servera fler besökare och återställ din by till dess forna glansdagar!"
TID_TUTORIAL_108_REPAIR_PERSONAL_TRAIN,Det är dags att besöka ditt kvarter! Låt oss reparera din farbrors gamla tåg och se vad dina vänner håller på med.
TID_TUTORIAL_109A_VISIT_NEIGHBORHOOD_FRIEND,Använd ditt privattåg för att hälsa på kvartersvänner och plocka upp besökarna som lämnar deras byar!
TID_PASSENGER_WAITING_TRAIN_GOING_HOME,Tack för allt! Jag har besökt två byar redan. Jag är på väg hem nu.
TID_VISITOR_PICK_UP_NEIGHBOURHOOD_INFO,Din vän har just nu inga lämnande besökare att plocka upp.
TID_UPGRADE_TREE_HUD_TOOLTIP_BUILDING_UPGRADE_REQUIRED,Uppgradera <BUILDING> till nivå <LEVEL> för att låsa upp.
TID_UPGRADE_TREE_HUD_TOOLTIP_BONUS_MAXED_OUT,Maxnivå uppnådd.
TID_VISITOR_COLLECT_REPUTATION,<PARAM> plockade upp en besökare och gav dig en ryktespoäng!
TID_PERSONALTRAIN_FRIENDLIST_NOT_IN_NEIGHBORHOOD,Gå med i ett kvarter för att plocka upp besökare!
TID_PERSONALTRAIN_FRIENDLIST_NO_MEMBERS,Skaffa fler kvartersvänner för att plocka upp besökare!
TID_PERSONALTRAIN_FRIENDLIST_NO_VISITORS,Dina kvartersvänner har inga besökare att plocka upp nu!
TID_VISITOR_PICK_UP_UI_TITLE,Plocka upp besökare!
TID_FLOATER_EXPANSION_TRAIN_AREA_COMING_SOON,Byexpansioner låses upp på ryktesnivå <LEVEL>
TID_VISITOR_PICK_UP_TOWN_FULL,Din by är full! Upgradera rådhuset för att öka bykapaciteten!
TID_VISITOR_PICK_UP_SERVICE_BUILDING_LOCKED,Servicebyggnaden låses upp på nivå <PARAM>!
TID_VISITOR_PICK_UP_NOT_IN_NEIGHBORHOOD,Gå med i ett kvarter för att plocka upp besökare från dina kvartersvänner!
TID_VISITOR_PICK_UP_NOT_IN_SAME_NEIGHBORHOOD,Du kan plocka upp besökare från dina kvartersvänner. Bjud in <PARAM> till ditt kvarter!
TID_VISITOR_PICK_UP_PERSONAL_TRAIN_GOING_HOME,Ditt tåg håller på att hämta besökare till din by!
TID_SERVICE_LIST_ITEM_REWARDS,Belöningar
TID_TOP_CENTER_HUD_REPUTATION_ICON_TOOLTIP,Ryktesnivån på din by. Lås upp fler servicebyggnader genom att betjäna fler besökare!
TID_CROP_COTTON,Bomull
TID_PASSENGER_COWBOY,Cowboy
TID_ADVANCED_EVENT_TITLE_BIRTHDAY,Grattis på födelsedagen!
TID_ADVANCED_EVENT_TEXT_BIRTHDAY,Det är Hay Days andra födelsedag - och det firas stort i hela världen. Baka gräddtårtor i tårtugnen och bidra med så många du kan innan tiden går ut! Nå dina personliga mål och få stora belöningar. Dina resultat bidrar även till communityts globala mål. Nå det globala målet tillsammans med jordbrukare över hela världen så blir ni alla belönade.
TID_ADVANCED_EVENT_NOTIFICATION_BIRTHDAY,Spana in Hay Days födelsedagsevent och de fina belöningarna!
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_BIRTHDAY,"Hej, <NAME>! Det bjöds på massa gräddtårta och festen var helt ko-trolig! Tack till alla som deltog i det globala evenemanget. Vi grejade det tillsammans! Här får du en belöning som tack för ditt bidrag."
TID_ADVANCED_EVENT_SUCCESS_TITLE_BIRTHDAY,Bästa födelsedagen någonsin!
TID_ADVANCED_EVENT_SUCCESS_TEXT_BIRTHDAY,"Tack, alla jordbrukare! Tillsammans gjorde communityt det här till den bästa födelsedagen någonsin."
TID_PRODUCT_COTTON_FABRICS,Bomullstyg
TID_PRODUCT_COTTON_SHIRT,Bomullsskjorta
TID_PRODUCT_WOOLY_PANTS,Ullbyxor
TID_PRODUCT_COTTON_VIOLET_DRESS,Violett klänning
TID_SEWING_MACHINE_PRODUCT_DESCRIPTION,Produceras med symaskinen
TID_SEWINGMACHINE,Symaskin
TID_SEWINGMACHINE_DESCRIPTION,Syr kläder
TID_DECO_STREETLIGHT_DESC,Dekorera din by
TID_DECO_STREETLIGHT,Gatulampa
TID_DECO_LEAFYPLANT_DESC,Dekorera din by
TID_DECO_LEAFYPLANT,Lummig växt
TID_DECO_HYDRANT_DESC,Dekorera din by
TID_DECO_HYDRANT,Vattenpost
TID_DECO_MUSHROOM_HOUSE_DESC,Njut av sommaren (tidsbegränsad)
TID_DECO_MUSHROOM_HOUSE,Svamphus
TID_MASSGIFT_FACEBOOK_HEADER,12 000 000 gillar oss!
TID_MASSGIFT_FACEBOOK_TEXT,För att fira att tolv miljoner gillar vår officiella Hay Day-sida på Facebook vill vi ge er alla tolv diamanter som ett tecken på vår uppskattning. Ert stöd och er hängivenhet är någonting alldeles ÄGGxtra! Hoppas att ni tycker om vår lilla gåva :) Om ni inte gillar Hay Day på Facebook än kan ni göra det på www.facebook.com/HayDayOfficial
TID_BUNNY2,Fluffig kanin
TID_MOVIE_TICKET_WATCH_ANOTHER_TITLE,Titta på ännu en trailer?
TID_MOVIE_TICKET_WATCH_ANOTHER_TEXT,Belöningen slumpas
TID_MOVIE_TICKET_WATCH_ANOTHER_OR,eller
TID_MOVIE_TICKET_ALL_WATCHED_TITLE,Tack! Du har spanat in alla trailers som finns att se.
TID_MOVIE_TICKET_ALL_WATCHED_TEXT,Ta en ny titt om <PARAM> timmar
TID_MOVIE_TICKET_NO_FEED_TITLE,Vi väntar på en ny trailer
TID_MOVIE_TICKET_NO_FEED_TEXT,Ta en ny titt senare
TID_TOOL_PICKAXE,Spetshacka
TID_TOOL_PICKAXE_DESC,Används för att bryta malm i gruvan
TID_MYSTERY_CRATE_DESCRIPTION,Skattkistan du hittade är låst! Du kan öppna den med diamanter.
TID_MYSTERY_CRATE_OPEN,för att öppna kistan
TID_GIFT_TOWN_TITLE,Hemligt bypaket
TID_GIFT_FISHING_TITLE,Hemligt fiskepaket
TID_ABOUT_FSA,FSA (Japanese only)
TID_NECTAR_DESCRIPTION,Samlas in från maskrosor av honungsbin
TID_NECTAR,Nektar
TID_BEE,Honungsbi
TID_BEE_HIVE_TREE,Träd med bikupa
TID_DANDELION,Nektarbuske
TID_BEE_HIVE_TREE_SHOP_DESCRIPTION,Hem för bin
TID_DANDELION_DESCRIPTION,Ger honungsbina nektar
TID_BEE_HIVE,Bikupa
TID_GATHERER_SHOP_DESCRIPTION,Samlar nektar för att producera honungskakor
TID_HONEYCOMB,Honungskaka
TID_HONEYCOMB_DESCRIPTION,Samla in från bikupan
TID_FLOATER_COORDINATE_NOT_IN_NEST,Placera i <PARAM>!
TID_FLOATER_NEST_FULL,Denna <PARAM> är full.
TID_GATHERER_MASTERY_INFO_POPUP_TOOLTIP,<BUILDING> har nu <PARAM> bikupor.
TID_GATHERER_MASTERY_INFO_POPUP_DESCRIPTION,Samla in nektar för att få stjärnor och fler bikupor!
TID_GATHERER_MASTERY_INFO_POPUP_PROGRESS,<COUNT>/<COUNT_LIMIT> nektar
TID_GATHERER_MASTERY_STAR_GAIN_POPUP_DESCRIPTION,Nu har du <PARAM> bikupor i ditt <BUILDING>. Köp nya honungsbin i butiken.
TID_PRODUCT_HONEY,Honung
TID_PRODUCT_BEESWAX,Bivax
TID_HONEYEXTRACTOR,Honungsslunga
TID_HONEYEXTRACTOR_DESCRIPTION,Extraherar honung från honungskakor
TID_HONEYEXTRACTOR_PRODUCT_DESCRIPTION,Produceras i honungsslungan
TID_DECO_SANDCASTLE,Sandslott
TID_DECO_BEACHCHAIR1,Fällstol: Hav
TID_DECO_BEACHCHAIR2,Fällstol: Sommar
TID_DECO_SANDCASTLE_DESC,Dekorera din by
TID_DECO_BEACHCHAIR1_DESC,Dekorera din by
TID_DECO_BEACHCHAIR2_DESC,Dekorera din by
TID_GATHERER_NEST_PROGRESS_HUD_RESOURCES_LEFT,<GATHERED>/<MAX> <RESOURCE>
TID_GATHERER_NEST_READY_TO_HARVEST,Redo att samlas in
TID_FLOATER_NO_SUPPORTED_MINES,Köp <PARAM> för att fortsätta produktionen!
TID_PRODUCT_PUMPKIN_SOUP,Pumpasoppa
TID_PRODUCT_LOBSTERSKEWERS,Hummerspett
TID_PRODUCT_HONEY_TOAST,Honungstoast
TID_PRODUCT_HONEY_POPCORN,Honungspopcorn
TID_PRODUCT_HONEY_APPLE_CAKE,Honungsäppelkaka
TID_STAT_BOUGHT_FREE,Köpta: <BOUGHT> / Lediga: <FREE>
TID_STAT_TOTAL,Totalt: <AMOUNT>
TID_NOTIFICATION_HIVES_READY,Honungskakorna kan nu samlas in!
TID_TRAIN_GIFTSHOP,Presentbutik
TID_TRAIN_GIFTSHOP_DESC,Erbjuder lokaltillverkade souvenirer
TID_PASSENGER_VICTORIAN_LADY,Skådespelare
TID_TUTORIAL_110_BEES_UNLOCKED,Goda nyheter: nu kan du köpa bin och börja producera söt honung. Börja redan nu!
TID_TUTORIAL_111a_BUY_BEEHIVETREE,Börja genom att köpa ett träd med bikupa!
TID_TUTORIAL_112a_BUY_BEE,Köp ett honungsbi nu!
TID_TUTORIAL_113a_BUY_NECTARBUSH,Bin behöver nektar. Köp en nektarbuske för att få igång dem!
TID_TUTORIAL_114_BEE_TUTORIAL_END,Strålande! Köp fler bin och nektarbuskar för att öka produktionen. Kom ihåg att köpa honungsslungan för att få den söta honungen!
TID_NO_HONEYCOMBS_TOOLTIP,Honungskakorna är inte klara. Vänta medan dina bin samlar mer nektar.
TID_DANDELION_FB_HELP_TEXT,Min nektarbuske behöver vattnas. Kan du hjälpa till?
TID_TUTORIAL_113a2_WAIT_FOR_BEES,Nu behöver du bara vänta ett slag medan bina samlar in nektar!
TID_DECO_GARGOYLE,Stenstaty
TID_DECO_GARGOYLE_DESC,Unik halloweenprydnad
TID_DECO_GARGOYLE_DESC_MOBILE,Unik halloweenprydnad
TID_ADVANCED_EVENT_TITLE_HALLOWEEN2014,Nu är det halloween!
TID_EVENT_PAMFLET_HALLOWEEN2014,Halloweenevenemanget är här!
TID_ADVANCED_EVENT_TEXT_HALLOWEEN2014,Efterfrågan på pumpapajer och pumpasoppa är rekordhög inför halloween. Uppnå personliga evenemangsmål och bli rikligt belönad. När du har nått nivån som markeras av den blå ikonen ovan så läggs dina bidrag till det globala communitymålet för evenemanget.
TID_ADVANCED_EVENT_NOTIFICATION_HALLOWEEN2014,Kolla in det nya halloweenevenemanget och de fina belöningarna!
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_HEADER_HALLOWEEN2014,Globalt evenemang
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_HALLOWEEN2014,"Hej, <NAME>! Staden svämmade över av pumpapajer och pumpasoppa. Tack till alla som deltog. Vi fixade det tillsammans! Ta emot den här belöningen som tack för ert bidrag!"
TID_ADVANCED_EVENT_SUCCESS_TITLE_HALLOWEEN2014,Rekordbra halloween!
TID_ADVANCED_EVENT_SUCCESS_TEXT_HALLOWEEN2014,Staden fylldes till bredden av pumpapajer och pumpasoppa. Tillsammans gjorde vårt community detta till en rekordbra halloween!
TID_INVALID_GAME_CENTER_SIGNATURE_TITLE,Viktigt!
TID_INVALID_GAME_CENTER_SIGNATURE_TEXT,Anslut spelet till Game Center eller Supercell ID för att spara dina framsteg och för att spela med din bondgård på flera enheter.\nVi rekommenderar att uppdatera till iOS7 eller senare version om möjligt.\nFör mer information vänligen läs: http://support.apple.com/kb/HT4623?viewlocale=sv_SE
TID_INVALID_GAME_CENTER_SIGNATURE_ACTION,OK
TID_GATHERER_HABITAT_HUD_BUTTON_TOOLTIP,Du behöver mer nektar
TID_TUTORIAL_DOUBLE_TAP_INFO,Visste du att du kan gå till Avancerade inställningar och aktivera Bekräfta med dubbeltryck vid användning av diamanter? Testa!
TID_MASSGIFT_HALLOWEENDECO_HEADER,Halloween lider mot sitt slut
TID_MASSGIFT_HALLOWEENDECO_TEXT,"Hej, <NAME>! Snart tar vi bort de exklusiva halloweenprydnaderna från butiken. Skaffa dem innan det är för sent!"
TID_MASSGIFT_HALLOWEENSEASON_HEADER,Trevlig halloween!
TID_MASSGIFT_HALLOWEENSEASON_TEXT,"Hej, <NAME>! Halloween är äntligen här. Spana in de nya, tidsbegränsade prydnaderna i butiken. Och glöm inte att besöka ditt fiskeområde - med lite tur kan du stöta på ett läskigt halloweenspöke som ger dig överraskningsbelöningar! :) Gå då till vår Facebook-sida och berätta för andra att du har sett det: http://facebook.com/HayDayOfficial"
TID_CANDLEMAKER,Ljusstöpare
TID_CANDLEMAKER_DESCRIPTION,Stöper ljus
TID_CANDLEMAKER_PRODUCT_DESCRIPTION,Tillverka i ljusstöparen
TID_PRODUCT_STRAWBERRY_CANDLE,Jordgubbsljus
TID_PRODUCT_LEMON_CANDLE,Citronljus
TID_PRODUCT_RASPBERRY_CANDLE,Hallonljus
TID_DECO_HAUNTED_BIRDHOUSE,Hemsökt fågelholk
TID_DECO_HAUNTED_BIRDHOUSE_DESC,Halloweenprydnad
TID_IOS4_SUPPORT_ENDING_TITLE,Varning!
TID_IOS4_SUPPORT_ENDING_TEXT,På grund av flera tekniska problem avslutar vi stödet för lägre iOS-versioner än 5.1.1 i och med Hay Days nästa App Store-uppdatering. Då du för tillfället använder en äldre iOS-version kommer du inte längre att kunna spela Hay Day såvida du inte uppdaterar till den senaste iOS-versionen.
TID_IOS4_SUPPORT_ENDING_BUTTON,Hur man uppdaterar iOS
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_TITLE,Anslutningen bröts
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE,En till enhet ansluter till den här bondgården.
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_BUTTON,Ladda om spel
TID_STAT_LEVEL_REWARDS_LEVEL_THRESHOLD_TITLE,Nå mittnivågränserna för att få belöningar:
TID_STAT_LEVEL_REWARDS_NEXT_LEVEL_TITLE,Nå nästa nivå (<LEVEL>) för att låsa upp:
TID_DUCK_SALON,Anksalong
TID_REPAIR_DUCK_SALON_TITLE,Reparera anksalongen?
TID_REPAIR_DUCK_SALON_TEXT,Ankorna du fångar hamnar automatiskt här när du har reparerat salongen!
TID_REPAIR_DUCK_SALON_YES,Börja reparera
TID_DUCK_TRAP,Ankfälla
TID_DUCK,Anka
TID_DUCK_SALON_CAPACITY,Anksalongskapacitet: <COUNT>/<MAX>
TID_DUCK_READY_TO_HARVEST,Redo att samlas in
TID_FLOATER_DUCK_CATCHING_COMING_SOON,Ankfällor låses upp på nivå <LEVEL>
TID_REQUIRES_DUCK_SALON,Kräver anksalong och nättillverkare
TID_FLOATER_DUCK_SALON_FULL,Anksalongen är full!
TID_UPGRADE_DUCK_SALON_YES,Börja uppgradera
TID_UPGRADE_DUCK_SALON_TITLE,Uppgradera anksalongen?
TID_UPGRADE_DUCK_SALON_TEXT,"Uppgradera för att göra plats för ankorna. Ju fler ankor du lägger till, desto roligare har de!"
TID_DUCK_DOWN,Ankfjäder
TID_DUCK_DOWN_DESCRIPTION,Fångas i fiskeområdet
TID_FLOATER_DUCK_SALON_MAX_RANK,Anksalongen är på maxnivån!
TID_FLOATER_DUCK_SALON_UPGRADING,Uppgradering av anksalongen pågår!
TID_NOTIFICATION_DUCK_SALON_HARVEST_READY,Dina ankor är redo att plockas!
TID_NOTIFICATIONS_SETTINGS_DUCK_SALON_HARVEST_READY,Anksalongmeddelanden
TID_ACHIEVEMENT_DUCK_DOWN,Ankfrisör
TID_ACHIEVEMENT_DUCK_DOWN_DESCRIPTION,Plocka <NUMBER> ankfjädrar
TID_ACHIEVEMENT_DUCK_SALON,Skönhetssalong
TID_ACHIEVEMENT_DUCK_SALON_DESCRIPTION,Ha <NUMBER> ankor i salongen samtidigt
TID_EXP_LEVEL_THRESHOLD_REWARD_GAINED,Nivågräns uppnådd
TID_STORAGE_FULL_BUTTON,Uppgradera nu
TID_FEATURE_BOAT,Båtbeställningar
TID_FEATURE_MINE,Gruva
TID_FEATURE_FISHING,Fiskeområde
TID_FEATURE_NEIGHBORHOOD,Kvarter
TID_FEATURE_TRAIN,Byområde
TID_FEATURE_LOBSTER_FISHING,Humrar
TID_FEATURE_RSS_NEWSPAPER,Byteshandel
TID_FEATURE_CALENDAR_EVENTS,Evenemang
TID_FEATURE_TOM,Tom
TID_FEATURE_FIRST_PET,Husdjur
TID_FEATURE_EXPANSIONS,Gårdsexpansioner
TID_FEATURE_FISHING_NETS,Fisknät
TID_FEATURE_BEES,Bin
TID_LEVEL_UP_CONFIRM_BUTTON_TEXT,Fortsätt
TID_REPUTATION_LEVEL_UP_CONFIRM_BUTTON_TEXT,Fortsätt
TID_ANIMAL_HABITAT_HUD_NO_ANIMAL_PRODUCT_TO_COLLECT,Det finns inget att samla in från: <ANIMAL>
TID_ANIMAL_HABITAT_HUD_NO_ANIMAL_TO_FEED,Detta djur är inte hungrigt för tillfället: <ANIMAL>
TID_STAT_LEVEL_CAP_REACHED,Du har nått maxnivån för tillfället. Grattis!
TID_BOAT_EXTRA_HELP_POPUP_NEIGHBORHOOD_TITLE,Mer hjälp
TID_BOAT_EXTRA_HELP_POPUP_NEIGHBORHOOD_DESCRIPTION,Gå med i ett kvarter för att få extrahjälp med båten!
TID_BOAT_EXTRA_HELP_JOIN_A_NEIGHBORHOOD,Gå med i ett kvarter för att erbjuda extrahjälp!
TID_BOAT_EXTRA_HELP_INVITE_NEIGHBORHOOD,Bjud in <PARAM> till ditt kvarter för att få extrahjälp med båten!
TID_BOAT_EXTRA_HELP_JOIN_THIS_NEIGHBORHOOD,Gå med i det här kvarteret för att erbjuda extrahjälp!
TID_FISH_74,Kanadasik
TID_FISH_74_DESCRIPTION,"Den här firren hittar du djupt nere i kalla vatten, tillsammans med sina polare."
TID_FISH_75,Carpiodes cyprinus
TID_FISH_75_DESCRIPTION,Den här färskvatten-\ndammsugaren äter allt. Akta fingrarna!
TID_FISH_76,Perca
TID_FISH_76_DESCRIPTION,Den här introverta fisken njuter av den lugna stämningen i de stilla vattnen.
TID_STREAM_EVENT_HELP_REQUESTED,Min bondgård behöver hjälp!
TID_HELP_REQUEST_VISIT_BUTTON,Besök
TID_SERVICE_LIST_ITEM_REWARDS_BONUS,Byggnadsbonus
TID_SERVICE_LIST_ITEM_REWARDS_TOTAL,Totalbelöningar
TID_TOWN_REQUEST_BOARD_TITLE,Förfrågningar från bybesökare
TID_HINT_SETTINGS_ADVANCED,Du kan skräddarsy din spelupplevelse i de avancerade inställningarna.
TID_HINT_SETTINGS_HELPSHIFT,Du hittar en massa användbar info om du går till: Inställningar -> Hjälp och support
TID_HINT_NEIGHBORHOOD_ONLY_ONE,Du kan bara vara del av ett kvarter åt gången.
TID_HINT_NEIGHBORHOOD_INVITE_FRIENDS,Du kan bjuda in vänner till ditt kvarter genom att trycka på kuvertet när du besöker dem.
TID_HINT_FISHING_SCRAP_BOOK,Kolla din fiskebok för att samla diamanter genom att fiska olika slags fisk!
TID_HINT_FISHING_EVENT_FISH,Vissa ovanliga firrar kan bara fiskas under fiskeevenemang.
TID_HINT_TEASER_FISHING_TOWN,Fisket och byn är två separata områden med spännande spelupplevelser.
TID_HINT_TOWN_COMPLETE_VISITORS,Slutför alla byggnadsförfrågningar från en bybesökare för att få en speciell föremålsbelöning!
TID_HINT_TOWN_UPGRADE_BUILDINGS,Uppgradera bybyggnader för att betjäna fler besökare och få bonusar!
TID_HINT_TOWN_TOWNHALL_UPGRADE,Uppgradera rådhuset i byn för att ge plats åt fler besökare!
TID_HINT_TOWN_TRAINSTATION_UPGRADE,Uppgradera tågstationen i byn för att få fler besökare med Äggspresståget!
TID_HINT_TOWN_MYSTERY_CHEST,I byn kan du ibland hitta en specialkista som flyter i vattnet.
TID_HINT_BEES_NECTAR_COLLECTING,Bin samlar nektar från nektarbuskar för att producera honungskakor.
TID_HINT_BEES_HONEYEXTRACTOR,Använd honungsslungan för att skaffa honung från honungskakor!
TID_HINT_BOAT_SEND_AWAY,Du kan skicka iväg båten genom att trycka på båtikonen innan du lastar på några produkter.
TID_HINT_EVENTS_TEASER,"Evenemang är ett riktigt bra sätt att få bra belöningar, som extramynt och specialföremål."
TID_HINT_EVENTS_GLOBAL_GOAL,Det globala målet i evenemangen är ett samarbete mellan alla spelare runtom i världen.
TID_HINT_MIDLEVEL_THRESHOLDS,Få fina direktbelöningar genom att nå mittnivågränserna!
TID_HINT_LEVELSTAR_NEXT_LEVEL,Tryck på din nivåstjärna för att visa vad nästa nivåuppgång för med sig!
TID_HINT_FISHERMAN_TUTORIAL_FISHING,Tryck på fiskaren för att spela övningsavsnittet på nytt!
TID_HINT_FISHERMAN_TUTORIAL_FISHING_LOBSTERS,Tryck på fiskaren för att spela igenom övningsavsnitten för fiske och hummer på nytt!
TID_HINT_FISHING_NETS_NOT_TO_BOOK,Fiske med nät läggs inte till i din fiskebokssamling.
TID_HINT_FISHING_LURES_TO_BOOK,Fiska med drag för att göra din fiskebokssamling komplett!
TID_HINT_FISHING_NETS_GET_MEAT,Fisknät är användbara om du bara behöver fiskfilén.
TID_HINT_LOBSTERS_UPGRADE,Uppgradera hummerbassängen för att göra mer rum för hummer!
TID_HINT_LOBSTERS_ANIMATION_TEASER,Uppgradera hummerbassängen för att se alla roliga hummeranimationer!
TID_HINT_DUCKS_SIMILAR_TO_LOBSTERS,Ankor fångas på ett liknande sätt som humrar.
TID_HINT_DUCKS_UPGRADE,Uppgradera anksalongen för att göra mer plats för ankor!
TID_HINT_DUCKS_ANIMATION_TEASER,Uppgradera anksalongen för att se alla roliga ankanimationer!
TID_HINT_MINE_TOOLS_PICKAXE,"Använd dynamit, TNT-tunnor, spadar och spetshackor i gruvan."
TID_HINT_FAQ_MULTIPLE_DEVICES,Du kan spela på din bondgård från flera enheter. Se vanliga frågor och svar för att se hur man ansluter.
TID_DECO_CHRISTMAS_BELL_DESC,Fira jul
TID_DECO_CHRISTMAS_BELL,Julbjällra
TID_DECO_CHRISTMAS_LIGHT_FENCE_DESC,Fira jul
TID_DECO_CHRISTMAS_LIGHT_FENCE,Julljusstaket
TID_ACHIEVEMENT_HONEYCOMBS,Söta saker
TID_ACHIEVEMENT_HONEYCOMBS_DESCRIPTION,Skörda <NUMBER> honungskakor
TID_ACHIEVEMENT_BEES,Surrmax
TID_ACHIEVEMENT_BEES_DESCRIPTION,Ha <NUMBER> bin
TID_TOWN_REQUEST_BOARD_HUD_NO_REQUESTS,Just nu finns inga öppna förfrågningar från bybesökare. Besök din by för att få fler besökare!
TID_HINT_CONNECT_TO_SAVE,Anslut spelet till Supercell ID för att spara din gård!
TID_HINT_CONNECT_TO_SAVE_ANDROID,Anslut spelet till Supercell ID för att spara din gård!
TID_EVENT_PAMFLET_CHRISTMAS2014,Julevenemanget är här!
TID_ADVANCED_EVENT_TEXT_CHRISTMAS2014,Den här julens heta nya föremål kommer från symaskinen! Bidra med så mycket som möjligt innan tiden går ut. Nå ditt personliga mål för att få stora belöningar. Ditt resultat läggs även till det globala communitymålet. Nå det globala målet tillsammans med jordbrukare över hela världen så blir ni alla belönade. God jul!
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_CHRISTMAS2014,"Hej, <NAME>! Byn översvämmades av supermjuka saker från bönder i hela världen. Tack för allas medverkan i det globala evenemanget. Tillsammans fixade vi det! Ta emot denna belöning som tack för alla bidrag!"
TID_EVENT_PAMFLET_NEWYEAR2014,Nyårsevenemanget är här!
TID_ADVANCED_EVENT_TEXT_NEWYEAR2014,Låt oss börja det nya året med smaskiga muffins! Bidra med så mycket som möjligt innan tiden går ut. Nå ditt personliga mål för att få stora belöningar. Ditt resultat läggs även till det globala communitymålet. Nå det globala målet tillsammans med jordbrukare över hela världen så blir ni alla belönade.
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_NEWYEAR2014,"Hej, <NAME>! Byn översvämmades av muffins från bönder i hela världen. Tack för allas medverkan i det globala evenemanget. Tillsammans fixade vi det! Ta emot denna belöning som tack för alla bidrag!"
TID_EVENT_PAMFLET_VALENTINES2014,Det är alla hjärtans dag-helg!
TID_ADVANCED_EVENT_TEXT_VALENTINES2015,Få tre gånger så många mynt och kuponger från båtbeställningar den här romantiska helgen! Under det här evenemanget kommer du att få tre gånger så många mynt för varje färdig lår och tre gånger så många kuponger för en hel båtlast. Glöm inte att besöka dina vänner och hjälpa till på deras båtar också.
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_VALENTINES2015,"Hej, <NAME>! Byn översvämmades av ost och bärjuice från bönder i hela världen. Kärleken är verkligen överallt runt oss! Tack för allas medverkan i det globala evenemanget. Tillsammans fixade vi det! Ta emot denna belöning som tack för alla bidrag!"
TID_EVENT_PAMFLET_EASTER2015,Påskevenemanget är här!
TID_ADVANCED_EVENT_TEXT_EASTER2015,Byar världen över vill ha högkvalitativa bondgårdsprodukter för att förgylla påsken. Fyll så många flodbåtar som möjligt innan tiden går ut! Nå dina personliga mål för att få stora belöningar. Dina resultat läggs även till det globala communitymålet. Nå det globala målet tillsammans med jordbrukare över hela världen så blir ni alla belönade.
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_EASTER2015,"Hej, <NAME>! Otroliga varor från bönder i hela världen skeppades med båt till avlägsna platser, och det blev den bästa påsken någonsin! Tack för allas medverkan i det globala evenemanget. Tillsammans fixade vi det. Ta emot denna belöning som tack för alla bidrag!"
TID_ADVANCED_EVENT_SUCCESS_TEXT_EASTER2015,Tillsammans skeppade vårt community så många båtar med varor att det blir en påsk att minnas!
TID_UPDATE_NOTIFICATION_SPECIAL,Den nya dalen är här! Uppdatera nu för att utforska det nya området och låsa upp godsaker
TID_UPDATE_NOTIFICATION_SPECIAL_ANDROID,Den nya dalen är här! Uppdatera nu för att utforska det nya området och låsa upp godsaker
TID_UPDATE_NOTIFICATION_GENERIC,Kolla in den nya uppdateringen i App Store!
TID_UPDATE_NOTIFICATION_GENERIC_ANDROID,Kolla in den nya uppdateringen i Google Play Store!
TID_TOWN_REQUEST_BOARD_INFO,Här kan du spana in vad besökarna frågar om i byn.
TID_PRODUCT_PILLOW,Kudde
TID_PRODUCT_BLANKET,Filt
TID_CHOOSE_FARM_UI_DEVICE,I den här enheten
TID_CHOOSE_FARM_UI_CLOUD,I molnet
TID_CHOOSE_FARM_UI_TIME,Spelade senast: <LAST_PLAYED_TIME>
TID_CHOOSE_FARM_UI_BUTTON,Välj
TID_CHOOSE_FARM_UI_INFO,Vad är detta?
TID_SAVE_YOUR_FARM_INFO,Varför ansluta?
TID_LEADERBOARD_BOAT_ERROR_CONNECT_TO_SCID,Logga in med ditt Supercell ID för att se din vänrankning!
TID_ERROR_POP_UP_BANNED_BUTTON_CONTACT_PS,Kontakta support
