TID,PT
TID_TOWN_HALL_PASSENGER_STATE_SERVICE_HAPPY,Pronto (<BUILDING>)
TID_TOWN_HALL_PASSENGER_STATE_WAIT_FOR_BOARD_TRAIN,Esperando um trem
TID_TOWN_HALL_PASSENGER_STATE_WAITING_FOR_SERVICE,Esperando (<BUILDING>)
TID_TOWN_HALL_PASSENGER_STATE_WALK_TO_RANDOM,Ocioso
TID_TOWN_HALL_PASSENGER_STATE_WALK_TO_SERVICE_BUILDING,Caminhando para <BUILDING>
TID_TOWN_HALL_PASSENGER_STATE_WALK_TO_TRAIN,Indo para a plataforma
TID_TOWN_HALL_REPUTATION,Nível de reputação:
TID_TOWN_HALL_TITLE,Prefeitura (Nível <RANK>)
TID_TOWN_HALL_UPGRADE,Melhorar
TID_TOWN_HALL_UPGRADE_DESCRIPTION,Capacidade da cidade +<VILLAGE CAPACITY>
TID_TOWN_HALL_UPGRADE_REPUTATION_REQUIRED_TEXT,É preciso ter nível mínimo de <REPUTATION LEVEL> de reputação para melhorar a prefeitura.
TID_TOWN_HALL_UPGRADE_TITLE,Melhorar a prefeitura
TID_TOWN_HALL_VISITOR_CAPACITY,Capacidade de visitantes:
TID_TOWN_HALL_VISITOR_ICON_TOOLTIP,O número atual e máximo de visitantes que visitam a sua cidade.
TID_TRAIN,Plataforma e trilhos
TID_TRAIN_BEACHCAFE,Café de praia
TID_TRAIN_BEACHCAFE_DESC,Com refeições modernas e divertidas.
TID_TRAIN_BEDANDBREAKFAST,Hospedaria familiar
TID_TRAIN_BEDANDBREAKFAST_DESC,Com cafés da manhã deliciosos e camas confortáveis.
TID_TRAIN_DINER,Lanchonete
TID_TRAIN_DINER_DESC,Serve as melhores tortas do país.
TID_TRAIN_GROCERYSTORE,Mercado
TID_TRAIN_GROCERYSTORE_DESC,Serve produtos orgânicos e frescos.
TID_TRAIN_ITEM_BRICKS,Tijolo
TID_TRAIN_ITEM_BRICKS_DESC,Use para melhorar edifícios na cidade.
TID_TRAIN_ITEM_HAMMER,Martelo
TID_TRAIN_ITEM_HAMMER_DESC,Use para melhorar edifícios na cidade.
TID_TRAIN_ITEM_HAND_DRILL,Furadeira de mão
TID_TRAIN_ITEM_HAND_DRILL_DESC,Use para melhorar edifícios na cidade.
TID_TRAIN_ITEM_MAP_PIECE,Pedaço de mapa
TID_TRAIN_ITEM_MAP_PIECE_DESC,Use para expandir a área da cidade.
TID_TRAIN_ITEM_PAINT_BUCKET,Balde de pintura
TID_TRAIN_ITEM_PAINT_BUCKET_DESC,Use para melhorar edifícios na cidade.
TID_TRAIN_ITEM_STONES,Bloco de pedra
TID_TRAIN_ITEM_STONES_DESC,Use para melhorar edifícios na cidade.
TID_TRAIN_ITEM_TAR_BUCKET,Balde de alcatrão
TID_TRAIN_ITEM_TAR_BUCKET_DESC,Use para melhorar edifícios na cidade.
TID_TRAIN_MOVIETHEATER,Cinema
TID_TRAIN_MOVIETHEATER_DESC,Com pratos saborosos e momentos divertidos.
TID_TRAIN_NEIGHBORHOOD_PLATFORM,Plataforma da vizinhança
TID_TRAIN_PICK_UP_FROM_FRIEND_TOOLTIP_DESCRIPTION,Apanhe <PASSENGER> com o meu trem pessoal.
TID_TRAIN_SPA,Spa
TID_TRAIN_SPA_DESC,Com produtos nutritivos e saudáveis.
TID_TRAIN_STATE_ARRIVING,O trem da Ovospresso está chegando!
TID_TRAIN_STATE_AWAY,O próximo trem da Ovospresso chega em <TIME>.
TID_TRAIN_STATE_LEAVING,O trem da Ovospresso está partindo da cidade.
TID_TRAIN_STATE_STOPPED,O trem da Ovospresso está na cidade.
TID_TRAIN_STATION_GET_TRAIN_NOW,Pegar o trem agora
TID_TRAIN_STATION_IMAGE_TOOLTIP,O trem chega a cada <TIME> e traz <MAX CAPACITY> visitantes. Melhore a estação ferroviária para conseguir mais visitantes.
TID_TRAIN_STATION_PICKUP_SLOT_NONE_AVAILABLE,Melhore a estação ferroviária da vizinhança para desbloquear mais espaços de plataforma!
TID_TRAIN_STATION_TITLE,{size=17}Estação ferroviária (Nível <LEVEL>)
TID_TRAIN_STATION_UPGRADE,Melhorar
TID_TRAIN_STATION_UPGRADE_DESCRIPTION,Atual capacidade do trem: <OLD MAX CAPACITY>\n\nMelhorar para: <NEW MAX CAPACITY>
TID_TRAIN_STATION_UPGRADE_REPUTATION_REQUIRED_TEXT,É preciso ter nível mínimo de <REPUTATION LEVEL> de reputação para melhorar.
TID_TRAIN_STATION_UPGRADE_TITLE,Melhorar a estação
TID_TRAIN_STATION_VISITOR_AMOUNT,Visitantes no próximo trem: <AMOUNT>
TID_TRAIN_STATION_VISITOR_AMOUNT_VILLAGE_CAPACITY_FULL,A sua cidade tem espaço para apenas <AMOUNT> visitantes!
TID_TRAIN_TOWNHALL,Prefeitura
TID_TRAIN_TOWNHALL_DESC,Melhore para aumentar a capacidade da cidade.
TID_TRAIN_TRAINSTATION,Mandar embora
TID_TYPE_TRAIN_STATION_PASSENGER_ALREADY_PICKED,"Desculpe, alguém já apanhou este visitante!"
TID_VISITOR_PICK_UP_PASSENGER_MANIFEST,Visitantes esperando na plataforma:
TID_VISITOR_PICK_UP_PERSONAL_TRAIN_CAPACITY,Capacidade do trem pessoal:
TID_VISITOR_PICK_UP_PERSONAL_TRAIN_FULL_DESCRIPTION,O trem pessoal está cheio! Melhore-o para conseguir mais assentos.
TID_VISITOR_PICK_UP_PERSONAL_TRAIN_IS_ON_COOLDOWN,O trem está em manutenção! Acelere-o!
TID_VISITOR_PICK_UP_TITLE,Trem pessoal
TID_VISITOR_PICK_UP_PERSONAL_TRAIN_UNREPAIRED,Conserte o seu trem pessoal antes de apanhar visitantes da vizinhança.
TID_ISSUE_TYPE_TELEPHONE_HELP,Ajuda telefônica (somente em coreano)
TID_TELEPHONE_HELP_TITLE,Título da ajuda telefônica (somente em coreano)
TID_TELEPHONE_HELP_TEXT,Texto da ajuda telefônica (somente em coreano)
TID_TELEPHONE_HELP_OK,OK da ajuda telefônica (somente em coreano)
TID_TOWN_ROAD_01,Estrada de calcário
TID_TOWN_ROAD_02,Estrada de pedras
TID_TOWN_HALL_PASSENGER_STATE_GOING_HOME,Voltar para casa
TID_NAME_AND_TITLE_FORMAT,"<NAME>, <TITLE>"
TID_TOWN_ROAD_03,Estrada de pedregulhos
TID_TUTORIAL_93_DRASINE_UNLOCKED,O prefeito de cidade está muito impressionado com o seu trabalho na fazenda! Ele gostaria de mostrar algo para você.
TID_TUTORIAL_93A_DRASINE_UNLOCKED,"Conserte a plataforma, e vamos ver aonde estes trilhos levam."
TID_TUTORIAL_94_DRASINE_FIXED,Ótimo! Olhe para aquele vagonete brilhante também. É igualzinho ao que seu tio tinha. Agora toque no vagonete e vamos ver aonde nos leva!
TID_TUTORIAL_95_TRAIN_AREA_WELCOME,"Uau! É a velha cidade na qual o seu tio estava trabalhando com o prefeito da cidade. Depois que ele se aposentou, ninguém cuidou dela. Você devia reconstruí-la!"
TID_TUTORIAL_96A_PAINT_TRAIN_STATION,Arregace as mangas e vamos trabalhar! Comece consertando a estação de trem!
TID_TUTORIAL_97A_TAP_FIRST_VISITOR,Seus primeiros visitantes! Isso é tão emocionante. Toque em um deles para ver o que deseja.
TID_TUTORIAL_98A_PLACE_GROCERY,Excelente! Construa o mercado a partir da loja!
TID_TUTORIAL_99_GROCERY_STORE_BUILT,"Bom trabalho! Agora que o mercado foi construído, vamos atender estes visitantes!"
TID_COAL_ORE,Carvão
TID_IRON_ORE,Minério de ferro
TID_COAL_ORE_DESCRIPTION,Colete da mina
TID_IRON_ORE_DESCRIPTION,Colete da mina
TID_COAL_BAR,Carvão refinado
TID_IRON_BAR,Barra de ferro
TID_IRONBRACELET,Bracelete de ferro
TID_VISITOR_PICK_UP_SELECTED,Selecionado
TID_TUTORIAL_100A_SEND_TO_GROCERY,Toque em um visitante para enviá-lo ao mercado!
TID_TUTORIAL_SERVICE_BUILDING_TITLE,Atendendo visitantes
TID_TUTORIAL_101A_SERVICE_VISITOR,Toque no ícone do visitante e arraste o trigo e os ovos até ele para começar o serviço!
TID_NAME_MALE_0,Aaron
TID_NAME_MALE_1,Adrian
TID_NAME_MALE_2,Alberto
TID_NAME_MALE_3,Alejandro
TID_NAME_MALE_4,Alex
TID_NAME_MALE_5,Alexander
TID_NAME_MALE_6,Alfonso
TID_NAME_MALE_7,Andrew
TID_NAME_MALE_8,Andy
TID_NAME_MALE_9,Anthony
TID_NAME_MALE_10,Antoine
TID_NAME_MALE_11,Arthur
TID_NAME_MALE_12,Austin
TID_NAME_MALE_13,Axel
TID_NAME_MALE_14,Ben
TID_NAME_MALE_15,Benjamin
TID_NAME_MALE_16,Billy
TID_NAME_MALE_17,Brandon
TID_NAME_MALE_18,Bruno
TID_NAME_MALE_19,Charles
TID_NAME_MALE_20,Christian
TID_NAME_MALE_21,Christopher
TID_NAME_MALE_22,Clark
TID_NAME_MALE_23,Craig
TID_NAME_MALE_24,Daniel
TID_NAME_MALE_25,David
TID_NAME_MALE_26,Dominic
TID_NAME_MALE_27,Edward
TID_NAME_MALE_28,Elijah
TID_NAME_MALE_29,Elliot
TID_NAME_MALE_30,Eric
TID_NAME_MALE_31,Ethan
TID_NAME_MALE_32,Evan
TID_NAME_MALE_33,Henry
TID_NAME_MALE_34,Ian
TID_NAME_MALE_35,Jack
TID_NAME_MALE_36,James
TID_NAME_MALE_37,John
TID_NAME_MALE_38,Joseph
TID_NAME_MALE_39,Juan
TID_NAME_MALE_40,Leonard
TID_NAME_MALE_41,Liam
TID_NAME_MALE_42,Logan
TID_NAME_MALE_43,Lucas
TID_NAME_MALE_44,Luke
TID_NAME_MALE_45,Malcolm
TID_NAME_MALE_46,Martin
TID_NAME_MALE_47,Matthew
TID_NAME_MALE_48,Michael
TID_NAME_MALE_49,Morgan
TID_NAME_MALE_50,Nate
TID_NAME_MALE_51,Nathan
TID_NAME_MALE_52,Neil
TID_NAME_MALE_53,Nicholas
TID_NAME_MALE_54,Oliver
TID_NAME_MALE_55,Peter
TID_NAME_MALE_56,Rafael
TID_NAME_MALE_57,Richard
TID_NAME_MALE_58,Robert
TID_NAME_MALE_59,Ryan
TID_NAME_MALE_60,Samuel
TID_NAME_MALE_61,Sebastian
TID_NAME_MALE_62,Seth
TID_NAME_MALE_63,Simon
TID_NAME_MALE_64,Stanley
TID_NAME_MALE_65,Taylor
TID_NAME_MALE_66,Theo
TID_NAME_MALE_67,Thomas
TID_NAME_MALE_68,William
TID_NAME_MALE_69,Wyatt
TID_NAME_FEMALE_0,Abigail
TID_NAME_FEMALE_1,Adele
TID_NAME_FEMALE_2,Alexandra
TID_NAME_FEMALE_3,Alexis
TID_NAME_FEMALE_4,Alice
TID_NAME_FEMALE_5,Allison
TID_NAME_FEMALE_6,Alysha
TID_NAME_FEMALE_7,Alyson
TID_NAME_FEMALE_8,Amanda
TID_NAME_FEMALE_9,Amelia
TID_NAME_FEMALE_10,Amy
TID_NAME_FEMALE_11,Anabelle
TID_NAME_FEMALE_12,Andrea
TID_NAME_FEMALE_13,Angela
TID_NAME_FEMALE_14,Angeline
TID_NAME_FEMALE_15,Annabell
TID_NAME_FEMALE_16,Anne
TID_NAME_FEMALE_17,Annie
TID_NAME_FEMALE_18,Ashley
TID_NAME_FEMALE_19,Audrey
TID_NAME_FEMALE_20,Barbara
TID_NAME_FEMALE_21,Bella
TID_NAME_FEMALE_22,Catalina
TID_NAME_FEMALE_23,Charlotte
TID_NAME_FEMALE_24,Chloe
TID_NAME_FEMALE_25,Claire
TID_NAME_FEMALE_26,Daniela
TID_NAME_FEMALE_27,Dorothy
TID_NAME_FEMALE_28,Elizabeth
TID_NAME_FEMALE_29,Ella
TID_NAME_FEMALE_30,Emily
TID_NAME_FEMALE_31,Emma
TID_NAME_FEMALE_32,Esther
TID_NAME_FEMALE_33,Evelyn
TID_NAME_FEMALE_34,Fiona
TID_NAME_FEMALE_35,Gabrielle
TID_NAME_FEMALE_36,Grace
TID_NAME_FEMALE_37,Gracie
TID_NAME_FEMALE_38,Hannah
TID_NAME_FEMALE_39,Isabella
TID_NAME_FEMALE_40,Jennifer
TID_NAME_FEMALE_41,Jessica
TID_NAME_FEMALE_42,Julia
TID_NAME_FEMALE_43,Juliette
TID_NAME_FEMALE_44,Kate
TID_NAME_FEMALE_45,Katherine
TID_NAME_FEMALE_46,Kathryn
TID_NAME_FEMALE_47,Kylie
TID_NAME_FEMALE_48,Laura
TID_NAME_FEMALE_49,Layla
TID_NAME_FEMALE_50,Lillian
TID_NAME_FEMALE_51,Lily
TID_NAME_FEMALE_52,Linda
TID_NAME_FEMALE_53,Lucy
TID_NAME_FEMALE_54,Lydia
TID_NAME_FEMALE_55,Maggie
TID_NAME_FEMALE_56,Mary
TID_NAME_FEMALE_57,Maya
TID_NAME_FEMALE_58,Mia
TID_NAME_FEMALE_59,Molly
TID_NAME_FEMALE_60,Natalie
TID_NAME_FEMALE_61,Nicole
TID_NAME_FEMALE_62,Olivia
TID_NAME_FEMALE_63,Patricia
TID_NAME_FEMALE_64,Piper
TID_NAME_FEMALE_65,Rachel
TID_NAME_FEMALE_66,Samantha
TID_NAME_FEMALE_67,Sarah
TID_NAME_FEMALE_68,Scarlett
TID_NAME_FEMALE_69,Sophia
TID_NAME_FEMALE_70,Sophie
TID_NAME_FEMALE_71,Susan
TID_NAME_FEMALE_72,Victoria
TID_NAME_FEMALE_73,Violet
TID_NAME_FEMALE_74,Zoey
TID_VISITOR_PICK_UP_PERSONAL_TRAIN_IS_LEAVING,O trem pessoal está partindo!
TID_TRAIN_STATION,Estação ferroviária
TID_TUTORIAL_102A_SPEED_UP_SERVICE,"Agora vamos acelerar o serviço! Não se preocupe, a primeira aceleração é gratuita!"
TID_TUTORIAL_103A_COLLECT_REWARD,Fantástico! Agora toque no visitante para coletar a recompensa!
TID_TUTORIAL_104A_UPGRADE_SERVICE_BUILDING,Excelente! Agora melhore o seu mercado para atender mais visitantes por vez!
TID_TUTORIAL_105A_REPAIR_TOWN_HALL,A sua cidade está crescendo rápido e ficando popular! Conserte a velha prefeitura para monitorar todos estes visitantes!
TID_TUTORIAL_106A_SEND_TO_GROCERY_VIA_TOWN_HALL,Vamos usar a prefeitura para localizar os visitantes!
TID_TUTORIAL_107_TRAIN_TUTORIAL_COMPLETED,"Ótimo trabalho! Agora coloque mais edifícios, atenda mais visitantes e devolva a cidade aos seus dias de glória!"
TID_TUTORIAL_108_REPAIR_PERSONAL_TRAIN,Está na hora de visitar a sua vizinhança! Vamos consertar o velho trem do seu tio e ver o que os seus amigos estão fazendo!
TID_TUTORIAL_109A_VISIT_NEIGHBORHOOD_FRIEND,Use o seu trem pessoal para visitar seus vizinhos e apanhar os visitantes deles!
TID_PASSENGER_WAITING_TRAIN_GOING_HOME,Obrigado por tudo! Já visitei duas cidades. Vou para casa agora.
TID_VISITOR_PICK_UP_NEIGHBOURHOOD_INFO,Seu amigo não tem visitantes para ser apanhados no momento.
TID_UPGRADE_TREE_HUD_TOOLTIP_BUILDING_UPGRADE_REQUIRED,Melhore o(a) <BUILDING> até o nível <LEVEL> para desbloquear.
TID_UPGRADE_TREE_HUD_TOOLTIP_BONUS_MAXED_OUT,Nível máximo atingido.
TID_VISITOR_COLLECT_REPUTATION,<PARAM> apanhou um visitante e deu a você um ponto de reputação!
TID_PERSONALTRAIN_FRIENDLIST_NOT_IN_NEIGHBORHOOD,Entre numa vizinhança para apanhar visitantes!
TID_PERSONALTRAIN_FRIENDLIST_NO_MEMBERS,Faça mais amigos de vizinhança apanharem visitantes!
TID_PERSONALTRAIN_FRIENDLIST_NO_VISITORS,Os seus amigos de vizinhança não têm visitantes para apanhar agora!
TID_VISITOR_PICK_UP_UI_TITLE,Apanhe visitantes!
TID_FLOATER_EXPANSION_TRAIN_AREA_COMING_SOON,As expansões da cidade desbloqueiam no nível <LEVEL> de reputação.
TID_VISITOR_PICK_UP_TOWN_FULL,A sua cidade está cheia. Melhore a Prefeitura para acomodar mais visitantes!
TID_VISITOR_PICK_UP_SERVICE_BUILDING_LOCKED,Edifício de serviço desbloqueia ao nível <PARAM> de reputação!
TID_VISITOR_PICK_UP_NOT_IN_NEIGHBORHOOD,Entre numa vizinhança para apanhar visitantes dos seus amigos de vizinhança!
TID_VISITOR_PICK_UP_NOT_IN_SAME_NEIGHBORHOOD,Você pode apanhar visitantes dos seus amigos de vizinhança. Convide <PARAM> para a sua vizinhança!
TID_VISITOR_PICK_UP_PERSONAL_TRAIN_GOING_HOME,Seu trem está trazendo visitantes para a sua cidade!
TID_SERVICE_LIST_ITEM_REWARDS,Recompensas
TID_TOP_CENTER_HUD_REPUTATION_ICON_TOOLTIP,Nível de reputação da sua cidade. Desbloqueie mais prédios de serviço atendendo mais visitantes!
TID_CROP_COTTON,Algodão
TID_PASSENGER_COWBOY,Cowboy
TID_ADVANCED_EVENT_TITLE_BIRTHDAY,Feliz aniversário!
TID_ADVANCED_EVENT_TEXT_BIRTHDAY,"É o segundo aniversário do Hay Day, o que significa grandes comemorações em todo o mundo. Faça bolos cremosos no forno de bolos e contribua o máximo possível antes que o tempo se esgote! Atinja as suas metas pessoais para conseguir grandes recompensas. O seu resultado também contribui para a meta global da comunidade. Atinja a meta global em conjunto com fazendeiros do mundo inteiro e todos serão recompensados."
TID_ADVANCED_EVENT_NOTIFICATION_BIRTHDAY,Confira o novo evento de aniversário do Hay Day com ótimas recompensas!
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_BIRTHDAY,"Olá, <NAME>! Havia Bolos cremosos por todo lugar, e a festa foi MUUUito divertida! Agradecemos a todos pela participação no evento global. Juntos, conseguimos! Aceite esta recompensa como agradecimento por suas contribuições!"
TID_ADVANCED_EVENT_SUCCESS_TITLE_BIRTHDAY,O melhor aniversário de todos!
TID_ADVANCED_EVENT_SUCCESS_TEXT_BIRTHDAY,"Obrigado, fazendeiros! Nossa comunidade reunida fez desta a melhor festa de aniversário de todas."
TID_PRODUCT_COTTON_FABRICS,Tecido de algodão
TID_PRODUCT_COTTON_SHIRT,Camisa de algodão
TID_PRODUCT_WOOLY_PANTS,Perneiras de lã
TID_PRODUCT_COTTON_VIOLET_DRESS,Vestido violeta
TID_SEWING_MACHINE_PRODUCT_DESCRIPTION,Produza na máquina de costura.
TID_SEWINGMACHINE,Máquina de costura
TID_SEWINGMACHINE_DESCRIPTION,Costura roupas.
TID_DECO_STREETLIGHT_DESC,Decore a sua cidade.
TID_DECO_STREETLIGHT,Poste de Luz
TID_DECO_LEAFYPLANT_DESC,Decore a sua cidade.
TID_DECO_LEAFYPLANT,Planta frondosa
TID_DECO_HYDRANT_DESC,Decore a sua cidade.
TID_DECO_HYDRANT,Hidrante
TID_DECO_MUSHROOM_HOUSE_DESC,Decoração de verão (tempo limitado).
TID_DECO_MUSHROOM_HOUSE,Casa de cogumelos
TID_MASSGIFT_FACEBOOK_HEADER,12 milhões de curtidas!
TID_MASSGIFT_FACEBOOK_TEXT,"Para comemorar os 12 milhões de curtidas em nossa página oficial do Hay Day no Facebook, daremos a todos os nossos fazendeiros 12 diamantes como forma de agradecimento. Saiba que sua dedicação e apoio são MUUUito importantes para nós. Esperamos que goste deste agradinho! :) Se ainda não curtiu o Hay Day no Facebook, aproveite: www.facebook.com/HayDayOfficial"
TID_BUNNY2,Coelho fofinho
TID_MOVIE_TICKET_WATCH_ANOTHER_TITLE,Quer ver outro trailer?
TID_MOVIE_TICKET_WATCH_ANOTHER_TEXT,As recompensas serão aleatórias.
TID_MOVIE_TICKET_WATCH_ANOTHER_OR,ou
TID_MOVIE_TICKET_ALL_WATCHED_TITLE,Valeu! Você assistiu a todos os trailers disponíveis.
TID_MOVIE_TICKET_ALL_WATCHED_TEXT,Veja novamente daqui a <PARAM> horas.
TID_MOVIE_TICKET_NO_FEED_TITLE,Estamos à espera de um novo trailer
TID_MOVIE_TICKET_NO_FEED_TEXT,Veja novamente daqui a pouco.
TID_TOOL_PICKAXE,Picareta
TID_TOOL_PICKAXE_DESC,Use para escavar minérios da mina.
TID_MYSTERY_CRATE_DESCRIPTION,A arca de tesouro que você encontrou está trancada! Você pode abri-la usando diamantes.
TID_MYSTERY_CRATE_OPEN,para abrir o baú
TID_GIFT_TOWN_TITLE,Pacote Surpresa da Cidade
TID_GIFT_FISHING_TITLE,Pacote Surpresa de Pescaria
TID_ABOUT_FSA,FSA (apenas Japonês)
TID_NECTAR_DESCRIPTION,Recolhido por abelhas melíferas de arbustos de néctar.
TID_NECTAR,Néctar
TID_BEE,Abelha melífera
TID_BEE_HIVE_TREE,Árvore de colmeia
TID_DANDELION,Arbusto de néctar
TID_BEE_HIVE_TREE_SHOP_DESCRIPTION,Abriga abelhas.
TID_DANDELION_DESCRIPTION,Fornece néctar para abelhas melíferas.
TID_BEE_HIVE,Colmeia
TID_GATHERER_SHOP_DESCRIPTION,Recolhe néctar para produzir favos de mel.
TID_HONEYCOMB,Favo de mel
TID_HONEYCOMB_DESCRIPTION,Colete da colmeia.
TID_FLOATER_COORDINATE_NOT_IN_NEST,Coloque na <PARAM>!
TID_FLOATER_NEST_FULL,Esta <PARAM> está cheia.
TID_GATHERER_MASTERY_INFO_POPUP_TOOLTIP,A <BUILDING> agora tem <PARAM> colmeias.
TID_GATHERER_MASTERY_INFO_POPUP_DESCRIPTION,Colete néctar para ganhar estrelas e mais colmeias!
TID_GATHERER_MASTERY_INFO_POPUP_PROGRESS,<COUNT>/<COUNT_LIMIT> de néctar
TID_GATHERER_MASTERY_STAR_GAIN_POPUP_DESCRIPTION,Agora você tem <PARAM> colmeias na sua <BUILDING>. Compre novas abelhas melíferas da loja.
TID_PRODUCT_HONEY,Mel
TID_PRODUCT_BEESWAX,Cera de abelhas
TID_HONEYEXTRACTOR,Extrator de mel
TID_HONEYEXTRACTOR_DESCRIPTION,Extrai mel de favos de mel.
TID_HONEYEXTRACTOR_PRODUCT_DESCRIPTION,Produza no extrator de mel.
TID_DECO_SANDCASTLE,Castelo de areia
TID_DECO_BEACHCHAIR1,Cadeira de praia: oceano
TID_DECO_BEACHCHAIR2,Cadeira de praia: verão
TID_DECO_SANDCASTLE_DESC,Decore a sua cidade.
TID_DECO_BEACHCHAIR1_DESC,Decore a sua cidade.
TID_DECO_BEACHCHAIR2_DESC,Decore a sua cidade.
TID_GATHERER_NEST_PROGRESS_HUD_RESOURCES_LEFT,<GATHERED>/<MAX> <RESOURCE>
TID_GATHERER_NEST_READY_TO_HARVEST,Pronto para coletar
TID_FLOATER_NO_SUPPORTED_MINES,Compre <PARAM> para continuar a produção!
TID_PRODUCT_PUMPKIN_SOUP,Sopa de abóbora
TID_PRODUCT_LOBSTERSKEWERS,Espeto de lagosta
TID_PRODUCT_HONEY_TOAST,Torrada com mel
TID_PRODUCT_HONEY_POPCORN,Pipoca com mel
TID_PRODUCT_HONEY_APPLE_CAKE,Bolo de maçã e mel
TID_STAT_BOUGHT_FREE,Comprou: <BOUGHT> / Grátis: <FREE>
TID_STAT_TOTAL,Total: <AMOUNT>
TID_NOTIFICATION_HIVES_READY,Os favos de mel estão prontos para serem recolhidos!
TID_TRAIN_GIFTSHOP,Loja de presentes
TID_TRAIN_GIFTSHOP_DESC,Com lembranças artesanais locais.
TID_PASSENGER_VICTORIAN_LADY,Atriz
TID_TUTORIAL_110_BEES_UNLOCKED,Boas novas: agora você pode comprar abelhas e começar a produzir mel docinho! Vamos lá!
TID_TUTORIAL_111a_BUY_BEEHIVETREE,Comece comprando uma árvore de colmeia!
TID_TUTORIAL_112a_BUY_BEE,Agora compre uma abelha melífera!
TID_TUTORIAL_113a_BUY_NECTARBUSH,Abelhas precisam de néctar. Compre um arbusto de néctar para elas!
TID_TUTORIAL_114_BEE_TUTORIAL_END,Excelente! Compre mais abelhas e arbustos de néctar para aumentar a produção! Lembre-se também de adquirir o extrator para conseguir mel docinho!
TID_NO_HONEYCOMBS_TOOLTIP,Os favos de mel não estão prontos. Espere suas abelhas colherem mais néctar.
TID_DANDELION_FB_HELP_TEXT,O meu arbusto de néctar precisa ser regado com urgência. Pode me ajudar?
TID_TUTORIAL_113a2_WAIT_FOR_BEES,Agora é só esperar as abelhas colherem o néctar!
TID_DECO_GARGOYLE,Gárgula
TID_DECO_GARGOYLE_DESC,Decoração exclusiva de Halloween.
TID_DECO_GARGOYLE_DESC_MOBILE,Decoração exclusiva de Halloween.
TID_ADVANCED_EVENT_TITLE_HALLOWEEN2014,Época de Halloween!
TID_EVENT_PAMFLET_HALLOWEEN2014,O evento de Halloween chegou!
TID_ADVANCED_EVENT_TEXT_HALLOWEEN2014,A procura por tortas e sopa de abóbora é maior que nunca. Complete as metas pessoais do evento para obter grandes recompensas. Suas contribuições ajudam na meta global da comunidade quando você alcança o estágio indicado pelo ícone azul. Feliz Halloween!
TID_ADVANCED_EVENT_NOTIFICATION_HALLOWEEN2014,Confira o novo evento de Halloween com grandes recompensas!
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_HEADER_HALLOWEEN2014,Evento global
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_HALLOWEEN2014,"Olá, <NAME>! A cidade foi inundada de tortas e sopa de abóbora. Agradecemos a participação de todos. Conseguimos juntos! Aceite esta recompensa como agradecimento por suas contribuições!"
TID_ADVANCED_EVENT_SUCCESS_TITLE_HALLOWEEN2014,O melhor Halloween de todos!
TID_ADVANCED_EVENT_SUCCESS_TEXT_HALLOWEEN2014,A cidade estava cheia de tortas e sopa de abóbora. Nossa comunidade junta fez desse o melhor Halloween de todos.
TID_INVALID_GAME_CENTER_SIGNATURE_TITLE,Atenção!
TID_INVALID_GAME_CENTER_SIGNATURE_TEXT,"Por favor, conecte-se ao Game Center ou ao Supercell ID para salvar o seu progresso e jogar com sua fazenda em diferentes dispositivos.\nRecomendamos que atualize o seu dispositivo para a versão iOS7 ou superior.\nPara mais informações sobre como atualizar o iOS: http://support.apple.com/kb/HT4623?viewlocale=pt_BR."
TID_INVALID_GAME_CENTER_SIGNATURE_ACTION,Ok
TID_GATHERER_HABITAT_HUD_BUTTON_TOOLTIP,Falta néctar
TID_TUTORIAL_DOUBLE_TAP_INFO,Você sabia que pode ir às configurações avançadas e habilitar a confirmação de toque duplo para usar diamantes? Confira!
TID_MASSGIFT_HALLOWEENDECO_HEADER,O Halloween está acabando
TID_MASSGIFT_HALLOWEENDECO_TEXT,"Oi, <NAME>! Logo as decorações de Halloween exclusivas sairão da loja. Pegue agora, antes que seja tarde demais!"
TID_MASSGIFT_HALLOWEENSEASON_HEADER,Feliz Halloween!
TID_MASSGIFT_HALLOWEENSEASON_TEXT,"Olá, <NAME>! O Halloween chegou! Confira as novas decorações exclusivas, disponíveis por tempo limitado na loja. E não se esqueça de visitar a sua área de pesca - se tiver sorte, pode descobrir de vez em quando o espírito do Halloween, que lhe dará recompensas surpresa! :) Se conseguir vê-lo, avise todo mundo na nossa página de Facebook: http://facebook.com/HayDayOfficial"
TID_CANDLEMAKER,Fazedor de velas
TID_CANDLEMAKER_DESCRIPTION,Faz velas.
TID_CANDLEMAKER_PRODUCT_DESCRIPTION,Produza no fazedor de velas.
TID_PRODUCT_STRAWBERRY_CANDLE,Vela de morango
TID_PRODUCT_LEMON_CANDLE,Vela de limão
TID_PRODUCT_RASPBERRY_CANDLE,Vela de framboesa
TID_DECO_HAUNTED_BIRDHOUSE,Comedouro Assombrado
TID_DECO_HAUNTED_BIRDHOUSE_DESC,Decoração de Halloween.
TID_IOS4_SUPPORT_ENDING_TITLE,Atenção!
